Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Sexo	Personas
02	Aragón	2009	01	Europa	UE-27	Hombre	5063
02	Aragón	2009	01	Europa	UE-27	Mujer	5502
02	Aragón	2009	02	Europa	Resto de Europa	Hombre	741
02	Aragón	2009	02	Europa	Resto de Europa	Mujer	860
02	Aragón	2009	03	África	Magreb	Hombre	61
02	Aragón	2009	03	África	Magreb	Mujer	65
02	Aragón	2009	04	África	Resto de África	Hombre	100
02	Aragón	2009	04	África	Resto de África	Mujer	80
02	Aragón	2009	05	América	América del Norte	Hombre	742
02	Aragón	2009	05	América	América del Norte	Mujer	1057
02	Aragón	2009	06	América	Resto de América	Hombre	4972
02	Aragón	2009	06	América	Resto de América	Mujer	5312
02	Aragón	2009	07	Asia	Asia	Hombre	199
02	Aragón	2009	07	Asia	Asia	Mujer	172
02	Aragón	2009	08	Oceanía	Oceanía	Hombre	90
02	Aragón	2009	08	Oceanía	Oceanía	Mujer	98
02	Aragón	2010	01	Europa	UE-27	Hombre	5295
02	Aragón	2010	01	Europa	UE-27	Mujer	5775
02	Aragón	2010	02	Europa	Resto de Europa	Hombre	749
02	Aragón	2010	02	Europa	Resto de Europa	Mujer	868
02	Aragón	2010	03	África	Magreb	Hombre	76
02	Aragón	2010	03	África	Magreb	Mujer	66
02	Aragón	2010	04	África	Resto de África	Hombre	100
02	Aragón	2010	04	África	Resto de África	Mujer	85
02	Aragón	2010	05	América	América del Norte	Hombre	838
02	Aragón	2010	05	América	América del Norte	Mujer	1147
02	Aragón	2010	06	América	Resto de América	Hombre	5431
02	Aragón	2010	06	América	Resto de América	Mujer	5758
02	Aragón	2010	07	Asia	Asia	Hombre	221
02	Aragón	2010	07	Asia	Asia	Mujer	193
02	Aragón	2010	08	Oceanía	Oceanía	Hombre	90
02	Aragón	2010	08	Oceanía	Oceanía	Mujer	101
02	Aragón	2011	01	Europa	UE-27	Hombre	5609
02	Aragón	2011	01	Europa	UE-27	Mujer	6092
02	Aragón	2011	02	Europa	Resto de Europa	Hombre	760
02	Aragón	2011	02	Europa	Resto de Europa	Mujer	886
02	Aragón	2011	03	África	Magreb	Hombre	76
02	Aragón	2011	03	África	Magreb	Mujer	60
02	Aragón	2011	04	África	Resto de África	Hombre	117
02	Aragón	2011	04	África	Resto de África	Mujer	104
02	Aragón	2011	05	América	América del Norte	Hombre	891
02	Aragón	2011	05	América	América del Norte	Mujer	1218
02	Aragón	2011	06	América	Resto de América	Hombre	6074
02	Aragón	2011	06	América	Resto de América	Mujer	6391
02	Aragón	2011	07	Asia	Asia	Hombre	252
02	Aragón	2011	07	Asia	Asia	Mujer	198
02	Aragón	2011	08	Oceanía	Oceanía	Hombre	99
02	Aragón	2011	08	Oceanía	Oceanía	Mujer	111
02	Aragón	2012	01	Europa	UE-27	Hombre	5979
02	Aragón	2012	01	Europa	UE-27	Mujer	6476
02	Aragón	2012	02	Europa	Resto de Europa	Hombre	802
02	Aragón	2012	02	Europa	Resto de Europa	Mujer	908
02	Aragón	2012	03	África	Magreb	Hombre	72
02	Aragón	2012	03	África	Magreb	Mujer	62
02	Aragón	2012	04	África	Resto de África	Hombre	125
02	Aragón	2012	04	África	Resto de África	Mujer	109
02	Aragón	2012	05	América	América del Norte	Hombre	971
02	Aragón	2012	05	América	América del Norte	Mujer	1280
02	Aragón	2012	06	América	Resto de América	Hombre	6598
02	Aragón	2012	06	América	Resto de América	Mujer	6976
02	Aragón	2012	07	Asia	Asia	Hombre	277
02	Aragón	2012	07	Asia	Asia	Mujer	236
02	Aragón	2012	08	Oceanía	Oceanía	Hombre	109
02	Aragón	2012	08	Oceanía	Oceanía	Mujer	114
02	Aragón	2013	01	Europa	UE-27	Hombre	6399
02	Aragón	2013	01	Europa	UE-27	Mujer	6939
02	Aragón	2013	02	Europa	Resto de Europa	Hombre	833
02	Aragón	2013	02	Europa	Resto de Europa	Mujer	939
02	Aragón	2013	03	África	Magreb	Hombre	75
02	Aragón	2013	03	África	Magreb	Mujer	65
02	Aragón	2013	04	África	Resto de África	Hombre	150
02	Aragón	2013	04	África	Resto de África	Mujer	123
02	Aragón	2013	05	América	América del Norte	Hombre	1027
02	Aragón	2013	05	América	América del Norte	Mujer	1342
02	Aragón	2013	06	América	Resto de América	Hombre	7059
02	Aragón	2013	06	América	Resto de América	Mujer	7524
02	Aragón	2013	07	Asia	Asia	Hombre	310
02	Aragón	2013	07	Asia	Asia	Mujer	254
02	Aragón	2013	08	Oceanía	Oceanía	Hombre	114
02	Aragón	2013	08	Oceanía	Oceanía	Mujer	129
02	Aragón	2014	01	Europa	UE-28	Hombre	6812
02	Aragón	2014	01	Europa	UE-28	Mujer	7345
02	Aragón	2014	02	Europa	Resto de Europa	Hombre	866
02	Aragón	2014	02	Europa	Resto de Europa	Mujer	959
02	Aragón	2014	03	África	Magreb	Hombre	79
02	Aragón	2014	03	África	Magreb	Mujer	72
02	Aragón	2014	04	África	Resto de África	Hombre	146
02	Aragón	2014	04	África	Resto de África	Mujer	132
02	Aragón	2014	05	América	América del Norte	Hombre	1087
02	Aragón	2014	05	América	América del Norte	Mujer	1401
02	Aragón	2014	06	América	Resto de América	Hombre	7607
02	Aragón	2014	06	América	Resto de América	Mujer	8062
02	Aragón	2014	07	Asia	Asia	Hombre	324
02	Aragón	2014	07	Asia	Asia	Mujer	265
02	Aragón	2014	08	Oceanía	Oceanía	Hombre	129
02	Aragón	2014	08	Oceanía	Oceanía	Mujer	141
02	Aragón	2015	01	Europa	UE-28	Hombre	7252
02	Aragón	2015	01	Europa	UE-28	Mujer	7786
02	Aragón	2015	02	Europa	Resto de Europa	Hombre	880
02	Aragón	2015	02	Europa	Resto de Europa	Mujer	984
02	Aragón	2015	03	África	Magreb	Hombre	92
02	Aragón	2015	03	África	Magreb	Mujer	77
02	Aragón	2015	04	África	Resto de África	Hombre	191
02	Aragón	2015	04	África	Resto de África	Mujer	140
02	Aragón	2015	05	América	América del Norte	Hombre	1160
02	Aragón	2015	05	América	América del Norte	Mujer	1439
02	Aragón	2015	06	América	Resto de América	Hombre	8165
02	Aragón	2015	06	América	Resto de América	Mujer	8532
02	Aragón	2015	07	Asia	Asia	Hombre	352
02	Aragón	2015	07	Asia	Asia	Mujer	275
02	Aragón	2015	08	Oceanía	Oceanía	Hombre	132
02	Aragón	2015	08	Oceanía	Oceanía	Mujer	144
02	Aragón	2015	09	Apátridas y no consta	Apátridas y no consta	Hombre	15
02	Aragón	2015	09	Apátridas y no consta	Apátridas y no consta	Mujer	13
02	Aragón	2016	01	Europa	UE-28	Hombre	7705
02	Aragón	2016	01	Europa	UE-28	Mujer	8236
02	Aragón	2016	02	Europa	Resto de Europa	Hombre	926
02	Aragón	2016	02	Europa	Resto de Europa	Mujer	1040
02	Aragón	2016	03	África	Magreb	Hombre	99
02	Aragón	2016	03	África	Magreb	Mujer	84
02	Aragón	2016	04	África	Resto de África	Hombre	208
02	Aragón	2016	04	África	Resto de África	Mujer	151
02	Aragón	2016	05	América	América del Norte	Hombre	1244
02	Aragón	2016	05	América	América del Norte	Mujer	1503
