Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	1	Europa	01	UE-27	102	Austria	01	La Jacetania	Hombre	1
2009	1	Europa	01	UE-27	102	Austria	10	Los Monegros	Hombre	1
2009	1	Europa	01	UE-27	102	Austria	17	Central	Hombre	25
2009	1	Europa	01	UE-27	102	Austria	27	Andorra-Sierra de Arcos	Hombre	1
2009	1	Europa	01	UE-27	102	Austria	29	Comunidad de Teruel	Hombre	1
2009	1	Europa	01	UE-27	103	Bélgica	01	La Jacetania	Hombre	8
2009	1	Europa	01	UE-27	103	Bélgica	03	Sobrarbe	Hombre	2
2009	1	Europa	01	UE-27	103	Bélgica	04	La Ribagorza	Hombre	3
2009	1	Europa	01	UE-27	103	Bélgica	05	Cinco Villas	Hombre	3
2009	1	Europa	01	UE-27	103	Bélgica	06	Hoya de Huesca / Plana de Uesca	Hombre	16
2009	1	Europa	01	UE-27	103	Bélgica	07	Somontano de Barbastro	Hombre	6
2009	1	Europa	01	UE-27	103	Bélgica	08	Cinca Medio	Hombre	6
2009	1	Europa	01	UE-27	103	Bélgica	09	La Litera / La Llitera	Hombre	2
2009	1	Europa	01	UE-27	103	Bélgica	10	Los Monegros	Hombre	3
2009	1	Europa	01	UE-27	103	Bélgica	11	Bajo Cinca / Baix Cinca	Hombre	17
2009	1	Europa	01	UE-27	103	Bélgica	13	Campo de Borja	Hombre	7
2009	1	Europa	01	UE-27	103	Bélgica	15	Ribera Alta del Ebro	Hombre	5
2009	1	Europa	01	UE-27	103	Bélgica	16	Valdejalón	Hombre	5
2009	1	Europa	01	UE-27	103	Bélgica	17	Central	Hombre	140
2009	1	Europa	01	UE-27	103	Bélgica	20	Comunidad de Calatayud	Hombre	12
2009	1	Europa	01	UE-27	103	Bélgica	21	Campo de Cariñena	Hombre	1
2009	1	Europa	01	UE-27	103	Bélgica	24	Campo de Daroca	Hombre	4
2009	1	Europa	01	UE-27	103	Bélgica	26	Cuencas Mineras	Hombre	13
2009	1	Europa	01	UE-27	103	Bélgica	27	Andorra-Sierra de Arcos	Hombre	23
2009	1	Europa	01	UE-27	103	Bélgica	29	Comunidad de Teruel	Hombre	7
2009	1	Europa	01	UE-27	103	Bélgica	33	Matarraña / Matarranya	Hombre	8
2009	1	Europa	01	UE-27	104	Bulgaria	06	Hoya de Huesca / Plana de Uesca	Hombre	2
2009	1	Europa	01	UE-27	104	Bulgaria	17	Central	Hombre	1
2009	1	Europa	01	UE-27	106	Chipre	17	Central	Hombre	3
2009	1	Europa	01	UE-27	107	Dinamarca	07	Somontano de Barbastro	Hombre	1
2009	1	Europa	01	UE-27	107	Dinamarca	09	La Litera / La Llitera	Hombre	1
2009	1	Europa	01	UE-27	107	Dinamarca	17	Central	Hombre	11
2009	1	Europa	01	UE-27	107	Dinamarca	32	Gúdar-Javalambre	Hombre	1
2009	1	Europa	01	UE-27	109	Finlandia	06	Hoya de Huesca / Plana de Uesca	Hombre	1
2009	1	Europa	01	UE-27	109	Finlandia	07	Somontano de Barbastro	Hombre	1
2009	1	Europa	01	UE-27	109	Finlandia	17	Central	Hombre	18
2009	1	Europa	01	UE-27	109	Finlandia	26	Cuencas Mineras	Hombre	1
2009	1	Europa	01	UE-27	109	Finlandia	29	Comunidad de Teruel	Hombre	4
2009	1	Europa	01	UE-27	110	Francia	01	La Jacetania	Hombre	113
2009	1	Europa	01	UE-27	110	Francia	02	Alto Gállego	Hombre	64
