Año	Inscripción comarca código	Inscripción comarca nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2009	01	La Jacetania	0-15	Hombre	29	0	Sin clasificar
2009	01	La Jacetania	0-15	Hombre	12	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	0-15	Hombre	3	3	Graduado escolar o ESO
2009	01	La Jacetania	0-15	Mujer	37	0	Sin clasificar
2009	01	La Jacetania	0-15	Mujer	1	1	No sabe leer ni escribir
2009	01	La Jacetania	0-15	Mujer	5	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	0-15	Mujer	1	3	Graduado escolar o ESO
2009	01	La Jacetania	16-64	Hombre	49	0	Sin clasificar
2009	01	La Jacetania	16-64	Hombre	12	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	16-64	Hombre	27	3	Graduado escolar o ESO
2009	01	La Jacetania	16-64	Hombre	88	4	BUP, Bachiller, LOGSE ó superior
2009	01	La Jacetania	16-64	Mujer	55	0	Sin clasificar
2009	01	La Jacetania	16-64	Mujer	14	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	16-64	Mujer	34	3	Graduado escolar o ESO
2009	01	La Jacetania	16-64	Mujer	117	4	BUP, Bachiller, LOGSE ó superior
2009	01	La Jacetania	65 y más	Hombre	55	0	Sin clasificar
2009	01	La Jacetania	65 y más	Hombre	15	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	65 y más	Hombre	34	3	Graduado escolar o ESO
2009	01	La Jacetania	65 y más	Hombre	40	4	BUP, Bachiller, LOGSE ó superior
2009	01	La Jacetania	65 y más	Mujer	74	0	Sin clasificar
2009	01	La Jacetania	65 y más	Mujer	23	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	65 y más	Mujer	50	3	Graduado escolar o ESO
2009	01	La Jacetania	65 y más	Mujer	43	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	0-15	Hombre	8	0	Sin clasificar
2009	02	Alto Gállego	0-15	Hombre	6	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	0-15	Mujer	12	0	Sin clasificar
2009	02	Alto Gállego	0-15	Mujer	1	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	16-64	Hombre	28	0	Sin clasificar
2009	02	Alto Gállego	16-64	Hombre	1	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	16-64	Hombre	8	3	Graduado escolar o ESO
2009	02	Alto Gállego	16-64	Hombre	31	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	16-64	Mujer	19	0	Sin clasificar
2009	02	Alto Gállego	16-64	Mujer	1	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	16-64	Mujer	12	3	Graduado escolar o ESO
2009	02	Alto Gállego	16-64	Mujer	42	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	65 y más	Hombre	17	0	Sin clasificar
2009	02	Alto Gállego	65 y más	Hombre	7	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Hombre	15	3	Graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Hombre	9	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	65 y más	Mujer	22	0	Sin clasificar
2009	02	Alto Gállego	65 y más	Mujer	3	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Mujer	11	3	Graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Mujer	9	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	0-15	Hombre	10	0	Sin clasificar
2009	03	Sobrarbe	0-15	Hombre	3	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	0-15	Mujer	18	0	Sin clasificar
2009	03	Sobrarbe	0-15	Mujer	4	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	16-64	Hombre	25	0	Sin clasificar
2009	03	Sobrarbe	16-64	Hombre	4	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	16-64	Hombre	19	3	Graduado escolar o ESO
2009	03	Sobrarbe	16-64	Hombre	70	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	16-64	Mujer	24	0	Sin clasificar
2009	03	Sobrarbe	16-64	Mujer	5	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	16-64	Mujer	16	3	Graduado escolar o ESO
2009	03	Sobrarbe	16-64	Mujer	50	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	65 y más	Hombre	56	0	Sin clasificar
2009	03	Sobrarbe	65 y más	Hombre	12	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Hombre	29	3	Graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Hombre	14	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	65 y más	Mujer	66	0	Sin clasificar
2009	03	Sobrarbe	65 y más	Mujer	16	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Mujer	31	3	Graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Mujer	20	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	0-15	Hombre	10	0	Sin clasificar
2009	04	La Ribagorza	0-15	Hombre	4	1	No sabe leer ni escribir
2009	04	La Ribagorza	0-15	Hombre	2	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	0-15	Hombre	1	3	Graduado escolar o ESO
2009	04	La Ribagorza	0-15	Mujer	18	0	Sin clasificar
2009	04	La Ribagorza	0-15	Mujer	2	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	16-64	Hombre	49	0	Sin clasificar
2009	04	La Ribagorza	16-64	Hombre	4	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	16-64	Hombre	21	3	Graduado escolar o ESO
2009	04	La Ribagorza	16-64	Hombre	37	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	16-64	Mujer	42	0	Sin clasificar
2009	04	La Ribagorza	16-64	Mujer	4	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	16-64	Mujer	20	3	Graduado escolar o ESO
2009	04	La Ribagorza	16-64	Mujer	54	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	65 y más	Hombre	46	0	Sin clasificar
2009	04	La Ribagorza	65 y más	Hombre	16	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Hombre	21	3	Graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Hombre	10	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	65 y más	Mujer	44	0	Sin clasificar
2009	04	La Ribagorza	65 y más	Mujer	24	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Mujer	21	3	Graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Mujer	9	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	0-15	Hombre	33	0	Sin clasificar
2009	05	Cinco Villas	0-15	Hombre	1	1	No sabe leer ni escribir
2009	05	Cinco Villas	0-15	Hombre	8	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	0-15	Mujer	22	0	Sin clasificar
2009	05	Cinco Villas	0-15	Mujer	7	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	0-15	Mujer	2	3	Graduado escolar o ESO
2009	05	Cinco Villas	16-64	Hombre	51	0	Sin clasificar
2009	05	Cinco Villas	16-64	Hombre	7	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	16-64	Hombre	41	3	Graduado escolar o ESO
2009	05	Cinco Villas	16-64	Hombre	93	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	16-64	Mujer	66	0	Sin clasificar
2009	05	Cinco Villas	16-64	Mujer	9	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	16-64	Mujer	70	3	Graduado escolar o ESO
2009	05	Cinco Villas	16-64	Mujer	123	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	65 y más	Hombre	71	0	Sin clasificar
2009	05	Cinco Villas	65 y más	Hombre	13	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Hombre	43	3	Graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Hombre	39	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	65 y más	Mujer	71	0	Sin clasificar
2009	05	Cinco Villas	65 y más	Mujer	26	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Mujer	64	3	Graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Mujer	24	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	71	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	12	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	1	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	2	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	78	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	8	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	3	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	94	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	17	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	88	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	167	4	BUP, Bachiller, LOGSE ó superior
