Año	CCAA código	CCAA nombre	Saldo vegetativo	Tasa bruta de saldo vegetativo	Tasa bruta de natalidad	Tasa bruta de mortalidad	Tasa global de fecundidad	Tasa bruta de nupcialidad
2015	02	Aragón	-2987	-2,26	8,59	10,85	39,46	3,25
2014	02	Aragón	-2140	-1,61	8,73	10,35	39,59	3,18
2013	02	Aragón	-1691	-1,27	8,74	10,01	39,05	3,28
2012	02	Aragón	-1744	-1,3	8,94	10,24	39,41	3,52
2011	02	Aragón	-943	-0,7	9,38	10,08	40,95	3,21
2010	02	Aragón	-254	-0,19	9,63	9,82	41,58	3,34
2009	02	Aragón	-206	-0,15	9,72	9,87	41,52	3,55
2008	02	Aragón	277	0,21	10,23	10,03	43,38	3,81
2007	02	Aragón	-422	-0,32	9,82	10,14	41,43	4,08
2006	02	Aragón	-709	-0,55	9,57	10,12	40,29	4,35
2005	02	Aragón	-2054	-1,63	9,2	10,83	38,62	4,5
2004	02	Aragón	-1717	-1,38	9,21	10,59	38,57	4,73
2003	02	Aragón	-2696	-2,19	8,93	11,12	37,33	4,65
