Año	CCAA nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2019	Aragón	-3976	9644	3969	13620
2018	Aragón	-4123	9977	4159	14100
2017	Aragón	-3677	10531	4294	14208
2016	Aragón	-2552	10929	4425	13481
2015	Aragón	-2987	11352	4300	14339
2014	Aragón	-2140	11602	4221	13742
2013	Aragón	-1691	11662	4376	13353
2012	Aragón	-1744	11980	4716	13724
2011	Aragón	-943	12610	4315	13553
2010	Aragón	-254	12940	4493	13194
2009	Aragón	-206	13062	4768	13268
2008	Aragón	277	13675	5086	13398
2007	Aragón	-422	12858	5346	13280
2006	Aragón	-719	12270	5561	12989
2005	Aragón	-2055	11627	5691	13682
2004	Aragón	-1717	11458	5886	13175
2003	Aragón	-2696	10998	5722	13694
