Año	Provincia nombre	Municipio código	Municipio nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2019	Huesca	22001	Abiego	-3	2		5
2019	Huesca	22002	Abizanda	-1	1	2	2
2019	Huesca	22003	Adahuesca	0	1		1
2019	Huesca	22007	Albalate de Cinca	-9	8	4	17
2019	Huesca	22009	Albelda	-15	4	2	19
2019	Huesca	22011	Albero Alto	1	2		1
2019	Huesca	22013	Alberuela de Tubo	1	5	1	4
2019	Huesca	22015	Alcalá del Obispo	-1	2		3
2019	Huesca	22016	Alcampell	-18	2	2	20
2019	Huesca	22017	Alcolea de Cinca	-8	7	4	15
2019	Huesca	22018	Alcubierre	-1	3		4
2019	Huesca	22021	Almudévar	-14	18	10	32
2019	Huesca	22022	Almunia de San Juan	-5	3	2	8
2019	Huesca	22023	Almuniente	-3	2		5
2019	Huesca	22024	Alquézar	-1	1		2
2019	Huesca	22025	Altorricón	-10	9	3	19
2019	Huesca	22027	Angüés	-3	1		4
2019	Huesca	22035	Arén	-1	1		2
2019	Huesca	22036	Argavieso	0	1		1
2019	Huesca	22037	Arguis	-1	1	2	2
2019	Huesca	22039	Ayerbe	-8	5	3	13
2019	Huesca	22040	Azanuy-Alins	-2	1	1	3
2019	Huesca	22046	Ballobar	-1	8	1	9
2019	Huesca	22047	Banastás	1	1	1	
2019	Huesca	22048	Barbastro	-30	154	68	184
2019	Huesca	22052	Belver de Cinca	-16	5	3	21
2019	Huesca	22053	Benabarre	-19	10	1	29
2019	Huesca	22054	Benasque	2	13	10	11
2019	Huesca	22055	Berbegal	-6	1		7
2019	Huesca	22057	Bielsa	0	4		4
2019	Huesca	22058	Bierge	1	3		2
2019	Huesca	22059	Biescas	-6	8	4	14
2019	Huesca	22060	Binaced	-17	8		25
2019	Huesca	22061	Binéfar	-13	85	32	98
2019	Huesca	22063	Biscarrués	0	1		1
2019	Huesca	22066	Boltaña	-5	6	10	11
2019	Huesca	22069	Broto	-6	4		10
2019	Huesca	22072	Caldearenas	-1	2		3
2019	Huesca	22074	Campo	-2	3	1	5
2019	Huesca	22076	Canal de Berdún	-3	2		5
2019	Huesca	22077	Candasnos	-2	2		4
2019	Huesca	22078	Canfranc	-2	3	4	5
2019	Huesca	22079	Capdesaso	-3	1		4
2019	Huesca	22082	Castejón del Puente	-5	2		7
2019	Huesca	22083	Castejón de Monegros	-7	2		9
2019	Huesca	22084	Castejón de Sos	-7	5	4	12
2019	Huesca	22085	Castelflorite	1	1	1	
2019	Huesca	22089	Castillonroy	2	4		2
2019	Huesca	22096	Chimillas	-8	2		10
2019	Huesca	22099	Esplús	-11	1	1	12
2019	Huesca	22103	Estadilla	-10	4	2	14
2019	Huesca	22105	Estopiñán del Castillo	0	1		1
2019	Huesca	22109	Fiscal	0	1	4	1
2019	Huesca	22110	Fonz	-8	5		13
2019	Huesca	22112	Fraga	5	122	41	117
2019	Huesca	22113	Fueva (La)	-5	2	1	7
2019	Huesca	22114	Gistaín	-1	1		2
2019	Huesca	22115	Grado (El)	-7	1		8
2019	Huesca	22116	Grañén	-30	7	5	37
2019	Huesca	22117	Graus	-26	27	9	53
2019	Huesca	22119	Gurrea de Gállego	-16	4	2	20
2019	Huesca	22125	Huesca	-47	439	209	486
2019	Huesca	22126	Ibieca	0	1		1
2019	Huesca	22127	Igriés	-7	2	2	9
2019	Huesca	22130	Jaca	-4	112	51	116
2019	Huesca	22135	Laluenga	-6	1	1	7
2019	Huesca	22136	Lalueza	-11	1	2	12
2019	Huesca	22137	Lanaja	-21	4	2	25
2019	Huesca	22143	Laspaúles	-6	1		7
2019	Huesca	22149	Loarre	-5	1		6
2019	Huesca	22151	Loscorrales	0	1		1
2019	Huesca	22156	Monflorite-Lascasas	3	5	4	2
2019	Huesca	22158	Monzón	-33	136	62	169
2019	Huesca	22163	Nueno	5	5	2	
2019	Huesca	22165	Ontiñena	-6	2	1	8
2019	Huesca	22167	Osso de Cinca	-3	3	3	6
2019	Huesca	22170	Panticosa	5	10	6	5
2019	Huesca	22174	Peralta de Alcofea	-4	6		10
2019	Huesca	22175	Peralta de Calasanz	-1	1		2
2019	Huesca	22176	Peraltilla	-2	2		4
2019	Huesca	22182	Plan	0	1		1
2019	Huesca	22184	Poleñino	-1	1	2	2
2019	Huesca	22186	Pozán de Vero	0	2		2
2019	Huesca	22187	Puebla de Castro (La)	0	2	4	2
2019	Huesca	22189	Puértolas	-2	1		3
2019	Huesca	22193	Pueyo de Santa Cruz	1	3	2	2
2019	Huesca	22195	Quicena	-2	1		3
2019	Huesca	22197	Robres	-5	2		7
2019	Huesca	22199	Sabiñánigo	-45	52	16	97
2019	Huesca	22200	Sahún	2	4	2	2
2019	Huesca	22201	Salas Altas	1	2		1
2019	Huesca	22203	Salillas	0	1		1
2019	Huesca	22204	Sallent de Gállego	12	15	2	3
2019	Huesca	22205	San Esteban de Litera	-1	6	2	7
2019	Huesca	22209	Santa Cruz de la Serós	1	1	1	
2019	Huesca	22212	Santaliestra y San Quílez	-2	1		3
2019	Huesca	22213	Sariñena	-12	34	12	46
2019	Huesca	22214	Secastilla	-1	1	1	2
2019	Huesca	22215	Seira	0	1		1
2019	Huesca	22217	Sena	-1	4	2	5
2019	Huesca	22221	Sesué	-2	1		3
2019	Huesca	22222	Siétamo	-1	3	5	4
2019	Huesca	22225	Tamarite de Litera	-12	26	14	38
2019	Huesca	22226	Tardienta	-13	7	1	20
2019	Huesca	22227	Tella-Sin	-6	2	3	8
2019	Huesca	22228	Tierz	2	5	2	3
2019	Huesca	22230	Torla-Ordesa	0	4		4
2019	Huesca	22232	Torralba de Aragón	1	1		
2019	Huesca	22233	Torre la Ribera	0	2		2
2019	Huesca	22234	Torrente de Cinca	-8	2	5	10
2019	Huesca	22236	Torres de Barbués	-3	3	1	6
2019	Huesca	22239	Tramaced	-1	1		2
2019	Huesca	22245	Velilla de Cinca	-1	2	1	3
2019	Huesca	22248	Vicién	1	2		1
2019	Huesca	22249	Villanova	0	2		2
2019	Huesca	22250	Villanúa	0	2	3	2
2019	Huesca	22251	Villanueva de Sigena	0	2	2	2
2019	Huesca	22253	Yésero	0	1		1
2019	Huesca	22254	Zaidín	-2	12	1	14
2019	Huesca	22901	Valle de Hecho	-9	2	1	11
2019	Huesca	22902	Puente la Reina de Jaca	-2	3	1	5
2019	Huesca	22903	San Miguel del Cinca	-4	6		10
2019	Huesca	22904	Sotonera (La)	-17	1	1	18
2019	Huesca	22905	Lupiñén-Ortilla	-2	1	1	3
2019	Huesca	22907	Aínsa-Sobrarbe	-2	22	10	24
2019	Huesca	22909	Vencillón	0	1	1	1
2019	Teruel	44004	Aguaviva	1	6	2	5
2019	Teruel	44008	Albalate del Arzobispo	-21	10	7	31
2019	Teruel	44009	Albarracín	-6	6	3	12
2019	Teruel	44010	Albentosa	0	4	2	4
2019	Teruel	44012	Alcalá de la Selva	-9	1		10
2019	Teruel	44013	Alcañiz	-4	136	58	140
2019	Teruel	44014	Alcorisa	-10	28	7	38
2019	Teruel	44016	Alfambra	-7	3	1	10
2019	Teruel	44017	Aliaga	-1	1		2
2019	Teruel	44022	Alloza	-5	5	1	10
2019	Teruel	44024	Anadón	1	1		
2019	Teruel	44025	Andorra	-22	53	21	75
2019	Teruel	44026	Arcos de las Salinas	1	4		3
2019	Teruel	44028	Argente	-1	2		3
2019	Teruel	44029	Ariño	-6	4	1	10
2019	Teruel	44031	Azaila	-4	1		5
2019	Teruel	44033	Báguena	-4	1		5
2019	Teruel	44034	Bañón	0	1		1
2019	Teruel	44035	Barrachina	0	1		1
2019	Teruel	44037	Beceite	-4	3	1	7
2019	Teruel	44044	Bordón	0	1		1
2019	Teruel	44045	Bronchales	-3	3	1	6
2019	Teruel	44046	Bueña	1	1		
2019	Teruel	44047	Burbáguena	-12	1		13
2019	Teruel	44049	Calaceite	-17	5	1	22
2019	Teruel	44050	Calamocha	-11	31	10	42
2019	Teruel	44051	Calanda	-13	32	10	45
2019	Teruel	44053	Camañas	0	1		1
2019	Teruel	44054	Camarena de la Sierra	-1	1	1	2
2019	Teruel	44055	Camarillas	-4	1		5
2019	Teruel	44056	Caminreal	-8	6	5	14
2019	Teruel	44059	Cantavieja	-8	2	1	10
2019	Teruel	44060	Cañada de Benatanduz	-1	1		2
2019	Teruel	44063	Cañizar del Olivar	0	1		1
2019	Teruel	44066	Castel de Cabra	-3	1		4
2019	Teruel	44067	Castelnou	-1	4		5
2019	Teruel	44068	Castelserás	-7	4	2	11
2019	Teruel	44071	Castellote	-14	1	2	15
2019	Teruel	44074	Cedrillas	-5	4		9
2019	Teruel	44075	Celadas	-7	1		8
2019	Teruel	44076	Cella	-18	18	3	36
2019	Teruel	44080	Codoñera (La)	-6	1	1	7
2019	Teruel	44086	Cretas	-4	4		8
2019	Teruel	44093	Cuevas de Almudén	2	2		
2019	Teruel	44096	Ejulve	-3	1		4
2019	Teruel	44097	Escorihuela	-2	1		3
2019	Teruel	44099	Escucha	-11	3		14
2019	Teruel	44100	Estercuel	2	2		
2019	Teruel	44103	Formiche Alto	-1	1		2
2019	Teruel	44105	Fórnoles	0	1		1
2019	Teruel	44106	Fortanete	1	4		3
2019	Teruel	44107	Foz-Calanda	-1	2		3
2019	Teruel	44108	Fresneda (La)	-4	5		9
2019	Teruel	44112	Fuentes Claras	-9	3	1	12
2019	Teruel	44113	Fuentes de Rubielos	1	2	1	1
2019	Teruel	44114	Fuentespalda	-2	1		3
2019	Teruel	44117	Gea de Albarracín	-4	1		5
2019	Teruel	44118	Ginebrosa (La)	-3	3		6
2019	Teruel	44120	Guadalaviar				
2019	Teruel	44122	Híjar	-13	13	4	26
2019	Teruel	44126	Iglesuela del Cid (La)	2	5	1	3
2019	Teruel	44132	Lagueruela	-3	1		4
2019	Teruel	44137	Linares de Mora	-3	2		5
2019	Teruel	44141	Lledó	-2	2		4
2019	Teruel	44143	Manzanera	-3	4		7
2019	Teruel	44144	Martín del Río	-1	4		5
2019	Teruel	44145	Mas de las Matas	-20	6	1	26
2019	Teruel	44146	Mata de los Olmos (La)	2	3		1
2019	Teruel	44147	Mazaleón	-7	6	1	13
2019	Teruel	44148	Mezquita de Jarque	0	1		1
2019	Teruel	44151	Molinos	-1	3		4
2019	Teruel	44153	Monreal del Campo	-3	22	7	25
2019	Teruel	44154	Monroyo	-2	1	1	3
2019	Teruel	44155	Montalbán	-12	5	2	17
2019	Teruel	44158	Mora de Rubielos	-1	17	7	18
2019	Teruel	44160	Mosqueruela	-5	2		7
2019	Teruel	44161	Muniesa	-4	7		11
2019	Teruel	44165	Nogueruelas	-6	1	1	7
2019	Teruel	44169	Ojos Negros	-8	3		11
2019	Teruel	44171	Olba	-1	2		3
2019	Teruel	44172	Oliete	-7	2		9
2019	Teruel	44173	Olmos (Los)	0	1		1
2019	Teruel	44174	Orihuela del Tremedal	-3	1	2	4
2019	Teruel	44176	Palomar de Arroyos	-4	1		5
2019	Teruel	44179	Peñarroya de Tastavins	-1	4	1	5
2019	Teruel	44182	Perales del Alfambra	1	2		1
2019	Teruel	44185	Pobo (El)	-4	1		5
2019	Teruel	44187	Portellada (La)	-1	2		3
2019	Teruel	44191	Puebla de Híjar (La)	-5	6	3	11
2019	Teruel	44192	Puebla de Valverde (La)	0	4	1	4
2019	Teruel	44194	Ráfales	0	1		1
2019	Teruel	44201	Rubielos de Mora	-2	8	4	10
2019	Teruel	44205	Samper de Calanda	-19	1	2	20
2019	Teruel	44206	San Agustín	-3	1		4
2019	Teruel	44208	Santa Cruz de Nogueras	1	1		
2019	Teruel	44209	Santa Eulalia	-11	8		19
2019	Teruel	44210	Sarrión	3	13	5	10
2019	Teruel	44215	Terriente	-3	2		5
2019	Teruel	44216	Teruel	-43	312	149	355
2019	Teruel	44220	Torralba de los Sisones	-2	1		3
2019	Teruel	44221	Torrecilla de Alcañiz	-5	1	3	6
2019	Teruel	44222	Torrecilla del Rebollar	0	1		1
2019	Teruel	44223	Torre de Arcas	0	1		1
2019	Teruel	44226	Torrelacárcel	-2	1		3
2019	Teruel	44232	Torrijo del Campo	-8	1		9
2019	Teruel	44237	Urrea de Gaén	-4	2		6
2019	Teruel	44238	Utrillas	-7	19	11	26
2019	Teruel	44241	Valdealgorfa	-6	2		8
2019	Teruel	44243	Valdecuenca	0	1		1
2019	Teruel	44245	Valdeltormo	-2	4	1	6
2019	Teruel	44246	Valderrobres	-8	17	5	25
2019	Teruel	44251	Villafranca del Campo	-1	1	1	2
2019	Teruel	44261	Villarquemado	-4	5		9
2019	Teruel	44262	Villarroya de los Pinares	-7	2		9
2019	Teruel	44263	Villastar	-2	7		9
2019	Teruel	44264	Villel	-3	2		5
2019	Teruel	44265	Vinaceite	0	3		3
2019	Zaragoza	50004	Aguarón	-10	4	2	14
2019	Zaragoza	50006	Ainzón	-15	7	4	22
2019	Zaragoza	50008	Alagón	-30	31	34	61
2019	Zaragoza	50012	Alborge	-1	1		2
2019	Zaragoza	50013	Alcalá de Ebro	-3	1	2	4
2019	Zaragoza	50017	Alfajarín	-9	15	8	24
2019	Zaragoza	50018	Alfamén	-5	11	3	16
2019	Zaragoza	50020	Alhama de Aragón	-3	11	4	14
2019	Zaragoza	50022	Almolda (La)	-8	1	1	9
2019	Zaragoza	50023	Almonacid de la Cuba	-6	1		7
2019	Zaragoza	50024	Almonacid de la Sierra	-9	7		16
2019	Zaragoza	50025	Almunia de Doña Godina (La)	-14	75	13	89
2019	Zaragoza	50026	Alpartir	-7	3		10
2019	Zaragoza	50027	Ambel	-2	2	1	4
2019	Zaragoza	50029	Aniñón	-16	1	1	17
2019	Zaragoza	50034	Ariza	-16	9		25
2019	Zaragoza	50038	Ateca	-11	7	3	18
2019	Zaragoza	50039	Azuara	-10	2		12
2019	Zaragoza	50044	Bardallur	-1	2	1	3
2019	Zaragoza	50045	Belchite	-12	10	1	22
2019	Zaragoza	50051	Biota	-11	6	1	17
2019	Zaragoza	50053	Boquiñeni	-10	3		13
2019	Zaragoza	50055	Borja	-3	44	19	47
2019	Zaragoza	50056	Botorrita	-6	4	2	10
2019	Zaragoza	50057	Brea de Aragón	-15	2		17
2019	Zaragoza	50059	Bujaraloz	-14	3	2	17
2019	Zaragoza	50061	Bureta	-3	1	1	4
2019	Zaragoza	50062	Burgo de Ebro (El)	6	21	5	15
2019	Zaragoza	50064	Cabañas de Ebro	-5	1		6
2019	Zaragoza	50066	Cadrete	21	44	26	23
2019	Zaragoza	50067	Calatayud	-69	129	54	198
2019	Zaragoza	50068	Calatorao	-6	21	8	27
2019	Zaragoza	50073	Cariñena	-10	25	10	35
2019	Zaragoza	50074	Caspe	1	101	31	100
2019	Zaragoza	50076	Castejón de las Armas	0	1		1
2019	Zaragoza	50077	Castejón de Valdejasa	-5	1		6
2019	Zaragoza	50079	Cervera de la Cañada	-4	2		6
2019	Zaragoza	50080	Cerveruela	0	1		1
2019	Zaragoza	50081	Cetina	-4	1	2	5
2019	Zaragoza	50089	Cuarte de Huerva	107	131	64	24
2019	Zaragoza	50090	Cubel	-1	3		4
2019	Zaragoza	50092	Chiprana	-5	2		7
2019	Zaragoza	50094	Daroca	-26	8	5	34
2019	Zaragoza	50095	Ejea de los Caballeros	-6	130	49	136
2019	Zaragoza	50098	Encinacorba	-3	1		4
2019	Zaragoza	50099	Épila	3	49	11	46
2019	Zaragoza	50100	Erla	-4	2		6
2019	Zaragoza	50101	Escatrón	4	11	2	7
2019	Zaragoza	50102	Fabara	-4	9	3	13
2019	Zaragoza	50104	Farlete	-3	2		5
2019	Zaragoza	50105	Fayón	-4	1	2	5
2019	Zaragoza	50106	Fayos (Los)	0	1		1
2019	Zaragoza	50107	Figueruelas	-11	3	7	14
2019	Zaragoza	50110	Frasno (El)	-7	2		9
2019	Zaragoza	50113	Fuendejalón	1	7	1	6
2019	Zaragoza	50115	Fuentes de Ebro	6	31	15	25
2019	Zaragoza	50116	Fuentes de Jiloca	-3	1	1	4
2019	Zaragoza	50117	Gallocanta	-7	1		8
2019	Zaragoza	50118	Gallur	-24	11	4	35
2019	Zaragoza	50119	Gelsa	-12	5	1	17
2019	Zaragoza	50123	Grisén	-3	2	1	5
2019	Zaragoza	50125	Ibdes	-5	1		6
2019	Zaragoza	50126	Illueca	-25	10	5	35
2019	Zaragoza	50129	Jaraba	2	2	1	
2019	Zaragoza	50130	Jarque de Moncayo	-5	1		6
2019	Zaragoza	50131	Jaulín	-5	1		6
2019	Zaragoza	50132	Joyosa (La)	7	13	2	6
2019	Zaragoza	50134	Langa del Castillo	-2	1		3
2019	Zaragoza	50135	Layana	-1	1		2
2019	Zaragoza	50136	Lécera	-11	1	1	12
2019	Zaragoza	50137	Leciñena	-11	6	4	17
2019	Zaragoza	50139	Letux	-9	2		11
2019	Zaragoza	50140	Litago	-1	1	1	2
2019	Zaragoza	50143	Longares	-4	3	1	7
2019	Zaragoza	50147	Luceni	-9	5	5	14
2019	Zaragoza	50150	Lumpiaque	-5	4		9
2019	Zaragoza	50151	Luna	-11	5	2	16
2019	Zaragoza	50152	Maella	-24	12	6	36
2019	Zaragoza	50153	Magallón	-13	4	1	17
2019	Zaragoza	50156	Maleján	-3	1	1	4
2019	Zaragoza	50157	Malón	-1	5	3	6
2019	Zaragoza	50159	Maluenda	-7	5	1	12
2019	Zaragoza	50160	Mallén	-8	26	7	34
2019	Zaragoza	50162	Mara	-1	1		2
2019	Zaragoza	50163	María de Huerva	51	70	25	19
2019	Zaragoza	50164	Mediana de Aragón	-7	2		9
2019	Zaragoza	50165	Mequinenza	-23	11	12	34
2019	Zaragoza	50167	Mezalocha	-3	3	1	6
2019	Zaragoza	50169	Miedes de Aragón	-8	4		12
2019	Zaragoza	50170	Monegrillo	-8	4		12
2019	Zaragoza	50175	Morata de Jalón	-13	5	1	18
2019	Zaragoza	50176	Morata de Jiloca	-5	1	1	6
2019	Zaragoza	50177	Morés	-7	2	2	9
2019	Zaragoza	50180	Mozota	-1	1		2
2019	Zaragoza	50181	Muel	-3	15	4	18
2019	Zaragoza	50182	Muela (La)	29	55	29	26
2019	Zaragoza	50185	Murillo de Gállego	-3	1	1	4
2019	Zaragoza	50189	Nonaspe	-9	3	1	12
2019	Zaragoza	50190	Novallas	-7	6	2	13
2019	Zaragoza	50191	Novillas	-8	1	1	9
2019	Zaragoza	50193	Nuez de Ebro	-6	5	3	11
2019	Zaragoza	50196	Orera	-2	1		3
2019	Zaragoza	50200	Paniza	-8	3	2	11
2019	Zaragoza	50201	Paracuellos de Jiloca	-2	3	6	5
2019	Zaragoza	50203	Pastriz	-5	9	4	14
2019	Zaragoza	50204	Pedrola	-9	21	15	30
2019	Zaragoza	50205	Pedrosas (Las)	1	2		1
2019	Zaragoza	50206	Perdiguera	-4	4		8
2019	Zaragoza	50208	Pina de Ebro	3	18	9	15
2019	Zaragoza	50209	Pinseque	-5	36	15	41
2019	Zaragoza	50211	Plasencia de Jalón	-1	1		2
2019	Zaragoza	50212	Pleitas	1	1		
2019	Zaragoza	50216	Pozuelo de Aragón	-6	1		7
2019	Zaragoza	50217	Pradilla de Ebro	-13	2		15
2019	Zaragoza	50218	Puebla de Albortón	-1	1	1	2
2019	Zaragoza	50219	Puebla de Alfindén (La)	14	46	23	32
2019	Zaragoza	50222	Quinto	-10	18	8	28
2019	Zaragoza	50223	Remolinos	-12	3		15
2019	Zaragoza	50225	Ricla	11	31	12	20
2019	Zaragoza	50230	Sádaba	-15	4	5	19
2019	Zaragoza	50231	Salillas de Jalón	-1	5	3	6
2019	Zaragoza	50232	Salvatierra de Esca	-3	1		4
2019	Zaragoza	50234	San Martín de la Virgen de Moncayo	-3	2	1	5
