Sistema de suministro de agua, código	Sistema de suministro de agua	Viviendas con agua corriente	Número de viviendas	Municipio codigo	Municipio nombre
1	Agua corriente por abastecimiento público	101,6938250456	101,6938250456	22001	Abiego
1	Agua corriente por abastecimiento público	62,2068897152	62,2068897152	22002	Abizanda
1	Agua corriente por abastecimiento público	69,2086988625	69,2086988625	22003	Adahuesca
1	Agua corriente por abastecimiento público	69,2077723335	69,2077723335	22004	Agüero
1	Agua corriente por abastecimiento público	134,657325263	134,657325263	22006	Aísa
1	Agua corriente por abastecimiento público	443,1436837729	443,1436837729	22007	Albalate de Cinca
1	Agua corriente por abastecimiento público	87,1040904286	87,1040904286	22008	Albalatillo
1	Agua corriente por abastecimiento público	315,7406828671	315,7406828671	22009	Albelda
1	Agua corriente por abastecimiento público	52,9675502996	52,9675502996	22011	Albero Alto
1	Agua corriente por abastecimiento público	46,1713424381	46,1713424381	22012	Albero Bajo
1	Agua corriente por abastecimiento público	121,7053621644	121,7053621644	22013	Alberuela de Tubo
1	Agua corriente por abastecimiento público	138,9925584107	138,9925584107	22014	Alcalá de Gurrea
1	Agua corriente por abastecimiento público	136,7690129619	136,7690129619	22015	Alcalá del Obispo
1	Agua corriente por abastecimiento público	310,0032540996	310,0032540996	22016	Alcampell
1	Agua corriente por abastecimiento público	427,9219719244	427,9219719244	22017	Alcolea de Cinca
1	Agua corriente por abastecimiento público	173,852247431	173,852247431	22018	Alcubierre
1	Agua corriente por abastecimiento público	85,3863353816	85,3863353816	22019	Alerre
1	Agua corriente por abastecimiento público	60,7288494394	60,7288494394	22020	Alfántega
1	Agua corriente por abastecimiento público	927,4445675452	927,4445675452	22021	Almudévar
1	Agua corriente por abastecimiento público	266,4690299235	266,4690299235	22022	Almunia de San Juan
1	Agua corriente por abastecimiento público	216,5053523599	216,5053523599	22023	Almuniente
1	Agua corriente por abastecimiento público	137,0346926663	137,0346926663	22024	Alquézar
1	Agua corriente por abastecimiento público	527,9026783407	527,9026783407	22025	Altorricón
1	Agua corriente por abastecimiento público	143,2122465594	143,2122465594	22027	Angüés
1	Agua corriente por abastecimiento público	202,2316194242	202,2316194242	22028	Ansó
1	Agua corriente por abastecimiento público	47,2296911845	47,2296911845	22029	Antillón
1	Agua corriente por abastecimiento público	60,8083921042	60,8083921042	22032	Aragüés del Puerto
1	Agua corriente por abastecimiento público	131,4185463329	131,4185463329	22035	Arén
1	Agua corriente por abastecimiento público	43,8126634709	43,8126634709	22036	Argavieso
1	Agua corriente por abastecimiento público	58,0478891621	58,0478891621	22037	Arguis
1	Agua corriente por abastecimiento público	476,7146690308	476,7146690308	22039	Ayerbe
1	Agua corriente por abastecimiento público	76,4885028204	76,4885028204	22040	Azanuy-Alins
1	Agua corriente por abastecimiento público	70,4081212142	70,4081212142	22041	Azara
1	Agua corriente por abastecimiento público	52,3972209133	52,3972209133	22042	Azlor
1	Agua corriente por abastecimiento público	59,2094637907	59,2094637907	22043	Baells
1	Agua corriente por abastecimiento público	126,5187099272	126,5187099272	22044	Bailo
1	Agua corriente por abastecimiento público	47,2872118722	47,2872118722	22045	Baldellou
1	Agua corriente por abastecimiento público	347,1970715733	347,1970715733	22046	Ballobar
1	Agua corriente por abastecimiento público	99,9796792572	99,9796792572	22047	Banastás
1	Agua corriente por abastecimiento público	6819,8282828731	6819,8282828731	22048	Barbastro
1	Agua corriente por abastecimiento público	37,5143968832	37,5143968832	22049	Barbués
1	Agua corriente por abastecimiento público	36,0185428219	36,0185428219	22050	Barbuñales
1	Agua corriente por abastecimiento público	46,2300486658	46,2300486658	22051	Bárcabo
1	Agua corriente por abastecimiento público	488,7671751114	488,7671751114	22052	Belver de Cinca
1	Agua corriente por abastecimiento público	439,623536263	439,623536263	22053	Benabarre
1	Agua corriente por abastecimiento público	905,0453345302	905,0453345302	22054	Benasque
1	Agua corriente por abastecimiento público	166,6257725555	166,6257725555	22055	Berbegal
1	Agua corriente por abastecimiento público	190,1769748209	190,1769748209	22057	Bielsa
1	Agua corriente por abastecimiento público	105,6670759154	105,6670759154	22058	Bierge
1	Agua corriente por abastecimiento público	684,7194228671	684,7194228671	22059	Biescas
1	Agua corriente por abastecimiento público	538,5913099547	538,5913099547	22060	Binaced
1	Agua corriente por abastecimiento público	3531,1018315803	3531,1018315803	22061	Binéfar
1	Agua corriente por abastecimiento público	84,5375773824	84,5375773824	22062	Bisaurri
1	Agua corriente por abastecimiento público	92,4692324934	92,4692324934	22063	Biscarrués
1	Agua corriente por abastecimiento público	92,2630771113	92,2630771113	22064	Blecua y Torres
1	Agua corriente por abastecimiento público	407,8945868689	407,8945868689	22066	Boltaña
1	Agua corriente por abastecimiento público	36,4857247646	36,4857247646	22067	Bonansa
1	Agua corriente por abastecimiento público	42,1855050825	42,1855050825	22068	Borau
1	Agua corriente por abastecimiento público	192,8479496987	192,8479496987	22069	Broto
1	Agua corriente por abastecimiento público	92,3458254628	92,3458254628	22072	Caldearenas
1	Agua corriente por abastecimiento público	148,0324594876	148,0324594876	22074	Campo
1	Agua corriente por abastecimiento público	76,9180899252	76,9180899252	22075	Camporrells
1	Agua corriente por abastecimiento público	148,2174934186	148,2174934186	22076	Canal de Berdún
1	Agua corriente por abastecimiento público	171,9894655728	171,9894655728	22077	Candasnos
1	Agua corriente por abastecimiento público	303,0922635367	303,0922635367	22078	Canfranc
1	Agua corriente por abastecimiento público	72,9125892083	72,9125892083	22079	Capdesaso
1	Agua corriente por abastecimiento público	145,9786843807	145,9786843807	22080	Capella
1	Agua corriente por abastecimiento público	124,7550940328	124,7550940328	22081	Casbas de Huesca
1	Agua corriente por abastecimiento público	131,1392868575	131,1392868575	22082	Castejón del Puente
1	Agua corriente por abastecimiento público	252,036011673	252,036011673	22083	Castejón de Monegros
1	Agua corriente por abastecimiento público	291,9285981846	291,9285981846	22084	Castejón de Sos
1	Agua corriente por abastecimiento público	51,3948451618	51,3948451618	22085	Castelflorite
1	Agua corriente por abastecimiento público	105,4487686508	105,4487686508	22086	Castiello de Jaca
1	Agua corriente por abastecimiento público	28,2927598404	28,2927598404	22087	Castigaleu
1	Agua corriente por abastecimiento público	85,8308660508	85,8308660508	22088	Castillazuelo
1	Agua corriente por abastecimiento público	143,4764407087	143,4764407087	22089	Castillonroy
1	Agua corriente por abastecimiento público	66,8424113057	66,8424113057	22090	Colungo
1	Agua corriente por abastecimiento público	40,6469280127	40,6469280127	22094	Chalamera
1	Agua corriente por abastecimiento público	41,9919598307	41,9919598307	22095	Chía
1	Agua corriente por abastecimiento público	135,614844544	135,614844544	22096	Chimillas
1	Agua corriente por abastecimiento público	242,9090138015	242,9090138015	22099	Esplús
1	Agua corriente por abastecimiento público	92,7496782699	92,7496782699	22102	Estada
1	Agua corriente por abastecimiento público	311,8170408303	311,8170408303	22103	Estadilla
1	Agua corriente por abastecimiento público	64,1436203269	64,1436203269	22105	Estopiñán del Castillo
1	Agua corriente por abastecimiento público	11,9309298316	11,9309298316	22106	Fago
1	Agua corriente por abastecimiento público	63,7775317014	63,7775317014	22107	Fanlo
1	Agua corriente por abastecimiento público	116,7218459418	116,7218459418	22109	Fiscal
1	Agua corriente por abastecimiento público	398,3091774257	398,3091774257	22110	Fonz
1	Agua corriente por abastecimiento público	66,874155982	66,874155982	22111	Foradada del Toscar
1	Agua corriente por abastecimiento público	5078,499925171	5078,499925171	22112	Fraga
1	Agua corriente por abastecimiento público	197,6396215057	197,6396215057	22113	Fueva (La)
1	Agua corriente por abastecimiento público	67,7821261435	67,7821261435	22114	Gistaín
1	Agua corriente por abastecimiento público	161,5357810182	161,5357810182	22115	Grado (El)
1	Agua corriente por abastecimiento público	720,2779992722	720,2779992722	22116	Grañén
1	Agua corriente por abastecimiento público	1390,7861152733	1390,7861152733	22117	Graus
1	Agua corriente por abastecimiento público	687,7635599929	687,7635599929	22119	Gurrea de Gállego
1	Agua corriente por abastecimiento público	25,6104588596	25,6104588596	22122	Hoz de Jaca
1	Agua corriente por abastecimiento público	94,1241239271	94,1241239271	22124	Huerto
1	Agua corriente por abastecimiento público	20495,4333825063	20495,4333825063	22125	Huesca
1	Agua corriente por abastecimiento público	47,5505487432	47,5505487432	22126	Ibieca
1	Agua corriente por abastecimiento público	232,4723131217	232,4723131217	22127	Igriés
1	Agua corriente por abastecimiento público	79,5457010453	79,5457010453	22128	Ilche
1	Agua corriente por abastecimiento público	96,9432168133	96,9432168133	22129	Isábena
1	Agua corriente por abastecimiento público	5185,0092888427	5185,0092888427	22130	Jaca
1	Agua corriente por abastecimiento público	56,2577007716	56,2577007716	22131	Jasa
1	Agua corriente por abastecimiento público	59,2794906486	59,2794906486	22133	Labuerda
1	Agua corriente por abastecimiento público	85,0980598379	85,0980598379	22135	Laluenga
1	Agua corriente por abastecimiento público	443,024459318	443,024459318	22136	Lalueza
1	Agua corriente por abastecimiento público	527,2123696705	527,2123696705	22137	Lanaja
1	Agua corriente por abastecimiento público	35,7522180113	35,7522180113	22139	Laperdiguera
1	Agua corriente por abastecimiento público	60,0662478015	60,0662478015	22141	Lascellas-Ponzano
1	Agua corriente por abastecimiento público	50,7710238084	50,7710238084	22142	Lascuarre
1	Agua corriente por abastecimiento público	151,0392281687	151,0392281687	22143	Laspaúles
1	Agua corriente por abastecimiento público	120,9118282653	120,9118282653	22144	Laspuña
1	Agua corriente por abastecimiento público	156,6058168106	156,6058168106	22149	Loarre
1	Agua corriente por abastecimiento público	237,1206297972	237,1206297972	22150	Loporzano
1	Agua corriente por abastecimiento público	40,2333081197	40,2333081197	22151	Loscorrales
1	Agua corriente por abastecimiento público	17,4021779576	17,4021779576	22155	Monesma y Cajigar
1	Agua corriente por abastecimiento público	119,5722163761	119,5722163761	22156	Monflorite-Lascasas
1	Agua corriente por abastecimiento público	106,2316923842	106,2316923842	22157	Montanuy
1	Agua corriente por abastecimiento público	6472,826500807	6472,826500807	22158	Monzón
1	Agua corriente por abastecimiento público	89,6456598788	89,6456598788	22160	Naval
1	Agua corriente por abastecimiento público	62,9908961464	62,9908961464	22162	Novales
1	Agua corriente por abastecimiento público	216,5649561382	216,5649561382	22163	Nueno
1	Agua corriente por abastecimiento público	23,2264448482	23,2264448482	22164	Olvena
1	Agua corriente por abastecimiento público	205,009883981	205,009883981	22165	Ontiñena
1	Agua corriente por abastecimiento público	264,2911788132	264,2911788132	22167	Osso de Cinca
1	Agua corriente por abastecimiento público	17,7119245049	17,7119245049	22168	Palo
1	Agua corriente por abastecimiento público	317,6646310191	317,6646310191	22170	Panticosa
1	Agua corriente por abastecimiento público	255,4248676866	255,4248676866	22172	Peñalba
1	Agua corriente por abastecimiento público	110,982877786	110,982877786	22173	Peñas de Riglos (Las)
1	Agua corriente por abastecimiento público	235,4253551637	235,4253551637	22174	Peralta de Alcofea
1	Agua corriente por abastecimiento público	121,1888424823	121,1888424823	22175	Peralta de Calasanz
1	Agua corriente por abastecimiento público	76,0907385073	76,0907385073	22176	Peraltilla
1	Agua corriente por abastecimiento público	36,3857841819	36,3857841819	22177	Perarrúa
1	Agua corriente por abastecimiento público	42,9628822307	42,9628822307	22178	Pertusa
1	Agua corriente por abastecimiento público	41,9971179369	41,9971179369	22181	Piracés
1	Agua corriente por abastecimiento público	127,0219760061	127,0219760061	22182	Plan
1	Agua corriente por abastecimiento público	81,054236474	81,054236474	22184	Poleñino
1	Agua corriente por abastecimiento público	99,9809919859	99,9809919859	22186	Pozán de Vero
1	Agua corriente por abastecimiento público	168,8452190068	168,8452190068	22187	Puebla de Castro (La)
1	Agua corriente por abastecimiento público	49,0826742013	49,0826742013	22188	Puente de Montañana
1	Agua corriente por abastecimiento público	90,6663140575	90,6663140575	22189	Puértolas
1	Agua corriente por abastecimiento público	55,6809501682	55,6809501682	22190	Pueyo de Araguás (El)
1	Agua corriente por abastecimiento público	144,3632434935	144,3632434935	22193	Pueyo de Santa Cruz
1	Agua corriente por abastecimiento público	99,231991192	99,231991192	22195	Quicena
1	Agua corriente por abastecimiento público	233,2901089583	233,2901089583	22197	Robres
1	Agua corriente por abastecimiento público	3996,9077992677	3996,9077992677	22199	Sabiñánigo
1	Agua corriente por abastecimiento público	123,8115497445	123,8115497445	22200	Sahún
1	Agua corriente por abastecimiento público	125,0109186946	125,0109186946	22201	Salas Altas
1	Agua corriente por abastecimiento público	63,0144651412	63,0144651412	22202	Salas Bajas
1	Agua corriente por abastecimiento público	43,6019788003	43,6019788003	22203	Salillas
1	Agua corriente por abastecimiento público	583,4516499176	583,4516499176	22204	Sallent de Gállego
1	Agua corriente por abastecimiento público	210,069562462	210,069562462	22205	San Esteban de Litera
1	Agua corriente por abastecimiento público	101,1306269736	101,1306269736	22206	Sangarrén
1	Agua corriente por abastecimiento público	58,0075265935	58,0075265935	22207	San Juan de Plan
1	Agua corriente por abastecimiento público	81,0305757561	81,0305757561	22208	Santa Cilia
1	Agua corriente por abastecimiento público	64,7230732208	64,7230732208	22209	Santa Cruz de la Serós
1	Agua corriente por abastecimiento público	37,7495275731	37,7495275731	22212	Santaliestra y San Quílez
1	Agua corriente por abastecimiento público	1572,2676078938	1572,2676078938	22213	Sariñena
1	Agua corriente por abastecimiento público	48,6432534107	48,6432534107	22214	Secastilla
1	Agua corriente por abastecimiento público	78,8977030001	78,8977030001	22215	Seira
1	Agua corriente por abastecimiento público	208,310632495	208,310632495	22217	Sena
1	Agua corriente por abastecimiento público	22,0597407272	22,0597407272	22218	Senés de Alcubierre
1	Agua corriente por abastecimiento público	87,6548076297	87,6548076297	22220	Sesa
1	Agua corriente por abastecimiento público	53,1851988125	53,1851988125	22221	Sesué
1	Agua corriente por abastecimiento público	256,7902580134	256,7902580134	22222	Siétamo
1	Agua corriente por abastecimiento público	47,0015398751	47,0015398751	22223	Sopeira
1	Agua corriente por abastecimiento público	1330,7311197628	1330,7311197628	22225	Tamarite de Litera
1	Agua corriente por abastecimiento público	419,6341730561	419,6341730561	22226	Tardienta
1	Agua corriente por abastecimiento público	111,8272970466	111,8272970466	22227	Tella-Sin
1	Agua corriente por abastecimiento público	252,6579502026	252,6579502026	22228	Tierz
1	Agua corriente por abastecimiento público	66,8127607279	66,8127607279	22229	Tolva
1	Agua corriente por abastecimiento público	118,8562169456	118,8562169456	22230	Torla
1	Agua corriente por abastecimiento público	45,6445234039	45,6445234039	22232	Torralba de Aragón
1	Agua corriente por abastecimiento público	33,2091732953	33,2091732953	22233	Torre la Ribera
1	Agua corriente por abastecimiento público	439,1812084638	439,1812084638	22234	Torrente de Cinca
1	Agua corriente por abastecimiento público	40,419337807	40,419337807	22235	Torres de Alcanadre
1	Agua corriente por abastecimiento público	122,2556794664	122,2556794664	22236	Torres de Barbués
1	Agua corriente por abastecimiento público	31,7743878011	31,7743878011	22239	Tramaced
1	Agua corriente por abastecimiento público	30,2624370143	30,2624370143	22242	Valfarta
1	Agua corriente por abastecimiento público	13,5410074824	13,5410074824	22243	Valle de Bardají
1	Agua corriente por abastecimiento público	22,1758461587	22,1758461587	22244	Valle de Lierp
1	Agua corriente por abastecimiento público	157,0589539085	157,0589539085	22245	Velilla de Cinca
1	Agua corriente por abastecimiento público	42,2415835428	42,2415835428	22246	Beranuy
1	Agua corriente por abastecimiento público	21,3445539914	21,3445539914	22247	Viacamp y Litera
1	Agua corriente por abastecimiento público	49,902147855	49,902147855	22248	Vicién
1	Agua corriente por abastecimiento público	59,8751522075	59,8751522075	22249	Villanova
1	Agua corriente por abastecimiento público	223,9655887048	223,9655887048	22250	Villanúa
1	Agua corriente por abastecimiento público	155,0154462564	155,0154462564	22251	Villanueva de Sigena
1	Agua corriente por abastecimiento público	62,9505117324	62,9505117324	22252	Yebra de Basa
1	Agua corriente por abastecimiento público	30,3415876193	30,3415876193	22253	Yésero
1	Agua corriente por abastecimiento público	602,228553033	602,228553033	22254	Zaidín
1	Agua corriente por abastecimiento público	351,5799456469	351,5799456469	22901	Valle de Hecho
1	Agua corriente por abastecimiento público	111,7667675825	111,7667675825	22902	Puente la Reina de Jaca
1	Agua corriente por abastecimiento público	322,2559925752	322,2559925752	22903	San Miguel del Cinca
1	Agua corriente por abastecimiento público	413,5007057269	413,5007057269	22904	Sotonera (La)
1	Agua corriente por abastecimiento público	141,637524311	141,637524311	22905	Lupiñén-Ortilla
1	Agua corriente por abastecimiento público	77,3754182533	77,3754182533	22906	Santa María de Dulcis
1	Agua corriente por abastecimiento público	853,0945307159	853,0945307159	22907	Aínsa-Sobrarbe
1	Agua corriente por abastecimiento público	80,7097999589	80,7097999589	22908	Hoz y Costeán
1	Agua corriente por abastecimiento público	168,6349501867	168,6349501867	22909	Vencillón
1	Agua corriente por abastecimiento público	25,2463438057	25,2463438057	44001	Ababuj
1	Agua corriente por abastecimiento público	31,4623165993	31,4623165993	44002	Abejuela
1	Agua corriente por abastecimiento público	6,7243949131	6,7243949131	44003	Aguatón
1	Agua corriente por abastecimiento público	255,9451525721	255,9451525721	44004	Aguaviva
1	Agua corriente por abastecimiento público	31,0468010225	31,0468010225	44005	Aguilar del Alfambra
1	Agua corriente por abastecimiento público	141,1729043959	141,1729043959	44006	Alacón
1	Agua corriente por abastecimiento público	102,05266293	102,05266293	44007	Alba
1	Agua corriente por abastecimiento público	817,7126967109	817,7126967109	44008	Albalate del Arzobispo
1	Agua corriente por abastecimiento público	395,3670012215	395,3670012215	44009	Albarracín
1	Agua corriente por abastecimiento público	110,9808834574	110,9808834574	44010	Albentosa
1	Agua corriente por abastecimiento público	34,2477684721	34,2477684721	44011	Alcaine
1	Agua corriente por abastecimiento público	184,5635068508	184,5635068508	44012	Alcalá de la Selva
1	Agua corriente por abastecimiento público	6390,0144728483	6390,0144728483	44013	Alcañiz
1	Agua corriente por abastecimiento público	1248,5712032263	1248,5712032263	44014	Alcorisa
1	Agua corriente por abastecimiento público	251,5492748014	251,5492748014	44016	Alfambra
1	Agua corriente por abastecimiento público	160,1705945924	160,1705945924	44017	Aliaga
1	Agua corriente por abastecimiento público	14,5	14,5	44018	Almohaja
1	Agua corriente por abastecimiento público	32,0552167092	32,0552167092	44019	Alobras
1	Agua corriente por abastecimiento público	9,8407614088	9,8407614088	44020	Alpeñés
1	Agua corriente por abastecimiento público	46,5144115538	46,5144115538	44021	Allepuz
1	Agua corriente por abastecimiento público	301,1659723297	301,1659723297	44022	Alloza
1	Agua corriente por abastecimiento público	10,2194228903	10,2194228903	44023	Allueva
1	Agua corriente por abastecimiento público	11,9569053928	11,9569053928	44024	Anadón
1	Agua corriente por abastecimiento público	3089,0556348235	3089,0556348235	44025	Andorra
1	Agua corriente por abastecimiento público	47,8687899453	47,8687899453	44026	Arcos de las Salinas
1	Agua corriente por abastecimiento público	71,7212649626	71,7212649626	44027	Arens de Lledó
1	Agua corriente por abastecimiento público	83,2930629398	83,2930629398	44028	Argente
1	Agua corriente por abastecimiento público	350,9576819766	350,9576819766	44029	Ariño
1	Agua corriente por abastecimiento público	70,3396784842	70,3396784842	44031	Azaila
1	Agua corriente por abastecimiento público	10,6079178472	10,6079178472	44032	Bádenas
1	Agua corriente por abastecimiento público	159,1733822794	159,1733822794	44033	Báguena
1	Agua corriente por abastecimiento público	71,7334270683	71,7334270683	44034	Bañón
1	Agua corriente por abastecimiento público	64,2254784412	64,2254784412	44035	Barrachina
1	Agua corriente por abastecimiento público	16,5139798845	16,5139798845	44036	Bea
1	Agua corriente por abastecimiento público	217,7276941454	217,7276941454	44037	Beceite
1	Agua corriente por abastecimiento público	65,0547348242	65,0547348242	44038	Belmonte de San José
1	Agua corriente por abastecimiento público	123,1613563165	123,1613563165	44039	Bello
1	Agua corriente por abastecimiento público	114,3499699533	114,3499699533	44040	Berge
1	Agua corriente por abastecimiento público	38,7074701039	38,7074701039	44041	Bezas
1	Agua corriente por abastecimiento público	71,8848426355	71,8848426355	44042	Blancas
1	Agua corriente por abastecimiento público	69,6301782749	69,6301782749	44043	Blesa
1	Agua corriente por abastecimiento público	52,8365284229	52,8365284229	44044	Bordón
1	Agua corriente por abastecimiento público	232,2310937159	232,2310937159	44045	Bronchales
1	Agua corriente por abastecimiento público	36,1705547281	36,1705547281	44046	Bueña
1	Agua corriente por abastecimiento público	89,7792403733	89,7792403733	44047	Burbáguena
1	Agua corriente por abastecimiento público	25,8581955038	25,8581955038	44048	Cabra de Mora
1	Agua corriente por abastecimiento público	434,1212339526	434,1212339526	44049	Calaceite
1	Agua corriente por abastecimiento público	1775,9097197175	1775,9097197175	44050	Calamocha
1	Agua corriente por abastecimiento público	1387,6973939215	1387,6973939215	44051	Calanda
1	Agua corriente por abastecimiento público	45,5480803434	45,5480803434	44052	Calomarde
1	Agua corriente por abastecimiento público	56,5445792917	56,5445792917	44053	Camañas
1	Agua corriente por abastecimiento público	61,0511620175	61,0511620175	44054	Camarena de la Sierra
1	Agua corriente por abastecimiento público	48,673379192	48,673379192	44055	Camarillas
1	Agua corriente por abastecimiento público	295,7365037443	295,7365037443	44056	Caminreal
1	Agua corriente por abastecimiento público	259,8683897444	259,8683897444	44059	Cantavieja
1	Agua corriente por abastecimiento público	15,6343821016	15,6343821016	44060	Cañada de Benatanduz
1	Agua corriente por abastecimiento público	43,4861940831	43,4861940831	44061	Cañada de Verich (La)
1	Agua corriente por abastecimiento público	19,2312194549	19,2312194549	44062	Cañada Vellida
1	Agua corriente por abastecimiento público	34,266543306	34,266543306	44063	Cañizar del Olivar
1	Agua corriente por abastecimiento público	41,5999668276	41,5999668276	44064	Cascante del Río
1	Agua corriente por abastecimiento público	28,0374483141	28,0374483141	44065	Castejón de Tornos
1	Agua corriente por abastecimiento público	50,0503397016	50,0503397016	44066	Castel de Cabra
1	Agua corriente por abastecimiento público	69,9905182446	69,9905182446	44067	Castelnou
1	Agua corriente por abastecimiento público	301,3324358336	301,3324358336	44068	Castelserás
1	Agua corriente por abastecimiento público	23,9005947973	23,9005947973	44070	Castellar (El)
1	Agua corriente por abastecimiento público	330,2598635379	330,2598635379	44071	Castellote
1	Agua corriente por abastecimiento público	206,7286492224	206,7286492224	44074	Cedrillas
1	Agua corriente por abastecimiento público	138,408786881	138,408786881	44075	Celadas
1	Agua corriente por abastecimiento público	1125,2579373012	1125,2579373012	44076	Cella
1	Agua corriente por abastecimiento público	42,5353276656	42,5353276656	44077	Cerollera (La)
1	Agua corriente por abastecimiento público	154,7036495089	154,7036495089	44080	Codoñera (La)
1	Agua corriente por abastecimiento público	45,2468857594	45,2468857594	44082	Corbalán
1	Agua corriente por abastecimiento público	31,717301941	31,717301941	44084	Cortes de Aragón
1	Agua corriente por abastecimiento público	27,1668113888	27,1668113888	44085	Cosa
1	Agua corriente por abastecimiento público	218,7525556536	218,7525556536	44086	Cretas
1	Agua corriente por abastecimiento público	34,1946977255	34,1946977255	44087	Crivillén
1	Agua corriente por abastecimiento público	20,2387213722	20,2387213722	44088	Cuba (La)
1	Agua corriente por abastecimiento público	29,5320679415	29,5320679415	44089	Cubla
1	Agua corriente por abastecimiento público	48,4964268988	48,4964268988	44090	Cucalón
1	Agua corriente por abastecimiento público	44,5023485154	44,5023485154	44092	Cuervo (El)
1	Agua corriente por abastecimiento público	50,124604916	50,124604916	44093	Cuevas de Almudén
1	Agua corriente por abastecimiento público	52,2039758325	52,2039758325	44094	Cuevas Labradas
1	Agua corriente por abastecimiento público	81,9391173843	81,9391173843	44096	Ejulve
1	Agua corriente por abastecimiento público	83,0467448222	83,0467448222	44097	Escorihuela
1	Agua corriente por abastecimiento público	341,3862597028	341,3862597028	44099	Escucha
1	Agua corriente por abastecimiento público	91,2713329355	91,2713329355	44100	Estercuel
1	Agua corriente por abastecimiento público	33,5531151145	33,5531151145	44101	Ferreruela de Huerva
1	Agua corriente por abastecimiento público	13,615000617	13,615000617	44102	Fonfría
1	Agua corriente por abastecimiento público	63,4909113741	63,4909113741	44103	Formiche Alto
1	Agua corriente por abastecimiento público	49,1016008547	49,1016008547	44105	Fórnoles
1	Agua corriente por abastecimiento público	95,9291996685	95,9291996685	44106	Fortanete
1	Agua corriente por abastecimiento público	120,6885998061	120,6885998061	44107	Foz-Calanda
1	Agua corriente por abastecimiento público	204,7190530449	204,7190530449	44108	Fresneda (La)
1	Agua corriente por abastecimiento público	55,7229439842	55,7229439842	44109	Frías de Albarracín
1	Agua corriente por abastecimiento público	27,0596793593	27,0596793593	44110	Fuenferrada
1	Agua corriente por abastecimiento público	44,6039088465	44,6039088465	44111	Fuentes Calientes
1	Agua corriente por abastecimiento público	254,3172958868	254,3172958868	44112	Fuentes Claras
