Municipio código	Municipio nombre	Contaminación	Ruidos exteriores	Número hogares
22001	Abiego	Con contaminación o malos olores	Con ruidos exteriores	2
22001	Abiego	Con contaminación o malos olores	Sin ruidos exteriores	1
22001	Abiego	Sin contaminación o malos olores	Con ruidos exteriores	7
22001	Abiego	Sin contaminación o malos olores	Sin ruidos exteriores	94
22002	Abizanda	Sin contaminación o malos olores	Sin ruidos exteriores	46
22003	Adahuesca	Con contaminación o malos olores	Con ruidos exteriores	1
22003	Adahuesca	Sin contaminación o malos olores	Con ruidos exteriores	2
22003	Adahuesca	Sin contaminación o malos olores	Sin ruidos exteriores	64
22004	Agüero	Con contaminación o malos olores	Sin ruidos exteriores	3
22004	Agüero	Sin contaminación o malos olores	Sin ruidos exteriores	69
22006	Aísa	Con contaminación o malos olores	Con ruidos exteriores	1
22006	Aísa	Con contaminación o malos olores	Sin ruidos exteriores	2
22006	Aísa	Sin contaminación o malos olores	Con ruidos exteriores	4
22006	Aísa	Sin contaminación o malos olores	Sin ruidos exteriores	142
22007	Albalate de Cinca	Con contaminación o malos olores	Con ruidos exteriores	52
22007	Albalate de Cinca	Con contaminación o malos olores	Sin ruidos exteriores	52
22007	Albalate de Cinca	Sin contaminación o malos olores	Con ruidos exteriores	90
22007	Albalate de Cinca	Sin contaminación o malos olores	Sin ruidos exteriores	204
22008	Albalatillo	Sin contaminación o malos olores	Sin ruidos exteriores	101
22009	Albelda	Con contaminación o malos olores	Con ruidos exteriores	28
22009	Albelda	Con contaminación o malos olores	Sin ruidos exteriores	67
22009	Albelda	Sin contaminación o malos olores	Con ruidos exteriores	11
22009	Albelda	Sin contaminación o malos olores	Sin ruidos exteriores	221
22011	Albero Alto	Con contaminación o malos olores	Sin ruidos exteriores	1
22011	Albero Alto	Sin contaminación o malos olores	Sin ruidos exteriores	36
22012	Albero Bajo	Con contaminación o malos olores	Con ruidos exteriores	1
22012	Albero Bajo	Con contaminación o malos olores	Sin ruidos exteriores	2
22012	Albero Bajo	Sin contaminación o malos olores	Con ruidos exteriores	3
22012	Albero Bajo	Sin contaminación o malos olores	Sin ruidos exteriores	34
22013	Alberuela de Tubo	Sin contaminación o malos olores	Sin ruidos exteriores	113
22014	Alcalá de Gurrea	Con contaminación o malos olores	Con ruidos exteriores	2
22014	Alcalá de Gurrea	Con contaminación o malos olores	Sin ruidos exteriores	16
22014	Alcalá de Gurrea	Sin contaminación o malos olores	Con ruidos exteriores	3
22014	Alcalá de Gurrea	Sin contaminación o malos olores	Sin ruidos exteriores	111
22015	Alcalá del Obispo	Con contaminación o malos olores	Con ruidos exteriores	2
22015	Alcalá del Obispo	Con contaminación o malos olores	Sin ruidos exteriores	26
22015	Alcalá del Obispo	Sin contaminación o malos olores	Con ruidos exteriores	3
22015	Alcalá del Obispo	Sin contaminación o malos olores	Sin ruidos exteriores	114
22016	Alcampell	Con contaminación o malos olores	Con ruidos exteriores	13
22016	Alcampell	Con contaminación o malos olores	Sin ruidos exteriores	17
22016	Alcampell	Sin contaminación o malos olores	Con ruidos exteriores	19
22016	Alcampell	Sin contaminación o malos olores	Sin ruidos exteriores	281
22017	Alcolea de Cinca	Con contaminación o malos olores	Con ruidos exteriores	27
22017	Alcolea de Cinca	Con contaminación o malos olores	Sin ruidos exteriores	57
22017	Alcolea de Cinca	Sin contaminación o malos olores	Con ruidos exteriores	18
22017	Alcolea de Cinca	Sin contaminación o malos olores	Sin ruidos exteriores	311
22018	Alcubierre	Con contaminación o malos olores	Con ruidos exteriores	7
22018	Alcubierre	Con contaminación o malos olores	Sin ruidos exteriores	13
22018	Alcubierre	Sin contaminación o malos olores	Con ruidos exteriores	7
22018	Alcubierre	Sin contaminación o malos olores	Sin ruidos exteriores	147
22019	Alerre	Con contaminación o malos olores	Sin ruidos exteriores	3
22019	Alerre	Sin contaminación o malos olores	Con ruidos exteriores	4
22019	Alerre	Sin contaminación o malos olores	Sin ruidos exteriores	59
22020	Alfántega	Con contaminación o malos olores	Con ruidos exteriores	3
22020	Alfántega	Con contaminación o malos olores	Sin ruidos exteriores	7
22020	Alfántega	Sin contaminación o malos olores	Con ruidos exteriores	4
22020	Alfántega	Sin contaminación o malos olores	Sin ruidos exteriores	27
22021	Almudévar	Con contaminación o malos olores	Con ruidos exteriores	16
22021	Almudévar	Con contaminación o malos olores	Sin ruidos exteriores	66
22021	Almudévar	Sin contaminación o malos olores	Con ruidos exteriores	67
22021	Almudévar	Sin contaminación o malos olores	Sin ruidos exteriores	671
22022	Almunia de San Juan	Con contaminación o malos olores	Con ruidos exteriores	8
22022	Almunia de San Juan	Con contaminación o malos olores	Sin ruidos exteriores	25
22022	Almunia de San Juan	Sin contaminación o malos olores	Con ruidos exteriores	20
22022	Almunia de San Juan	Sin contaminación o malos olores	Sin ruidos exteriores	184
22023	Almuniente	Con contaminación o malos olores	Con ruidos exteriores	2
22023	Almuniente	Con contaminación o malos olores	Sin ruidos exteriores	23
22023	Almuniente	Sin contaminación o malos olores	Con ruidos exteriores	6
22023	Almuniente	Sin contaminación o malos olores	Sin ruidos exteriores	173
22024	Alquézar	Con contaminación o malos olores	Con ruidos exteriores	1
22024	Alquézar	Con contaminación o malos olores	Sin ruidos exteriores	1
22024	Alquézar	Sin contaminación o malos olores	Con ruidos exteriores	7
22024	Alquézar	Sin contaminación o malos olores	Sin ruidos exteriores	109
22025	Altorricón	Con contaminación o malos olores	Con ruidos exteriores	27
22025	Altorricón	Con contaminación o malos olores	Sin ruidos exteriores	34
22025	Altorricón	Sin contaminación o malos olores	Con ruidos exteriores	35
22025	Altorricón	Sin contaminación o malos olores	Sin ruidos exteriores	402
22027	Angüés	Con contaminación o malos olores	Con ruidos exteriores	24
22027	Angüés	Con contaminación o malos olores	Sin ruidos exteriores	4
22027	Angüés	Sin contaminación o malos olores	Con ruidos exteriores	5
22027	Angüés	Sin contaminación o malos olores	Sin ruidos exteriores	139
22028	Ansó	Con contaminación o malos olores	Con ruidos exteriores	2
22028	Ansó	Con contaminación o malos olores	Sin ruidos exteriores	5
22028	Ansó	Sin contaminación o malos olores	Con ruidos exteriores	5
22028	Ansó	Sin contaminación o malos olores	Sin ruidos exteriores	192
22029	Antillón	Sin contaminación o malos olores	Sin ruidos exteriores	48
22032	Aragüés del Puerto	Con contaminación o malos olores	Sin ruidos exteriores	1
22032	Aragüés del Puerto	Sin contaminación o malos olores	Con ruidos exteriores	3
22032	Aragüés del Puerto	Sin contaminación o malos olores	Sin ruidos exteriores	58
22035	Arén	Con contaminación o malos olores	Con ruidos exteriores	2
22035	Arén	Con contaminación o malos olores	Sin ruidos exteriores	5
22035	Arén	Sin contaminación o malos olores	Sin ruidos exteriores	136
22036	Argavieso	Con contaminación o malos olores	Sin ruidos exteriores	2
22036	Argavieso	Sin contaminación o malos olores	Sin ruidos exteriores	38
22037	Arguis	Sin contaminación o malos olores	Con ruidos exteriores	3
