Aragón	Año de construcción	Combustible	Número hogares
Aragón	 Antes de 1900	Gas	1935
Aragón	 Antes de 1900	Electricidad	1603
Aragón	 Antes de 1900	Derivados del petróleo	10486
Aragón	 Antes de 1900	Madera	1472
Aragón	 Antes de 1900	Derivados del carbón	188
Aragón	 Antes de 1900	Otros	57
Aragón	1900 - 1920	Gas	1023
Aragón	1900 - 1920	Electricidad	583
Aragón	1900 - 1920	Derivados del petróleo	3620
Aragón	1900 - 1920	Madera	374
Aragón	1900 - 1920	Derivados del carbón	134
Aragón	1900 - 1920	Otros	56
Aragón	1921 - 1940	Gas	2378
Aragón	1921 - 1940	Electricidad	892
Aragón	1921 - 1940	Derivados del petróleo	4783
Aragón	1921 - 1940	Madera	455
Aragón	1921 - 1940	Derivados del carbón	263
Aragón	1921 - 1940	Otros	67
Aragón	1941 - 1950	Gas	4211
Aragón	1941 - 1950	Electricidad	1242
Aragón	1941 - 1950	Derivados del petróleo	5477
Aragón	1941 - 1950	Madera	502
Aragón	1941 - 1950	Derivados del carbón	689
Aragón	1941 - 1950	Otros	78
Aragón	1951 - 1960	Gas	11638
Aragón	1951 - 1960	Electricidad	3604
Aragón	1951 - 1960	Derivados del petróleo	10927
Aragón	1951 - 1960	Madera	829
Aragón	1951 - 1960	Derivados del carbón	1345
Aragón	1951 - 1960	Otros	156
Aragón	1961 - 1970	Gas	26460
Aragón	1961 - 1970	Electricidad	5846
Aragón	1961 - 1970	Derivados del petróleo	18983
Aragón	1961 - 1970	Madera	959
Aragón	1961 - 1970	Derivados del carbón	3944
Aragón	1961 - 1970	Otros	364
Aragón	1971 - 1980	Gas	22666
Aragón	1971 - 1980	Electricidad	4413
Aragón	1971 - 1980	Derivados del petróleo	48008
Aragón	1971 - 1980	Madera	1264
Aragón	1971 - 1980	Derivados del carbón	4071
Aragón	1971 - 1980	Otros	577
Aragón	1981 - 1990	Gas	28882
Aragón	1981 - 1990	Electricidad	5446
Aragón	1981 - 1990	Derivados del petróleo	28680
Aragón	1981 - 1990	Madera	1042
Aragón	1981 - 1990	Derivados del carbón	587
Aragón	1981 - 1990	Otros	262
Aragón	1991	Gas	4734
Aragón	1991	Electricidad	1049
Aragón	1991	Derivados del petróleo	2202
Aragón	1991	Madera	64
Aragón	1991	Derivados del carbón	33
Aragón	1991	Otros	6
Aragón	1992	Gas	3344
Aragón	1992	Electricidad	883
Aragón	1992	Derivados del petróleo	1843
Aragón	1992	Madera	55
Aragón	1992	Derivados del carbón	20
Aragón	1992	Otros	15
Aragón	1993	Gas	3011
Aragón	1993	Electricidad	774
Aragón	1993	Derivados del petróleo	1738
Aragón	1993	Madera	49
Aragón	1993	Derivados del carbón	14
Aragón	1993	Otros	12
Aragón	1994	Gas	3229
Aragón	1994	Electricidad	757
Aragón	1994	Derivados del petróleo	1599
Aragón	1994	Madera	55
Aragón	1994	Derivados del carbón	19
Aragón	1994	Otros	15
Aragón	1995	Gas	3020
Aragón	1995	Electricidad	720
Aragón	1995	Derivados del petróleo	1517
Aragón	1995	Madera	30
Aragón	1995	Derivados del carbón	11
Aragón	1995	Otros	15
Aragón	1996	Gas	3740
Aragón	1996	Electricidad	538
Aragón	1996	Derivados del petróleo	1878
Aragón	1996	Madera	42
Aragón	1996	Derivados del carbón	18
Aragón	1996	Otros	18
Aragón	1997	Gas	3831
Aragón	1997	Electricidad	403
Aragón	1997	Derivados del petróleo	1256
Aragón	1997	Madera	37
Aragón	1997	Derivados del carbón	18
Aragón	1997	Otros	10
Aragón	1998	Gas	3490
Aragón	1998	Electricidad	610
Aragón	1998	Derivados del petróleo	1623
Aragón	1998	Madera	40
Aragón	1998	Derivados del carbón	22
Aragón	1998	Otros	16
Aragón	1999	Gas	3438
Aragón	1999	Electricidad	416
Aragón	1999	Derivados del petróleo	1622
Aragón	1999	Madera	36
Aragón	1999	Derivados del carbón	20
Aragón	1999	Otros	14
Aragón	2000	Gas	3215
Aragón	2000	Electricidad	398
Aragón	2000	Derivados del petróleo	1374
Aragón	2000	Madera	31
Aragón	2000	Derivados del carbón	17
Aragón	2000	Otros	15
Aragón	2001	Gas	2259
Aragón	2001	Electricidad	317
Aragón	2001	Derivados del petróleo	1102
Aragón	2001	Madera	30
Aragón	2001	Derivados del carbón	16
Aragón	2001	Otros	9
