Provincia código	Provincia nombre	Corine Land Cover 2000 nivel 2 descripción	Superficie (has)	Año
22	Huesca	Aguas continentales	11033,014658	2000
22	Huesca	Aguas continentales	10072,172007	2006
22	Huesca	Bosques	380052,54065	2000
22	Huesca	Bosques	377753,15558	2006
22	Huesca	Cultivos permanentes	13677,528644	2000
22	Huesca	Cultivos permanentes	17386,604355	2006
22	Huesca	Espacios abiertos con poca o sin vegetación	98120,012542	2000
22	Huesca	Espacios abiertos con poca o sin vegetación	99638,55488	2006
22	Huesca	Espacios de vegetación arbustiva y/o herbácea	408790,301062	2000
22	Huesca	Espacios de vegetación arbustiva y/o herbácea	409184,683683	2006
22	Huesca	Prados y praderas	19626,501429	2000
22	Huesca	Prados y praderas	19912,293588	2006
22	Huesca	Tierras de labor	520585,678871	2000
22	Huesca	Tierras de labor	494350,608192	2006
22	Huesca	Zonas agrícolas heterogéneas	101736,22715	2000
22	Huesca	Zonas agrícolas heterogéneas	129974,580013	2006
22	Huesca	Zonas de extracción minera, vertederos y de construcción	1157,104019	2000
22	Huesca	Zonas de extracción minera, vertederos y de construcción	694,4182	2006
22	Huesca	Zonas húmedas continentales	612,854759	2000
22	Huesca	Zonas húmedas continentales	606,989685	2006
22	Huesca	Zonas industriales, comerciales y de transportes	2910,183199	2000
22	Huesca	Zonas industriales, comerciales y de transportes	1210,324872	2006
22	Huesca	Zonas Urbanas	5923,203813	2000
22	Huesca	Zonas Urbanas	3628,480293	2006
22	Huesca	Zonas verdes artificiales, no agrícolas	216,283477	2000
22	Huesca	Zonas verdes artificiales, no agrícolas	250,959761	2006
44	Teruel	Aguas continentales	1514,769229	2000
44	Teruel	Aguas continentales	1434,074417	2006
44	Teruel	Bosques	329370,117621	2000
44	Teruel	Bosques	322929,387592	2006
44	Teruel	Cultivos permanentes	12796,87653	2000
44	Teruel	Cultivos permanentes	13917,286702	2006
44	Teruel	Espacios abiertos con poca o sin vegetación	9757,404136	2000
44	Teruel	Espacios abiertos con poca o sin vegetación	10325,014896	2006
44	Teruel	Espacios de vegetación arbustiva y/o herbácea	533764,862696	2000
44	Teruel	Espacios de vegetación arbustiva y/o herbácea	541444,7171	2006
44	Teruel	Prados y praderas	548,690262	2000
44	Teruel	Prados y praderas	320,269365	2006
44	Teruel	Tierras de labor	418595,395047	2000
44	Teruel	Tierras de labor	418680,395157	2006
44	Teruel	Zonas agrícolas heterogéneas	163572,872904	2000
44	Teruel	Zonas agrícolas heterogéneas	162791,245887	2006
44	Teruel	Zonas de extracción minera, vertederos y de construcción	4210,611026	2000
44	Teruel	Zonas de extracción minera, vertederos y de construcción	4336,277611	2006
44	Teruel	Zonas húmedas continentales	627,714127	2000
44	Teruel	Zonas húmedas continentales	588,250831	2006
44	Teruel	Zonas industriales, comerciales y de transportes	1243,47044	2000
44	Teruel	Zonas industriales, comerciales y de transportes	1084,721445	2006
44	Teruel	Zonas Urbanas	4815,900864	2000
44	Teruel	Zonas Urbanas	3181,70673	2006
44	Teruel	Zonas verdes artificiales, no agrícolas	75,634744	2000
44	Teruel	Zonas verdes artificiales, no agrícolas	40,64193	2006
50	Zaragoza	Aguas continentales	15560,251393	2000
50	Zaragoza	Aguas continentales	15738,20887	2006
50	Zaragoza	Bosques	209603,673869	2000
50	Zaragoza	Bosques	207962,302699	2006
50	Zaragoza	Cultivos permanentes	57120,01406	2000
50	Zaragoza	Cultivos permanentes	64970,159734	2006
50	Zaragoza	Espacios abiertos con poca o sin vegetación	34802,141733	2000
50	Zaragoza	Espacios abiertos con poca o sin vegetación	35275,085124	2006
50	Zaragoza	Espacios de vegetación arbustiva y/o herbácea	365026,113376	2000
50	Zaragoza	Espacios de vegetación arbustiva y/o herbácea	366272,333858	2006
50	Zaragoza	Prados y praderas	27,891996	2000
50	Zaragoza	Prados y praderas	27,968995	2006
50	Zaragoza	Tierras de labor	699036,567317	2000
50	Zaragoza	Tierras de labor	696502,507038	2006
50	Zaragoza	Zonas agrícolas heterogéneas	314218,825287	2000
50	Zaragoza	Zonas agrícolas heterogéneas	311974,678162	2006
50	Zaragoza	Zonas de extracción minera, vertederos y de construcción	5711,545784	2000
50	Zaragoza	Zonas de extracción minera, vertederos y de construcción	6129,847215	2006
50	Zaragoza	Zonas húmedas continentales	3080,42428	2000
50	Zaragoza	Zonas húmedas continentales	2679,027203	2006
50	Zaragoza	Zonas industriales, comerciales y de transportes	10675,980149	2000
50	Zaragoza	Zonas industriales, comerciales y de transportes	8203,410832	2006
50	Zaragoza	Zonas Urbanas	11548,511359	2000
50	Zaragoza	Zonas Urbanas	10868,634298	2006
50	Zaragoza	Zonas verdes artificiales, no agrícolas	697,351129	2000
50	Zaragoza	Zonas verdes artificiales, no agrícolas	631,182815	2006
