CCAA código	CCAA nombre	Corine Land Cover 2000 nivel 3 código	Corine Land Cover 2000 nivel 3 descripción	Superficie (has)	Año
02	Aragón	111	Tejido urbano continuo	15415,539694	2000
02	Aragón	111	Tejido urbano continuo	12290,696593	2006
02	Aragón	112	Tejido urbano discontinuo	6872,076342	2000
02	Aragón	112	Tejido urbano discontinuo	5388,124728	2006
02	Aragón	121	Zonas industriales, comerciales y de transporte	8224,294657	2000
02	Aragón	121	Zonas industriales, comerciales y de transporte	7921,788411	2006
02	Aragón	122	Redes viarias, ferroviarias y terrenos asociados	5773,039844	2000
02	Aragón	122	Redes viarias, ferroviarias y terrenos asociados	1554,609047	2006
02	Aragón	124	Aeropuertos	832,299287	2000
02	Aragón	124	Aeropuertos	1022,059691	2006
02	Aragón	131	Zonas de extracción minera	5900,88635	2000
02	Aragón	131	Zonas de extracción minera	5376,243065	2006
02	Aragón	132	Escombreras y vertederos	694,16352	2000
02	Aragón	132	Escombreras y vertederos	684,017475	2006
02	Aragón	133	Zonas en construcción	4484,210959	2000
02	Aragón	133	Zonas en construcción	5100,282486	2006
02	Aragón	141	Zonas verdes urbanas	213,067368	2000
02	Aragón	141	Zonas verdes urbanas	124,301768	2006
02	Aragón	142	Instalaciones deportivas y recreativas	776,201982	2000
02	Aragón	142	Instalaciones deportivas y recreativas	798,482738	2006
02	Aragón	211	Tierras de labor en secano	1242557,666632	2000
02	Aragón	211	Tierras de labor en secano	1253554,60921	2006
02	Aragón	212	Terrenos regados permanentemente	381567,378758	2000
02	Aragón	212	Terrenos regados permanentemente	331763,992563	2006
02	Aragón	213	Arrozales	14092,595845	2000
02	Aragón	213	Arrozales	24214,908614	2006
02	Aragón	221	Viñedos	34572,743468	2000
02	Aragón	221	Viñedos	38811,698489	2006
02	Aragón	222	Frutales	35356,549486	2000
02	Aragón	222	Frutales	42105,959221	2006
02	Aragón	223	Olivares	13665,12628	2000
02	Aragón	223	Olivares	15356,393081	2006
02	Aragón	231	Prados y praderas	20203,083687	2000
02	Aragón	231	Prados y praderas	20260,531948	2006
02	Aragón	242	Mosaico de cultivos	284179,950133	2000
02	Aragón	242	Mosaico de cultivos	308536,681478	2006
02	Aragón	243	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	295347,975208	2000
02	Aragón	243	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	296203,822584	2006
02	Aragón	311	Bosques de frondosas	225456,772394	2000
02	Aragón	311	Bosques de frondosas	223983,046603	2006
02	Aragón	312	Bosques de coníferas	589540,411063	2000
02	Aragón	312	Bosques de coníferas	579552,329559	2006
02	Aragón	313	Bosque mixto	104029,148683	2000
02	Aragón	313	Bosque mixto	105109,469709	2006
02	Aragón	321	Pastizales naturales	165680,990765	2000
02	Aragón	321	Pastizales naturales	166676,346826	2006
02	Aragón	322	Landas y matorrales mesófilos	30253,536724	2000
02	Aragón	322	Landas y matorrales mesófilos	29710,581715	2006
02	Aragón	323	Vegetación esclerófila	726720,480538	2000
02	Aragón	323	Vegetación esclerófila	709139,289776	2006
02	Aragón	324	Matorral boscoso de transición	384926,269107	2000
02	Aragón	324	Matorral boscoso de transición	411375,516324	2006
02	Aragón	331	Playas, dunas y arenales	7878,893345	2000
02	Aragón	331	Playas, dunas y arenales	7816,221157	2006
02	Aragón	332	Roquedo	54454,385379	2000
02	Aragón	332	Roquedo	54355,667814	2006
02	Aragón	333	Espacios con vegetación escasa	79783,604895	2000
02	Aragón	333	Espacios con vegetación escasa	80015,270342	2006
02	Aragón	334	Zonas quemadas	61,662868	2000
02	Aragón	334	Zonas quemadas	2745,711527	2006
02	Aragón	335	Glaciares y nieves permanentes	501,011924	2000
02	Aragón	335	Glaciares y nieves permanentes	305,78406	2006
02	Aragón	411	Humedales y zonas pantanosas	4133,36413	2000
02	Aragón	411	Humedales y zonas pantanosas	3682,763526	2006
02	Aragón	412	Turberas y prados turbosos	187,629036	2000
02	Aragón	412	Turberas y prados turbosos	191,504193	2006
02	Aragón	511	Cursos de agua	6623,672575	2000
02	Aragón	511	Cursos de agua	6381,147868	2006
02	Aragón	512	Láminas de agua	21484,362705	2000
02	Aragón	512	Láminas de agua	20863,307426	2006
