Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
01	La Jacetania	Aeropuertos	0	2000
01	La Jacetania	Afloramientos rocosos y canchales	5476,299089	2000
01	La Jacetania	Arrozales	0	2000
01	La Jacetania	Autopistas, autovías y terrenos asociados	0	2000
01	La Jacetania	Bosque mixto	20534,931285	2000
01	La Jacetania	Bosques de coníferas con hojas aciculares	42655,906155	2000
01	La Jacetania	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
01	La Jacetania	Bosques de ribera	917,731877	2000
01	La Jacetania	Caducifolias y marcescentes	10820,991762	2000
01	La Jacetania	Campos de golf	0	2000
01	La Jacetania	Canales artificiales	0	2000
01	La Jacetania	Complejos ferroviarios	14,081557	2000
01	La Jacetania	Cultivos herbáceos en regadío	2054,727968	2000
01	La Jacetania	Cárcavas y/o zonas en proceso de erosión	1922,058106	2000
01	La Jacetania	Embalses	814,782576	2000
01	La Jacetania	Escombreras y vertederos	0	2000
01	La Jacetania	Espacios orófilos altitudinales con vegetación escasa	5370,52148	2000
01	La Jacetania	Estructura urbana abierta	129,56382	2000
01	La Jacetania	Frutales en secano	0	2000
01	La Jacetania	Glaciares y nieves permanentes	0	2000
01	La Jacetania	Grandes formaciones de matorral denso o medianamente denso	8258,516642	2000
01	La Jacetania	Grandes superficies de equipamientos y servicios	0	2000
01	La Jacetania	Humedales y zonas pantanosas	0	2000
01	La Jacetania	Lagos y lagunas	29,622983	2000
01	La Jacetania	Landas y matorrales en climas húmedos. Vegetación mesófila	4580,292993	2000
01	La Jacetania	Matorral boscoso de bosque mixto	4142,690308	2000
01	La Jacetania	Matorral boscoso de coníferas	10848,281508	2000
01	La Jacetania	Matorral boscoso de frondosas	6321,825564	2000
01	La Jacetania	Matorrales subarbustivos o arbustivos muy poco densos	5079,314084	2000
01	La Jacetania	Mezcla de frondosas	1396,191135	2000
01	La Jacetania	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	221,936548	2000
01	La Jacetania	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	5265,719583	2000
01	La Jacetania	Mosaico de cultivos anuales con cultivos  permanentes en  secano	88,185019	2000
01	La Jacetania	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
01	La Jacetania	Mosaico de cultivos anuales con prados o praderas en regadío	94,586362	2000
01	La Jacetania	Mosaico de cultivos anuales con prados o praderas en secano	771,618931	2000
01	La Jacetania	Mosaico de cultivos permanentes en regadío	0	2000
01	La Jacetania	Mosaico de cultivos permanentes en secano	0	2000
