Año	Comarca código	Comarca nombre	Contenedores de vidrio	Kg vidrio doméstico
2016	01	La Jacetania		
2016	02	Alto Gállego		
2016	03	Sobrarbe		
2016	04	La Ribagorza		
2016	05	Cinco Villas		
2016	06	Hoya de Huesca / Plana de Uesca		
2016	07	Somontano de Barbastro		
2016	08	Cinca Medio		
2016	09	La Litera / La Llitera		
2016	10	Los Monegros		
2016	11	Bajo Cinca / Baix Cinca		
2016	12	Tarazona y el Moncayo		
2016	13	Campo de Borja		
2016	14	Aranda		
2016	15	Ribera Alta del Ebro		
2016	16	Valdejalón		
2016	17	D.C. Zaragoza		
2016	18	Ribera Baja del Ebro		
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp		
2016	20	Comunidad de Calatayud		
2016	21	Campo de Cariñena		
2016	22	Campo de Belchite		
2016	23	Bajo Martín		
2016	24	Campo de Daroca		
2016	25	Jiloca		
2016	26	Cuencas Mineras		
2016	27	Andorra-Sierra de Arcos		
2016	28	Bajo Aragón		
2016	29	Comunidad de Teruel		
2016	30	Maestrazgo		
2016	31	Sierra de Albarracín		
2016	32	Gúdar-Javalambre		
2016	33	Matarraña / Matarranya		
2015	01	La Jacetania	201	496140
2015	02	Alto Gállego	242	396678
2015	03	Sobrarbe	111	272720
2015	04	La Ribagorza	207	401400
2015	05	Cinco Villas	191	416540
2015	06	Hoya de Huesca / Plana de Uesca	574	1184930
2015	07	Somontano de Barbastro	189	511370
2015	08	Cinca Medio	112	382440
2015	09	La Litera / La Llitera	155	300620
2015	10	Los Monegros	145	271680
2015	11	Bajo Cinca / Baix Cinca	124	375660
2015	12	Tarazona y el Moncayo	85	226760
2015	13	Campo de Borja	0	230740
2015	14	Aranda	42	68400
2015	15	Ribera Alta del Ebro	127	316320
2015	16	Valdejalón	106	257220
2015	17	D.C. Zaragoza	2195	8330030
2015	18	Ribera Baja del Ebro	60	103440
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	70	184560
2015	20	Comunidad de Calatayud	240	494770
2015	21	Campo de Cariñena	102	172990
2015	22	Campo de Belchite	40	58720
2015	23	Bajo Martín	34	75380
2015	24	Campo de Daroca	67	106190
2015	25	Jiloca	128	204380
2015	26	Cuencas Mineras	68	80140
2015	27	Andorra-Sierra de Arcos	62	135580
2015	28	Bajo Aragón	147	412260
2015	29	Comunidad de Teruel	279	635910
2015	30	Maestrazgo	53	75100
2015	31	Sierra de Albarracín	46	85080
2015	32	Gúdar-Javalambre	129	215200
2015	33	Matarraña / Matarranya	69	196700
2014	01	La Jacetania	189	451364
2014	02	Alto Gállego	230	401860
2014	03	Sobrarbe	110	262000
2014	04	La Ribagorza	211	337665
2014	05	Cinco Villas	184	374813
2014	06	Hoya de Huesca / Plana de Uesca	512	1090329
2014	07	Somontano de Barbastro	165	453154
2014	08	Cinca Medio	123	359424
2014	09	La Litera / La Llitera	158	277891
2014	10	Los Monegros	142	247125
2014	11	Bajo Cinca / Baix Cinca	131	335525
2014	12	Tarazona y el Moncayo	85	248809
2014	13	Campo de Borja	90	185593
2014	14	Aranda	41	53450
2014	15	Ribera Alta del Ebro	126	305745
2014	16	Valdejalón	111	216573
2014	17	D.C. Zaragoza	2077	8196675
2014	18	Ribera Baja del Ebro	62	97881
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	76	150398
2014	20	Comunidad de Calatayud	225	460523
2014	21	Campo de Cariñena	82	133566
2014	22	Campo de Belchite	39	50018
2014	23	Bajo Martín	32	66361
2014	24	Campo de Daroca	61	97084
2014	25	Jiloca	142	186036
2014	26	Cuencas Mineras	70	91097
2014	27	Andorra-Sierra de Arcos	56	129832
2014	28	Bajo Aragón	171	348896
2014	29	Comunidad de Teruel	299	540252
2014	30	Maestrazgo	53	59840
2014	31	Sierra de Albarracín	47	86850
2014	32	Gúdar-Javalambre	121	191357
2014	33	Matarraña / Matarranya	66	180172
2013	01	La Jacetania	182	594439
2013	02	Alto Gállego	230	410440
2013	03	Sobrarbe	105	254850
2013	04	La Ribagorza	174	539261
2013	05	Cinco Villas	173	559327
2013	06	Hoya de Huesca / Plana de Uesca	482	1260105
2013	07	Somontano de Barbastro	163	521882
2013	08	Cinca Medio	105	582494
2013	09	La Litera / La Llitera	136	401726
2013	10	Los Monegros	119	413034
2013	11	Bajo Cinca / Baix Cinca	101	447478
2013	12	Tarazona y el Moncayo	72	329083
2013	13	Campo de Borja	86	333889
2013	14	Aranda	35	109845
2013	15	Ribera Alta del Ebro	110	445821
2013	16	Valdejalón	96	372844
2013	17	D.C. Zaragoza	2016	8646608
2013	18	Ribera Baja del Ebro	55	166499
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	66	229677
2013	20	Comunidad de Calatayud	213	763279
2013	21	Campo de Cariñena	60	262809
2013	22	Campo de Belchite	37	105702
2013	23	Bajo Martín	29	114758
2013	24	Campo de Daroca	55	153403
2013	25	Jiloca	124	259085
2013	26	Cuencas Mineras	66	131132
2013	27	Andorra-Sierra de Arcos	54	172115
2013	28	Bajo Aragón	143	523262
2013	29	Comunidad de Teruel	257	712182
2013	30	Maestrazgo	50	112392
2013	31	Sierra de Albarracín	44	97464
2013	32	Gúdar-Javalambre	102	237034
2013	33	Matarraña / Matarranya	57	205746
2012	01	La Jacetania	182	621447
2012	02	Alto Gállego	230	404680
2012	03	Sobrarbe	105	284120
2012	04	La Ribagorza	174	612258
2012	05	Cinco Villas	173	760276
2012	06	Hoya de Huesca / Plana de Uesca	317	1273009
2012	07	Somontano de Barbastro	163	542714
2012	08	Cinca Medio	105	804474
2012	09	La Litera / La Llitera	136	557302
2012	10	Los Monegros	118	481594
2012	11	Bajo Cinca / Baix Cinca	98	641192
2012	12	Tarazona y el Moncayo	72	389521
2012	13	Campo de Borja	86	385895
2012	14	Aranda	35	130791
2012	15	Ribera Alta del Ebro	110	597167
2012	16	Valdejalón	96	551926
2012	17	D.C. Zaragoza	1983	9120892
2012	18	Ribera Baja del Ebro	55	247989
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	66	359905
2012	20	Comunidad de Calatayud	213	978725
2012	21	Campo de Cariñena	60	353085
2012	22	Campo de Belchite	37	130350
2012	23	Bajo Martín	29	142209
2012	24	Campo de Daroca	55	230238
2012	25	Jiloca	124	337985
2012	26	Cuencas Mineras	66	179758
2012	27	Andorra-Sierra de Arcos	54	209007
2012	28	Bajo Aragón	139	642916
2012	29	Comunidad de Teruel	253	964571
2012	30	Maestrazgo	50	139629
2012	31	Sierra de Albarracín	44	169002
2012	32	Gúdar-Javalambre	102	304475
2012	33	Matarraña / Matarranya	57	272668
2011	01	La Jacetania	176	600270
2011	02	Alto Gállego	111	447090
2011	03	Sobrarbe	103	246460
2011	04	La Ribagorza	173	582290
2011	05	Cinco Villas	173	753210
2011	06	Hoya de Huesca / Plana de Uesca	376	1237080
2011	07	Somontano de Barbastro	161	558910
2011	08	Cinca Medio	105	843610
2011	09	La Litera / La Llitera	136	554700
2011	10	Los Monegros	117	440160
2011	11	Bajo Cinca / Baix Cinca	98	644260
2011	12	Tarazona y el Moncayo	72	380250
2011	13	Campo de Borja	86	347440
2011	14	Aranda	35	129800
2011	15	Ribera Alta del Ebro	114	582160
2011	16	Valdejalón	96	540270
2011	17	D.C. Zaragoza	1891	8953430
2011	18	Ribera Baja del Ebro	55	243630
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	66	355990
2011	20	Comunidad de Calatayud	216	884340
2011	21	Campo de Cariñena	61	357960
2011	22	Campo de Belchite	37	112910
2011	23	Bajo Martín	29	142340
2011	24	Campo de Daroca	55	177090
2011	25	Jiloca	125	317250
2011	26	Cuencas Mineras	66	155500
2011	27	Andorra-Sierra de Arcos	54	206260
2011	28	Bajo Aragón	139	633660
2011	29	Comunidad de Teruel	253	950310
2011	30	Maestrazgo	52	139420
2011	31	Sierra de Albarracín	44	160300
2011	32	Gúdar-Javalambre	103	288150
2011	33	Matarraña / Matarranya	57	264750
