Año	Provincia código	Provincia nombre	Contenedores de vidrio	Kg vidrio doméstico
2017	22	Huesca		
2017	44	Teruel		
2017	50	Zaragoza		
2016	22	Huesca		
2016	44	Teruel		
2016	50	Zaragoza		
2015	22	Huesca		
2015	44	Teruel		
2015	50	Zaragoza		
2014	22	Huesca	1911	4093361
2014	44	Teruel	1057	1880693
2014	50	Zaragoza	3319	10694104
2013	22	Huesca	1745	5245667
2013	44	Teruel	926	2565170
2013	50	Zaragoza	3126	12658828
2012	22	Huesca	1576	6002670
2012	44	Teruel	918	3362220
2012	50	Zaragoza	3093	14456880
2011	22	Huesca	1505	5942040
2011	44	Teruel	922	3257940
2011	50	Zaragoza	3008	14031270
