Año	Municipio código	Municipio nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	22001	Abiego	0	
2007	22002	Abizanda	2	
2007	22003	Adahuesca	0	
2007	22004	Agüero	2	
2007	22006	Aísa	18	
2007	22007	Albalate de Cinca	2	
2007	22008	Albalatillo	4	
2007	22009	Albelda	3	
2007	22011	Albero Alto	1	
2007	22012	Albero Bajo	2	
2007	22013	Alberuela de Tubo	7	
2007	22014	Alcalá de Gurrea	2	
2007	22015	Alcalá del Obispo	3	
2007	22016	Alcampell	3	
2007	22017	Alcolea de Cinca	2	
2007	22018	Alcubierre	5	
2007	22019	Alerre	2	
2007	22020	Alfántega	1	
2007	22021	Almudévar	14	
2007	22022	Almunia de San Juan	1	
2007	22023	Almuniente	9	
2007	22024	Alquézar	0	
2007	22025	Altorricón	5	
2007	22027	Angüés	3	
2007	22028	Ansó	4	
2007	22029	Antillón	1	
2007	22032	Aragüés del Puerto	2	
2007	22035	Arén	0	
2007	22036	Argavieso	1	
2007	22037	Arguis	2	
2007	22039	Ayerbe	6	
2007	22040	Azanuy-Alins	2	
2007	22041	Azara	0	
2007	22042	Azlor	0	
2007	22043	Baells	2	
2007	22044	Bailo	7	
2007	22045	Baldellou	1	
2007	22046	Ballobar	5	
2007	22047	Banastás	2	
2007	22048	Barbastro	31	
2007	22049	Barbués	2	
2007	22050	Barbuñales	0	
2007	22051	Bárcabo	0	
2007	22052	Belver de Cinca	3	
2007	22053	Benabarre	2	
2007	22054	Benasque	3	
2007	22055	Berbegal	1	
2007	22057	Bielsa	4	
2007	22058	Bierge	0	
2007	22059	Biescas	50	
2007	22060	Binaced	3	
2007	22061	Binéfar	40	
2007	22062	Bisaurri	0	
2007	22063	Biscarrués	1	
2007	22064	Blecua y Torres	2	
2007	22066	Boltaña	7	
2007	22067	Bonansa	0	
2007	22068	Borau	1	
2007	22069	Broto	5	
2007	22072	Caldearenas	10	
2007	22074	Campo	0	
2007	22075	Camporrells	1	
2007	22076	Canal de Berdún	11	
2007	22077	Candasnos	1	
2007	22078	Canfranc	14	
2007	22079	Capdesaso	3	
2007	22080	Capella	0	
2007	22081	Casbas de Huesca	3	
2007	22082	Castejón del Puente	1	
2007	22083	Castejón de Monegros	8	
2007	22084	Castejón de Sos	1	
2007	22085	Castelflorite	2	
2007	22086	Castiello de Jaca	4	
2007	22087	Castigaleu	0	
2007	22088	Castillazuelo	0	
2007	22089	Castillonroy	1	
2007	22090	Colungo	0	
2007	22094	Chalamera	0	
2007	22095	Chía	0	
2007	22096	Chimillas	3	
2007	22099	Esplús	3	
2007	22102	Estada	0	
2007	22103	Estadilla	2	
2007	22105	Estopiñán del Castillo	0	
2007	22106	Fago	1	
2007	22107	Fanlo	0	
2007	22109	Fiscal	2	
2007	22110	Fonz	3	
2007	22111	Foradada del Toscar	0	
2007	22112	Fraga	26	
2007	22113	Fueva (La)	2	
2007	22114	Gistaín	1	
2007	22115	Grado (El)	1	
2007	22116	Grañén	30	
2007	22117	Graus	7	
2007	22119	Gurrea de Gállego	14	
2007	22122	Hoz de Jaca	3	
2007	22124	Huerto	6	
2007	22125	Huesca	389	
2007	22126	Ibieca	1	
2007	22127	Igriés	6	
2007	22128	Ilche	0	
2007	22129	Isábena	0	
2007	22130	Jaca	55	
2007	22131	Jasa	3	
2007	22133	Labuerda	2	
2007	22135	Laluenga	0	
2007	22136	Lalueza	18	
2007	22137	Lanaja	12	
2007	22139	Laperdiguera	0	
2007	22141	Lascellas-Ponzano	0	
2007	22142	Lascuarre	0	
2007	22143	Laspaúles	0	
2007	22144	Laspuña	2	
2007	22149	Loarre	1	
2007	22150	Loporzano	5	
2007	22151	Loscorrales	1	
2007	22155	Monesma y Cajigar	0	
2007	22156	Monflorite-Lascasas	3	
2007	22157	Montanuy	0	
2007	22158	Monzón	32	
2007	22160	Naval	0	
2007	22162	Novales	2	
2007	22163	Nueno	4	
2007	22164	Olvena	0	
2007	22165	Ontiñena	1	
2007	22167	Osso de Cinca	2	
2007	22168	Palo	0	
2007	22170	Panticosa	25	
2007	22172	Peñalba	11	
2007	22173	Peñas de Riglos (Las)	1	
2007	22174	Peralta de Alcofea	1	
2007	22175	Peralta de Calasanz	2	
2007	22176	Peraltilla	0	
2007	22177	Perarrúa	0	
2007	22178	Pertusa	1	
2007	22181	Piracés	2	
2007	22182	Plan	1	
2007	22184	Poleñino	10	
2007	22186	Pozán de Vero	0	
2007	22187	Puebla de Castro (La)	0	
2007	22188	Puente de Montañana	0	
2007	22189	Puértolas	1	
2007	22190	Pueyo de Araguás (El)	1	
2007	22193	Pueyo de Santa Cruz	1	
2007	22195	Quicena	2	
2007	22197	Robres	9	
2007	22199	Sabiñánigo	151	
2007	22200	Sahún	0	
2007	22201	Salas Altas	0	
2007	22202	Salas Bajas	0	
2007	22203	Salillas	1	
2007	22204	Sallent de Gállego	67	
2007	22205	San Esteban de Litera	1	
2007	22206	Sangarrén	4	
2007	22207	San Juan de Plan	1	
2007	22208	Santa Cilia	7	
2007	22209	Santa Cruz de la Serós	4	
2007	22212	Santaliestra y San Quílez	0	
2007	22213	Sariñena	56	
2007	22214	Secastilla	0	
2007	22215	Seira	0	
2007	22217	Sena	9	
2007	22218	Senés de Alcubierre	1	
2007	22220	Sesa	2	
2007	22221	Sesué	0	
2007	22222	Siétamo	5	
2007	22223	Sopeira	0	
2007	22225	Tamarite de Litera	13	
2007	22226	Tardienta	19	
2007	22227	Tella-Sin	1	
