Año	Provincia código	Provincia nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	22	Huesca	1503	
2007	44	Teruel	474	
2007	50	Zaragoza	2788	
2009	22	Huesca	1372	5917570,47
2009	44	Teruel	1123	1849461,54
2009	50	Zaragoza	3403	23321912,83
2010	22	Huesca	1742	6119938,24
2010	44	Teruel	1006	1987648,95
2010	50	Zaragoza	3594	22806965,69
2011	22	Huesca	2081	5771690,7
2011	44	Teruel	1006	1831984,95
2011	50	Zaragoza	3457	20888786,36
2012	22	Huesca	2153	4999306,82
2012	44	Teruel	1012	1753677,92
2012	50	Zaragoza	3484	18762561,11
2013	22	Huesca	2265	5212161,22
2013	44	Teruel	1043	1646012,98
2013	50	Zaragoza	3621	17288815,65
2014	22	Huesca	2434	5130304,73
2014	44	Teruel	1150	1648946
2014	50	Zaragoza	3841	15734866,39
2015	22	Huesca	2563	4198289,97
2015	44	Teruel	1169	1749093
2015	50	Zaragoza	4029	15390632
2016	22	Huesca	2677	5540749
2016	44	Teruel	1181	1836953
2016	50	Zaragoza	4175	15362804
2017	22	Huesca	3416	4136510
2017	44	Teruel	1501	1553815
2017	50	Zaragoza	5872	12793487
