Año	Comarca código	Comarca nombre	Contenedores de pilas	Kg recogidos de pilas
2007	01	La Jacetania	34	2708
2007	02	Alto Gállego	20	1453
2007	03	Sobrarbe	8	149
2007	04	La Ribagorza	26	601
2007	05	Cinco Villas	29	837
2007	06	Hoya de Huesca / Plana de Uesca	185	5905
2007	07	Somontano de Barbastro	58	1737
2007	08	Cinca Medio	31	673
2007	09	La Litera / La Llitera	45	699
2007	10	Los Monegros	42	907
2007	11	Bajo Cinca / Baix Cinca	13	540
2007	12	Tarazona y el Moncayo	11	567
2007	13	Campo de Borja	19	490
2007	14	Aranda	12	202
2007	15	Ribera Alta del Ebro	33	1696
2007	16	Valdejalón	24	975
2007	17	D.C. Zaragoza	137	77573
2007	18	Ribera Baja del Ebro	14	684
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	398
2007	20	Comunidad de Calatayud	40	1782
2007	21	Campo de Cariñena	13	526
2007	22	Campo de Belchite	13	360
2007	23	Bajo Martín	25	237
2007	24	Campo de Daroca	6	373
2007	25	Jiloca	59	611
2007	26	Cuencas Mineras	40	421
2007	27	Andorra-Sierra de Arcos	42	338
2007	28	Bajo Aragón	107	1267
2007	29	Comunidad de Teruel	197	2509
2007	30	Maestrazgo	26	401
2007	31	Sierra de Albarracín	33	278
2007	32	Gúdar-Javalambre	60	689
2007	33	Matarraña / Matarranya	56	615
