Año	Municipio código	Municipio nombre	Contenedores de pilas	Kg recogidos de pilas
2007	22001	Abiego	1	28
2007	22002	Abizanda	0	0
2007	22003	Adahuesca	0	0
2007	22004	Agüero	1	7
2007	22006	Aísa	3	36
2007	22007	Albalate de Cinca	1	85
2007	22008	Albalatillo	1	36
2007	22009	Albelda	1	36
2007	22011	Albero Alto	1	7
2007	22012	Albero Bajo	1	7
2007	22013	Alberuela de Tubo	1	14
2007	22014	Alcalá de Gurrea	1	57
2007	22015	Alcalá del Obispo	2	21
2007	22016	Alcampell	1	50
2007	22017	Alcolea de Cinca	2	50
2007	22018	Alcubierre	1	43
2007	22019	Alerre	1	14
2007	22020	Alfántega	1	14
2007	22021	Almudévar	4	136
2007	22022	Almunia de San Juan	1	21
2007	22023	Almuniente	1	7
2007	22024	Alquézar	1	7
2007	22025	Altorricón	2	7
2007	22027	Angüés	1	36
2007	22028	Ansó	5	21
2007	22029	Antillón	2	21
2007	22032	Aragüés del Puerto	1	43
2007	22035	Arén	1	43
2007	22036	Argavieso	1	14
2007	22037	Arguis	0	0
2007	22039	Ayerbe	2	71
2007	22040	Azanuy-Alins	1	7
2007	22041	Azara	1	28
2007	22042	Azlor	1	21
2007	22043	Baells	1	14
2007	22044	Bailo	1	21
2007	22045	Baldellou	1	43
2007	22046	Ballobar	2	132
2007	22047	Banastás	1	28
2007	22048	Barbastro	35	1200
2007	22049	Barbués	1	7
2007	22050	Barbuñales	1	28
2007	22051	Bárcabo	0	0
2007	22052	Belver de Cinca	1	85
2007	22053	Benabarre	1	43
2007	22054	Benasque	2	68
2007	22055	Berbegal	1	50
2007	22057	Bielsa	0	0
2007	22058	Bierge	1	28
2007	22059	Biescas	3	55
2007	22060	Binaced	5	64
2007	22061	Binéfar	31	372
2007	22062	Bisaurri	0	0
2007	22063	Biscarrués	1	21
2007	22064	Blecua y Torres	1	14
2007	22066	Boltaña	0	0
2007	22067	Bonansa	1	7
2007	22068	Borau	1	28
2007	22069	Broto	5	92
2007	22072	Caldearenas	0	0
2007	22074	Campo	1	28
2007	22075	Camporrells	2	43
2007	22076	Canal de Berdún	0	0
2007	22077	Candasnos	1	21
2007	22078	Canfranc	1	739
2007	22079	Capdesaso	1	28
2007	22080	Capella	1	28
2007	22081	Casbas de Huesca	1	43
2007	22082	Castejón del Puente	2	21
2007	22083	Castejón de Monegros	1	28
2007	22084	Castejón de Sos	4	64
2007	22085	Castelflorite	1	21
2007	22086	Castiello de Jaca	1	28
2007	22087	Castigaleu	1	28
2007	22088	Castillazuelo	0	0
2007	22089	Castillonroy	1	21
2007	22090	Colungo	0	0
2007	22094	Chalamera	1	21
2007	22095	Chía	0	0
2007	22096	Chimillas	1	21
2007	22099	Esplús	1	21
2007	22102	Estada	1	36
2007	22103	Estadilla	1	43
2007	22105	Estopiñán del Castillo	1	14
2007	22106	Fago	1	7
2007	22107	Fanlo	0	0
2007	22109	Fiscal	1	21
2007	22110	Fonz	1	71
2007	22111	Foradada del Toscar	0	0
2007	22112	Fraga	0	0
2007	22113	Fueva (La)	0	0
2007	22114	Gistaín	0	0
2007	22115	Grado (El)	2	14
2007	22116	Grañén	4	71
2007	22117	Graus	5	136
2007	22119	Gurrea de Gállego	2	7
2007	22122	Hoz de Jaca	1	14
2007	22124	Huerto	1	7
2007	22125	Huesca	144	4991
2007	22126	Ibieca	1	28
2007	22127	Igriés	0	0
2007	22128	Ilche	1	28
2007	22129	Isábena	0	0
2007	22130	Jaca	7	1615
2007	22131	Jasa	7	21
2007	22133	Labuerda	0	0
2007	22135	Laluenga	1	28
2007	22136	Lalueza	1	43
2007	22137	Lanaja	4	71
2007	22139	Laperdiguera	1	14
2007	22141	Lascellas-Ponzano	0	0
2007	22142	Lascuarre	1	21
2007	22143	Laspaúles	0	0
2007	22144	Laspuña	0	0
2007	22149	Loarre	1	28
2007	22150	Loporzano	1	36
2007	22151	Loscorrales	2	14
2007	22155	Monesma y Cajigar	1	7
2007	22156	Monflorite-Lascasas	1	21
2007	22157	Montanuy	0	0
