Año	Comarca código	Comarca nombre	Incendios	Superficie forestal afectada
2007	01	La Jacetania	13	16,92
2007	02	Alto Gállego	3	1,65
2007	03	Sobrarbe	5	4,57
2007	04	La Ribagorza	5	4,33
2007	05	Cinco Villas	31	55,33
2007	06	Hoya de Huesca / Plana de Uesca	30	287,99
2007	07	Somontano de Barbastro	10	81,55
2007	08	Cinca Medio	6	29,24
2007	09	La Litera / La Llitera	6	22,74
2007	10	Los Monegros	21	88,58
2007	11	Bajo Cinca / Baix Cinca	7	6,32
2007	12	Tarazona y el Moncayo	3	1,98
2007	13	Campo de Borja	11	39,66
2007	14	Aranda	1	0,7
2007	15	Ribera Alta del Ebro	8	1,55
2007	16	Valdejalón	7	2,73
2007	17	D.C. Zaragoza	45	53,66
2007	18	Ribera Baja del Ebro	7	22,9
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	9,69
2007	20	Comunidad de Calatayud	41	51,25
2007	21	Campo de Cariñena	8	9,53
2007	22	Campo de Belchite	7	10,34
2007	23	Bajo Martín	20	29,68
2007	24	Campo de Daroca	7	31,39
2007	25	Jiloca	25	41,18
2007	26	Cuencas Mineras	8	1477,31
2007	27	Andorra-Sierra de Arcos	8	4,87
2007	28	Bajo Aragón	18	29,34
2007	29	Comunidad de Teruel	8	32,32
2007	30	Maestrazgo	5	0,09
2007	31	Sierra de Albarracín	6	2,17
2007	32	Gúdar-Javalambre	6	1,08
2007	33	Matarraña / Matarranya	15	10,63
2008	01	La Jacetania	9	18,48
2008	02	Alto Gállego	2	3,6
2008	03	Sobrarbe	5	4,8
2008	04	La Ribagorza	2	0,9
2008	05	Cinco Villas	28	32,88
2008	06	Hoya de Huesca / Plana de Uesca	24	40,73
2008	07	Somontano de Barbastro	16	17,7
2008	08	Cinca Medio	5	12
2008	09	La Litera / La Llitera	1	0,01
2008	10	Los Monegros	16	5,68
2008	11	Bajo Cinca / Baix Cinca	8	18,3
2008	12	Tarazona y el Moncayo	3	5,4
2008	13	Campo de Borja	12	14,33
2008	14	Aranda	5	6,43
2008	15	Ribera Alta del Ebro	10	15,23
2008	16	Valdejalón	11	13,07
2008	17	D.C. Zaragoza	36	2536,07
2008	18	Ribera Baja del Ebro	7	9,53
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	8,41
2008	20	Comunidad de Calatayud	35	78,96
2008	21	Campo de Cariñena	4	1,85
2008	22	Campo de Belchite	15	13,03
2008	23	Bajo Martín	4	20,82
2008	24	Campo de Daroca	4	3,42
2008	25	Jiloca	20	25,55
2008	26	Cuencas Mineras	9	5,12
2008	27	Andorra-Sierra de Arcos	3	0,03
2008	28	Bajo Aragón	8	0,53
2008	29	Comunidad de Teruel	15	29,83
2008	30	Maestrazgo	6	0,63
2008	31	Sierra de Albarracín	5	0,54
2008	32	Gúdar-Javalambre	7	5,19
2008	33	Matarraña / Matarranya	5	0,12
2009	01	La Jacetania	5	3,12
2009	02	Alto Gállego	3	0,07
2009	03	Sobrarbe	10	6,48
2009	04	La Ribagorza	10	3,88
2009	05	Cinco Villas	29	42,68
2009	06	Hoya de Huesca / Plana de Uesca	22	6,75
2009	07	Somontano de Barbastro	5	4,25
2009	08	Cinca Medio	10	3,46
2009	09	La Litera / La Llitera	6	3,42
2009	10	Los Monegros	23	34,37
2009	11	Bajo Cinca / Baix Cinca	10	815,13
2009	12	Tarazona y el Moncayo	7	9,53
2009	13	Campo de Borja	18	9,35
2009	14	Aranda	13	18,84
2009	15	Ribera Alta del Ebro	20	24,13
2009	16	Valdejalón	15	5,84
2009	17	D.C. Zaragoza	30	7756,51
2009	18	Ribera Baja del Ebro	10	10,94
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	0,7
2009	20	Comunidad de Calatayud	43	1129,15
2009	21	Campo de Cariñena	13	12,31
2009	22	Campo de Belchite	9	5,82
2009	23	Bajo Martín	7	6,2
2009	24	Campo de Daroca	6	7,96
2009	25	Jiloca	11	20,32
2009	26	Cuencas Mineras	14	6704,09
2009	27	Andorra-Sierra de Arcos	8	1147,53
2009	28	Bajo Aragón	17	531,45
2009	29	Comunidad de Teruel	12	1062,38
2009	30	Maestrazgo	8	1,36
2009	31	Sierra de Albarracín	7	3,64
2009	32	Gúdar-Javalambre	12	0,77
2009	33	Matarraña / Matarranya	25	222,79
2010	01	La Jacetania	4	2,02
2010	02	Alto Gállego	1	0,01
2010	03	Sobrarbe	1	0,07
2010	04	La Ribagorza	7	2,98
2010	05	Cinco Villas	20	807,5
2010	06	Hoya de Huesca / Plana de Uesca	23	8,71
2010	07	Somontano de Barbastro	3	3,57
2010	08	Cinca Medio	8	5,3
2010	09	La Litera / La Llitera	4	5,86
2010	10	Los Monegros	26	38,54
2010	11	Bajo Cinca / Baix Cinca	9	6,23
2010	12	Tarazona y el Moncayo	7	3,07
2010	13	Campo de Borja	23	26,46
2010	14	Aranda	6	29,61
2010	15	Ribera Alta del Ebro	8	4,83
2010	16	Valdejalón	6	32,19
2010	17	D.C. Zaragoza	30	19,33
2010	18	Ribera Baja del Ebro	9	9,6
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18	6,01
2010	20	Comunidad de Calatayud	39	41,06
2010	21	Campo de Cariñena	3	8,3
2010	22	Campo de Belchite	11	10,69
2010	23	Bajo Martín	2	6,16
2010	24	Campo de Daroca	1	0,01
2010	25	Jiloca	8	14,67
2010	26	Cuencas Mineras	7	1,76
2010	27	Andorra-Sierra de Arcos	1	0,01
2010	28	Bajo Aragón	13	1,77
2010	29	Comunidad de Teruel	11	22,06
2010	30	Maestrazgo	3	0,21
2010	31	Sierra de Albarracín	1	0,01
2010	32	Gúdar-Javalambre	5	0,74
2010	33	Matarraña / Matarranya	24	24,69
2011	01	La Jacetania	11	0,95
2011	02	Alto Gállego	4	0,98
2011	03	Sobrarbe	8	6,03
2011	04	La Ribagorza	4	0,63
2011	05	Cinco Villas	23	15,69
2011	06	Hoya de Huesca / Plana de Uesca	37	68,37
