Año	Comarca código	Comarca nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2011	01	La Jacetania	821,42	17,87	0	6,62	0	796,93
2011	02	Alto Gállego	211,603	211,6	0,003	0	0	0
2011	03	Sobrarbe	636,25	229,84	8,23	396,8	0	1,38
2011	04	La Ribagorza	229,12	66,49	2,5	160,13	0	0
2011	05	Cinco Villas	1777,4184	1463,7428	249,2678	39,0778	5,76	19,57
2011	06	Hoya de Huesca / Plana de Uesca	566,69	289,52	221,25	55,92	0	0
2011	07	Somontano de Barbastro	759,1566	432,189	290,1352	32,3524	3,9	0,58
2011	08	Cinca Medio	771,0852	408,2351	222,826	87,1441	52,88	0
2011	09	La Litera / La Llitera	156,263	39,98	11,043	50,58	54,66	0
2011	10	Los Monegros	7045,1911	5984,5509	394,4658	326,49	321,8	17,8844
2011	11	Bajo Cinca / Baix Cinca	401,2954	186,8354	37,18	78,48	80,09	18,71
2011	12	Tarazona y el Moncayo	131,09	62,61	12,17	56,31	0	0
2011	13	Campo de Borja	2616,3877	2204,5577	10,9	191,17	0	209,76
2011	14	Aranda	80,07	76,88	0	0	0	3,19
2011	15	Ribera Alta del Ebro	778,3344	685,55	2,32	87,0544	0	3,41
2011	16	Valdejalón	8865,4895	8362,0704	205,77	89,88	166,3591	41,41
2011	17	Central	4445,7266	2455,5166	156,18	386,22	1204,93	242,88
2011	18	Ribera Baja del Ebro	2168,3204	1972,7904	128,85	66,68	0	0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3241,3107	2621,1882	213,8273	274,6903	74,96	56,6449
2011	20	Comunidad de Calatayud	1497,482	1342,8941	101,42	8	45,1679	0
2011	21	Campo de Cariñena	1081,4529	1005,2029	53,19	5,91	0	17,15
2011	22	Campo de Belchite	9417,16	8726,9793	360,47	271,8207	0	57,89
2011	23	Bajo Martín	3226,9014	2720,119	425,72	26,6324	0	54,43
2011	24	Campo de Daroca	672,2092	392,8292	116,18	155,94	0	7,26
2011	25	Jiloca	1015,16	286,1	16,11	485,39	0	227,56
2011	26	Cuencas Mineras	426,5351	151,59	2,4351	248,61	0	23,9
2011	27	Andorra-Sierra de Arcos	354,5448	337,1609	12,674	2,49	0	2,2199
2011	28	Bajo Aragón	1712,2226	1472,3809	172,7075	60,21	0	6,9242
2011	29	Comunidad de Teruel	2049,698	1494,278	435,94	0	0	119,48
2011	30	Maestrazgo	150,77	150,77	0	0	0	0
2011	31	Sierra de Albarracín	1024,41	220,26	804,15	0	0	0
2011	32	Gúdar-Javalambre	410,8023	130,2605	88,3918	112,7	0	79,45
2011	33	Matarraña / Matarranya	2146,8015	1892,8184	188,8481	56,4671	3,74	4,9279
2012	01	La Jacetania	812,5585	0	0	803,55	0	9,0085
2012	02	Alto Gállego	209,454	192,494	0	16,96	0	0
2012	03	Sobrarbe	699,43	513,53	156,66	29,24	0	0
2012	04	La Ribagorza	212,84	211,91	0,93	0	0	0
2012	05	Cinco Villas	1807,6856	1514,0793	150,5863	100,64	5,76	36,62
