Mes y año	Sexo	Régimen	Afiliaciones en alta
Febrero 2021	Hombres	General	241544
Febrero 2021	Mujeres	General	223551
Febrero 2021	Hombres	Minería	39
Febrero 2021	Mujeres	Minería	4
Febrero 2021	Hombres	Autónomos	64979
Febrero 2021	Mujeres	Autónomos	34750
Enero 2021	Hombres	General	240336
Enero 2021	Mujeres	General	223817
Enero 2021	Hombres	Minería	39
Enero 2021	Mujeres	Minería	3
Enero 2021	Hombres	Autónomos	64873
Enero 2021	Mujeres	Autónomos	34723
Diciembre 2020	Hombres	General	237783
Diciembre 2020	Mujeres	General	224875
Diciembre 2020	Hombres	Minería	40
Diciembre 2020	Mujeres	Minería	3
Diciembre 2020	Hombres	Autónomos	65152
Diciembre 2020	Mujeres	Autónomos	34906
Noviembre 2020	Hombres	General	242683
Noviembre 2020	Mujeres	General	225682
Noviembre 2020	Hombres	Minería	41
Noviembre 2020	Mujeres	Minería	3
Noviembre 2020	Hombres	Autónomos	65160
Noviembre 2020	Mujeres	Autónomos	34831
Octubre 2020	Hombres	General	243235
Octubre 2020	Mujeres	General	227442
Octubre 2020	Hombres	Minería	52
Octubre 2020	Mujeres	Minería	3
Octubre 2020	Hombres	Autónomos	65298
Octubre 2020	Mujeres	Autónomos	34906
Septiembre 2020	Hombres	General	242176
Septiembre 2020	Mujeres	General	226004
Septiembre 2020	Hombres	Minería	52
Septiembre 2020	Mujeres	Minería	3
Septiembre 2020	Hombres	Autónomos	65319
Septiembre 2020	Mujeres	Autónomos	34802
Agosto 2020	Hombres	General	243417
Agosto 2020	Mujeres	General	219395
Agosto 2020	Hombres	Minería	53
Agosto 2020	Mujeres	Minería	3
Agosto 2020	Hombres	Autónomos	65540
Agosto 2020	Mujeres	Autónomos	34977
Julio 2020	Hombres	General	247995
Julio 2020	Mujeres	General	224477
Julio 2020	Hombres	Minería	53
Julio 2020	Mujeres	Minería	3
Julio 2020	Hombres	Autónomos	65637
Julio 2020	Mujeres	Autónomos	35071
Junio 2020	Hombres	General	248128
Junio 2020	Mujeres	General	222157
Junio 2020	Hombres	Minería	53
Junio 2020	Mujeres	Minería	3
Junio 2020	Hombres	Autónomos	65469
Junio 2020	Mujeres	Autónomos	34902
Mayo 2020	Hombres	General	246785
Mayo 2020	Mujeres	General	225485
Mayo 2020	Hombres	Minería	53
Mayo 2020	Mujeres	Minería	3
Mayo 2020	Hombres	Autónomos	65126
Mayo 2020	Mujeres	Autónomos	34685
Marzo 2020	Hombres	General	234622
Marzo 2020	Mujeres	General	222054
Marzo 2020	Hombres	Minería	55
Marzo 2020	Mujeres	Minería	3
Marzo 2020	Hombres	Autónomos	64925
Marzo 2020	Mujeres	Autónomos	34635
Diciembre 2019	Hombres	General	243983
Diciembre 2019	Mujeres	General	231186
Diciembre 2019	Hombres	Minería	61
Diciembre 2019	Mujeres	Minería	3
Diciembre 2019	Hombres	Autónomos	66074
Diciembre 2019	Mujeres	Autónomos	35632
Septiembre 2019	Hombres	General	246152
Septiembre 2019	Mujeres	General	229347
Septiembre 2019	Hombres	Minería	65
Septiembre 2019	Mujeres	Minería	3
Septiembre 2019	Hombres	Autónomos	66135
Septiembre 2019	Mujeres	Autónomos	35423
Junio 2019	Hombres	General	259729
Junio 2019	Mujeres	General	231967
Junio 2019	Hombres	Minería	67
Junio 2019	Mujeres	Minería	3
Junio 2019	Hombres	Autónomos	66772
Junio 2019	Mujeres	Autónomos	35846
Marzo 2019	Hombres	General	243871
Marzo 2019	Mujeres	General	226976
Marzo 2019	Hombres	Minería	67
Marzo 2019	Mujeres	Minería	4
Marzo 2019	Hombres	Autónomos	67898
Marzo 2019	Mujeres	Autónomos	36141
Diciembre 2018	Hombres	General	237453
Diciembre 2018	Mujeres	General	225892
Diciembre 2018	Hombres	Minería	104
Diciembre 2018	Mujeres	Minería	8
Diciembre 2018	Hombres	Autónomos	68184
Diciembre 2018	Mujeres	Autónomos	36346
Septiembre 2018	Hombres	General	242822
Septiembre 2018	Mujeres	General	226162
Septiembre 2018	Hombres	Minería	106
Septiembre 2018	Mujeres	Minería	8
Septiembre 2018	Hombres	Autónomos	68587
Septiembre 2018	Mujeres	Autónomos	36217
Junio 2018	Hombres	General	251445
Junio 2018	Mujeres	General	225933
Junio 2018	Hombres	Minería	108
Junio 2018	Mujeres	Minería	8
Junio 2018	Hombres	Autónomos	69017
Junio 2018	Mujeres	Autónomos	36554
Marzo 2018	Hombres	General	233624
Marzo 2018	Mujeres	General	219815
Marzo 2018	Hombres	Minería	111
Marzo 2018	Mujeres	Minería	8
Marzo 2018	Hombres	Autónomos	68810
Marzo 2018	Mujeres	Autónomos	36265
Diciembre 2017	Hombres	General	229762
Diciembre 2017	Mujeres	General	219379
Diciembre 2017	Hombres	Minería	112
Diciembre 2017	Mujeres	Minería	8
Diciembre 2017	Hombres	Autónomos	68692
Diciembre 2017	Mujeres	Autónomos	36142
Septiembre 2017	Hombres	General	234752
Septiembre 2017	Mujeres	General	219659
Septiembre 2017	Hombres	Minería	117
Septiembre 2017	Mujeres	Minería	8
Septiembre 2017	Hombres	Autónomos	68965
Septiembre 2017	Mujeres	Autónomos	36157
Junio 2017	Hombres	General	239815
Junio 2017	Mujeres	General	215633
Junio 2017	Hombres	Minería	129
Junio 2017	Mujeres	Minería	8
Junio 2017	Hombres	Autónomos	69194
Junio 2017	Mujeres	Autónomos	36405
Marzo 2017	Hombres	General	223136
Marzo 2017	Mujeres	General	211023
Marzo 2017	Hombres	Minería	131
Marzo 2017	Mujeres	Minería	8
Marzo 2017	Hombres	Autónomos	68823
Marzo 2017	Mujeres	Autónomos	36031
Diciembre 2016	Hombres	General	218791
Diciembre 2016	Mujeres	General	210896
Diciembre 2016	Hombres	Minería	200
Diciembre 2016	Mujeres	Minería	14
Diciembre 2016	Hombres	Autónomos	69096
Diciembre 2016	Mujeres	Autónomos	36428
