Mes y año	Municipio código	Municipio nombre	Sexo	Régimen	Afiliaciones en alta
Septiembre 2014	22001	Abiego	Hombres	General	18
Septiembre 2014	22001	Abiego	Mujeres	General	12
Septiembre 2014	22002	Abizanda	Hombres	General	14
Septiembre 2014	22002	Abizanda	Mujeres	General	19
Septiembre 2014	22003	Adahuesca	Hombres	General	12
Septiembre 2014	22003	Adahuesca	Mujeres	General	6
Septiembre 2014	22004	Agüero	Hombres	General	9
Septiembre 2014	22004	Agüero	Mujeres	General	7
Septiembre 2014	22006	Aísa	Hombres	General	59
Septiembre 2014	22006	Aísa	Mujeres	General	30
Septiembre 2014	22007	Albalate de Cinca	Hombres	General	135
Septiembre 2014	22007	Albalate de Cinca	Mujeres	General	88
Septiembre 2014	22008	Albalatillo	Hombres	General	16
Septiembre 2014	22008	Albalatillo	Mujeres	General	9
Septiembre 2014	22009	Albelda	Hombres	General	79
Septiembre 2014	22009	Albelda	Mujeres	General	72
Septiembre 2014	22011	Albero Alto	Hombres	General	9
Septiembre 2014	22011	Albero Alto	Mujeres	General	2
Septiembre 2014	22012	Albero Bajo	Hombres	General	4
Septiembre 2014	22012	Albero Bajo	Mujeres	General	2
Septiembre 2014	22013	Alberuela de Tubo	Hombres	General	11
Septiembre 2014	22013	Alberuela de Tubo	Mujeres	General	4
Septiembre 2014	22014	Alcalá de Gurrea	Hombres	General	22
Septiembre 2014	22014	Alcalá de Gurrea	Mujeres	General	11
Septiembre 2014	22015	Alcalá del Obispo	Hombres	General	17
Septiembre 2014	22015	Alcalá del Obispo	Mujeres	General	3
Septiembre 2014	22016	Alcampell	Hombres	General	66
Septiembre 2014	22016	Alcampell	Mujeres	General	65
Septiembre 2014	22017	Alcolea de Cinca	Hombres	General	300
Septiembre 2014	22017	Alcolea de Cinca	Mujeres	General	103
Septiembre 2014	22018	Alcubierre	Hombres	General	17
Septiembre 2014	22018	Alcubierre	Mujeres	General	34
Septiembre 2014	22019	Alerre	Hombres	General	3
Septiembre 2014	22019	Alerre	Mujeres	General	5
Septiembre 2014	22020	Alfántega	Hombres	General	5
Septiembre 2014	22020	Alfántega	Mujeres	General	4
Septiembre 2014	22021	Almudévar	Hombres	General	283
Septiembre 2014	22021	Almudévar	Mujeres	General	171
Septiembre 2014	22022	Almunia de San Juan	Hombres	General	52
Septiembre 2014	22022	Almunia de San Juan	Mujeres	General	33
Septiembre 2014	22023	Almuniente	Hombres	General	79
Septiembre 2014	22023	Almuniente	Mujeres	General	21
Septiembre 2014	22024	Alquézar	Hombres	General	58
Septiembre 2014	22024	Alquézar	Mujeres	General	45
Septiembre 2014	22025	Altorricón	Hombres	General	377
Septiembre 2014	22025	Altorricón	Mujeres	General	124
Septiembre 2014	22027	Angüés	Hombres	General	9
Septiembre 2014	22027	Angüés	Mujeres	General	27
Septiembre 2014	22028	Ansó	Hombres	General	19
Septiembre 2014	22028	Ansó	Mujeres	General	22
