Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Sexo	Régimen	Afiliaciones en alta
201612	Diciembre 2016	22	Huesca	Hombres	General	36239
201612	Diciembre 2016	22	Huesca	Mujeres	General	32971
201612	Diciembre 2016	44	Teruel	Hombres	General	19918
201612	Diciembre 2016	44	Teruel	Mujeres	General	17754
201612	Diciembre 2016	50	Zaragoza	Hombres	General	162634
201612	Diciembre 2016	50	Zaragoza	Mujeres	General	160171
201612	Diciembre 2016	44	Teruel	Hombres	Minería	170
201612	Diciembre 2016	44	Teruel	Mujeres	Minería	4
201612	Diciembre 2016	50	Zaragoza	Hombres	Minería	30
201612	Diciembre 2016	50	Zaragoza	Mujeres	Minería	10
201612	Diciembre 2016	22	Huesca	Hombres	Autónomos	15165
201612	Diciembre 2016	22	Huesca	Mujeres	Autónomos	7517
201612	Diciembre 2016	44	Teruel	Hombres	Autónomos	9023
201612	Diciembre 2016	44	Teruel	Mujeres	Autónomos	4716
201612	Diciembre 2016	50	Zaragoza	Hombres	Autónomos	44908
201612	Diciembre 2016	50	Zaragoza	Mujeres	Autónomos	24195
201609	Septiembre 2016	22	Huesca	Hombres	General	35566
201609	Septiembre 2016	22	Huesca	Mujeres	General	32124
201609	Septiembre 2016	44	Teruel	Hombres	General	20385
201609	Septiembre 2016	44	Teruel	Mujeres	General	17765
201609	Septiembre 2016	50	Zaragoza	Hombres	General	165657
201609	Septiembre 2016	50	Zaragoza	Mujeres	General	157889
201609	Septiembre 2016	44	Teruel	Hombres	Minería	194
201609	Septiembre 2016	44	Teruel	Mujeres	Minería	3
201609	Septiembre 2016	50	Zaragoza	Hombres	Minería	36
201609	Septiembre 2016	50	Zaragoza	Mujeres	Minería	10
201609	Septiembre 2016	22	Huesca	Hombres	Autónomos	15248
201609	Septiembre 2016	22	Huesca	Mujeres	Autónomos	7482
201609	Septiembre 2016	44	Teruel	Hombres	Autónomos	9100
201609	Septiembre 2016	44	Teruel	Mujeres	Autónomos	4754
201609	Septiembre 2016	50	Zaragoza	Hombres	Autónomos	44725
201609	Septiembre 2016	50	Zaragoza	Mujeres	Autónomos	23921
201606	Junio 2016	22	Huesca	Hombres	General	39372
201606	Junio 2016	22	Huesca	Mujeres	General	33465
201606	Junio 2016	44	Teruel	Hombres	General	20655
201606	Junio 2016	44	Teruel	Mujeres	General	17834
201606	Junio 2016	50	Zaragoza	Hombres	General	169896
201606	Junio 2016	50	Zaragoza	Mujeres	General	156526
201606	Junio 2016	44	Teruel	Hombres	Minería	203
201606	Junio 2016	44	Teruel	Mujeres	Minería	4
201606	Junio 2016	50	Zaragoza	Hombres	Minería	36
201606	Junio 2016	50	Zaragoza	Mujeres	Minería	10
201606	Junio 2016	22	Huesca	Hombres	Autónomos	15355
201606	Junio 2016	22	Huesca	Mujeres	Autónomos	7545
201606	Junio 2016	44	Teruel	Hombres	Autónomos	9159
201606	Junio 2016	44	Teruel	Mujeres	Autónomos	4783
201606	Junio 2016	50	Zaragoza	Hombres	Autónomos	45092
201606	Junio 2016	50	Zaragoza	Mujeres	Autónomos	24236
201603	Marzo 2016	22	Huesca	Hombres	General	34699
201603	Marzo 2016	22	Huesca	Mujeres	General	31587
201603	Marzo 2016	44	Teruel	Hombres	General	19718
201603	Marzo 2016	44	Teruel	Mujeres	General	17341
201603	Marzo 2016	50	Zaragoza	Hombres	General	159331
201603	Marzo 2016	50	Zaragoza	Mujeres	General	155581
201603	Marzo 2016	44	Teruel	Hombres	Minería	215
201603	Marzo 2016	44	Teruel	Mujeres	Minería	4
201603	Marzo 2016	50	Zaragoza	Hombres	Minería	38
201603	Marzo 2016	50	Zaragoza	Mujeres	Minería	10
201603	Marzo 2016	22	Huesca	Hombres	Autónomos	15313
