Mes (código)	Mes y año	Sexo	Nacionalidad	Afiliaciones en alta
202006	Junio 2020	Hombres	Españoles	262545
202006	Junio 2020	Mujeres	Españoles	221079
202006	Junio 2020	Hombres	No consta	63
202006	Junio 2020	Mujeres	No consta	38
202006	Junio 2020	Hombres	Extranjeros comunitarios (UE-28)	19105
202006	Junio 2020	Mujeres	Extranjeros comunitarios (UE-28)	18281
202006	Junio 2020	Hombres	Extranjeros comunitarios (UE-28)	7
202006	Junio 2020	Mujeres	Extranjeros comunitarios (UE-28)	6
202006	Junio 2020	Hombres	Extranjeros no comunitarios	28520
202006	Junio 2020	Mujeres	Extranjeros no comunitarios	15188
202006	Junio 2020	Hombres	Extranjeros comunitarios (UE-28)	3410
202006	Junio 2020	Mujeres	Extranjeros comunitarios (UE-28)	2470
202005	Mayo 2020	Hombres	Españoles	261444
202005	Mayo 2020	Mujeres	Españoles	225372
202005	Mayo 2020	Hombres	No consta	62
202005	Mayo 2020	Mujeres	No consta	39
202005	Mayo 2020	Hombres	Extranjeros comunitarios (UE-28)	18943
202005	Mayo 2020	Mujeres	Extranjeros comunitarios (UE-28)	17609
202005	Mayo 2020	Hombres	Extranjeros comunitarios (UE-28)	7
202005	Mayo 2020	Mujeres	Extranjeros comunitarios (UE-28)	7
202005	Mayo 2020	Hombres	Extranjeros no comunitarios	28098
202005	Mayo 2020	Mujeres	Extranjeros no comunitarios	14616
202005	Mayo 2020	Hombres	Extranjeros comunitarios (UE-28)	3410
202005	Mayo 2020	Mujeres	Extranjeros comunitarios (UE-28)	2530
202003	Marzo 2020	Hombres	Españoles	259217
202003	Marzo 2020	Mujeres	Españoles	225580
202003	Marzo 2020	Hombres	No consta	39
202003	Marzo 2020	Mujeres	No consta	30
202003	Marzo 2020	Hombres	Extranjeros comunitarios (UE-28)	15943
202003	Marzo 2020	Mujeres	Extranjeros comunitarios (UE-28)	15171
202003	Marzo 2020	Hombres	Extranjeros comunitarios (UE-28)	8
202003	Marzo 2020	Mujeres	Extranjeros comunitarios (UE-28)	7
202003	Marzo 2020	Hombres	Extranjeros no comunitarios	21122
202003	Marzo 2020	Mujeres	Extranjeros no comunitarios	13472
202003	Marzo 2020	Hombres	Extranjeros comunitarios (UE-28)	3273
202003	Marzo 2020	Mujeres	Extranjeros comunitarios (UE-28)	2432
201912	Diciembre 2019	Hombres	Españoles	267092
201912	Diciembre 2019	Mujeres	Españoles	233461
201912	Diciembre 2019	Hombres	No consta	42
201912	Diciembre 2019	Mujeres	No consta	32
201912	Diciembre 2019	Hombres	Extranjeros comunitarios (UE-28)	16468
201912	Diciembre 2019	Mujeres	Extranjeros comunitarios (UE-28)	15742
201912	Diciembre 2019	Hombres	Extranjeros comunitarios (UE-28)	6
201912	Diciembre 2019	Mujeres	Extranjeros comunitarios (UE-28)	8
