Mes (código)	Mes y año	Provincia código	Provincia nombre	Sexo	Nacionalidad	Afiliaciones en alta
201712	Diciembre 2017	22	Huesca	Hombres	Españoles	45753
201712	Diciembre 2017	22	Huesca	Mujeres	Españoles	37205
201712	Diciembre 2017	22	Huesca	Hombres	No consta	3
201712	Diciembre 2017	22	Huesca	Mujeres	No consta	5
201712	Diciembre 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2998
201712	Diciembre 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2296
201712	Diciembre 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	1
201712	Diciembre 2017	22	Huesca	Hombres	Extranjeros no comunitarios	3758
201712	Diciembre 2017	22	Huesca	Mujeres	Extranjeros no comunitarios	1604
201712	Diciembre 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	625
201712	Diciembre 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	525
201712	Diciembre 2017	44	Teruel	Hombres	Españoles	26171
201712	Diciembre 2017	44	Teruel	Mujeres	Españoles	20993
201712	Diciembre 2017	44	Teruel	Hombres	No consta	2
201712	Diciembre 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1740
201712	Diciembre 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1365
201712	Diciembre 2017	44	Teruel	Hombres	Extranjeros no comunitarios	1874
201712	Diciembre 2017	44	Teruel	Mujeres	Extranjeros no comunitarios	656
201712	Diciembre 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	264
201712	Diciembre 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	156
201712	Diciembre 2017	50	Zaragoza	Hombres	Españoles	190105
201712	Diciembre 2017	50	Zaragoza	Mujeres	Españoles	167803
201712	Diciembre 2017	50	Zaragoza	Hombres	No consta	28
201712	Diciembre 2017	50	Zaragoza	Mujeres	No consta	19
201712	Diciembre 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	10395
201712	Diciembre 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	11143
201712	Diciembre 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	6
201712	Diciembre 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	6
201712	Diciembre 2017	50	Zaragoza	Hombres	Extranjeros no comunitarios	12596
201712	Diciembre 2017	50	Zaragoza	Mujeres	Extranjeros no comunitarios	10160
201712	Diciembre 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2247
201712	Diciembre 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1593
201709	Septiembre 2017	22	Huesca	Hombres	Españoles	45006
201709	Septiembre 2017	22	Huesca	Mujeres	Españoles	36265
201709	Septiembre 2017	22	Huesca	Hombres	No consta	2
201709	Septiembre 2017	22	Huesca	Mujeres	No consta	5
201709	Septiembre 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	3042
201709	Septiembre 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2660
201709	Septiembre 2017	22	Huesca	Hombres	Extranjeros no comunitarios	3933
201709	Septiembre 2017	22	Huesca	Mujeres	Extranjeros no comunitarios	1677
201709	Septiembre 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	607
201709	Septiembre 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	510
201709	Septiembre 2017	44	Teruel	Hombres	Españoles	26405
201709	Septiembre 2017	44	Teruel	Mujeres	Españoles	21066
201709	Septiembre 2017	44	Teruel	Hombres	No consta	3
201709	Septiembre 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1909
201709	Septiembre 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1580
201709	Septiembre 2017	44	Teruel	Hombres	Extranjeros no comunitarios	1952
201709	Septiembre 2017	44	Teruel	Mujeres	Extranjeros no comunitarios	691
201709	Septiembre 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	272
201709	Septiembre 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	166
201709	Septiembre 2017	50	Zaragoza	Hombres	Españoles	192822
201709	Septiembre 2017	50	Zaragoza	Mujeres	Españoles	166733
201709	Septiembre 2017	50	Zaragoza	Hombres	No consta	35
201709	Septiembre 2017	50	Zaragoza	Mujeres	No consta	21
201709	Septiembre 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	11193
201709	Septiembre 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	12206
201709	Septiembre 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	5
201709	Septiembre 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	5
201709	Septiembre 2017	50	Zaragoza	Hombres	Extranjeros no comunitarios	14367
201709	Septiembre 2017	50	Zaragoza	Mujeres	Extranjeros no comunitarios	10637
201709	Septiembre 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2281
201709	Septiembre 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1602
201706	Junio 2017	22	Huesca	Hombres	Españoles	45795
201706	Junio 2017	22	Huesca	Mujeres	Españoles	36138
201706	Junio 2017	22	Huesca	Hombres	No consta	4
201706	Junio 2017	22	Huesca	Mujeres	No consta	9
201706	Junio 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	4603
201706	Junio 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	4027
