Mes (código)	Mes y año	Sector de actividad	Sexo	Afiliaciones en alta	'Aragón'
201806	Junio 2018	Agricultura, ganadería y pesca	Hombres	39570	Aragón
201806	Junio 2018	Agricultura, ganadería y pesca	Mujeres	11472	Aragón
201806	Junio 2018	Industria y energía	Hombres	75759	Aragón
201806	Junio 2018	Industria y energía	Mujeres	24900	Aragón
201806	Junio 2018	Construcción	Hombres	31498	Aragón
201806	Junio 2018	Construcción	Mujeres	3678	Aragón
201806	Junio 2018	Servicios	Hombres	173743	Aragón
201806	Junio 2018	Servicios	Mujeres	222445	Aragón
201803	Marzo 2018	Agricultura, ganadería y pesca	Hombres	28832	Aragón
201803	Marzo 2018	Agricultura, ganadería y pesca	Mujeres	7235	Aragón
201803	Marzo 2018	Industria y energía	Hombres	74296	Aragón
201803	Marzo 2018	Industria y energía	Mujeres	23986	Aragón
201803	Marzo 2018	Construcción	Hombres	29977	Aragón
201803	Marzo 2018	Construcción	Mujeres	3626	Aragón
201803	Marzo 2018	Servicios	Hombres	169440	Aragón
201803	Marzo 2018	Servicios	Mujeres	221241	Aragón
201712	Diciembre 2017	Agricultura, ganadería y pesca	Hombres	28721	Aragón
201712	Diciembre 2017	Agricultura, ganadería y pesca	Mujeres	7357	Aragón
201712	Diciembre 2017	Industria y energía	Hombres	73243	Aragón
201712	Diciembre 2017	Industria y energía	Mujeres	23646	Aragón
201712	Diciembre 2017	Construcción	Hombres	29382	Aragón
201712	Diciembre 2017	Construcción	Mujeres	3560	Aragón
201712	Diciembre 2017	Servicios	Hombres	167220	Aragón
201712	Diciembre 2017	Servicios	Mujeres	220966	Aragón
201709	Septiembre 2017	Agricultura, ganadería y pesca	Hombres	31429	Aragón
201709	Septiembre 2017	Agricultura, ganadería y pesca	Mujeres	8630	Aragón
201709	Septiembre 2017	Industria y energía	Hombres	73527	Aragón
201709	Septiembre 2017	Industria y energía	Mujeres	23865	Aragón
201709	Septiembre 2017	Construcción	Hombres	30142	Aragón
