Mes y año	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Junio 2019	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	48943
Junio 2019	02	Silvicultura y explotación forestal	2148
Junio 2019	03	Pesca y acuicultura	145
Junio 2019	05	Extracción de antracita, hulla y lignito	76
Junio 2019	07	Extracción de minerales metálicos	44
Junio 2019	08	Otras industrias extractivas	779
Junio 2019	09	Actividades de apoyo a las industrias extractivas	9
Junio 2019	10	Industria de la alimentación	15569
Junio 2019	11	Fabricación de bebidas	1351
Junio 2019	13	Industria textil	911
Junio 2019	14	Confección de prendas de vestir	1165
Junio 2019	15	Industria del cuero y del calzado	969
Junio 2019	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	2101
Junio 2019	17	Industria del papel	2672
Junio 2019	18	Artes gráficas y reproducción de soportes grabados	1622
Junio 2019	19	Coquerías y refino de petróleo	1
Junio 2019	20	Industria química	4057
Junio 2019	21	Fabricación de productos farmacéuticos	1327
Junio 2019	22	Fabricación de productos de caucho y plásticos	4263
Junio 2019	23	Fabricación de otros productos minerales no metálicos	3566
Junio 2019	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3214
Junio 2019	25	Fabricación de productos metálicos, excepto maquinaria y equipo	10346
Junio 2019	26	Fabricación de productos informáticos, electrónicos y ópticos	1723
Junio 2019	27	Fabricación de material y equipo eléctrico	5671
Junio 2019	28	Fabricación de maquinaria y equipo n.c.o.p.	7098
Junio 2019	29	Fabricación de vehículos de motor, remolques y semirremolques	17689
Junio 2019	30	Fabricación de otro material de transporte	1336
Junio 2019	31	Fabricación de muebles	3448
Junio 2019	32	Otras industrias manufactureras	1560
Junio 2019	33	Reparación e instalación de maquinaria y equipo	3570
Junio 2019	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1115
Junio 2019	36	Captación, depuración y distribución de agua	1617
Junio 2019	37	Recogida y tratamiento de aguas residuales	244
Junio 2019	38	Recogida, tratamiento y eliminación de residuos; valorización	3293
Junio 2019	39	Actividades de descontaminación y otros servicios de gestión de residuos	22
Junio 2019	41	Construcción de edificios	11970
Junio 2019	42	Ingeniería civil	2044
Junio 2019	43	Actividades de construcción especializada	23221
Junio 2019	45	Venta y reparación de vehículos de motor y motocicletas	9880
Junio 2019	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	28703
Junio 2019	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	50331
Junio 2019	49	Transporte terrestre y por tubería	22446
Junio 2019	50	Transporte marítimo y por vías navegables interiores	6
Junio 2019	51	Transporte aéreo	63
Junio 2019	52	Almacenamiento y actividades anexas al transporte	6667
Junio 2019	53	Actividades postales y de correos	2072
Junio 2019	55	Servicios de alojamiento	6940
Junio 2019	56	Servicios de comidas y bebidas	32594
Junio 2019	58	Edición	1219
Junio 2019	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	1004
Junio 2019	60	Actividades de programación y emisión de radio y televisión	420
Junio 2019	61	Telecomunicaciones	1121
Junio 2019	62	Programación, consultoría y otras actividades relacionadas con la informática	6286
Junio 2019	63	Servicios de información	418
Junio 2019	64	Servicios financieros, excepto seguros y fondos de pensiones	5692
Junio 2019	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1186
Junio 2019	66	Actividades auxiliares a los servicios financieros y a los seguros	2718
