Mes y año	Edad	Sexo	Afiliaciones en alta
Marzo 2010	16-19	Hombres	175
Marzo 2010	16-19	Mujeres	69
Marzo 2010	20-24	Hombres	1564
Marzo 2010	20-24	Mujeres	640
Marzo 2010	25-29	Hombres	4200
Marzo 2010	25-29	Mujeres	1961
Marzo 2010	30-34	Hombres	7717
Marzo 2010	30-34	Mujeres	3488
Marzo 2010	35-39	Hombres	9913
Marzo 2010	35-39	Mujeres	4654
Marzo 2010	40-44	Hombres	10801
Marzo 2010	40-44	Mujeres	5164
Marzo 2010	45-49	Hombres	11247
Marzo 2010	45-49	Mujeres	5335
Marzo 2010	50-54	Hombres	10016
Marzo 2010	50-54	Mujeres	5045
Marzo 2010	55-59	Hombres	8409
Marzo 2010	55-59	Mujeres	4247
Marzo 2010	60-64	Hombres	7291
Marzo 2010	60-64	Mujeres	3569
Marzo 2010	65-69	Hombres	934
Marzo 2010	65-69	Mujeres	603
Marzo 2010	Más de 69	Hombres	248
Marzo 2010	Más de 69	Mujeres	227
Marzo 2010	Sin clasificar	Hombres	1
Marzo 2010	Sin clasificar	Mujeres	4
Junio 2010	16-19	Hombres	177
Junio 2010	16-19	Mujeres	77
Junio 2010	20-24	Hombres	1558
Junio 2010	20-24	Mujeres	723
Junio 2010	25-29	Hombres	4066
Junio 2010	25-29	Mujeres	1947
Junio 2010	30-34	Hombres	7652
Junio 2010	30-34	Mujeres	3439
Junio 2010	35-39	Hombres	9885
Junio 2010	35-39	Mujeres	4633
Junio 2010	40-44	Hombres	10852
Junio 2010	40-44	Mujeres	5169
Junio 2010	45-49	Hombres	11187
Junio 2010	45-49	Mujeres	5353
Junio 2010	50-54	Hombres	10106
Junio 2010	50-54	Mujeres	5051
Junio 2010	55-59	Hombres	8451
Junio 2010	55-59	Mujeres	4260
Junio 2010	60-64	Hombres	7214
Junio 2010	60-64	Mujeres	3572
Junio 2010	65-69	Hombres	945
Junio 2010	65-69	Mujeres	618
Junio 2010	Más de 69	Hombres	244
Junio 2010	Más de 69	Mujeres	234
Junio 2010	Sin clasificar	Hombres	1
Junio 2010	Sin clasificar	Mujeres	2
Septiembre 2010	16-19	Hombres	166
Septiembre 2010	16-19	Mujeres	68
Septiembre 2010	20-24	Hombres	1488
Septiembre 2010	20-24	Mujeres	696
Septiembre 2010	25-29	Hombres	3909
Septiembre 2010	25-29	Mujeres	1902
Septiembre 2010	30-34	Hombres	7452
Septiembre 2010	30-34	Mujeres	3423
Septiembre 2010	35-39	Hombres	9727
Septiembre 2010	35-39	Mujeres	4612
Septiembre 2010	40-44	Hombres	10718
Septiembre 2010	40-44	Mujeres	5113
Septiembre 2010	45-49	Hombres	11158
Septiembre 2010	45-49	Mujeres	5347
Septiembre 2010	50-54	Hombres	10108
Septiembre 2010	50-54	Mujeres	5057
Septiembre 2010	55-59	Hombres	8472
Septiembre 2010	55-59	Mujeres	4287
Septiembre 2010	60-64	Hombres	7189
Septiembre 2010	60-64	Mujeres	3571
Septiembre 2010	65-69	Hombres	918
Septiembre 2010	65-69	Mujeres	636
Septiembre 2010	Más de 69	Hombres	254
Septiembre 2010	Más de 69	Mujeres	232
Septiembre 2010	Sin clasificar	Hombres	1
