Mes y año	Comarca código	Comarca nombre	Sexo	Afiliaciones en alta
Mayo 2021	01	La Jacetania	Hombres	2
Mayo 2021	02	Alto Gállego	Hombres	4
Mayo 2021	04	La Ribagorza	Hombres	2
Mayo 2021	05	Cinco Villas	Hombres	8
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	12
Mayo 2021	07	Somontano de Barbastro	Hombres	2
Mayo 2021	08	Cinca Medio	Hombres	4
Mayo 2021	09	La Litera / La Llitera	Hombres	3
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	2
Mayo 2021	13	Campo de Borja	Hombres	3
Mayo 2021	15	Ribera Alta del Ebro	Hombres	7
Mayo 2021	16	Valdejalón	Hombres	4
Mayo 2021	17	Central	Hombres	101
Mayo 2021	18	Ribera Baja del Ebro	Hombres	1
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	2
Mayo 2021	20	Comunidad de Calatayud	Hombres	8
Mayo 2021	21	Campo de Cariñena	Hombres	4
Mayo 2021	22	Campo de Belchite	Hombres	2
Mayo 2021	23	Bajo Martín	Hombres	2
Mayo 2021	24	Campo de Daroca	Hombres	1
Mayo 2021	25	Jiloca	Hombres	3
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	2
Mayo 2021	28	Bajo Aragón	Hombres	6
Mayo 2021	29	Comunidad de Teruel	Hombres	8
Mayo 2021	30	Maestrazgo	Hombres	1
Mayo 2021	31	Sierra de Albarracín	Hombres	1
Mayo 2021	33	Matarraña / Matarranya	Hombres	2
Mayo 2021	01	La Jacetania	Mujeres	1
Mayo 2021	02	Alto Gállego	Mujeres	3
Mayo 2021	04	La Ribagorza	Mujeres	1
Mayo 2021	05	Cinco Villas	Mujeres	2
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	6
Mayo 2021	08	Cinca Medio	Mujeres	2
Mayo 2021	09	La Litera / La Llitera	Mujeres	2
Mayo 2021	11	Bajo Cinca / Baix Cinca	Mujeres	2
Mayo 2021	12	Tarazona y el Moncayo	Mujeres	1
Mayo 2021	13	Campo de Borja	Mujeres	1
Mayo 2021	16	Valdejalón	Mujeres	1
Mayo 2021	17	Central	Mujeres	41
Mayo 2021	18	Ribera Baja del Ebro	Mujeres	3
Mayo 2021	20	Comunidad de Calatayud	Mujeres	1
Mayo 2021	23	Bajo Martín	Mujeres	1
Mayo 2021	25	Jiloca	Mujeres	1
Mayo 2021	27	Andorra-Sierra de Arcos	Mujeres	2
Mayo 2021	28	Bajo Aragón	Mujeres	3
Mayo 2021	29	Comunidad de Teruel	Mujeres	3
Mayo 2021	01	La Jacetania	Hombres	21
Mayo 2021	02	Alto Gállego	Hombres	9
Mayo 2021	03	Sobrarbe	Hombres	17
Mayo 2021	04	La Ribagorza	Hombres	18
Mayo 2021	05	Cinco Villas	Hombres	57
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	62
Mayo 2021	07	Somontano de Barbastro	Hombres	36
Mayo 2021	08	Cinca Medio	Hombres	24
Mayo 2021	09	La Litera / La Llitera	Hombres	28
Mayo 2021	10	Los Monegros	Hombres	46
Mayo 2021	11	Bajo Cinca / Baix Cinca	Hombres	35
Mayo 2021	12	Tarazona y el Moncayo	Hombres	13
Mayo 2021	13	Campo de Borja	Hombres	23
Mayo 2021	14	Aranda	Hombres	7
Mayo 2021	15	Ribera Alta del Ebro	Hombres	25
Mayo 2021	16	Valdejalón	Hombres	23
Mayo 2021	17	Central	Hombres	648
Mayo 2021	18	Ribera Baja del Ebro	Hombres	6
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	19
Mayo 2021	20	Comunidad de Calatayud	Hombres	31
Mayo 2021	21	Campo de Cariñena	Hombres	9
Mayo 2021	22	Campo de Belchite	Hombres	15
Mayo 2021	23	Bajo Martín	Hombres	14
Mayo 2021	24	Campo de Daroca	Hombres	12
Mayo 2021	25	Jiloca	Hombres	29
Mayo 2021	26	Cuencas Mineras	Hombres	9
Mayo 2021	27	Andorra-Sierra de Arcos	Hombres	11
Mayo 2021	28	Bajo Aragón	Hombres	34
Mayo 2021	29	Comunidad de Teruel	Hombres	47
Mayo 2021	30	Maestrazgo	Hombres	5
Mayo 2021	31	Sierra de Albarracín	Hombres	6
