Mes y año	Sector de actividad	Sexo	Afiliaciones en alta
Diciembre 2015	Agricultura, ganadería y pesca	Hombres	14382
Diciembre 2015	Agricultura, ganadería y pesca	Mujeres	4721
Diciembre 2015	Industria y energía	Hombres	6579
Diciembre 2015	Industria y energía	Mujeres	2619
Diciembre 2015	Construcción	Hombres	11416
Diciembre 2015	Construcción	Mujeres	1055
Diciembre 2015	Servicios	Hombres	37201
Diciembre 2015	Servicios	Mujeres	28030
Septiembre 2015	Agricultura, ganadería y pesca	Hombres	14433
Septiembre 2015	Agricultura, ganadería y pesca	Mujeres	4736
Septiembre 2015	Industria y energía	Hombres	6396
Septiembre 2015	Industria y energía	Mujeres	2550
Septiembre 2015	Construcción	Hombres	11503
Septiembre 2015	Construcción	Mujeres	1046
Septiembre 2015	Servicios	Hombres	37231
Septiembre 2015	Servicios	Mujeres	27813
Junio 2015	Agricultura, ganadería y pesca	Hombres	14505
Junio 2015	Agricultura, ganadería y pesca	Mujeres	4766
Junio 2015	Industria y energía	Hombres	6323
Junio 2015	Industria y energía	Mujeres	2511
Junio 2015	Construcción	Hombres	11608
Junio 2015	Construcción	Mujeres	1052
Junio 2015	Servicios	Hombres	37481
Junio 2015	Servicios	Mujeres	28085
Marzo 2015	Agricultura, ganadería y pesca	Hombres	14461
Marzo 2015	Agricultura, ganadería y pesca	Mujeres	4709
Marzo 2015	Industria y energía	Hombres	6249
Marzo 2015	Industria y energía	Mujeres	2458
Marzo 2015	Construcción	Hombres	11384
Marzo 2015	Construcción	Mujeres	1050
Marzo 2015	Servicios	Hombres	37148
Marzo 2015	Servicios	Mujeres	27666
Diciembre 2014	Agricultura, ganadería y pesca	Hombres	14526
Diciembre 2014	Agricultura, ganadería y pesca	Mujeres	4702
Diciembre 2014	Industria y energía	Hombres	6282
Diciembre 2014	Industria y energía	Mujeres	2480
Diciembre 2014	Construcción	Hombres	11403
Diciembre 2014	Construcción	Mujeres	1059
Diciembre 2014	Servicios	Hombres	37241
Diciembre 2014	Servicios	Mujeres	27998
Septiembre 2014	Agricultura, ganadería y pesca	Hombres	14564
Septiembre 2014	Agricultura, ganadería y pesca	Mujeres	4728
Septiembre 2014	Industria y energía	Hombres	6220
Septiembre 2014	Industria y energía	Mujeres	2426
Septiembre 2014	Construcción	Hombres	11557
Septiembre 2014	Construcción	Mujeres	1057
Septiembre 2014	Servicios	Hombres	37053
Septiembre 2014	Servicios	Mujeres	27617
Junio 2014	Agricultura, ganadería y pesca	Hombres	14594
Junio 2014	Agricultura, ganadería y pesca	Mujeres	4736
