Mes y año	Sexo	Provincia código	Provincia nombre	Sector de actividad	Afiliaciones en alta
Octubre 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5211
Octubre 2020	Hombres	22	Huesca	Industria y energía	893
Octubre 2020	Hombres	22	Huesca	Construcción	2318
Octubre 2020	Hombres	22	Huesca	Servicios	6019
Octubre 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2853
Octubre 2020	Hombres	44	Teruel	Industria y energía	655
Octubre 2020	Hombres	44	Teruel	Construcción	1586
Octubre 2020	Hombres	44	Teruel	Servicios	3471
Octubre 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5870
Octubre 2020	Hombres	50	Zaragoza	Industria y energía	3334
Octubre 2020	Hombres	50	Zaragoza	Construcción	6732
Octubre 2020	Hombres	50	Zaragoza	Servicios	26356
Octubre 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1522
Octubre 2020	Mujeres	22	Huesca	Industria y energía	436
Octubre 2020	Mujeres	22	Huesca	Construcción	211
Octubre 2020	Mujeres	22	Huesca	Servicios	5118
Octubre 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1142
Octubre 2020	Mujeres	44	Teruel	Industria y energía	233
Octubre 2020	Mujeres	44	Teruel	Construcción	108
Octubre 2020	Mujeres	44	Teruel	Servicios	3007
Octubre 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1866
Octubre 2020	Mujeres	50	Zaragoza	Industria y energía	1273
Octubre 2020	Mujeres	50	Zaragoza	Construcción	761
Octubre 2020	Mujeres	50	Zaragoza	Servicios	19229
Septiembre 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5219
Septiembre 2020	Hombres	22	Huesca	Industria y energía	890
Septiembre 2020	Hombres	22	Huesca	Construcción	2315
Septiembre 2020	Hombres	22	Huesca	Servicios	6055
Septiembre 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2859
Septiembre 2020	Hombres	44	Teruel	Industria y energía	657
Septiembre 2020	Hombres	44	Teruel	Construcción	1585
Septiembre 2020	Hombres	44	Teruel	Servicios	3453
Septiembre 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5879
Septiembre 2020	Hombres	50	Zaragoza	Industria y energía	3399
Septiembre 2020	Hombres	50	Zaragoza	Construcción	6701
Septiembre 2020	Hombres	50	Zaragoza	Servicios	26307
Septiembre 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1522
Septiembre 2020	Mujeres	22	Huesca	Industria y energía	441
Septiembre 2020	Mujeres	22	Huesca	Construcción	211
Septiembre 2020	Mujeres	22	Huesca	Servicios	5102
Septiembre 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1145
Septiembre 2020	Mujeres	44	Teruel	Industria y energía	231
Septiembre 2020	Mujeres	44	Teruel	Construcción	108
Septiembre 2020	Mujeres	44	Teruel	Servicios	2994
Septiembre 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1867
Septiembre 2020	Mujeres	50	Zaragoza	Industria y energía	1273
Septiembre 2020	Mujeres	50	Zaragoza	Construcción	753
Septiembre 2020	Mujeres	50	Zaragoza	Servicios	19155
Agosto 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5234
Agosto 2020	Hombres	22	Huesca	Industria y energía	894
Agosto 2020	Hombres	22	Huesca	Construcción	2324
Agosto 2020	Hombres	22	Huesca	Servicios	6123
Agosto 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2866
Agosto 2020	Hombres	44	Teruel	Industria y energía	662
Agosto 2020	Hombres	44	Teruel	Construcción	1596
Agosto 2020	Hombres	44	Teruel	Servicios	3480
Agosto 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5885
Agosto 2020	Hombres	50	Zaragoza	Industria y energía	3430
Agosto 2020	Hombres	50	Zaragoza	Construcción	6697
Agosto 2020	Hombres	50	Zaragoza	Servicios	26349
Agosto 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1531
Agosto 2020	Mujeres	22	Huesca	Industria y energía	441
Agosto 2020	Mujeres	22	Huesca	Construcción	214
Agosto 2020	Mujeres	22	Huesca	Servicios	5173
Agosto 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1156
Agosto 2020	Mujeres	44	Teruel	Industria y energía	233
Agosto 2020	Mujeres	44	Teruel	Construcción	111
Agosto 2020	Mujeres	44	Teruel	Servicios	3011
Agosto 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1873
Agosto 2020	Mujeres	50	Zaragoza	Industria y energía	1289
Agosto 2020	Mujeres	50	Zaragoza	Construcción	748
Agosto 2020	Mujeres	50	Zaragoza	Servicios	19197
Julio 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5247
Julio 2020	Hombres	22	Huesca	Industria y energía	894
Julio 2020	Hombres	22	Huesca	Construcción	2338
Julio 2020	Hombres	22	Huesca	Servicios	6147
Julio 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2880
Julio 2020	Hombres	44	Teruel	Industria y energía	666
Julio 2020	Hombres	44	Teruel	Construcción	1609
Julio 2020	Hombres	44	Teruel	Servicios	3480
Julio 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5896
Julio 2020	Hombres	50	Zaragoza	Industria y energía	3438
Julio 2020	Hombres	50	Zaragoza	Construcción	6689
Julio 2020	Hombres	50	Zaragoza	Servicios	26353
Julio 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1536
Julio 2020	Mujeres	22	Huesca	Industria y energía	444
Julio 2020	Mujeres	22	Huesca	Construcción	214
Julio 2020	Mujeres	22	Huesca	Servicios	5183
Julio 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1159
Julio 2020	Mujeres	44	Teruel	Industria y energía	237
Julio 2020	Mujeres	44	Teruel	Construcción	112
Julio 2020	Mujeres	44	Teruel	Servicios	3020
Julio 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1873
Julio 2020	Mujeres	50	Zaragoza	Industria y energía	1302
Julio 2020	Mujeres	50	Zaragoza	Construcción	746
Julio 2020	Mujeres	50	Zaragoza	Servicios	19245
Junio 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5263
Junio 2020	Hombres	22	Huesca	Industria y energía	901
Junio 2020	Hombres	22	Huesca	Construcción	2331
Junio 2020	Hombres	22	Huesca	Servicios	6039
Junio 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2892
Junio 2020	Hombres	44	Teruel	Industria y energía	668
Junio 2020	Hombres	44	Teruel	Construcción	1606
Junio 2020	Hombres	44	Teruel	Servicios	3458
Junio 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5903
Junio 2020	Hombres	50	Zaragoza	Industria y energía	3462
Junio 2020	Hombres	50	Zaragoza	Construcción	6672
Junio 2020	Hombres	50	Zaragoza	Servicios	26274
Junio 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1537
Junio 2020	Mujeres	22	Huesca	Industria y energía	445
Junio 2020	Mujeres	22	Huesca	Construcción	214
Junio 2020	Mujeres	22	Huesca	Servicios	5069
Junio 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1167
Junio 2020	Mujeres	44	Teruel	Industria y energía	234
Junio 2020	Mujeres	44	Teruel	Construcción	113
Junio 2020	Mujeres	44	Teruel	Servicios	3013
Junio 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1871
Junio 2020	Mujeres	50	Zaragoza	Industria y energía	1302
Junio 2020	Mujeres	50	Zaragoza	Construcción	744
Junio 2020	Mujeres	50	Zaragoza	Servicios	19193
Mayo 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5268
Mayo 2020	Hombres	22	Huesca	Industria y energía	899
Mayo 2020	Hombres	22	Huesca	Construcción	2324
Mayo 2020	Hombres	22	Huesca	Servicios	5998
Mayo 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2892
Mayo 2020	Hombres	44	Teruel	Industria y energía	663
Mayo 2020	Hombres	44	Teruel	Construcción	1598
Mayo 2020	Hombres	44	Teruel	Servicios	3442
Mayo 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5890
Mayo 2020	Hombres	50	Zaragoza	Industria y energía	3467
Mayo 2020	Hombres	50	Zaragoza	Construcción	6602
Mayo 2020	Hombres	50	Zaragoza	Servicios	26083
Mayo 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1535
Mayo 2020	Mujeres	22	Huesca	Industria y energía	440
Mayo 2020	Mujeres	22	Huesca	Construcción	211
Mayo 2020	Mujeres	22	Huesca	Servicios	5027
Mayo 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1167
Mayo 2020	Mujeres	44	Teruel	Industria y energía	232
Mayo 2020	Mujeres	44	Teruel	Construcción	112
Mayo 2020	Mujeres	44	Teruel	Servicios	2997
Mayo 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1872
Mayo 2020	Mujeres	50	Zaragoza	Industria y energía	1295
Mayo 2020	Mujeres	50	Zaragoza	Construcción	745
Mayo 2020	Mujeres	50	Zaragoza	Servicios	19052
Marzo 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	5239
Marzo 2020	Hombres	22	Huesca	Industria y energía	908
Marzo 2020	Hombres	22	Huesca	Construcción	2329
Marzo 2020	Hombres	22	Huesca	Servicios	6008
Marzo 2020	Hombres	44	Teruel	Agricultura, ganadería y pesca	2882
Marzo 2020	Hombres	44	Teruel	Industria y energía	667
Marzo 2020	Hombres	44	Teruel	Construcción	1593
Marzo 2020	Hombres	44	Teruel	Servicios	3424
Marzo 2020	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5868
Marzo 2020	Hombres	50	Zaragoza	Industria y energía	3508
Marzo 2020	Hombres	50	Zaragoza	Construcción	6602
Marzo 2020	Hombres	50	Zaragoza	Servicios	25897
Marzo 2020	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1533
Marzo 2020	Mujeres	22	Huesca	Industria y energía	442
Marzo 2020	Mujeres	22	Huesca	Construcción	213
Marzo 2020	Mujeres	22	Huesca	Servicios	5045
Marzo 2020	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1173
Marzo 2020	Mujeres	44	Teruel	Industria y energía	243
Marzo 2020	Mujeres	44	Teruel	Construcción	110
Marzo 2020	Mujeres	44	Teruel	Servicios	2996
Marzo 2020	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1857
Marzo 2020	Mujeres	50	Zaragoza	Industria y energía	1314
Marzo 2020	Mujeres	50	Zaragoza	Construcción	751
Marzo 2020	Mujeres	50	Zaragoza	Servicios	18958
Diciembre 2019	Hombres	22	Huesca	Agricultura, ganadería y pesca	5249
Diciembre 2019	Hombres	22	Huesca	Industria y energía	915
Diciembre 2019	Hombres	22	Huesca	Construcción	2362
Diciembre 2019	Hombres	22	Huesca	Servicios	6184
Diciembre 2019	Hombres	44	Teruel	Agricultura, ganadería y pesca	2891
Diciembre 2019	Hombres	44	Teruel	Industria y energía	681
Diciembre 2019	Hombres	44	Teruel	Construcción	1616
Diciembre 2019	Hombres	44	Teruel	Servicios	3478
Diciembre 2019	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	5877
Diciembre 2019	Hombres	50	Zaragoza	Industria y energía	3530
Diciembre 2019	Hombres	50	Zaragoza	Construcción	6645
Diciembre 2019	Hombres	50	Zaragoza	Servicios	26646
Diciembre 2019	Mujeres	22	Huesca	Agricultura, ganadería y pesca	1549
Diciembre 2019	Mujeres	22	Huesca	Industria y energía	483
Diciembre 2019	Mujeres	22	Huesca	Construcción	217
Diciembre 2019	Mujeres	22	Huesca	Servicios	5171
Diciembre 2019	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1184
Diciembre 2019	Mujeres	44	Teruel	Industria y energía	247
Diciembre 2019	Mujeres	44	Teruel	Construcción	115
Diciembre 2019	Mujeres	44	Teruel	Servicios	3023
Diciembre 2019	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	1851
Diciembre 2019	Mujeres	50	Zaragoza	Industria y energía	1349
Diciembre 2019	Mujeres	50	Zaragoza	Construcción	763
Diciembre 2019	Mujeres	50	Zaragoza	Servicios	19680
Septiembre 2019	Hombres	22	Huesca	Agricultura, ganadería y pesca	5277
Septiembre 2019	Hombres	22	Huesca	Industria y energía	910
