Mes y año	Temporalidad	Sexo	Afiliaciones en alta
Marzo 2010	Indefinido	Hombres	150617
Marzo 2010	Indefinido	Mujeres	113883
Marzo 2010	Temporal	Hombres	56696
Marzo 2010	Temporal	Mujeres	51661
Marzo 2010	Sin clasificar	Hombres	14602
Marzo 2010	Sin clasificar	Mujeres	20627
Junio 2010	Indefinido	Hombres	149440
Junio 2010	Indefinido	Mujeres	112066
Junio 2010	Temporal	Hombres	61488
Junio 2010	Temporal	Mujeres	53053
Junio 2010	Sin clasificar	Hombres	14552
Junio 2010	Sin clasificar	Mujeres	20510
Septiembre 2010	Indefinido	Hombres	147485
Septiembre 2010	Indefinido	Mujeres	113874
Septiembre 2010	Temporal	Hombres	59855
Septiembre 2010	Temporal	Mujeres	52381
Septiembre 2010	Sin clasificar	Hombres	14553
Septiembre 2010	Sin clasificar	Mujeres	20666
Diciembre 2010	Indefinido	Hombres	146660
Diciembre 2010	Indefinido	Mujeres	114626
Diciembre 2010	Temporal	Hombres	55421
Diciembre 2010	Temporal	Mujeres	52829
Diciembre 2010	Sin clasificar	Hombres	14798
Diciembre 2010	Sin clasificar	Mujeres	21498
Marzo 2011	Indefinido	Hombres	145873
Marzo 2011	Indefinido	Mujeres	114182
Marzo 2011	Temporal	Hombres	55637
Marzo 2011	Temporal	Mujeres	48863
Marzo 2011	Sin clasificar	Hombres	14881
Marzo 2011	Sin clasificar	Mujeres	22424
Junio 2011	Indefinido	Hombres	144880
Junio 2011	Indefinido	Mujeres	111570
Junio 2011	Temporal	Hombres	57509
Junio 2011	Temporal	Mujeres	50096
Junio 2011	Sin clasificar	Hombres	14842
Junio 2011	Sin clasificar	Mujeres	22028
Septiembre 2011	Indefinido	Hombres	143840
Septiembre 2011	Indefinido	Mujeres	113953
Septiembre 2011	Temporal	Hombres	56268
Septiembre 2011	Temporal	Mujeres	50219
Septiembre 2011	Sin clasificar	Hombres	14499
Septiembre 2011	Sin clasificar	Mujeres	22547
Diciembre 2011	Indefinido	Hombres	141757
Diciembre 2011	Indefinido	Mujeres	113219
Diciembre 2011	Temporal	Hombres	50660
Diciembre 2011	Temporal	Mujeres	48872
Diciembre 2011	Sin clasificar	Hombres	15068
Diciembre 2011	Sin clasificar	Mujeres	23231
Marzo 2012	Indefinido	Hombres	142122
Marzo 2012	Indefinido	Mujeres	115535
Marzo 2012	Temporal	Hombres	52831
Marzo 2012	Temporal	Mujeres	47324
Marzo 2012	Sin clasificar	Hombres	21155
Marzo 2012	Sin clasificar	Mujeres	24779
Junio 2012	Indefinido	Hombres	141734
Junio 2012	Indefinido	Mujeres	117204
Junio 2012	Temporal	Hombres	62561
Junio 2012	Temporal	Mujeres	53339
Junio 2012	Sin clasificar	Hombres	20911
Junio 2012	Sin clasificar	Mujeres	24506
Septiembre 2012	Indefinido	Hombres	139952
Septiembre 2012	Indefinido	Mujeres	122496
