Mes (código)	Mes y año	Comarca código	Comarca nombre	Temporalidad	Sexo	Afiliaciones en alta
201003	Marzo 2010	01	La Jacetania	Indefinido	Hombres	1288
201003	Marzo 2010	01	La Jacetania	Indefinido	Mujeres	1326
201003	Marzo 2010	02	Alto Gállego	Indefinido	Hombres	1709
201003	Marzo 2010	02	Alto Gállego	Indefinido	Mujeres	1317
201003	Marzo 2010	03	Sobrarbe	Indefinido	Hombres	485
201003	Marzo 2010	03	Sobrarbe	Indefinido	Mujeres	439
201003	Marzo 2010	04	La Ribagorza	Indefinido	Hombres	810
201003	Marzo 2010	04	La Ribagorza	Indefinido	Mujeres	830
201003	Marzo 2010	05	Cinco Villas	Indefinido	Hombres	2586
201003	Marzo 2010	05	Cinco Villas	Indefinido	Mujeres	1722
201003	Marzo 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	8098
201003	Marzo 2010	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	7153
201003	Marzo 2010	07	Somontano de Barbastro	Indefinido	Hombres	2013
201003	Marzo 2010	07	Somontano de Barbastro	Indefinido	Mujeres	1284
201003	Marzo 2010	08	Cinca Medio	Indefinido	Hombres	2723
201003	Marzo 2010	08	Cinca Medio	Indefinido	Mujeres	1496
201003	Marzo 2010	09	La Litera / La Llitera	Indefinido	Hombres	2162
201003	Marzo 2010	09	La Litera / La Llitera	Indefinido	Mujeres	1155
201003	Marzo 2010	10	Los Monegros	Indefinido	Hombres	1243
201003	Marzo 2010	10	Los Monegros	Indefinido	Mujeres	701
201003	Marzo 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	2190
201003	Marzo 2010	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	1845
201003	Marzo 2010	12	Tarazona y el Moncayo	Indefinido	Hombres	971
201003	Marzo 2010	12	Tarazona y el Moncayo	Indefinido	Mujeres	707
201003	Marzo 2010	13	Campo de Borja	Indefinido	Hombres	1061
201003	Marzo 2010	13	Campo de Borja	Indefinido	Mujeres	1121
201003	Marzo 2010	14	Aranda	Indefinido	Hombres	519
201003	Marzo 2010	14	Aranda	Indefinido	Mujeres	251
201003	Marzo 2010	15	Ribera Alta del Ebro	Indefinido	Hombres	10072
201003	Marzo 2010	15	Ribera Alta del Ebro	Indefinido	Mujeres	2610
201003	Marzo 2010	16	Valdejalón	Indefinido	Hombres	4251
201003	Marzo 2010	16	Valdejalón	Indefinido	Mujeres	2526
201003	Marzo 2010	17	Central	Indefinido	Hombres	88511
201003	Marzo 2010	17	Central	Indefinido	Mujeres	74108
201003	Marzo 2010	18	Ribera Baja del Ebro	Indefinido	Hombres	1204
201003	Marzo 2010	18	Ribera Baja del Ebro	Indefinido	Mujeres	587
201003	Marzo 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	680
201003	Marzo 2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	948
201003	Marzo 2010	20	Comunidad de Calatayud	Indefinido	Hombres	2369
201003	Marzo 2010	20	Comunidad de Calatayud	Indefinido	Mujeres	1929
201003	Marzo 2010	21	Campo de Cariñena	Indefinido	Hombres	1361
201003	Marzo 2010	21	Campo de Cariñena	Indefinido	Mujeres	531
201003	Marzo 2010	22	Campo de Belchite	Indefinido	Hombres	237
201003	Marzo 2010	22	Campo de Belchite	Indefinido	Mujeres	212
201003	Marzo 2010	23	Bajo Martín	Indefinido	Hombres	781
201003	Marzo 2010	23	Bajo Martín	Indefinido	Mujeres	331
