Mes y año	Número Empresas	'Aragón'
Junio 2016	42987	Aragón
Marzo 2016	41772	Aragón
Diciembre 2015	41919	Aragón
Septiembre 2015	41682	Aragón
Junio 2015	42529	Aragón
Marzo 2015	41242	Aragón
Diciembre 2014	41383	Aragón
Septiembre 2014	41435	Aragón
Junio 2014	42271	Aragón
Marzo 2014	40942	Aragón
Diciembre 2013	41105	Aragón
Septiembre 2013	41360	Aragón
Junio 2013	42373	Aragón
Marzo 2013	41298	Aragón
Diciembre 2012	41710	Aragón
Septiembre 2012	42474	Aragón
Junio 2012	43486	Aragón
Marzo 2012	42577	Aragón
Diciembre 2011	40813	Aragón
Septiembre 2011	41082	Aragón
Junio 2011	46104	Aragón
Marzo 2011	45971	Aragón
Diciembre 2010	46182	Aragón
Septiembre 2010	46295	Aragón
Junio 2010	46808	Aragón
Marzo 2010	46580	Aragón
