Mes y año	Dirección provincial (código)	Provincia	Número Empresas
Septiembre 2016	22	Huesca	8619
Septiembre 2016	44	Teruel	4655
Septiembre 2016	50	Zaragoza	28798
Junio 2016	22	Huesca	9157
Junio 2016	44	Teruel	4779
Junio 2016	50	Zaragoza	29051
Marzo 2016	22	Huesca	8630
Marzo 2016	44	Teruel	4608
Marzo 2016	50	Zaragoza	28534
Diciembre 2015	22	Huesca	8701
Diciembre 2015	44	Teruel	4609
Diciembre 2015	50	Zaragoza	28609
Septiembre 2015	22	Huesca	8535
Septiembre 2015	44	Teruel	4646
Septiembre 2015	50	Zaragoza	28501
Junio 2015	22	Huesca	8976
Junio 2015	44	Teruel	4741
Junio 2015	50	Zaragoza	28812
Marzo 2015	22	Huesca	8509
Marzo 2015	44	Teruel	4514
Marzo 2015	50	Zaragoza	28219
Diciembre 2014	22	Huesca	8507
Diciembre 2014	44	Teruel	4535
Diciembre 2014	50	Zaragoza	28341
Septiembre 2014	22	Huesca	8395
Septiembre 2014	44	Teruel	4588
Septiembre 2014	50	Zaragoza	28452
Junio 2014	22	Huesca	8835
Junio 2014	44	Teruel	4682
Junio 2014	50	Zaragoza	28754
Marzo 2014	22	Huesca	8291
Marzo 2014	44	Teruel	4488
Marzo 2014	50	Zaragoza	28163
Diciembre 2013	22	Huesca	8320
Diciembre 2013	44	Teruel	4523
Diciembre 2013	50	Zaragoza	28262
Septiembre 2013	22	Huesca	8321
Septiembre 2013	44	Teruel	4559
Septiembre 2013	50	Zaragoza	28480
Junio 2013	22	Huesca	8693
Junio 2013	44	Teruel	4716
Junio 2013	50	Zaragoza	28964
Marzo 2013	22	Huesca	8321
Marzo 2013	44	Teruel	4520
Marzo 2013	50	Zaragoza	28457
Diciembre 2012	22	Huesca	8309
Diciembre 2012	44	Teruel	4581
Diciembre 2012	50	Zaragoza	28820
Septiembre 2012	22	Huesca	8359
Septiembre 2012	44	Teruel	4717
Septiembre 2012	50	Zaragoza	29398
Junio 2012	22	Huesca	8757
Junio 2012	44	Teruel	4838
Junio 2012	50	Zaragoza	29891
Marzo 2012	22	Huesca	8398
Marzo 2012	44	Teruel	4737
Marzo 2012	50	Zaragoza	29442
Diciembre 2011	22	Huesca	7682
Diciembre 2011	44	Teruel	4463
Diciembre 2011	50	Zaragoza	28668
Septiembre 2011	22	Huesca	7697
Septiembre 2011	44	Teruel	4502
Septiembre 2011	50	Zaragoza	28883
Junio 2011	22	Huesca	8338
Junio 2011	44	Teruel	4912
Junio 2011	50	Zaragoza	32854
Marzo 2011	22	Huesca	8270
Marzo 2011	44	Teruel	4846
Marzo 2011	50	Zaragoza	32855
Diciembre 2010	22	Huesca	8391
Diciembre 2010	44	Teruel	4911
Diciembre 2010	50	Zaragoza	32880
Septiembre 2010	22	Huesca	8395
Septiembre 2010	44	Teruel	4968
Septiembre 2010	50	Zaragoza	32932
Junio 2010	22	Huesca	8543
Junio 2010	44	Teruel	5017
Junio 2010	50	Zaragoza	33248
Marzo 2010	22	Huesca	8476
Marzo 2010	44	Teruel	4943
Marzo 2010	50	Zaragoza	33161
