Mes (código)	Mes y año	Dirección provincial (código)	Sector código	Sector descripción	Número Empresas	Régimen	Dirección provincial nombre
201812	Diciembre 2018	22	1	Agricultura, ganadería y pesca	1477	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201812	Diciembre 2018	22	2	Industria y energía	820	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201812	Diciembre 2018	22	3	Construcción	899	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201812	Diciembre 2018	22	4	Servicios	5574	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201812	Diciembre 2018	44	1	Agricultura, ganadería y pesca	609	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201812	Diciembre 2018	44	2	Industria y energía	524	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201812	Diciembre 2018	44	3	Construcción	595	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201812	Diciembre 2018	44	4	Servicios	2983	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201812	Diciembre 2018	50	1	Agricultura, ganadería y pesca	1808	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201812	Diciembre 2018	50	2	Industria y energía	3039	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201812	Diciembre 2018	50	3	Construcción	2396	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201812	Diciembre 2018	50	4	Servicios	21845	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201809	Septiembre 2018	22	1	Agricultura, ganadería y pesca	1463	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201809	Septiembre 2018	22	2	Industria y energía	827	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201809	Septiembre 2018	22	3	Construcción	927	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201809	Septiembre 2018	22	4	Servicios	5539	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201809	Septiembre 2018	44	1	Agricultura, ganadería y pesca	626	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201809	Septiembre 2018	44	2	Industria y energía	521	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201809	Septiembre 2018	44	3	Construcción	601	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201809	Septiembre 2018	44	4	Servicios	3020	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201809	Septiembre 2018	50	1	Agricultura, ganadería y pesca	1972	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201809	Septiembre 2018	50	2	Industria y energía	3057	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201809	Septiembre 2018	50	3	Construcción	2445	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201809	Septiembre 2018	50	4	Servicios	21677	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201806	Junio 2018	22	1	Agricultura, ganadería y pesca	1787	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201806	Junio 2018	22	2	Industria y energía	836	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201806	Junio 2018	22	3	Construcción	925	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201806	Junio 2018	22	4	Servicios	5683	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201806	Junio 2018	44	1	Agricultura, ganadería y pesca	655	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201806	Junio 2018	44	2	Industria y energía	527	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201806	Junio 2018	44	3	Construcción	613	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201806	Junio 2018	44	4	Servicios	3046	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201806	Junio 2018	50	1	Agricultura, ganadería y pesca	2173	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201806	Junio 2018	50	2	Industria y energía	3067	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201806	Junio 2018	50	3	Construcción	2475	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201806	Junio 2018	50	4	Servicios	21805	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201803	Marzo 2018	22	1	Agricultura, ganadería y pesca	1414	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201803	Marzo 2018	22	2	Industria y energía	819	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201803	Marzo 2018	22	3	Construcción	882	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201803	Marzo 2018	22	4	Servicios	5628	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201803	Marzo 2018	44	1	Agricultura, ganadería y pesca	579	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201803	Marzo 2018	44	2	Industria y energía	514	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201803	Marzo 2018	44	3	Construcción	585	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201803	Marzo 2018	44	4	Servicios	3000	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201803	Marzo 2018	50	1	Agricultura, ganadería y pesca	1746	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201803	Marzo 2018	50	2	Industria y energía	3037	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201803	Marzo 2018	50	3	Construcción	2380	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201803	Marzo 2018	50	4	Servicios	21738	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201803	Marzo 2018	50		Sin clasificar	1	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201712	Diciembre 2017	22	1	Agricultura, ganadería y pesca	1441	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201712	Diciembre 2017	22	2	Industria y energía	824	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201712	Diciembre 2017	22	3	Construcción	854	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201712	Diciembre 2017	22	4	Servicios	5625	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201712	Diciembre 2017	44	1	Agricultura, ganadería y pesca	572	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201712	Diciembre 2017	44	2	Industria y energía	508	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201712	Diciembre 2017	44	3	Construcción	583	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201712	Diciembre 2017	44	4	Servicios	2975	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201712	Diciembre 2017	50	1	Agricultura, ganadería y pesca	1768	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201712	Diciembre 2017	50	2	Industria y energía	3043	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201712	Diciembre 2017	50	3	Construcción	2324	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201712	Diciembre 2017	50	4	Servicios	21752	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201709	Septiembre 2017	22	1	Agricultura, ganadería y pesca	1392	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201709	Septiembre 2017	22	2	Industria y energía	826	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201709	Septiembre 2017	22	3	Construcción	900	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201709	Septiembre 2017	22	4	Servicios	5552	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201709	Septiembre 2017	44	1	Agricultura, ganadería y pesca	586	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201709	Septiembre 2017	44	2	Industria y energía	508	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201709	Septiembre 2017	44	3	Construcción	615	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201709	Septiembre 2017	44	4	Servicios	2962	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201709	Septiembre 2017	50	1	Agricultura, ganadería y pesca	1908	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201709	Septiembre 2017	50	2	Industria y energía	3043	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201709	Septiembre 2017	50	3	Construcción	2349	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201709	Septiembre 2017	50	4	Servicios	21625	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201706	Junio 2017	22	1	Agricultura, ganadería y pesca	1775	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	22	2	Industria y energía	833	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	22	3	Construcción	909	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	22	4	Servicios	5628	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	44	1	Agricultura, ganadería y pesca	627	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201706	Junio 2017	44	2	Industria y energía	510	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
