Mes y año	Número Empresas	" CASE  WHEN Número Trabajadores (empr) < 10 THEN '01 De 1 a 9 afiliados' WHEN Número Trabajadores (empr) < 20 THEN '02 De 10 a 19 afiliados' WHEN Número Trabajadores (empr) < 50 THEN '03 De 20 a 49 afiliados' WHEN ""Empre"	Territorio: 
Marzo 2020	34193	01 De 1 a 9 afiliados	Aragón
Marzo 2020	3087	02 De 10 a 19 afiliados	Aragón
Marzo 2020	1959	03 De 20 a 49 afiliados	Aragón
Marzo 2020	635	04 De 50 a 99 afiliados	Aragón
Marzo 2020	290	05 De 100 a 199 afiliados	Aragón
Marzo 2020	162	06 De 200 a 499 afiliados	Aragón
Marzo 2020	42	07 De 500 a 999 afiliados	Aragón
Marzo 2020	17	08 De 1000 a 4999 afiliados	Aragón
Marzo 2020	4	09 De 5000 o más afiliados	Aragón
Diciembre 2019	35828	01 De 1 a 9 afiliados	Aragón
Diciembre 2019	3325	02 De 10 a 19 afiliados	Aragón
Diciembre 2019	2078	03 De 20 a 49 afiliados	Aragón
Diciembre 2019	652	04 De 50 a 99 afiliados	Aragón
Diciembre 2019	302	05 De 100 a 199 afiliados	Aragón
Diciembre 2019	163	06 De 200 a 499 afiliados	Aragón
Diciembre 2019	46	07 De 500 a 999 afiliados	Aragón
Diciembre 2019	16	08 De 1000 a 4999 afiliados	Aragón
Diciembre 2019	4	09 De 5000 o más afiliados	Aragón
Septiembre 2019	35644	01 De 1 a 9 afiliados	Aragón
Septiembre 2019	3398	02 De 10 a 19 afiliados	Aragón
Septiembre 2019	2117	03 De 20 a 49 afiliados	Aragón
Septiembre 2019	672	04 De 50 a 99 afiliados	Aragón
Septiembre 2019	291	05 De 100 a 199 afiliados	Aragón
Septiembre 2019	173	06 De 200 a 499 afiliados	Aragón
Septiembre 2019	41	07 De 500 a 999 afiliados	Aragón
Septiembre 2019	18	08 De 1000 a 4999 afiliados	Aragón
Septiembre 2019	4	09 De 5000 o más afiliados	Aragón
Junio 2019	36570	01 De 1 a 9 afiliados	Aragón
Junio 2019	3485	02 De 10 a 19 afiliados	Aragón
Junio 2019	2229	03 De 20 a 49 afiliados	Aragón
Junio 2019	694	04 De 50 a 99 afiliados	Aragón
Junio 2019	307	05 De 100 a 199 afiliados	Aragón
Junio 2019	173	06 De 200 a 499 afiliados	Aragón
Junio 2019	45	07 De 500 a 999 afiliados	Aragón
Junio 2019	17	08 De 1000 a 4999 afiliados	Aragón
Junio 2019	5	09 De 5000 o más afiliados	Aragón
Marzo 2019	36047	01 De 1 a 9 afiliados	Aragón
Marzo 2019	3264	02 De 10 a 19 afiliados	Aragón
Marzo 2019	2119	03 De 20 a 49 afiliados	Aragón
Marzo 2019	646	04 De 50 a 99 afiliados	Aragón
Marzo 2019	292	05 De 100 a 199 afiliados	Aragón
Marzo 2019	166	06 De 200 a 499 afiliados	Aragón
Marzo 2019	38	07 De 500 a 999 afiliados	Aragón
Marzo 2019	19	08 De 1000 a 4999 afiliados	Aragón
Marzo 2019	5	09 De 5000 o más afiliados	Aragón
Diciembre 2018	36118	01 De 1 a 9 afiliados	Aragón
Diciembre 2018	3236	02 De 10 a 19 afiliados	Aragón
Diciembre 2018	2088	03 De 20 a 49 afiliados	Aragón
Diciembre 2018	629	04 De 50 a 99 afiliados	Aragón
Diciembre 2018	275	05 De 100 a 199 afiliados	Aragón
Diciembre 2018	164	06 De 200 a 499 afiliados	Aragón
Diciembre 2018	36	07 De 500 a 999 afiliados	Aragón
Diciembre 2018	19	08 De 1000 a 4999 afiliados	Aragón
Diciembre 2018	4	09 De 5000 o más afiliados	Aragón
Septiembre 2018	36133	01 De 1 a 9 afiliados	Aragón
Septiembre 2018	3278	02 De 10 a 19 afiliados	Aragón
Septiembre 2018	2128	03 De 20 a 49 afiliados	Aragón
Septiembre 2018	632	04 De 50 a 99 afiliados	Aragón
Septiembre 2018	275	05 De 100 a 199 afiliados	Aragón
Septiembre 2018	166	06 De 200 a 499 afiliados	Aragón
Septiembre 2018	40	07 De 500 a 999 afiliados	Aragón
Septiembre 2018	19	08 De 1000 a 4999 afiliados	Aragón
Septiembre 2018	4	09 De 5000 o más afiliados	Aragón
Junio 2018	36779	01 De 1 a 9 afiliados	Aragón
Junio 2018	3461	02 De 10 a 19 afiliados	Aragón
Junio 2018	2164	03 De 20 a 49 afiliados	Aragón
Junio 2018	666	04 De 50 a 99 afiliados	Aragón
Junio 2018	289	05 De 100 a 199 afiliados	Aragón
Junio 2018	174	06 De 200 a 499 afiliados	Aragón
Junio 2018	33	07 De 500 a 999 afiliados	Aragón
Junio 2018	22	08 De 1000 a 4999 afiliados	Aragón
Junio 2018	4	09 De 5000 o más afiliados	Aragón
Marzo 2018	36042	01 De 1 a 9 afiliados	Aragón
Marzo 2018	3165	02 De 10 a 19 afiliados	Aragón
Marzo 2018	2036	03 De 20 a 49 afiliados	Aragón
Marzo 2018	590	04 De 50 a 99 afiliados	Aragón
Marzo 2018	260	05 De 100 a 199 afiliados	Aragón
Marzo 2018	171	06 De 200 a 499 afiliados	Aragón
Marzo 2018	35	07 De 500 a 999 afiliados	Aragón
Marzo 2018	20	08 De 1000 a 4999 afiliados	Aragón
Marzo 2018	4	09 De 5000 o más afiliados	Aragón
Diciembre 2017	36071	01 De 1 a 9 afiliados	Aragón
Diciembre 2017	3129	02 De 10 a 19 afiliados	Aragón
Diciembre 2017	2000	03 De 20 a 49 afiliados	Aragón
Diciembre 2017	587	04 De 50 a 99 afiliados	Aragón
Diciembre 2017	255	05 De 100 a 199 afiliados	Aragón
Diciembre 2017	168	06 De 200 a 499 afiliados	Aragón
Diciembre 2017	38	07 De 500 a 999 afiliados	Aragón
Diciembre 2017	17	08 De 1000 a 4999 afiliados	Aragón
Diciembre 2017	4	09 De 5000 o más afiliados	Aragón
Septiembre 2017	36005	01 De 1 a 9 afiliados	Aragón
Septiembre 2017	3178	02 De 10 a 19 afiliados	Aragón
Septiembre 2017	1997	03 De 20 a 49 afiliados	Aragón
Septiembre 2017	599	04 De 50 a 99 afiliados	Aragón
Septiembre 2017	262	05 De 100 a 199 afiliados	Aragón
Septiembre 2017	161	06 De 200 a 499 afiliados	Aragón
Septiembre 2017	41	07 De 500 a 999 afiliados	Aragón
Septiembre 2017	19	08 De 1000 a 4999 afiliados	Aragón
Septiembre 2017	4	09 De 5000 o más afiliados	Aragón
Junio 2017	36484	01 De 1 a 9 afiliados	Aragón
Junio 2017	3309	02 De 10 a 19 afiliados	Aragón
Junio 2017	2048	03 De 20 a 49 afiliados	Aragón
Junio 2017	633	04 De 50 a 99 afiliados	Aragón
Junio 2017	266	05 De 100 a 199 afiliados	Aragón
Junio 2017	154	06 De 200 a 499 afiliados	Aragón
Junio 2017	37	07 De 500 a 999 afiliados	Aragón
Junio 2017	19	08 De 1000 a 4999 afiliados	Aragón
Junio 2017	3	09 De 5000 o más afiliados	Aragón
Marzo 2017	36118	01 De 1 a 9 afiliados	Aragón
Marzo 2017	3011	02 De 10 a 19 afiliados	Aragón
Marzo 2017	1899	03 De 20 a 49 afiliados	Aragón
Marzo 2017	589	04 De 50 a 99 afiliados	Aragón
Marzo 2017	234	05 De 100 a 199 afiliados	Aragón
Marzo 2017	161	06 De 200 a 499 afiliados	Aragón
Marzo 2017	36	07 De 500 a 999 afiliados	Aragón
Marzo 2017	17	08 De 1000 a 4999 afiliados	Aragón
Marzo 2017	3	09 De 5000 o más afiliados	Aragón
Diciembre 2016	36320	01 De 1 a 9 afiliados	Aragón
Diciembre 2016	3012	02 De 10 a 19 afiliados	Aragón
Diciembre 2016	1883	03 De 20 a 49 afiliados	Aragón
Diciembre 2016	587	04 De 50 a 99 afiliados	Aragón
Diciembre 2016	238	05 De 100 a 199 afiliados	Aragón
Diciembre 2016	154	06 De 200 a 499 afiliados	Aragón
Diciembre 2016	35	07 De 500 a 999 afiliados	Aragón
Diciembre 2016	15	08 De 1000 a 4999 afiliados	Aragón
Diciembre 2016	3	09 De 5000 o más afiliados	Aragón
Septiembre 2016	36068	01 De 1 a 9 afiliados	Aragón
Septiembre 2016	3092	02 De 10 a 19 afiliados	Aragón
Septiembre 2016	1879	03 De 20 a 49 afiliados	Aragón
Septiembre 2016	596	04 De 50 a 99 afiliados	Aragón
Septiembre 2016	234	05 De 100 a 199 afiliados	Aragón
Septiembre 2016	147	06 De 200 a 499 afiliados	Aragón
Septiembre 2016	37	07 De 500 a 999 afiliados	Aragón
Septiembre 2016	16	08 De 1000 a 4999 afiliados	Aragón
Septiembre 2016	3	09 De 5000 o más afiliados	Aragón
Junio 2016	36809	01 De 1 a 9 afiliados	Aragón
Junio 2016	3165	02 De 10 a 19 afiliados	Aragón
Junio 2016	1938	03 De 20 a 49 afiliados	Aragón
Junio 2016	629	04 De 50 a 99 afiliados	Aragón
Junio 2016	243	05 De 100 a 199 afiliados	Aragón
Junio 2016	147	06 De 200 a 499 afiliados	Aragón
Junio 2016	37	07 De 500 a 999 afiliados	Aragón
Junio 2016	16	08 De 1000 a 4999 afiliados	Aragón
Junio 2016	3	09 De 5000 o más afiliados	Aragón
Marzo 2016	36017	01 De 1 a 9 afiliados	Aragón
Marzo 2016	2970	02 De 10 a 19 afiliados	Aragón
Marzo 2016	1800	03 De 20 a 49 afiliados	Aragón
Marzo 2016	555	04 De 50 a 99 afiliados	Aragón
Marzo 2016	230	05 De 100 a 199 afiliados	Aragón
Marzo 2016	146	06 De 200 a 499 afiliados	Aragón
Marzo 2016	35	07 De 500 a 999 afiliados	Aragón
Marzo 2016	16	08 De 1000 a 4999 afiliados	Aragón
Marzo 2016	3	09 De 5000 o más afiliados	Aragón
Diciembre 2015	36169	01 De 1 a 9 afiliados	Aragón
Diciembre 2015	3001	02 De 10 a 19 afiliados	Aragón
Diciembre 2015	1771	03 De 20 a 49 afiliados	Aragón
Diciembre 2015	562	04 De 50 a 99 afiliados	Aragón
Diciembre 2015	221	05 De 100 a 199 afiliados	Aragón
Diciembre 2015	141	06 De 200 a 499 afiliados	Aragón
Diciembre 2015	34	07 De 500 a 999 afiliados	Aragón
Diciembre 2015	17	08 De 1000 a 4999 afiliados	Aragón
Diciembre 2015	3	09 De 5000 o más afiliados	Aragón
Septiembre 2015	35922	01 De 1 a 9 afiliados	Aragón
Septiembre 2015	2986	02 De 10 a 19 afiliados	Aragón
Septiembre 2015	1788	03 De 20 a 49 afiliados	Aragón
Septiembre 2015	568	04 De 50 a 99 afiliados	Aragón
Septiembre 2015	225	05 De 100 a 199 afiliados	Aragón
Septiembre 2015	138	06 De 200 a 499 afiliados	Aragón
Septiembre 2015	33	07 De 500 a 999 afiliados	Aragón
Septiembre 2015	19	08 De 1000 a 4999 afiliados	Aragón
Septiembre 2015	3	09 De 5000 o más afiliados	Aragón
Junio 2015	36593	01 De 1 a 9 afiliados	Aragón
