Mes y año	Dirección provincial (código)	Dirección provincial nombre	Número Empresas	Estrato
Marzo 2016	22	Huesca	7674	01 De 1 a 9 afiliados
Marzo 2016	22	Huesca	546	02 De 10 a 19 afiliados
Marzo 2016	22	Huesca	292	03 De 20 a 49 afiliados
Marzo 2016	22	Huesca	81	04 De 50 a 99 afiliados
Marzo 2016	22	Huesca	24	05 De 100 a 199 afiliados
Marzo 2016	22	Huesca	12	06 De 200 a 499 afiliados
Marzo 2016	22	Huesca	1	09 De 5000 o más afiliados
Marzo 2016	44	Teruel	4126	01 De 1 a 9 afiliados
Marzo 2016	44	Teruel	263	02 De 10 a 19 afiliados
Marzo 2016	44	Teruel	158	03 De 20 a 49 afiliados
Marzo 2016	44	Teruel	36	04 De 50 a 99 afiliados
Marzo 2016	44	Teruel	13	05 De 100 a 199 afiliados
Marzo 2016	44	Teruel	9	06 De 200 a 499 afiliados
Marzo 2016	44	Teruel	1	07 De 500 a 999 afiliados
Marzo 2016	44	Teruel	1	08 De 1000 a 4999 afiliados
Marzo 2016	44	Teruel	1	09 De 5000 o más afiliados
Marzo 2016	50	Zaragoza	24204	01 De 1 a 9 afiliados
Marzo 2016	50	Zaragoza	2161	02 De 10 a 19 afiliados
Marzo 2016	50	Zaragoza	1350	03 De 20 a 49 afiliados
Marzo 2016	50	Zaragoza	438	04 De 50 a 99 afiliados
Marzo 2016	50	Zaragoza	193	05 De 100 a 199 afiliados
Marzo 2016	50	Zaragoza	125	06 De 200 a 499 afiliados
Marzo 2016	50	Zaragoza	34	07 De 500 a 999 afiliados
Marzo 2016	50	Zaragoza	15	08 De 1000 a 4999 afiliados
Marzo 2016	50	Zaragoza	14	09 De 5000 o más afiliados
Diciembre 2015	22	Huesca	7735	01 De 1 a 9 afiliados
Diciembre 2015	22	Huesca	548	02 De 10 a 19 afiliados
Diciembre 2015	22	Huesca	301	03 De 20 a 49 afiliados
Diciembre 2015	22	Huesca	81	04 De 50 a 99 afiliados
Diciembre 2015	22	Huesca	24	05 De 100 a 199 afiliados
Diciembre 2015	22	Huesca	12	06 De 200 a 499 afiliados
Diciembre 2015	44	Teruel	4123	01 De 1 a 9 afiliados
Diciembre 2015	44	Teruel	278	02 De 10 a 19 afiliados
Diciembre 2015	44	Teruel	148	03 De 20 a 49 afiliados
Diciembre 2015	44	Teruel	39	04 De 50 a 99 afiliados
Diciembre 2015	44	Teruel	10	05 De 100 a 199 afiliados
Diciembre 2015	44	Teruel	10	06 De 200 a 499 afiliados
Diciembre 2015	44	Teruel	1	08 De 1000 a 4999 afiliados
Diciembre 2015	50	Zaragoza	24311	01 De 1 a 9 afiliados
Diciembre 2015	50	Zaragoza	2175	02 De 10 a 19 afiliados
Diciembre 2015	50	Zaragoza	1322	03 De 20 a 49 afiliados
Diciembre 2015	50	Zaragoza	442	04 De 50 a 99 afiliados
Diciembre 2015	50	Zaragoza	187	05 De 100 a 199 afiliados
Diciembre 2015	50	Zaragoza	119	06 De 200 a 499 afiliados
Diciembre 2015	50	Zaragoza	34	07 De 500 a 999 afiliados
Diciembre 2015	50	Zaragoza	16	08 De 1000 a 4999 afiliados
Diciembre 2015	50	Zaragoza	3	09 De 5000 o más afiliados
Septiembre 2015	22	Huesca	8535	01 De 1 a 9 afiliados
Septiembre 2015	44	Teruel	4646	01 De 1 a 9 afiliados
Septiembre 2015	50	Zaragoza	28501	01 De 1 a 9 afiliados
Junio 2015	22	Huesca	8976	01 De 1 a 9 afiliados
Junio 2015	44	Teruel	4741	01 De 1 a 9 afiliados
