Mes (código)	Mes y año	Cuentas cotización con trabajadores	'Aragón'
201812	Diciembre 2018	62385	Aragón
201809	Septiembre 2018	62644	Aragón
201806	Junio 2018	63943	Aragón
201803	Marzo 2018	62804	Aragón
201712	Diciembre 2017	62557	Aragón
201709	Septiembre 2017	62740	Aragón
201706	Junio 2017	63497	Aragón
201703	Marzo 2017	62686	Aragón
201612	Diciembre 2016	62883	Aragón
201609	Septiembre 2016	62693	Aragón
201606	Junio 2016	63784	Aragón
201603	Marzo 2016	62720	Aragón
201512	Diciembre 2015	62750	Aragón
201509	Septiembre 2015	62552	Aragón
201506	Junio 2015	63771	Aragón
201503	Marzo 2015	62403	Aragón
201412	Diciembre 2014	62432	Aragón
201409	Septiembre 2014	62100	Aragón
201406	Junio 2014	63208	Aragón
201403	Marzo 2014	61693	Aragón
201312	Diciembre 2013	61694	Aragón
201309	Septiembre 2013	61733	Aragón
201306	Junio 2013	63094	Aragón
201303	Marzo 2013	62051	Aragón
201212	Diciembre 2012	62353	Aragón
201209	Septiembre 2012	61710	Aragón
201206	Junio 2012	59051	Aragón
201203	Marzo 2012	54178	Aragón
201112	Diciembre 2011	50474	Aragón
201109	Septiembre 2011	50794	Aragón
201106	Junio 2011	51375	Aragón
201103	Marzo 2011	51120	Aragón
201012	Diciembre 2010	51420	Aragón
201009	Septiembre 2010	51586	Aragón
201006	Junio 2010	52152	Aragón
201003	Marzo 2010	51785	Aragón
