Mes y año	Codcom	Comarca nombre	Cuentas cotización con trabajadores
Mayo 2020	01	La Jacetania	937
Mayo 2020	02	Alto Gállego	598
Mayo 2020	03	Sobrarbe	389
Mayo 2020	04	La Ribagorza	649
Mayo 2020	05	Cinco Villas	1249
Mayo 2020	06	Hoya de Huesca / Plana de Uesca	3560
Mayo 2020	07	Somontano de Barbastro	1194
Mayo 2020	08	Cinca Medio	1116
Mayo 2020	09	La Litera / La Llitera	1011
Mayo 2020	10	Los Monegros	914
Mayo 2020	11	Bajo Cinca / Baix Cinca	1405
Mayo 2020	12	Tarazona y el Moncayo	464
Mayo 2020	13	Campo de Borja	598
Mayo 2020	14	Aranda	231
Mayo 2020	15	Ribera Alta del Ebro	899
Mayo 2020	16	Valdejalón	1359
Mayo 2020	17	Central	32329
Mayo 2020	18	Ribera Baja del Ebro	343
Mayo 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	668
Mayo 2020	20	Comunidad de Calatayud	1420
Mayo 2020	21	Campo de Cariñena	530
Mayo 2020	22	Campo de Belchite	203
Mayo 2020	23	Bajo Martín	291
Mayo 2020	24	Campo de Daroca	260
Mayo 2020	25	Jiloca	485
Mayo 2020	26	Cuencas Mineras	276
Mayo 2020	27	Andorra-Sierra de Arcos	309
Mayo 2020	28	Bajo Aragón	1403
Mayo 2020	29	Comunidad de Teruel	2304
Mayo 2020	30	Maestrazgo	158
Mayo 2020	31	Sierra de Albarracín	194
Mayo 2020	32	Gúdar-Javalambre	427
Mayo 2020	33	Matarraña / Matarranya	448
Mayo 2020	99	Sin clasificar	40
Marzo 2020	01	La Jacetania	940
Marzo 2020	02	Alto Gállego	609
Marzo 2020	03	Sobrarbe	387
Marzo 2020	04	La Ribagorza	668
Marzo 2020	05	Cinco Villas	1228
Marzo 2020	06	Hoya de Huesca / Plana de Uesca	3585
Marzo 2020	07	Somontano de Barbastro	1184
Marzo 2020	08	Cinca Medio	1077
Marzo 2020	09	La Litera / La Llitera	996
Marzo 2020	10	Los Monegros	899
Marzo 2020	11	Bajo Cinca / Baix Cinca	1196
Marzo 2020	12	Tarazona y el Moncayo	462
Marzo 2020	13	Campo de Borja	562
Marzo 2020	14	Aranda	223
Marzo 2020	15	Ribera Alta del Ebro	898
Marzo 2020	16	Valdejalón	1240
Marzo 2020	17	Central	32498
Marzo 2020	18	Ribera Baja del Ebro	343
Marzo 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	609
Marzo 2020	20	Comunidad de Calatayud	1342
Marzo 2020	21	Campo de Cariñena	497
Marzo 2020	22	Campo de Belchite	197
Marzo 2020	23	Bajo Martín	279
Marzo 2020	24	Campo de Daroca	255
Marzo 2020	25	Jiloca	468
Marzo 2020	26	Cuencas Mineras	274
Marzo 2020	27	Andorra-Sierra de Arcos	302
Marzo 2020	28	Bajo Aragón	1388
Marzo 2020	29	Comunidad de Teruel	2320
Marzo 2020	30	Maestrazgo	160
Marzo 2020	31	Sierra de Albarracín	193
Marzo 2020	32	Gúdar-Javalambre	423
Marzo 2020	33	Matarraña / Matarranya	439
Marzo 2020	99	Sin clasificar	43
Diciembre 2019	01	La Jacetania	1041
Diciembre 2019	02	Alto Gállego	709
Diciembre 2019	03	Sobrarbe	425
Diciembre 2019	04	La Ribagorza	735
Diciembre 2019	05	Cinco Villas	1296
Diciembre 2019	06	Hoya de Huesca / Plana de Uesca	3747
Diciembre 2019	07	Somontano de Barbastro	1229
Diciembre 2019	08	Cinca Medio	1132
Diciembre 2019	09	La Litera / La Llitera	1047
Diciembre 2019	10	Los Monegros	911
Diciembre 2019	11	Bajo Cinca / Baix Cinca	1298
Diciembre 2019	12	Tarazona y el Moncayo	506
Diciembre 2019	13	Campo de Borja	607
Diciembre 2019	14	Aranda	252
Diciembre 2019	15	Ribera Alta del Ebro	952
Diciembre 2019	16	Valdejalón	1337
Diciembre 2019	17	Central	34394
Diciembre 2019	18	Ribera Baja del Ebro	346
Diciembre 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	642
Diciembre 2019	20	Comunidad de Calatayud	1409
Diciembre 2019	21	Campo de Cariñena	551
Diciembre 2019	22	Campo de Belchite	211
Diciembre 2019	23	Bajo Martín	288
Diciembre 2019	24	Campo de Daroca	258
Diciembre 2019	25	Jiloca	489
Diciembre 2019	26	Cuencas Mineras	287
Diciembre 2019	27	Andorra-Sierra de Arcos	320
Diciembre 2019	28	Bajo Aragón	1425
Diciembre 2019	29	Comunidad de Teruel	2404
Diciembre 2019	30	Maestrazgo	168
Diciembre 2019	31	Sierra de Albarracín	200
Diciembre 2019	32	Gúdar-Javalambre	433
Diciembre 2019	33	Matarraña / Matarranya	453
Diciembre 2019	99	Sin clasificar	49
Septiembre 2019	01	La Jacetania	1000
Septiembre 2019	02	Alto Gállego	671
Septiembre 2019	03	Sobrarbe	480
Septiembre 2019	04	La Ribagorza	717
Septiembre 2019	05	Cinco Villas	1294
Septiembre 2019	06	Hoya de Huesca / Plana de Uesca	3737
Septiembre 2019	07	Somontano de Barbastro	1220
Septiembre 2019	08	Cinca Medio	1115
Septiembre 2019	09	La Litera / La Llitera	1068
Septiembre 2019	10	Los Monegros	927
Septiembre 2019	11	Bajo Cinca / Baix Cinca	1269
Septiembre 2019	12	Tarazona y el Moncayo	502
Septiembre 2019	13	Campo de Borja	589
Septiembre 2019	14	Aranda	259
Septiembre 2019	15	Ribera Alta del Ebro	964
Septiembre 2019	16	Valdejalón	1372
Septiembre 2019	17	Central	34128
Septiembre 2019	18	Ribera Baja del Ebro	353
Septiembre 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	693
Septiembre 2019	20	Comunidad de Calatayud	1482
Septiembre 2019	21	Campo de Cariñena	534
Septiembre 2019	22	Campo de Belchite	211
Septiembre 2019	23	Bajo Martín	299
Septiembre 2019	24	Campo de Daroca	268
Septiembre 2019	25	Jiloca	497
Septiembre 2019	26	Cuencas Mineras	286
Septiembre 2019	27	Andorra-Sierra de Arcos	329
Septiembre 2019	28	Bajo Aragón	1442
Septiembre 2019	29	Comunidad de Teruel	2425
Septiembre 2019	30	Maestrazgo	176
Septiembre 2019	31	Sierra de Albarracín	216
Septiembre 2019	32	Gúdar-Javalambre	423
Septiembre 2019	33	Matarraña / Matarranya	455
Septiembre 2019	99	Sin clasificar	51
Junio 2019	01	La Jacetania	1032
Junio 2019	02	Alto Gállego	701
Junio 2019	03	Sobrarbe	531
Junio 2019	04	La Ribagorza	760
Junio 2019	05	Cinco Villas	1311
Junio 2019	06	Hoya de Huesca / Plana de Uesca	3814
Junio 2019	07	Somontano de Barbastro	1269
Junio 2019	08	Cinca Medio	1171
Junio 2019	09	La Litera / La Llitera	1101
Junio 2019	10	Los Monegros	967
Junio 2019	11	Bajo Cinca / Baix Cinca	1532
Junio 2019	12	Tarazona y el Moncayo	509
Junio 2019	13	Campo de Borja	611
Junio 2019	14	Aranda	278
Junio 2019	15	Ribera Alta del Ebro	956
Junio 2019	16	Valdejalón	1426
Junio 2019	17	Central	34718
Junio 2019	18	Ribera Baja del Ebro	368
Junio 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	722
Junio 2019	20	Comunidad de Calatayud	1599
Junio 2019	21	Campo de Cariñena	548
Junio 2019	22	Campo de Belchite	208
Junio 2019	23	Bajo Martín	323
Junio 2019	24	Campo de Daroca	277
Junio 2019	25	Jiloca	502
Junio 2019	26	Cuencas Mineras	297
Junio 2019	27	Andorra-Sierra de Arcos	341
Junio 2019	28	Bajo Aragón	1492
Junio 2019	29	Comunidad de Teruel	2491
Junio 2019	30	Maestrazgo	174
Junio 2019	31	Sierra de Albarracín	219
Junio 2019	32	Gúdar-Javalambre	435
Junio 2019	33	Matarraña / Matarranya	472
Junio 2019	99	Sin clasificar	54
Marzo 2019	01	La Jacetania	1072
Marzo 2019	02	Alto Gállego	713
Marzo 2019	03	Sobrarbe	436
Marzo 2019	04	La Ribagorza	744
Marzo 2019	05	Cinco Villas	1282
Marzo 2019	06	Hoya de Huesca / Plana de Uesca	3788
Marzo 2019	07	Somontano de Barbastro	1222
Marzo 2019	08	Cinca Medio	1131
Marzo 2019	09	La Litera / La Llitera	1072
Marzo 2019	10	Los Monegros	934
Marzo 2019	11	Bajo Cinca / Baix Cinca	1282
Marzo 2019	12	Tarazona y el Moncayo	509
Marzo 2019	13	Campo de Borja	620
Marzo 2019	14	Aranda	262
Marzo 2019	15	Ribera Alta del Ebro	964
Marzo 2019	16	Valdejalón	1331
Marzo 2019	17	Central	34925
Marzo 2019	18	Ribera Baja del Ebro	358
Marzo 2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	676
Marzo 2019	20	Comunidad de Calatayud	1434
Marzo 2019	21	Campo de Cariñena	519
Marzo 2019	22	Campo de Belchite	210
Marzo 2019	23	Bajo Martín	303
Marzo 2019	24	Campo de Daroca	261
Marzo 2019	25	Jiloca	487
Marzo 2019	26	Cuencas Mineras	289
Marzo 2019	27	Andorra-Sierra de Arcos	340
Marzo 2019	28	Bajo Aragón	1465
Marzo 2019	29	Comunidad de Teruel	2460
Marzo 2019	30	Maestrazgo	170
Marzo 2019	31	Sierra de Albarracín	199
Marzo 2019	32	Gúdar-Javalambre	436
Marzo 2019	33	Matarraña / Matarranya	457
Marzo 2019	99	Sin clasificar	55
Diciembre 2018	01	La Jacetania	1056
Diciembre 2018	02	Alto Gállego	704
Diciembre 2018	03	Sobrarbe	431
Diciembre 2018	04	La Ribagorza	750
Diciembre 2018	05	Cinco Villas	1286
Diciembre 2018	06	Hoya de Huesca / Plana de Uesca	3773
Diciembre 2018	07	Somontano de Barbastro	1217
Diciembre 2018	08	Cinca Medio	1127
Diciembre 2018	09	La Litera / La Llitera	1072
Diciembre 2018	10	Los Monegros	952
Diciembre 2018	11	Bajo Cinca / Baix Cinca	1323
Diciembre 2018	12	Tarazona y el Moncayo	515
Diciembre 2018	13	Campo de Borja	610
Diciembre 2018	14	Aranda	260
Diciembre 2018	15	Ribera Alta del Ebro	952
Diciembre 2018	16	Valdejalón	1342
Diciembre 2018	17	Central	34937
Diciembre 2018	18	Ribera Baja del Ebro	342
Diciembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	664
Diciembre 2018	20	Comunidad de Calatayud	1431
Diciembre 2018	21	Campo de Cariñena	539
Diciembre 2018	22	Campo de Belchite	207
Diciembre 2018	23	Bajo Martín	306
Diciembre 2018	24	Campo de Daroca	253
Diciembre 2018	25	Jiloca	476
Diciembre 2018	26	Cuencas Mineras	284
Diciembre 2018	27	Andorra-Sierra de Arcos	335
Diciembre 2018	28	Bajo Aragón	1467
Diciembre 2018	29	Comunidad de Teruel	2444
Diciembre 2018	30	Maestrazgo	166
Diciembre 2018	31	Sierra de Albarracín	203
Diciembre 2018	32	Gúdar-Javalambre	443
Diciembre 2018	33	Matarraña / Matarranya	465
Diciembre 2018	99	Sin clasificar	53
Septiembre 2018	01	La Jacetania	1043
Septiembre 2018	02	Alto Gállego	668
Septiembre 2018	03	Sobrarbe	510
Septiembre 2018	04	La Ribagorza	748
Septiembre 2018	05	Cinco Villas	1291
Septiembre 2018	06	Hoya de Huesca / Plana de Uesca	3801
Septiembre 2018	07	Somontano de Barbastro	1213
Septiembre 2018	08	Cinca Medio	1111
Septiembre 2018	09	La Litera / La Llitera	1096
Septiembre 2018	10	Los Monegros	955
Septiembre 2018	11	Bajo Cinca / Baix Cinca	1296
Septiembre 2018	12	Tarazona y el Moncayo	517
Septiembre 2018	13	Campo de Borja	576
Septiembre 2018	14	Aranda	270
Septiembre 2018	15	Ribera Alta del Ebro	957
Septiembre 2018	16	Valdejalón	1417
Septiembre 2018	17	Central	34792
Septiembre 2018	18	Ribera Baja del Ebro	344
Septiembre 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	714
Septiembre 2018	20	Comunidad de Calatayud	1541
Septiembre 2018	21	Campo de Cariñena	550
Septiembre 2018	22	Campo de Belchite	204
Septiembre 2018	23	Bajo Martín	301
Septiembre 2018	24	Campo de Daroca	266
Septiembre 2018	25	Jiloca	490
Septiembre 2018	26	Cuencas Mineras	287
Septiembre 2018	27	Andorra-Sierra de Arcos	324
Septiembre 2018	28	Bajo Aragón	1489
Septiembre 2018	29	Comunidad de Teruel	2518
Septiembre 2018	30	Maestrazgo	176
Septiembre 2018	31	Sierra de Albarracín	218
Septiembre 2018	32	Gúdar-Javalambre	430
Septiembre 2018	33	Matarraña / Matarranya	473
Septiembre 2018	99	Sin clasificar	58
Junio 2018	01	La Jacetania	1072
Junio 2018	02	Alto Gállego	705
Junio 2018	03	Sobrarbe	519
Junio 2018	04	La Ribagorza	771
Junio 2018	05	Cinco Villas	1297
Junio 2018	06	Hoya de Huesca / Plana de Uesca	3848
Junio 2018	07	Somontano de Barbastro	1282
Junio 2018	08	Cinca Medio	1142
Junio 2018	09	La Litera / La Llitera	1128
Junio 2018	10	Los Monegros	981
Junio 2018	11	Bajo Cinca / Baix Cinca	1570
Junio 2018	12	Tarazona y el Moncayo	515
Junio 2018	13	Campo de Borja	584
Junio 2018	14	Aranda	279
Junio 2018	15	Ribera Alta del Ebro	972
Junio 2018	16	Valdejalón	1458
Junio 2018	17	Central	35197
Junio 2018	18	Ribera Baja del Ebro	358
Junio 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	735
Junio 2018	20	Comunidad de Calatayud	1638
Junio 2018	21	Campo de Cariñena	543
Junio 2018	22	Campo de Belchite	205
Junio 2018	23	Bajo Martín	314
Junio 2018	24	Campo de Daroca	275
Junio 2018	25	Jiloca	500
Junio 2018	26	Cuencas Mineras	294
Junio 2018	27	Andorra-Sierra de Arcos	328
Junio 2018	28	Bajo Aragón	1527
Junio 2018	29	Comunidad de Teruel	2532
Junio 2018	30	Maestrazgo	174
Junio 2018	31	Sierra de Albarracín	215
Junio 2018	32	Gúdar-Javalambre	438
Junio 2018	33	Matarraña / Matarranya	492
Junio 2018	99	Sin clasificar	55
Marzo 2018	01	La Jacetania	1087
Marzo 2018	02	Alto Gállego	725
Marzo 2018	03	Sobrarbe	469
Marzo 2018	04	La Ribagorza	754
Marzo 2018	05	Cinco Villas	1266
Marzo 2018	06	Hoya de Huesca / Plana de Uesca	3826
Marzo 2018	07	Somontano de Barbastro	1252
Marzo 2018	08	Cinca Medio	1116
Marzo 2018	09	La Litera / La Llitera	1089
Marzo 2018	10	Los Monegros	943
Marzo 2018	11	Bajo Cinca / Baix Cinca	1280
Marzo 2018	12	Tarazona y el Moncayo	508
Marzo 2018	13	Campo de Borja	602
Marzo 2018	14	Aranda	257
Marzo 2018	15	Ribera Alta del Ebro	952
Marzo 2018	16	Valdejalón	1321
Marzo 2018	17	Central	35195
Marzo 2018	18	Ribera Baja del Ebro	341
Marzo 2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	664
Marzo 2018	20	Comunidad de Calatayud	1470
Marzo 2018	21	Campo de Cariñena	532
Marzo 2018	22	Campo de Belchite	201
Marzo 2018	23	Bajo Martín	299
Marzo 2018	24	Campo de Daroca	263
Marzo 2018	25	Jiloca	471
Marzo 2018	26	Cuencas Mineras	283
Marzo 2018	27	Andorra-Sierra de Arcos	319
Marzo 2018	28	Bajo Aragón	1482
Marzo 2018	29	Comunidad de Teruel	2514
Marzo 2018	30	Maestrazgo	162
Marzo 2018	31	Sierra de Albarracín	198
Marzo 2018	32	Gúdar-Javalambre	428
Marzo 2018	33	Matarraña / Matarranya	479
Marzo 2018	99	Sin clasificar	56
Diciembre 2017	01	La Jacetania	1064
Diciembre 2017	02	Alto Gállego	723
Diciembre 2017	03	Sobrarbe	433
Diciembre 2017	04	La Ribagorza	736
Diciembre 2017	05	Cinco Villas	1264
Diciembre 2017	06	Hoya de Huesca / Plana de Uesca	3817
Diciembre 2017	07	Somontano de Barbastro	1239
Diciembre 2017	08	Cinca Medio	1127
Diciembre 2017	09	La Litera / La Llitera	1092
Diciembre 2017	10	Los Monegros	947
Diciembre 2017	11	Bajo Cinca / Baix Cinca	1325
Diciembre 2017	12	Tarazona y el Moncayo	522
Diciembre 2017	13	Campo de Borja	594
Diciembre 2017	14	Aranda	269
Diciembre 2017	15	Ribera Alta del Ebro	940
Diciembre 2017	16	Valdejalón	1325
Diciembre 2017	17	Central	35071
Diciembre 2017	18	Ribera Baja del Ebro	329
Diciembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	652
Diciembre 2017	20	Comunidad de Calatayud	1448
Diciembre 2017	21	Campo de Cariñena	539
Diciembre 2017	22	Campo de Belchite	212
Diciembre 2017	23	Bajo Martín	298
Diciembre 2017	24	Campo de Daroca	260
Diciembre 2017	25	Jiloca	479
Diciembre 2017	26	Cuencas Mineras	287
Diciembre 2017	27	Andorra-Sierra de Arcos	324
Diciembre 2017	28	Bajo Aragón	1468
Diciembre 2017	29	Comunidad de Teruel	2476
Diciembre 2017	30	Maestrazgo	161
Diciembre 2017	31	Sierra de Albarracín	193
Diciembre 2017	32	Gúdar-Javalambre	416
Diciembre 2017	33	Matarraña / Matarranya	469
Diciembre 2017	99	Sin clasificar	58
Septiembre 2017	01	La Jacetania	1033
Septiembre 2017	02	Alto Gállego	682
Septiembre 2017	03	Sobrarbe	495
Septiembre 2017	04	La Ribagorza	731
Septiembre 2017	05	Cinco Villas	1306
Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	3870
Septiembre 2017	07	Somontano de Barbastro	1229
Septiembre 2017	08	Cinca Medio	1096
Septiembre 2017	09	La Litera / La Llitera	1100
Septiembre 2017	10	Los Monegros	953
Septiembre 2017	11	Bajo Cinca / Baix Cinca	1268
Septiembre 2017	12	Tarazona y el Moncayo	512
Septiembre 2017	13	Campo de Borja	596
Septiembre 2017	14	Aranda	285
Septiembre 2017	15	Ribera Alta del Ebro	944
Septiembre 2017	16	Valdejalón	1362
Septiembre 2017	17	Central	35012
Septiembre 2017	18	Ribera Baja del Ebro	340
Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	702
Septiembre 2017	20	Comunidad de Calatayud	1543
Septiembre 2017	21	Campo de Cariñena	508
Septiembre 2017	22	Campo de Belchite	211
Septiembre 2017	23	Bajo Martín	303
Septiembre 2017	24	Campo de Daroca	266
Septiembre 2017	25	Jiloca	488
Septiembre 2017	26	Cuencas Mineras	298
Septiembre 2017	27	Andorra-Sierra de Arcos	329
Septiembre 2017	28	Bajo Aragón	1474
Septiembre 2017	29	Comunidad de Teruel	2498
Septiembre 2017	30	Maestrazgo	168
Septiembre 2017	31	Sierra de Albarracín	208
Septiembre 2017	32	Gúdar-Javalambre	398
Septiembre 2017	33	Matarraña / Matarranya	470
