Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Cuentas cotización con trabajadores
201712	Diciembre 2017	22	Huesca	12231
201712	Diciembre 2017	44	Teruel	6571
201712	Diciembre 2017	50	Zaragoza	43755
201709	Septiembre 2017	22	Huesca	12178
201709	Septiembre 2017	44	Teruel	6634
201709	Septiembre 2017	50	Zaragoza	43928
201706	Junio 2017	22	Huesca	12674
201706	Junio 2017	44	Teruel	6730
201706	Junio 2017	50	Zaragoza	44093
201703	Marzo 2017	22	Huesca	12181
201703	Marzo 2017	44	Teruel	6597
201703	Marzo 2017	50	Zaragoza	43908
201612	Diciembre 2016	22	Huesca	12304
201612	Diciembre 2016	44	Teruel	6629
201612	Diciembre 2016	50	Zaragoza	43950
201609	Septiembre 2016	22	Huesca	12175
201609	Septiembre 2016	44	Teruel	6631
201609	Septiembre 2016	50	Zaragoza	43887
201606	Junio 2016	22	Huesca	12764
201606	Junio 2016	44	Teruel	6759
201606	Junio 2016	50	Zaragoza	44261
201603	Marzo 2016	22	Huesca	12244
201603	Marzo 2016	44	Teruel	6600
201603	Marzo 2016	50	Zaragoza	43876
201512	Diciembre 2015	22	Huesca	12291
201512	Diciembre 2015	44	Teruel	6595
201512	Diciembre 2015	50	Zaragoza	43864
201509	Septiembre 2015	22	Huesca	12157
201509	Septiembre 2015	44	Teruel	6635
201509	Septiembre 2015	50	Zaragoza	43760
201506	Junio 2015	22	Huesca	12706
201506	Junio 2015	44	Teruel	6697
201506	Junio 2015	50	Zaragoza	44368
201503	Marzo 2015	22	Huesca	12118
201503	Marzo 2015	44	Teruel	6440
201503	Marzo 2015	50	Zaragoza	43845
201412	Diciembre 2014	22	Huesca	12102
201412	Diciembre 2014	44	Teruel	6447
201412	Diciembre 2014	50	Zaragoza	43883
201409	Septiembre 2014	22	Huesca	11888
201409	Septiembre 2014	44	Teruel	6514
201409	Septiembre 2014	50	Zaragoza	43698
201406	Junio 2014	22	Huesca	12396
201406	Junio 2014	44	Teruel	6592
201406	Junio 2014	50	Zaragoza	44220
201403	Marzo 2014	22	Huesca	11780
201403	Marzo 2014	44	Teruel	6367
201403	Marzo 2014	50	Zaragoza	43546
201312	Diciembre 2013	22	Huesca	11760
201312	Diciembre 2013	44	Teruel	6442
201312	Diciembre 2013	50	Zaragoza	43492
201309	Septiembre 2013	22	Huesca	11739
201309	Septiembre 2013	44	Teruel	6448
201309	Septiembre 2013	50	Zaragoza	43546
201306	Junio 2013	22	Huesca	12200
201306	Junio 2013	44	Teruel	6575
201306	Junio 2013	50	Zaragoza	44319
201303	Marzo 2013	22	Huesca	11803
201303	Marzo 2013	44	Teruel	6354
201303	Marzo 2013	50	Zaragoza	43894
201212	Diciembre 2012	22	Huesca	11767
201212	Diciembre 2012	44	Teruel	6432
201212	Diciembre 2012	50	Zaragoza	44154
201209	Septiembre 2012	22	Huesca	11628
201209	Septiembre 2012	44	Teruel	6530
201209	Septiembre 2012	50	Zaragoza	43552
201206	Junio 2012	22	Huesca	11477
201206	Junio 2012	44	Teruel	6374
201206	Junio 2012	50	Zaragoza	41200
201203	Marzo 2012	22	Huesca	10611
201203	Marzo 2012	44	Teruel	6057
201203	Marzo 2012	50	Zaragoza	37510
201112	Diciembre 2011	22	Huesca	9677
201112	Diciembre 2011	44	Teruel	5716
201112	Diciembre 2011	50	Zaragoza	35081
201109	Septiembre 2011	22	Huesca	9698
201109	Septiembre 2011	44	Teruel	5779
201109	Septiembre 2011	50	Zaragoza	35317
201106	Junio 2011	22	Huesca	9820
201106	Junio 2011	44	Teruel	5843
201106	Junio 2011	50	Zaragoza	35712
201103	Marzo 2011	22	Huesca	9731
201103	Marzo 2011	44	Teruel	5749
201103	Marzo 2011	50	Zaragoza	35640
201012	Diciembre 2010	22	Huesca	9856
201012	Diciembre 2010	44	Teruel	5842
201012	Diciembre 2010	50	Zaragoza	35722
201009	Septiembre 2010	22	Huesca	9846
201009	Septiembre 2010	44	Teruel	5920
201009	Septiembre 2010	50	Zaragoza	35820
201006	Junio 2010	22	Huesca	10050
201006	Junio 2010	44	Teruel	5958
201006	Junio 2010	50	Zaragoza	36144
201003	Marzo 2010	22	Huesca	9931
201003	Marzo 2010	44	Teruel	5862
201003	Marzo 2010	50	Zaragoza	35992
