Mes (código)	Mes y año	Sector código	Sector descripción	Cuentas cotización con trabajadores	'Aragón'
201806	Junio 2018	1	Agricultura, ganadería y pesca	4879	Aragón
201806	Junio 2018	2	Industria y energía	5099	Aragón
201806	Junio 2018	3	Construcción	4353	Aragón
201806	Junio 2018	4	Servicios	49612	Aragón
201803	Marzo 2018	1	Agricultura, ganadería y pesca	4010	Aragón
201803	Marzo 2018	2	Industria y energía	5060	Aragón
201803	Marzo 2018	3	Construcción	4175	Aragón
201803	Marzo 2018	4	Servicios	49559	Aragón
201712	Diciembre 2017	1	Agricultura, ganadería y pesca	4042	Aragón
201712	Diciembre 2017	2	Industria y energía	5052	Aragón
201712	Diciembre 2017	3	Construcción	4096	Aragón
201712	Diciembre 2017	4	Servicios	49367	Aragón
201709	Septiembre 2017	1	Agricultura, ganadería y pesca	4147	Aragón
201709	Septiembre 2017	2	Industria y energía	5062	Aragón
201709	Septiembre 2017	3	Construcción	4204	Aragón
201709	Septiembre 2017	4	Servicios	49327	Aragón
201706	Junio 2017	1	Agricultura, ganadería y pesca	4766	Aragón
201706	Junio 2017	2	Industria y energía	5064	Aragón
201706	Junio 2017	3	Construcción	4215	Aragón
201706	Junio 2017	4	Servicios	49452	Aragón
201703	Marzo 2017	1	Agricultura, ganadería y pesca	3945	Aragón
201703	Marzo 2017	2	Industria y energía	5029	Aragón
201703	Marzo 2017	3	Construcción	4085	Aragón
201703	Marzo 2017	4	Servicios	49627	Aragón
201612	Diciembre 2016	1	Agricultura, ganadería y pesca	4044	Aragón
201612	Diciembre 2016	2	Industria y energía	5046	Aragón
201612	Diciembre 2016	3	Construcción	4021	Aragón
201612	Diciembre 2016	4	Servicios	49772	Aragón
201609	Septiembre 2016	1	Agricultura, ganadería y pesca	4179	Aragón
201609	Septiembre 2016	2	Industria y energía	5052	Aragón
201609	Septiembre 2016	3	Construcción	4128	Aragón
201609	Septiembre 2016	4	Servicios	49334	Aragón
201606	Junio 2016	1	Agricultura, ganadería y pesca	4734	Aragón
201606	Junio 2016	2	Industria y energía	5114	Aragón
201606	Junio 2016	3	Construcción	4255	Aragón
201606	Junio 2016	4	Servicios	49681	Aragón
201603	Marzo 2016	1	Agricultura, ganadería y pesca	3804	Aragón
201603	Marzo 2016	2	Industria y energía	5091	Aragón
201603	Marzo 2016	3	Construcción	4120	Aragón
201603	Marzo 2016	4	Servicios	49705	Aragón
201512	Diciembre 2015	1	Agricultura, ganadería y pesca	3862	Aragón
201512	Diciembre 2015	2	Industria y energía	5109	Aragón
201512	Diciembre 2015	3	Construcción	4016	Aragón
201512	Diciembre 2015	4	Servicios	49763	Aragón
201509	Septiembre 2015	1	Agricultura, ganadería y pesca	4073	Aragón
201509	Septiembre 2015	2	Industria y energía	5092	Aragón
201509	Septiembre 2015	3	Construcción	4180	Aragón
201509	Septiembre 2015	4	Servicios	49207	Aragón
201506	Junio 2015	1	Agricultura, ganadería y pesca	4574	Aragón
201506	Junio 2015	2	Industria y energía	5099	Aragón
201506	Junio 2015	3	Construcción	4195	Aragón
201506	Junio 2015	4	Servicios	49903	Aragón
201503	Marzo 2015	1	Agricultura, ganadería y pesca	3678	Aragón
201503	Marzo 2015	2	Industria y energía	5031	Aragón
201503	Marzo 2015	3	Construcción	3962	Aragón
201503	Marzo 2015	4	Servicios	49732	Aragón
201412	Diciembre 2014	1	Agricultura, ganadería y pesca	3746	Aragón
201412	Diciembre 2014	2	Industria y energía	5031	Aragón
201412	Diciembre 2014	3	Construcción	3885	Aragón
201412	Diciembre 2014	4	Servicios	49770	Aragón
201409	Septiembre 2014	1	Agricultura, ganadería y pesca	3938	Aragón
201409	Septiembre 2014	2	Industria y energía	5066	Aragón
201409	Septiembre 2014	3	Construcción	4045	Aragón
201409	Septiembre 2014	4	Servicios	49051	Aragón
201406	Junio 2014	1	Agricultura, ganadería y pesca	4491	Aragón
201406	Junio 2014	2	Industria y energía	5066	Aragón
201406	Junio 2014	3	Construcción	4116	Aragón
201406	Junio 2014	4	Servicios	49535	Aragón
201403	Marzo 2014	1	Agricultura, ganadería y pesca	3542	Aragón
201403	Marzo 2014	2	Industria y energía	5018	Aragón
201403	Marzo 2014	3	Construcción	4000	Aragón
201403	Marzo 2014	4	Servicios	49133	Aragón
201312	Diciembre 2013	1	Agricultura, ganadería y pesca	3523	Aragón
201312	Diciembre 2013	2	Industria y energía	5048	Aragón
201312	Diciembre 2013	3	Construcción	3911	Aragón
201312	Diciembre 2013	4	Servicios	49212	Aragón
201309	Septiembre 2013	1	Agricultura, ganadería y pesca	3863	Aragón
201309	Septiembre 2013	2	Industria y energía	5038	Aragón
201309	Septiembre 2013	3	Construcción	4153	Aragón
201309	Septiembre 2013	4	Servicios	48679	Aragón
201306	Junio 2013	1	Agricultura, ganadería y pesca	4192	Aragón
201306	Junio 2013	2	Industria y energía	5067	Aragón
201306	Junio 2013	3	Construcción	4294	Aragón
201306	Junio 2013	4	Servicios	49541	Aragón
201303	Marzo 2013	1	Agricultura, ganadería y pesca	3307	Aragón
201303	Marzo 2013	2	Industria y energía	5055	Aragón
201303	Marzo 2013	3	Construcción	4203	Aragón
201303	Marzo 2013	4	Servicios	49486	Aragón
201212	Diciembre 2012	1	Agricultura, ganadería y pesca	3259	Aragón
201212	Diciembre 2012	2	Industria y energía	5152	Aragón
201212	Diciembre 2012	3	Construcción	4339	Aragón
201212	Diciembre 2012	4	Servicios	49603	Aragón
201209	Septiembre 2012	1	Agricultura, ganadería y pesca	3629	Aragón
201209	Septiembre 2012	2	Industria y energía	5224	Aragón
201209	Septiembre 2012	3	Construcción	4682	Aragón
201209	Septiembre 2012	4	Servicios	48175	Aragón
201206	Junio 2012	1	Agricultura, ganadería y pesca	3981	Aragón
201206	Junio 2012	2	Industria y energía	5282	Aragón
201206	Junio 2012	3	Construcción	4917	Aragón
201206	Junio 2012	4	Servicios	44871	Aragón
201203	Marzo 2012	1	Agricultura, ganadería y pesca	3166	Aragón
201203	Marzo 2012	2	Industria y energía	5306	Aragón
201203	Marzo 2012	3	Construcción	4882	Aragón
