Mes (código)	Mes y año	Codcom	Comarca nombre	Sector código	Sector descripción	Cuentas cotización con trabajadores
201706	Junio 2017	01	La Jacetania	1	Agricultura, ganadería y pesca	40
201706	Junio 2017	01	La Jacetania	2	Industria y energía	43
201706	Junio 2017	01	La Jacetania	3	Construcción	76
201706	Junio 2017	01	La Jacetania	4	Servicios	880
201706	Junio 2017	02	Alto Gállego	1	Agricultura, ganadería y pesca	18
201706	Junio 2017	02	Alto Gállego	2	Industria y energía	56
201706	Junio 2017	02	Alto Gállego	3	Construcción	86
201706	Junio 2017	02	Alto Gállego	4	Servicios	551
201706	Junio 2017	03	Sobrarbe	1	Agricultura, ganadería y pesca	37
201706	Junio 2017	03	Sobrarbe	2	Industria y energía	23
201706	Junio 2017	03	Sobrarbe	3	Construcción	41
201706	Junio 2017	03	Sobrarbe	4	Servicios	407
201706	Junio 2017	04	La Ribagorza	1	Agricultura, ganadería y pesca	116
201706	Junio 2017	04	La Ribagorza	2	Industria y energía	40
201706	Junio 2017	04	La Ribagorza	3	Construcción	70
201706	Junio 2017	04	La Ribagorza	4	Servicios	532
201706	Junio 2017	05	Cinco Villas	1	Agricultura, ganadería y pesca	335
201706	Junio 2017	05	Cinco Villas	2	Industria y energía	131
201706	Junio 2017	05	Cinco Villas	3	Construcción	104
201706	Junio 2017	05	Cinco Villas	4	Servicios	715
201706	Junio 2017	06	Hoya de Huesca / Plana de Uesca	1	Agricultura, ganadería y pesca	213
201706	Junio 2017	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	247
201706	Junio 2017	06	Hoya de Huesca / Plana de Uesca	3	Construcción	288
201706	Junio 2017	06	Hoya de Huesca / Plana de Uesca	4	Servicios	3111
201706	Junio 2017	07	Somontano de Barbastro	1	Agricultura, ganadería y pesca	142
201706	Junio 2017	07	Somontano de Barbastro	2	Industria y energía	136
201706	Junio 2017	07	Somontano de Barbastro	3	Construcción	97
201706	Junio 2017	07	Somontano de Barbastro	4	Servicios	892
201706	Junio 2017	08	Cinca Medio	1	Agricultura, ganadería y pesca	215
201706	Junio 2017	08	Cinca Medio	2	Industria y energía	132
201706	Junio 2017	08	Cinca Medio	3	Construcción	104
201706	Junio 2017	08	Cinca Medio	4	Servicios	677
201706	Junio 2017	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	255
201706	Junio 2017	09	La Litera / La Llitera	2	Industria y energía	132
201706	Junio 2017	09	La Litera / La Llitera	3	Construcción	102
201706	Junio 2017	09	La Litera / La Llitera	4	Servicios	649
201706	Junio 2017	10	Los Monegros	1	Agricultura, ganadería y pesca	300
201706	Junio 2017	10	Los Monegros	2	Industria y energía	81
201706	Junio 2017	10	Los Monegros	3	Construcción	79
201706	Junio 2017	10	Los Monegros	4	Servicios	519
201706	Junio 2017	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	639
201706	Junio 2017	11	Bajo Cinca / Baix Cinca	2	Industria y energía	115
201706	Junio 2017	11	Bajo Cinca / Baix Cinca	3	Construcción	81
201706	Junio 2017	11	Bajo Cinca / Baix Cinca	4	Servicios	744
201706	Junio 2017	12	Tarazona y el Moncayo	1	Agricultura, ganadería y pesca	35
201706	Junio 2017	12	Tarazona y el Moncayo	2	Industria y energía	65
201706	Junio 2017	12	Tarazona y el Moncayo	3	Construcción	32
201706	Junio 2017	12	Tarazona y el Moncayo	4	Servicios	377
201706	Junio 2017	13	Campo de Borja	1	Agricultura, ganadería y pesca	100
201706	Junio 2017	13	Campo de Borja	2	Industria y energía	82
201706	Junio 2017	13	Campo de Borja	3	Construcción	45
201706	Junio 2017	13	Campo de Borja	4	Servicios	350
201706	Junio 2017	14	Aranda	1	Agricultura, ganadería y pesca	29
201706	Junio 2017	14	Aranda	2	Industria y energía	88
201706	Junio 2017	14	Aranda	3	Construcción	20
201706	Junio 2017	14	Aranda	4	Servicios	155
201706	Junio 2017	15	Ribera Alta del Ebro	1	Agricultura, ganadería y pesca	88
201706	Junio 2017	15	Ribera Alta del Ebro	2	Industria y energía	156
201706	Junio 2017	15	Ribera Alta del Ebro	3	Construcción	92
201706	Junio 2017	15	Ribera Alta del Ebro	4	Servicios	592
201706	Junio 2017	16	Valdejalón	1	Agricultura, ganadería y pesca	329
201706	Junio 2017	16	Valdejalón	2	Industria y energía	234
201706	Junio 2017	16	Valdejalón	3	Construcción	92
201706	Junio 2017	16	Valdejalón	4	Servicios	727
201706	Junio 2017	17	D.C. Zaragoza	1	Agricultura, ganadería y pesca	323
201706	Junio 2017	17	D.C. Zaragoza	2	Industria y energía	2341
201706	Junio 2017	17	D.C. Zaragoza	3	Construcción	1899
201706	Junio 2017	17	D.C. Zaragoza	4	Servicios	30467
201706	Junio 2017	18	Ribera Baja del Ebro	1	Agricultura, ganadería y pesca	50
201706	Junio 2017	18	Ribera Baja del Ebro	2	Industria y energía	70
201706	Junio 2017	18	Ribera Baja del Ebro	3	Construcción	27
201706	Junio 2017	18	Ribera Baja del Ebro	4	Servicios	199
201706	Junio 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Agricultura, ganadería y pesca	279
201706	Junio 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Industria y energía	62
201706	Junio 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Construcción	47
201706	Junio 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Servicios	359
201706	Junio 2017	20	Comunidad de Calatayud	1	Agricultura, ganadería y pesca	302
201706	Junio 2017	20	Comunidad de Calatayud	2	Industria y energía	123
201706	Junio 2017	20	Comunidad de Calatayud	3	Construcción	99
201706	Junio 2017	20	Comunidad de Calatayud	4	Servicios	1126
201706	Junio 2017	21	Campo de Cariñena	1	Agricultura, ganadería y pesca	150
201706	Junio 2017	21	Campo de Cariñena	2	Industria y energía	73
201706	Junio 2017	21	Campo de Cariñena	3	Construcción	27
201706	Junio 2017	21	Campo de Cariñena	4	Servicios	267
201706	Junio 2017	22	Campo de Belchite	1	Agricultura, ganadería y pesca	46
201706	Junio 2017	22	Campo de Belchite	2	Industria y energía	20
201706	Junio 2017	22	Campo de Belchite	3	Construcción	13
201706	Junio 2017	22	Campo de Belchite	4	Servicios	131
201706	Junio 2017	23	Bajo Martín	1	Agricultura, ganadería y pesca	73
201706	Junio 2017	23	Bajo Martín	2	Industria y energía	50
201706	Junio 2017	23	Bajo Martín	3	Construcción	28
201706	Junio 2017	23	Bajo Martín	4	Servicios	171
201706	Junio 2017	24	Campo de Daroca	1	Agricultura, ganadería y pesca	53
201706	Junio 2017	24	Campo de Daroca	2	Industria y energía	20
201706	Junio 2017	24	Campo de Daroca	3	Construcción	15
201706	Junio 2017	24	Campo de Daroca	4	Servicios	181
201706	Junio 2017	25	Jiloca	1	Agricultura, ganadería y pesca	60
201706	Junio 2017	25	Jiloca	2	Industria y energía	46
201706	Junio 2017	25	Jiloca	3	Construcción	51
201706	Junio 2017	25	Jiloca	4	Servicios	333
201706	Junio 2017	26	Cuencas Mineras	1	Agricultura, ganadería y pesca	29
201706	Junio 2017	26	Cuencas Mineras	2	Industria y energía	35
201706	Junio 2017	26	Cuencas Mineras	3	Construcción	36
201706	Junio 2017	26	Cuencas Mineras	4	Servicios	196
201706	Junio 2017	27	Andorra-Sierra de Arcos	1	Agricultura, ganadería y pesca	28
201706	Junio 2017	27	Andorra-Sierra de Arcos	2	Industria y energía	28
201706	Junio 2017	27	Andorra-Sierra de Arcos	3	Construcción	35
201706	Junio 2017	27	Andorra-Sierra de Arcos	4	Servicios	240
201706	Junio 2017	28	Bajo Aragón	1	Agricultura, ganadería y pesca	190
201706	Junio 2017	28	Bajo Aragón	2	Industria y energía	142
201706	Junio 2017	28	Bajo Aragón	3	Construcción	151
201706	Junio 2017	28	Bajo Aragón	4	Servicios	1043
201706	Junio 2017	29	Comunidad de Teruel	1	Agricultura, ganadería y pesca	96
201706	Junio 2017	29	Comunidad de Teruel	2	Industria y energía	159
201706	Junio 2017	29	Comunidad de Teruel	3	Construcción	222
201706	Junio 2017	29	Comunidad de Teruel	4	Servicios	1995
201706	Junio 2017	30	Maestrazgo	1	Agricultura, ganadería y pesca	30
201706	Junio 2017	30	Maestrazgo	2	Industria y energía	18
201706	Junio 2017	30	Maestrazgo	3	Construcción	24
201706	Junio 2017	30	Maestrazgo	4	Servicios	98
201706	Junio 2017	31	Sierra de Albarracín	1	Agricultura, ganadería y pesca	34
201706	Junio 2017	31	Sierra de Albarracín	2	Industria y energía	13
201706	Junio 2017	31	Sierra de Albarracín	3	Construcción	21
201706	Junio 2017	31	Sierra de Albarracín	4	Servicios	146
201706	Junio 2017	32	Gúdar-Javalambre	1	Agricultura, ganadería y pesca	49
201706	Junio 2017	32	Gúdar-Javalambre	2	Industria y energía	52
