Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Sector código	Sector descripción	Cuentas cotización con trabajadores
201806	Junio 2018	22	Huesca	1	Agricultura, ganadería y pesca	1905
201806	Junio 2018	22	Huesca	2	Industria y energía	983
201806	Junio 2018	22	Huesca	3	Construcción	1028
201806	Junio 2018	22	Huesca	4	Servicios	8803
201806	Junio 2018	44	Teruel	1	Agricultura, ganadería y pesca	708
201806	Junio 2018	44	Teruel	2	Industria y energía	604
201806	Junio 2018	44	Teruel	3	Construcción	673
201806	Junio 2018	44	Teruel	4	Servicios	4829
201806	Junio 2018	50	Zaragoza	1	Agricultura, ganadería y pesca	2266
201806	Junio 2018	50	Zaragoza	2	Industria y energía	3512
201806	Junio 2018	50	Zaragoza	3	Construcción	2652
201806	Junio 2018	50	Zaragoza	4	Servicios	35980
201803	Marzo 2018	22	Huesca	1	Agricultura, ganadería y pesca	1525
201803	Marzo 2018	22	Huesca	2	Industria y energía	977
201803	Marzo 2018	22	Huesca	3	Construcción	972
201803	Marzo 2018	22	Huesca	4	Servicios	8786
201803	Marzo 2018	44	Teruel	1	Agricultura, ganadería y pesca	626
201803	Marzo 2018	44	Teruel	2	Industria y energía	593
201803	Marzo 2018	44	Teruel	3	Construcción	656
201803	Marzo 2018	44	Teruel	4	Servicios	4760
201803	Marzo 2018	50	Zaragoza	1	Agricultura, ganadería y pesca	1859
201803	Marzo 2018	50	Zaragoza	2	Industria y energía	3490
201803	Marzo 2018	50	Zaragoza	3	Construcción	2547
201803	Marzo 2018	50	Zaragoza	4	Servicios	36013
201712	Diciembre 2017	22	Huesca	1	Agricultura, ganadería y pesca	1540
201712	Diciembre 2017	22	Huesca	2	Industria y energía	980
201712	Diciembre 2017	22	Huesca	3	Construcción	958
201712	Diciembre 2017	22	Huesca	4	Servicios	8753
201712	Diciembre 2017	44	Teruel	1	Agricultura, ganadería y pesca	621
201712	Diciembre 2017	44	Teruel	2	Industria y energía	591
201712	Diciembre 2017	44	Teruel	3	Construcción	646
201712	Diciembre 2017	44	Teruel	4	Servicios	4713
201712	Diciembre 2017	50	Zaragoza	1	Agricultura, ganadería y pesca	1881
201712	Diciembre 2017	50	Zaragoza	2	Industria y energía	3481
201712	Diciembre 2017	50	Zaragoza	3	Construcción	2492
201712	Diciembre 2017	50	Zaragoza	4	Servicios	35901
201709	Septiembre 2017	22	Huesca	1	Agricultura, ganadería y pesca	1494
201709	Septiembre 2017	22	Huesca	2	Industria y energía	981
201709	Septiembre 2017	22	Huesca	3	Construcción	1000
201709	Septiembre 2017	22	Huesca	4	Servicios	8703
201709	Septiembre 2017	44	Teruel	1	Agricultura, ganadería y pesca	634
201709	Septiembre 2017	44	Teruel	2	Industria y energía	588
201709	Septiembre 2017	44	Teruel	3	Construcción	674
201709	Septiembre 2017	44	Teruel	4	Servicios	4738
201709	Septiembre 2017	50	Zaragoza	1	Agricultura, ganadería y pesca	2019
201709	Septiembre 2017	50	Zaragoza	2	Industria y energía	3493
201709	Septiembre 2017	50	Zaragoza	3	Construcción	2530
201709	Septiembre 2017	50	Zaragoza	4	Servicios	35886
201706	Junio 2017	22	Huesca	1	Agricultura, ganadería y pesca	1888
201706	Junio 2017	22	Huesca	2	Industria y energía	982
201706	Junio 2017	22	Huesca	3	Construcción	1001
