Mes (código)	Mes y año	'Aragón'	Sexo	Nº parados
201706	Junio 2017	Aragón	Hombres	26636
201706	Junio 2017	Aragón	Mujeres	39858
201705	Mayo 2017	Aragón	Hombres	27784
201705	Mayo 2017	Aragón	Mujeres	40978
201704	Abril 2017	Aragón	Hombres	30727
201704	Abril 2017	Aragón	Mujeres	42795
201703	Marzo 2017	Aragón	Hombres	32971
201703	Marzo 2017	Aragón	Mujeres	44562
201702	Febrero 2017	Aragón	Hombres	33629
201702	Febrero 2017	Aragón	Mujeres	45464
201701	Enero 2017	Aragón	Hombres	35356
201701	Enero 2017	Aragón	Mujeres	46555
201612	Diciembre 2016	Aragón	Hombres	35148
201612	Diciembre 2016	Aragón	Mujeres	44785
201611	Noviembre 2016	Aragón	Hombres	35216
201611	Noviembre 2016	Aragón	Mujeres	46267
201610	Octubre 2016	Aragón	Hombres	35040
201610	Octubre 2016	Aragón	Mujeres	46015
201609	Septiembre 2016	Aragón	Hombres	34380
201609	Septiembre 2016	Aragón	Mujeres	45743
201608	Agosto 2016	Aragón	Hombres	33301
201608	Agosto 2016	Aragón	Mujeres	44539
201607	Julio 2016	Aragón	Hombres	33195
201607	Julio 2016	Aragón	Mujeres	44575
201606	Junio 2016	Aragón	Hombres	33700
201606	Junio 2016	Aragón	Mujeres	45362
201605	Mayo 2016	Aragón	Hombres	36127
201605	Mayo 2016	Aragón	Mujeres	46959
201604	Abril 2016	Aragón	Hombres	39033
201604	Abril 2016	Aragón	Mujeres	48714
201603	Marzo 2016	Aragón	Hombres	40442
201603	Marzo 2016	Aragón	Mujeres	49199
201602	Febrero 2016	Aragón	Hombres	40643
201602	Febrero 2016	Aragón	Mujeres	50039
201601	Enero 2016	Aragón	Hombres	40915
201601	Enero 2016	Aragón	Mujeres	50430
201512	Diciembre 2015	Aragón	Hombres	40592
201512	Diciembre 2015	Aragón	Mujeres	48692
201511	Noviembre 2015	Aragón	Hombres	40494
201511	Noviembre 2015	Aragón	Mujeres	50625
201510	Octubre 2015	Aragón	Hombres	40956
201510	Octubre 2015	Aragón	Mujeres	50861
201509	Septiembre 2015	Aragón	Hombres	40188
201509	Septiembre 2015	Aragón	Mujeres	50238
201508	Agosto 2015	Aragón	Hombres	40842
201508	Agosto 2015	Aragón	Mujeres	51658
201507	Julio 2015	Aragón	Hombres	40964
201507	Julio 2015	Aragón	Mujeres	50840
201506	Junio 2015	Aragón	Hombres	42037
201506	Junio 2015	Aragón	Mujeres	50792
201505	Mayo 2015	Aragón	Hombres	43487
