Mes y año	Comarca código	Comarca nombre	Sexo	Nº parados
Junio 2020	01	La Jacetania	Hombres	353
Junio 2020	01	La Jacetania	Mujeres	472
Junio 2020	02	Alto Gállego	Hombres	302
Junio 2020	02	Alto Gállego	Mujeres	354
Junio 2020	03	Sobrarbe	Hombres	135
Junio 2020	03	Sobrarbe	Mujeres	124
Junio 2020	04	La Ribagorza	Hombres	180
Junio 2020	04	La Ribagorza	Mujeres	260
Junio 2020	05	Cinco Villas	Hombres	608
Junio 2020	05	Cinco Villas	Mujeres	966
Junio 2020	06	Hoya de Huesca / Plana de Uesca	Hombres	1536
Junio 2020	06	Hoya de Huesca / Plana de Uesca	Mujeres	2049
Junio 2020	07	Somontano de Barbastro	Hombres	471
Junio 2020	07	Somontano de Barbastro	Mujeres	743
Junio 2020	08	Cinca Medio	Hombres	466
Junio 2020	08	Cinca Medio	Mujeres	691
Junio 2020	09	La Litera / La Llitera	Hombres	325
Junio 2020	09	La Litera / La Llitera	Mujeres	396
Junio 2020	10	Los Monegros	Hombres	223
Junio 2020	10	Los Monegros	Mujeres	309
Junio 2020	11	Bajo Cinca / Baix Cinca	Hombres	259
Junio 2020	11	Bajo Cinca / Baix Cinca	Mujeres	429
Junio 2020	12	Tarazona y el Moncayo	Hombres	334
Junio 2020	12	Tarazona y el Moncayo	Mujeres	490
Junio 2020	13	Campo de Borja	Hombres	317
Junio 2020	13	Campo de Borja	Mujeres	403
Junio 2020	14	Aranda	Hombres	149
Junio 2020	14	Aranda	Mujeres	259
Junio 2020	15	Ribera Alta del Ebro	Hombres	689
Junio 2020	15	Ribera Alta del Ebro	Mujeres	968
Junio 2020	16	Valdejalón	Hombres	713
Junio 2020	16	Valdejalón	Mujeres	1047
Junio 2020	17	Central	Hombres	20516
Junio 2020	17	Central	Mujeres	28702
Junio 2020	18	Ribera Baja del Ebro	Hombres	156
Junio 2020	18	Ribera Baja del Ebro	Mujeres	261
Junio 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	246
Junio 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	425
Junio 2020	20	Comunidad de Calatayud	Hombres	772
Junio 2020	20	Comunidad de Calatayud	Mujeres	1123
Junio 2020	21	Campo de Cariñena	Hombres	202
Junio 2020	21	Campo de Cariñena	Mujeres	253
Junio 2020	22	Campo de Belchite	Hombres	74
Junio 2020	22	Campo de Belchite	Mujeres	82
Junio 2020	23	Bajo Martín	Hombres	124
Junio 2020	23	Bajo Martín	Mujeres	156
Junio 2020	24	Campo de Daroca	Hombres	73
Junio 2020	24	Campo de Daroca	Mujeres	77
Junio 2020	25	Jiloca	Hombres	202
Junio 2020	25	Jiloca	Mujeres	226
Junio 2020	26	Cuencas Mineras	Hombres	168
Junio 2020	26	Cuencas Mineras	Mujeres	226
Junio 2020	27	Andorra-Sierra de Arcos	Hombres	269
Junio 2020	27	Andorra-Sierra de Arcos	Mujeres	308
Junio 2020	28	Bajo Aragón	Hombres	551
Junio 2020	28	Bajo Aragón	Mujeres	826
Junio 2020	29	Comunidad de Teruel	Hombres	1056
Junio 2020	29	Comunidad de Teruel	Mujeres	1371
Junio 2020	30	Maestrazgo	Hombres	57
Junio 2020	30	Maestrazgo	Mujeres	64
Junio 2020	31	Sierra de Albarracín	Hombres	66
Junio 2020	31	Sierra de Albarracín	Mujeres	95
Junio 2020	32	Gúdar-Javalambre	Hombres	165
Junio 2020	32	Gúdar-Javalambre	Mujeres	243
Junio 2020	33	Matarraña / Matarranya	Hombres	141
Junio 2020	33	Matarraña / Matarranya	Mujeres	164
Mayo 2020	01	La Jacetania	Hombres	406
Mayo 2020	01	La Jacetania	Mujeres	511
Mayo 2020	02	Alto Gállego	Hombres	346
Mayo 2020	02	Alto Gállego	Mujeres	410
Mayo 2020	03	Sobrarbe	Hombres	149
Mayo 2020	03	Sobrarbe	Mujeres	147
Mayo 2020	04	La Ribagorza	Hombres	209
Mayo 2020	04	La Ribagorza	Mujeres	291
Mayo 2020	05	Cinco Villas	Hombres	605
Mayo 2020	05	Cinco Villas	Mujeres	943
Mayo 2020	06	Hoya de Huesca / Plana de Uesca	Hombres	1570
Mayo 2020	06	Hoya de Huesca / Plana de Uesca	Mujeres	2007
Mayo 2020	07	Somontano de Barbastro	Hombres	466
Mayo 2020	07	Somontano de Barbastro	Mujeres	746
Mayo 2020	08	Cinca Medio	Hombres	433
Mayo 2020	08	Cinca Medio	Mujeres	657
Mayo 2020	09	La Litera / La Llitera	Hombres	320
Mayo 2020	09	La Litera / La Llitera	Mujeres	383
Mayo 2020	10	Los Monegros	Hombres	223
Mayo 2020	10	Los Monegros	Mujeres	322
Mayo 2020	11	Bajo Cinca / Baix Cinca	Hombres	255
Mayo 2020	11	Bajo Cinca / Baix Cinca	Mujeres	458
Mayo 2020	12	Tarazona y el Moncayo	Hombres	353
Mayo 2020	12	Tarazona y el Moncayo	Mujeres	497
Mayo 2020	13	Campo de Borja	Hombres	335
Mayo 2020	13	Campo de Borja	Mujeres	414
Mayo 2020	14	Aranda	Hombres	176
Mayo 2020	14	Aranda	Mujeres	273
Mayo 2020	15	Ribera Alta del Ebro	Hombres	736
Mayo 2020	15	Ribera Alta del Ebro	Mujeres	1056
Mayo 2020	16	Valdejalón	Hombres	722
Mayo 2020	16	Valdejalón	Mujeres	1034
Mayo 2020	17	Central	Hombres	21337
Mayo 2020	17	Central	Mujeres	29270
Mayo 2020	18	Ribera Baja del Ebro	Hombres	156
Mayo 2020	18	Ribera Baja del Ebro	Mujeres	261
Mayo 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	247
Mayo 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	450
Mayo 2020	20	Comunidad de Calatayud	Hombres	878
Mayo 2020	20	Comunidad de Calatayud	Mujeres	1179
Mayo 2020	21	Campo de Cariñena	Hombres	211
Mayo 2020	21	Campo de Cariñena	Mujeres	249
Mayo 2020	22	Campo de Belchite	Hombres	75
Mayo 2020	22	Campo de Belchite	Mujeres	82
Mayo 2020	23	Bajo Martín	Hombres	130
Mayo 2020	23	Bajo Martín	Mujeres	153
Mayo 2020	24	Campo de Daroca	Hombres	76
Mayo 2020	24	Campo de Daroca	Mujeres	87
Mayo 2020	25	Jiloca	Hombres	226
Mayo 2020	25	Jiloca	Mujeres	237
Mayo 2020	26	Cuencas Mineras	Hombres	161
Mayo 2020	26	Cuencas Mineras	Mujeres	213
Mayo 2020	27	Andorra-Sierra de Arcos	Hombres	255
Mayo 2020	27	Andorra-Sierra de Arcos	Mujeres	280
Mayo 2020	28	Bajo Aragón	Hombres	550
Mayo 2020	28	Bajo Aragón	Mujeres	810
Mayo 2020	29	Comunidad de Teruel	Hombres	1101
Mayo 2020	29	Comunidad de Teruel	Mujeres	1382
Mayo 2020	30	Maestrazgo	Hombres	62
Mayo 2020	30	Maestrazgo	Mujeres	68
Mayo 2020	31	Sierra de Albarracín	Hombres	84
Mayo 2020	31	Sierra de Albarracín	Mujeres	83
Mayo 2020	32	Gúdar-Javalambre	Hombres	163
Mayo 2020	32	Gúdar-Javalambre	Mujeres	245
Mayo 2020	33	Matarraña / Matarranya	Hombres	145
Mayo 2020	33	Matarraña / Matarranya	Mujeres	170
Abril 2020	01	La Jacetania	Hombres	425
Abril 2020	01	La Jacetania	Mujeres	516
Abril 2020	02	Alto Gállego	Hombres	368
Abril 2020	02	Alto Gállego	Mujeres	408
Abril 2020	03	Sobrarbe	Hombres	147
Abril 2020	03	Sobrarbe	Mujeres	140
Abril 2020	04	La Ribagorza	Hombres	215
Abril 2020	04	La Ribagorza	Mujeres	269
Abril 2020	05	Cinco Villas	Hombres	630
Abril 2020	05	Cinco Villas	Mujeres	936
Abril 2020	06	Hoya de Huesca / Plana de Uesca	Hombres	1574
Abril 2020	06	Hoya de Huesca / Plana de Uesca	Mujeres	1952
Abril 2020	07	Somontano de Barbastro	Hombres	483
Abril 2020	07	Somontano de Barbastro	Mujeres	745
Abril 2020	08	Cinca Medio	Hombres	456
Abril 2020	08	Cinca Medio	Mujeres	689
Abril 2020	09	La Litera / La Llitera	Hombres	322
Abril 2020	09	La Litera / La Llitera	Mujeres	371
Abril 2020	10	Los Monegros	Hombres	234
Abril 2020	10	Los Monegros	Mujeres	319
Abril 2020	11	Bajo Cinca / Baix Cinca	Hombres	327
Abril 2020	11	Bajo Cinca / Baix Cinca	Mujeres	561
Abril 2020	12	Tarazona y el Moncayo	Hombres	355
Abril 2020	12	Tarazona y el Moncayo	Mujeres	503
Abril 2020	13	Campo de Borja	Hombres	343
Abril 2020	13	Campo de Borja	Mujeres	409
Abril 2020	14	Aranda	Hombres	191
Abril 2020	14	Aranda	Mujeres	269
Abril 2020	15	Ribera Alta del Ebro	Hombres	729
Abril 2020	15	Ribera Alta del Ebro	Mujeres	1049
Abril 2020	16	Valdejalón	Hombres	887
Abril 2020	16	Valdejalón	Mujeres	1106
Abril 2020	17	Central	Hombres	21481
Abril 2020	17	Central	Mujeres	29075
Abril 2020	18	Ribera Baja del Ebro	Hombres	161
Abril 2020	18	Ribera Baja del Ebro	Mujeres	265
Abril 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	276
Abril 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	487
Abril 2020	20	Comunidad de Calatayud	Hombres	984
Abril 2020	20	Comunidad de Calatayud	Mujeres	1228
Abril 2020	21	Campo de Cariñena	Hombres	228
Abril 2020	21	Campo de Cariñena	Mujeres	261
Abril 2020	22	Campo de Belchite	Hombres	75
Abril 2020	22	Campo de Belchite	Mujeres	82
Abril 2020	23	Bajo Martín	Hombres	135
Abril 2020	23	Bajo Martín	Mujeres	151
Abril 2020	24	Campo de Daroca	Hombres	76
Abril 2020	24	Campo de Daroca	Mujeres	88
Abril 2020	25	Jiloca	Hombres	204
Abril 2020	25	Jiloca	Mujeres	235
Abril 2020	26	Cuencas Mineras	Hombres	177
Abril 2020	26	Cuencas Mineras	Mujeres	212
Abril 2020	27	Andorra-Sierra de Arcos	Hombres	276
Abril 2020	27	Andorra-Sierra de Arcos	Mujeres	287
Abril 2020	28	Bajo Aragón	Hombres	614
Abril 2020	28	Bajo Aragón	Mujeres	834
Abril 2020	29	Comunidad de Teruel	Hombres	1095
Abril 2020	29	Comunidad de Teruel	Mujeres	1296
Abril 2020	30	Maestrazgo	Hombres	65
Abril 2020	30	Maestrazgo	Mujeres	61
Abril 2020	31	Sierra de Albarracín	Hombres	85
Abril 2020	31	Sierra de Albarracín	Mujeres	79
Abril 2020	32	Gúdar-Javalambre	Hombres	161
Abril 2020	32	Gúdar-Javalambre	Mujeres	236
Abril 2020	33	Matarraña / Matarranya	Hombres	145
Abril 2020	33	Matarraña / Matarranya	Mujeres	171
Marzo 2020	01	La Jacetania	Hombres	368
Marzo 2020	01	La Jacetania	Mujeres	461
Marzo 2020	02	Alto Gállego	Hombres	294
Marzo 2020	02	Alto Gállego	Mujeres	359
Marzo 2020	03	Sobrarbe	Hombres	129
Marzo 2020	03	Sobrarbe	Mujeres	125
Marzo 2020	04	La Ribagorza	Hombres	185
Marzo 2020	04	La Ribagorza	Mujeres	233
Marzo 2020	05	Cinco Villas	Hombres	584
Marzo 2020	05	Cinco Villas	Mujeres	910
Marzo 2020	06	Hoya de Huesca / Plana de Uesca	Hombres	1412
Marzo 2020	06	Hoya de Huesca / Plana de Uesca	Mujeres	1811
Marzo 2020	07	Somontano de Barbastro	Hombres	455
Marzo 2020	07	Somontano de Barbastro	Mujeres	697
Marzo 2020	08	Cinca Medio	Hombres	425
Marzo 2020	08	Cinca Medio	Mujeres	658
Marzo 2020	09	La Litera / La Llitera	Hombres	297
Marzo 2020	09	La Litera / La Llitera	Mujeres	349
Marzo 2020	10	Los Monegros	Hombres	219
Marzo 2020	10	Los Monegros	Mujeres	308
Marzo 2020	11	Bajo Cinca / Baix Cinca	Hombres	404
Marzo 2020	11	Bajo Cinca / Baix Cinca	Mujeres	571
Marzo 2020	12	Tarazona y el Moncayo	Hombres	295
Marzo 2020	12	Tarazona y el Moncayo	Mujeres	459
Marzo 2020	13	Campo de Borja	Hombres	309
Marzo 2020	13	Campo de Borja	Mujeres	394
Marzo 2020	14	Aranda	Hombres	182
Marzo 2020	14	Aranda	Mujeres	277
Marzo 2020	15	Ribera Alta del Ebro	Hombres	577
Marzo 2020	15	Ribera Alta del Ebro	Mujeres	949
Marzo 2020	16	Valdejalón	Hombres	837
Marzo 2020	16	Valdejalón	Mujeres	1056
Marzo 2020	17	Central	Hombres	18773
Marzo 2020	17	Central	Mujeres	26984
Marzo 2020	18	Ribera Baja del Ebro	Hombres	140
Marzo 2020	18	Ribera Baja del Ebro	Mujeres	244
Marzo 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	348
Marzo 2020	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	542
Marzo 2020	20	Comunidad de Calatayud	Hombres	931
Marzo 2020	20	Comunidad de Calatayud	Mujeres	1182
Marzo 2020	21	Campo de Cariñena	Hombres	186
Marzo 2020	21	Campo de Cariñena	Mujeres	233
Marzo 2020	22	Campo de Belchite	Hombres	69
Marzo 2020	22	Campo de Belchite	Mujeres	78
Marzo 2020	23	Bajo Martín	Hombres	140
Marzo 2020	23	Bajo Martín	Mujeres	143
Marzo 2020	24	Campo de Daroca	Hombres	75
Marzo 2020	24	Campo de Daroca	Mujeres	85
Marzo 2020	25	Jiloca	Hombres	182
Marzo 2020	25	Jiloca	Mujeres	219
Marzo 2020	26	Cuencas Mineras	Hombres	155
Marzo 2020	26	Cuencas Mineras	Mujeres	207
Marzo 2020	27	Andorra-Sierra de Arcos	Hombres	238
Marzo 2020	27	Andorra-Sierra de Arcos	Mujeres	282
Marzo 2020	28	Bajo Aragón	Hombres	573
Marzo 2020	28	Bajo Aragón	Mujeres	810
Marzo 2020	29	Comunidad de Teruel	Hombres	952
Marzo 2020	29	Comunidad de Teruel	Mujeres	1200
Marzo 2020	30	Maestrazgo	Hombres	53
Marzo 2020	30	Maestrazgo	Mujeres	57
Marzo 2020	31	Sierra de Albarracín	Hombres	70
Marzo 2020	31	Sierra de Albarracín	Mujeres	69
Marzo 2020	32	Gúdar-Javalambre	Hombres	144
Marzo 2020	32	Gúdar-Javalambre	Mujeres	212
Marzo 2020	33	Matarraña / Matarranya	Hombres	146
Marzo 2020	33	Matarraña / Matarranya	Mujeres	170
Febrero 2020	01	La Jacetania	Hombres	272
Febrero 2020	01	La Jacetania	Mujeres	341
Febrero 2020	02	Alto Gállego	Hombres	205
Febrero 2020	02	Alto Gállego	Mujeres	255
Febrero 2020	03	Sobrarbe	Hombres	114
Febrero 2020	03	Sobrarbe	Mujeres	106
Febrero 2020	04	La Ribagorza	Hombres	126
Febrero 2020	04	La Ribagorza	Mujeres	194
Febrero 2020	05	Cinco Villas	Hombres	561
Febrero 2020	05	Cinco Villas	Mujeres	870
Febrero 2020	06	Hoya de Huesca / Plana de Uesca	Hombres	1285
Febrero 2020	06	Hoya de Huesca / Plana de Uesca	Mujeres	1795
Febrero 2020	07	Somontano de Barbastro	Hombres	408
Febrero 2020	07	Somontano de Barbastro	Mujeres	661
Febrero 2020	08	Cinca Medio	Hombres	378
Febrero 2020	08	Cinca Medio	Mujeres	635
Febrero 2020	09	La Litera / La Llitera	Hombres	272
Febrero 2020	09	La Litera / La Llitera	Mujeres	318
Febrero 2020	10	Los Monegros	Hombres	210
Febrero 2020	10	Los Monegros	Mujeres	290
Febrero 2020	11	Bajo Cinca / Baix Cinca	Hombres	337
Febrero 2020	11	Bajo Cinca / Baix Cinca	Mujeres	547
Febrero 2020	12	Tarazona y el Moncayo	Hombres	263
Febrero 2020	12	Tarazona y el Moncayo	Mujeres	426
Febrero 2020	13	Campo de Borja	Hombres	270
Febrero 2020	13	Campo de Borja	Mujeres	345
Febrero 2020	14	Aranda	Hombres	133
Febrero 2020	14	Aranda	Mujeres	240
Febrero 2020	15	Ribera Alta del Ebro	Hombres	486
Febrero 2020	15	Ribera Alta del Ebro	Mujeres	858
