Mes y año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Nº parados
Enero 2020	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	470
Enero 2020	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	245
Enero 2020	22	Huesca	2	Industria y energía	Hombres	516
Enero 2020	22	Huesca	2	Industria y energía	Mujeres	299
Enero 2020	22	Huesca	3	Construcción	Hombres	557
Enero 2020	22	Huesca	3	Construcción	Mujeres	75
Enero 2020	22	Huesca	4	Servicios	Hombres	1917
Enero 2020	22	Huesca	4	Servicios	Mujeres	4096
Enero 2020	22	Huesca		Sin empleo anterior	Hombres	211
Enero 2020	22	Huesca		Sin empleo anterior	Mujeres	451
Enero 2020	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	251
Enero 2020	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	133
Enero 2020	44	Teruel	2	Industria y energía	Hombres	439
Enero 2020	44	Teruel	2	Industria y energía	Mujeres	313
Enero 2020	44	Teruel	3	Construcción	Hombres	422
Enero 2020	44	Teruel	3	Construcción	Mujeres	56
Enero 2020	44	Teruel	4	Servicios	Hombres	1260
Enero 2020	44	Teruel	4	Servicios	Mujeres	2609
Enero 2020	44	Teruel		Sin empleo anterior	Hombres	117
Enero 2020	44	Teruel		Sin empleo anterior	Mujeres	290
Enero 2020	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1695
Enero 2020	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	960
Enero 2020	50	Zaragoza	2	Industria y energía	Hombres	3283
Enero 2020	50	Zaragoza	2	Industria y energía	Mujeres	2892
Enero 2020	50	Zaragoza	3	Construcción	Hombres	2811
Enero 2020	50	Zaragoza	3	Construcción	Mujeres	468
Enero 2020	50	Zaragoza	4	Servicios	Hombres	12068
Enero 2020	50	Zaragoza	4	Servicios	Mujeres	24385
Enero 2020	50	Zaragoza		Sin empleo anterior	Hombres	1340
Enero 2020	50	Zaragoza		Sin empleo anterior	Mujeres	3006
Diciembre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	450
Diciembre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	249
Diciembre 2019	22	Huesca	2	Industria y energía	Hombres	503
Diciembre 2019	22	Huesca	2	Industria y energía	Mujeres	276
Diciembre 2019	22	Huesca	3	Construcción	Hombres	554
Diciembre 2019	22	Huesca	3	Construcción	Mujeres	69
Diciembre 2019	22	Huesca	4	Servicios	Hombres	1790
Diciembre 2019	22	Huesca	4	Servicios	Mujeres	3798
Diciembre 2019	22	Huesca		Sin empleo anterior	Hombres	197
Diciembre 2019	22	Huesca		Sin empleo anterior	Mujeres	409
Diciembre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	225
Diciembre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	126
Diciembre 2019	44	Teruel	2	Industria y energía	Hombres	429
Diciembre 2019	44	Teruel	2	Industria y energía	Mujeres	316
Diciembre 2019	44	Teruel	3	Construcción	Hombres	424
Diciembre 2019	44	Teruel	3	Construcción	Mujeres	58
Diciembre 2019	44	Teruel	4	Servicios	Hombres	1221
Diciembre 2019	44	Teruel	4	Servicios	Mujeres	2424
Diciembre 2019	44	Teruel		Sin empleo anterior	Hombres	125
Diciembre 2019	44	Teruel		Sin empleo anterior	Mujeres	292
Diciembre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1725
Diciembre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	983
Diciembre 2019	50	Zaragoza	2	Industria y energía	Hombres	3294
Diciembre 2019	50	Zaragoza	2	Industria y energía	Mujeres	2914
Diciembre 2019	50	Zaragoza	3	Construcción	Hombres	2825
Diciembre 2019	50	Zaragoza	3	Construcción	Mujeres	451
Diciembre 2019	50	Zaragoza	4	Servicios	Hombres	11708
Diciembre 2019	50	Zaragoza	4	Servicios	Mujeres	22837
Diciembre 2019	50	Zaragoza		Sin empleo anterior	Hombres	1252
Diciembre 2019	50	Zaragoza		Sin empleo anterior	Mujeres	2932
Noviembre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	463
Noviembre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	271
Noviembre 2019	22	Huesca	2	Industria y energía	Hombres	461
Noviembre 2019	22	Huesca	2	Industria y energía	Mujeres	278
Noviembre 2019	22	Huesca	3	Construcción	Hombres	515
Noviembre 2019	22	Huesca	3	Construcción	Mujeres	68
Noviembre 2019	22	Huesca	4	Servicios	Hombres	1908
Noviembre 2019	22	Huesca	4	Servicios	Mujeres	4034
Noviembre 2019	22	Huesca		Sin empleo anterior	Hombres	222
Noviembre 2019	22	Huesca		Sin empleo anterior	Mujeres	442
Noviembre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	213
Noviembre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	145
Noviembre 2019	44	Teruel	2	Industria y energía	Hombres	427
Noviembre 2019	44	Teruel	2	Industria y energía	Mujeres	309
Noviembre 2019	44	Teruel	3	Construcción	Hombres	383
Noviembre 2019	44	Teruel	3	Construcción	Mujeres	54
Noviembre 2019	44	Teruel	4	Servicios	Hombres	1227
Noviembre 2019	44	Teruel	4	Servicios	Mujeres	2546
Noviembre 2019	44	Teruel		Sin empleo anterior	Hombres	136
Noviembre 2019	44	Teruel		Sin empleo anterior	Mujeres	295
Noviembre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1744
Noviembre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1034
Noviembre 2019	50	Zaragoza	2	Industria y energía	Hombres	3056
Noviembre 2019	50	Zaragoza	2	Industria y energía	Mujeres	2819
Noviembre 2019	50	Zaragoza	3	Construcción	Hombres	2639
Noviembre 2019	50	Zaragoza	3	Construcción	Mujeres	453
Noviembre 2019	50	Zaragoza	4	Servicios	Hombres	11483
Noviembre 2019	50	Zaragoza	4	Servicios	Mujeres	23223
Noviembre 2019	50	Zaragoza		Sin empleo anterior	Hombres	1315
Noviembre 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3060
Octubre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	517
Octubre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	271
Octubre 2019	22	Huesca	2	Industria y energía	Hombres	447
Octubre 2019	22	Huesca	2	Industria y energía	Mujeres	285
Octubre 2019	22	Huesca	3	Construcción	Hombres	506
Octubre 2019	22	Huesca	3	Construcción	Mujeres	73
Octubre 2019	22	Huesca	4	Servicios	Hombres	1952
Octubre 2019	22	Huesca	4	Servicios	Mujeres	4014
Octubre 2019	22	Huesca		Sin empleo anterior	Hombres	223
Octubre 2019	22	Huesca		Sin empleo anterior	Mujeres	437
Octubre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	204
Octubre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	127
Octubre 2019	44	Teruel	2	Industria y energía	Hombres	436
Octubre 2019	44	Teruel	2	Industria y energía	Mujeres	306
Octubre 2019	44	Teruel	3	Construcción	Hombres	380
Octubre 2019	44	Teruel	3	Construcción	Mujeres	52
Octubre 2019	44	Teruel	4	Servicios	Hombres	1222
Octubre 2019	44	Teruel	4	Servicios	Mujeres	2447
Octubre 2019	44	Teruel		Sin empleo anterior	Hombres	138
Octubre 2019	44	Teruel		Sin empleo anterior	Mujeres	292
Octubre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1827
Octubre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	979
Octubre 2019	50	Zaragoza	2	Industria y energía	Hombres	3021
Octubre 2019	50	Zaragoza	2	Industria y energía	Mujeres	2736
Octubre 2019	50	Zaragoza	3	Construcción	Hombres	2589
Octubre 2019	50	Zaragoza	3	Construcción	Mujeres	450
Octubre 2019	50	Zaragoza	4	Servicios	Hombres	11441
Octubre 2019	50	Zaragoza	4	Servicios	Mujeres	23388
Octubre 2019	50	Zaragoza		Sin empleo anterior	Hombres	1371
Octubre 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3104
Septiembre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	474
Septiembre 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	230
Septiembre 2019	22	Huesca	2	Industria y energía	Hombres	448
Septiembre 2019	22	Huesca	2	Industria y energía	Mujeres	266
Septiembre 2019	22	Huesca	3	Construcción	Hombres	496
Septiembre 2019	22	Huesca	3	Construcción	Mujeres	74
Septiembre 2019	22	Huesca	4	Servicios	Hombres	1807
Septiembre 2019	22	Huesca	4	Servicios	Mujeres	3697
Septiembre 2019	22	Huesca		Sin empleo anterior	Hombres	236
Septiembre 2019	22	Huesca		Sin empleo anterior	Mujeres	440
Septiembre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	169
Septiembre 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	107
Septiembre 2019	44	Teruel	2	Industria y energía	Hombres	443
Septiembre 2019	44	Teruel	2	Industria y energía	Mujeres	298
Septiembre 2019	44	Teruel	3	Construcción	Hombres	341
Septiembre 2019	44	Teruel	3	Construcción	Mujeres	55
Septiembre 2019	44	Teruel	4	Servicios	Hombres	1067
Septiembre 2019	44	Teruel	4	Servicios	Mujeres	2259
Septiembre 2019	44	Teruel		Sin empleo anterior	Hombres	124
Septiembre 2019	44	Teruel		Sin empleo anterior	Mujeres	280
Septiembre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1352
Septiembre 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	808
Septiembre 2019	50	Zaragoza	2	Industria y energía	Hombres	2945
Septiembre 2019	50	Zaragoza	2	Industria y energía	Mujeres	2682
Septiembre 2019	50	Zaragoza	3	Construcción	Hombres	2651
Septiembre 2019	50	Zaragoza	3	Construcción	Mujeres	451
Septiembre 2019	50	Zaragoza	4	Servicios	Hombres	11116
Septiembre 2019	50	Zaragoza	4	Servicios	Mujeres	23050
Septiembre 2019	50	Zaragoza		Sin empleo anterior	Hombres	1412
Septiembre 2019	50	Zaragoza		Sin empleo anterior	Mujeres	3085
Agosto 2019	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	358
Agosto 2019	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	179
Agosto 2019	22	Huesca	2	Industria y energía	Hombres	439
Agosto 2019	22	Huesca	2	Industria y energía	Mujeres	260
Agosto 2019	22	Huesca	3	Construcción	Hombres	481
Agosto 2019	22	Huesca	3	Construcción	Mujeres	70
Agosto 2019	22	Huesca	4	Servicios	Hombres	1625
Agosto 2019	22	Huesca	4	Servicios	Mujeres	3558
Agosto 2019	22	Huesca		Sin empleo anterior	Hombres	230
Agosto 2019	22	Huesca		Sin empleo anterior	Mujeres	413
Agosto 2019	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	172
Agosto 2019	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	104
Agosto 2019	44	Teruel	2	Industria y energía	Hombres	409
Agosto 2019	44	Teruel	2	Industria y energía	Mujeres	292
Agosto 2019	44	Teruel	3	Construcción	Hombres	344
Agosto 2019	44	Teruel	3	Construcción	Mujeres	57
Agosto 2019	44	Teruel	4	Servicios	Hombres	1005
Agosto 2019	44	Teruel	4	Servicios	Mujeres	2126
Agosto 2019	44	Teruel		Sin empleo anterior	Hombres	133
Agosto 2019	44	Teruel		Sin empleo anterior	Mujeres	274
Agosto 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1269
Agosto 2019	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	748
Agosto 2019	50	Zaragoza	2	Industria y energía	Hombres	2917
Agosto 2019	50	Zaragoza	2	Industria y energía	Mujeres	2701
Agosto 2019	50	Zaragoza	3	Construcción	Hombres	2632
Agosto 2019	50	Zaragoza	3	Construcción	Mujeres	460
Agosto 2019	50	Zaragoza	4	Servicios	Hombres	11067
Agosto 2019	50	Zaragoza	4	Servicios	Mujeres	22766
