Mes y año	'Aragón'	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
Agosto 2016	Aragón	Hombres	12633	1	Hasta 3 meses
Agosto 2016	Aragón	Hombres	3661	2	De 3 a 6 meses
Agosto 2016	Aragón	Hombres	4748	3	De 6 a 12 meses
Agosto 2016	Aragón	Hombres	4307	4	De 1 a 2 años
Agosto 2016	Aragón	Hombres	2099	5	De 2 a 3 años
Agosto 2016	Aragón	Hombres	5853	6	Más de 3 años
Agosto 2016	Aragón	Mujeres	13458	1	Hasta 3 meses
Agosto 2016	Aragón	Mujeres	4703	2	De 3 a 6 meses
Agosto 2016	Aragón	Mujeres	6575	3	De 6 a 12 meses
Agosto 2016	Aragón	Mujeres	6776	4	De 1 a 2 años
Agosto 2016	Aragón	Mujeres	3573	5	De 2 a 3 años
Agosto 2016	Aragón	Mujeres	9454	6	Más de 3 años
Julio 2016	Aragón	Hombres	11796	1	Hasta 3 meses
Julio 2016	Aragón	Hombres	3934	2	De 3 a 6 meses
Julio 2016	Aragón	Hombres	4990	3	De 6 a 12 meses
Julio 2016	Aragón	Hombres	4403	4	De 1 a 2 años
Julio 2016	Aragón	Hombres	2155	5	De 2 a 3 años
Julio 2016	Aragón	Hombres	5917	6	Más de 3 años
Julio 2016	Aragón	Mujeres	12775	1	Hasta 3 meses
Julio 2016	Aragón	Mujeres	4866	2	De 3 a 6 meses
Julio 2016	Aragón	Mujeres	6871	3	De 6 a 12 meses
Julio 2016	Aragón	Mujeres	6862	4	De 1 a 2 años
Julio 2016	Aragón	Mujeres	3668	5	De 2 a 3 años
Julio 2016	Aragón	Mujeres	9533	6	Más de 3 años
Junio 2016	Aragón	Hombres	11179	1	Hasta 3 meses
Junio 2016	Aragón	Hombres	4451	2	De 3 a 6 meses
Junio 2016	Aragón	Hombres	5317	3	De 6 a 12 meses
Junio 2016	Aragón	Hombres	4578	4	De 1 a 2 años
Junio 2016	Aragón	Hombres	2212	5	De 2 a 3 años
Junio 2016	Aragón	Hombres	5963	6	Más de 3 años
Junio 2016	Aragón	Mujeres	12437	1	Hasta 3 meses
Junio 2016	Aragón	Mujeres	5550	2	De 3 a 6 meses
Junio 2016	Aragón	Mujeres	7036	3	De 6 a 12 meses
Junio 2016	Aragón	Mujeres	6971	4	De 1 a 2 años
Junio 2016	Aragón	Mujeres	3765	5	De 2 a 3 años
Junio 2016	Aragón	Mujeres	9603	6	Más de 3 años
Mayo 2016	Aragón	Hombres	11584	1	Hasta 3 meses
Mayo 2016	Aragón	Hombres	5229	2	De 3 a 6 meses
Mayo 2016	Aragón	Hombres	6167	3	De 6 a 12 meses
Mayo 2016	Aragón	Hombres	4737	4	De 1 a 2 años
Mayo 2016	Aragón	Hombres	2294	5	De 2 a 3 años
Mayo 2016	Aragón	Hombres	6116	6	Más de 3 años
Mayo 2016	Aragón	Mujeres	12386	1	Hasta 3 meses
Mayo 2016	Aragón	Mujeres	5977	2	De 3 a 6 meses
Mayo 2016	Aragón	Mujeres	7951	3	De 6 a 12 meses
Mayo 2016	Aragón	Mujeres	7114	4	De 1 a 2 años
Mayo 2016	Aragón	Mujeres	3852	5	De 2 a 3 años
Mayo 2016	Aragón	Mujeres	9679	6	Más de 3 años
Abril 2016	Aragón	Hombres	13119	1	Hasta 3 meses
Abril 2016	Aragón	Hombres	6062	2	De 3 a 6 meses
Abril 2016	Aragón	Hombres	6377	3	De 6 a 12 meses
Abril 2016	Aragón	Hombres	4936	4	De 1 a 2 años
Abril 2016	Aragón	Hombres	2365	5	De 2 a 3 años
Abril 2016	Aragón	Hombres	6174	6	Más de 3 años
Abril 2016	Aragón	Mujeres	12980	1	Hasta 3 meses
Abril 2016	Aragón	Mujeres	6685	2	De 3 a 6 meses
Abril 2016	Aragón	Mujeres	8094	3	De 6 a 12 meses
Abril 2016	Aragón	Mujeres	7265	4	De 1 a 2 años
Abril 2016	Aragón	Mujeres	3945	5	De 2 a 3 años
Abril 2016	Aragón	Mujeres	9745	6	Más de 3 años
Marzo 2016	Aragón	Hombres	14196	1	Hasta 3 meses
Marzo 2016	Aragón	Hombres	6757	2	De 3 a 6 meses
Marzo 2016	Aragón	Hombres	5618	3	De 6 a 12 meses
Marzo 2016	Aragón	Hombres	5170	4	De 1 a 2 años
Marzo 2016	Aragón	Hombres	2475	5	De 2 a 3 años
Marzo 2016	Aragón	Hombres	6226	6	Más de 3 años
Marzo 2016	Aragón	Mujeres	13779	1	Hasta 3 meses
Marzo 2016	Aragón	Mujeres	6803	2	De 3 a 6 meses
Marzo 2016	Aragón	Mujeres	7410	3	De 6 a 12 meses
Marzo 2016	Aragón	Mujeres	7414	4	De 1 a 2 años
Marzo 2016	Aragón	Mujeres	4117	5	De 2 a 3 años
Marzo 2016	Aragón	Mujeres	9676	6	Más de 3 años
Febrero 2016	Aragón	Hombres	14427	1	Hasta 3 meses
Febrero 2016	Aragón	Hombres	7295	2	De 3 a 6 meses
Febrero 2016	Aragón	Hombres	4868	3	De 6 a 12 meses
Febrero 2016	Aragón	Hombres	5226	4	De 1 a 2 años
Febrero 2016	Aragón	Hombres	2566	5	De 2 a 3 años
Febrero 2016	Aragón	Hombres	6261	6	Más de 3 años
Febrero 2016	Aragón	Mujeres	14233	1	Hasta 3 meses
Febrero 2016	Aragón	Mujeres	7972	2	De 3 a 6 meses
Febrero 2016	Aragón	Mujeres	6484	3	De 6 a 12 meses
Febrero 2016	Aragón	Mujeres	7513	4	De 1 a 2 años
Febrero 2016	Aragón	Mujeres	4157	5	De 2 a 3 años
Febrero 2016	Aragón	Mujeres	9680	6	Más de 3 años
Enero 2016	Aragón	Hombres	15170	1	Hasta 3 meses
Enero 2016	Aragón	Hombres	6875	2	De 3 a 6 meses
Enero 2016	Aragón	Hombres	4721	3	De 6 a 12 meses
Enero 2016	Aragón	Hombres	5246	4	De 1 a 2 años
Enero 2016	Aragón	Hombres	2637	5	De 2 a 3 años
Enero 2016	Aragón	Hombres	6266	6	Más de 3 años
Enero 2016	Aragón	Mujeres	14905	1	Hasta 3 meses
Enero 2016	Aragón	Mujeres	7795	2	De 3 a 6 meses
Enero 2016	Aragón	Mujeres	6303	3	De 6 a 12 meses
Enero 2016	Aragón	Mujeres	7534	4	De 1 a 2 años
Enero 2016	Aragón	Mujeres	4222	5	De 2 a 3 años
