Mes (código)	Mes y año	Provincia código	Provincia nombre	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
201706	Junio 2017	22	Huesca	Hombres	1396	1	Hasta 3 meses
201706	Junio 2017	22	Huesca	Hombres	469	2	De 3 a 6 meses
201706	Junio 2017	22	Huesca	Hombres	461	3	De 6 a 12 meses
201706	Junio 2017	22	Huesca	Hombres	421	4	De 1 a 2 años
201706	Junio 2017	22	Huesca	Hombres	199	5	De 2 a 3 años
201706	Junio 2017	22	Huesca	Hombres	567	6	Más de 3 años
201706	Junio 2017	22	Huesca	Mujeres	1581	1	Hasta 3 meses
201706	Junio 2017	22	Huesca	Mujeres	687	2	De 3 a 6 meses
201706	Junio 2017	22	Huesca	Mujeres	748	3	De 6 a 12 meses
201706	Junio 2017	22	Huesca	Mujeres	646	4	De 1 a 2 años
201706	Junio 2017	22	Huesca	Mujeres	333	5	De 2 a 3 años
201706	Junio 2017	22	Huesca	Mujeres	880	6	Más de 3 años
201706	Junio 2017	44	Teruel	Hombres	926	1	Hasta 3 meses
201706	Junio 2017	44	Teruel	Hombres	313	2	De 3 a 6 meses
201706	Junio 2017	44	Teruel	Hombres	357	3	De 6 a 12 meses
201706	Junio 2017	44	Teruel	Hombres	292	4	De 1 a 2 años
201706	Junio 2017	44	Teruel	Hombres	126	5	De 2 a 3 años
201706	Junio 2017	44	Teruel	Hombres	371	6	Más de 3 años
201706	Junio 2017	44	Teruel	Mujeres	1130	1	Hasta 3 meses
201706	Junio 2017	44	Teruel	Mujeres	428	2	De 3 a 6 meses
201706	Junio 2017	44	Teruel	Mujeres	537	3	De 6 a 12 meses
201706	Junio 2017	44	Teruel	Mujeres	496	4	De 1 a 2 años
201706	Junio 2017	44	Teruel	Mujeres	280	5	De 2 a 3 años
201706	Junio 2017	44	Teruel	Mujeres	528	6	Más de 3 años
201706	Junio 2017	50	Zaragoza	Hombres	7292	1	Hasta 3 meses
201706	Junio 2017	50	Zaragoza	Hombres	2715	2	De 3 a 6 meses
201706	Junio 2017	50	Zaragoza	Hombres	2968	3	De 6 a 12 meses
201706	Junio 2017	50	Zaragoza	Hombres	2609	4	De 1 a 2 años
201706	Junio 2017	50	Zaragoza	Hombres	1255	5	De 2 a 3 años
201706	Junio 2017	50	Zaragoza	Hombres	3899	6	Más de 3 años
201706	Junio 2017	50	Zaragoza	Mujeres	8660	1	Hasta 3 meses
201706	Junio 2017	50	Zaragoza	Mujeres	3988	2	De 3 a 6 meses
201706	Junio 2017	50	Zaragoza	Mujeres	4701	3	De 6 a 12 meses
201706	Junio 2017	50	Zaragoza	Mujeres	4394	4	De 1 a 2 años
201706	Junio 2017	50	Zaragoza	Mujeres	2507	5	De 2 a 3 años
201706	Junio 2017	50	Zaragoza	Mujeres	7334	6	Más de 3 años
201705	Mayo 2017	22	Huesca	Hombres	1415	1	Hasta 3 meses
201705	Mayo 2017	22	Huesca	Hombres	544	2	De 3 a 6 meses
201705	Mayo 2017	22	Huesca	Hombres	533	3	De 6 a 12 meses
201705	Mayo 2017	22	Huesca	Hombres	443	4	De 1 a 2 años
201705	Mayo 2017	22	Huesca	Hombres	212	5	De 2 a 3 años
201705	Mayo 2017	22	Huesca	Hombres	570	6	Más de 3 años
201705	Mayo 2017	22	Huesca	Mujeres	1671	1	Hasta 3 meses
201705	Mayo 2017	22	Huesca	Mujeres	749	2	De 3 a 6 meses
201705	Mayo 2017	22	Huesca	Mujeres	822	3	De 6 a 12 meses
201705	Mayo 2017	22	Huesca	Mujeres	648	4	De 1 a 2 años
201705	Mayo 2017	22	Huesca	Mujeres	344	5	De 2 a 3 años
201705	Mayo 2017	22	Huesca	Mujeres	872	6	Más de 3 años
201705	Mayo 2017	44	Teruel	Hombres	876	1	Hasta 3 meses
201705	Mayo 2017	44	Teruel	Hombres	341	2	De 3 a 6 meses
201705	Mayo 2017	44	Teruel	Hombres	438	3	De 6 a 12 meses
201705	Mayo 2017	44	Teruel	Hombres	300	4	De 1 a 2 años
201705	Mayo 2017	44	Teruel	Hombres	128	5	De 2 a 3 años
201705	Mayo 2017	44	Teruel	Hombres	381	6	Más de 3 años
201705	Mayo 2017	44	Teruel	Mujeres	1165	1	Hasta 3 meses
201705	Mayo 2017	44	Teruel	Mujeres	469	2	De 3 a 6 meses
201705	Mayo 2017	44	Teruel	Mujeres	610	3	De 6 a 12 meses
201705	Mayo 2017	44	Teruel	Mujeres	495	4	De 1 a 2 años
201705	Mayo 2017	44	Teruel	Mujeres	291	5	De 2 a 3 años
201705	Mayo 2017	44	Teruel	Mujeres	531	6	Más de 3 años
201705	Mayo 2017	50	Zaragoza	Hombres	7344	1	Hasta 3 meses
201705	Mayo 2017	50	Zaragoza	Hombres	3026	2	De 3 a 6 meses
201705	Mayo 2017	50	Zaragoza	Hombres	3281	3	De 6 a 12 meses
201705	Mayo 2017	50	Zaragoza	Hombres	2702	4	De 1 a 2 años
201705	Mayo 2017	50	Zaragoza	Hombres	1278	5	De 2 a 3 años
201705	Mayo 2017	50	Zaragoza	Hombres	3972	6	Más de 3 años
201705	Mayo 2017	50	Zaragoza	Mujeres	8656	1	Hasta 3 meses
201705	Mayo 2017	50	Zaragoza	Mujeres	4280	2	De 3 a 6 meses
201705	Mayo 2017	50	Zaragoza	Mujeres	4955	3	De 6 a 12 meses
201705	Mayo 2017	50	Zaragoza	Mujeres	4502	4	De 1 a 2 años
201705	Mayo 2017	50	Zaragoza	Mujeres	2506	5	De 2 a 3 años
201705	Mayo 2017	50	Zaragoza	Mujeres	7412	6	Más de 3 años
201704	Abril 2017	22	Huesca	Hombres	1570	1	Hasta 3 meses
201704	Abril 2017	22	Huesca	Hombres	623	2	De 3 a 6 meses
201704	Abril 2017	22	Huesca	Hombres	591	3	De 6 a 12 meses
201704	Abril 2017	22	Huesca	Hombres	462	4	De 1 a 2 años
201704	Abril 2017	22	Huesca	Hombres	228	5	De 2 a 3 años
201704	Abril 2017	22	Huesca	Hombres	590	6	Más de 3 años
201704	Abril 2017	22	Huesca	Mujeres	1733	1	Hasta 3 meses
201704	Abril 2017	22	Huesca	Mujeres	831	2	De 3 a 6 meses
201704	Abril 2017	22	Huesca	Mujeres	832	3	De 6 a 12 meses
201704	Abril 2017	22	Huesca	Mujeres	682	4	De 1 a 2 años
201704	Abril 2017	22	Huesca	Mujeres	354	5	De 2 a 3 años
201704	Abril 2017	22	Huesca	Mujeres	885	6	Más de 3 años
201704	Abril 2017	44	Teruel	Hombres	985	1	Hasta 3 meses
201704	Abril 2017	44	Teruel	Hombres	441	2	De 3 a 6 meses
201704	Abril 2017	44	Teruel	Hombres	467	3	De 6 a 12 meses
201704	Abril 2017	44	Teruel	Hombres	318	4	De 1 a 2 años
201704	Abril 2017	44	Teruel	Hombres	146	5	De 2 a 3 años
201704	Abril 2017	44	Teruel	Hombres	386	6	Más de 3 años
201704	Abril 2017	44	Teruel	Mujeres	1189	1	Hasta 3 meses
201704	Abril 2017	44	Teruel	Mujeres	571	2	De 3 a 6 meses
201704	Abril 2017	44	Teruel	Mujeres	593	3	De 6 a 12 meses
201704	Abril 2017	44	Teruel	Mujeres	513	4	De 1 a 2 años
201704	Abril 2017	44	Teruel	Mujeres	296	5	De 2 a 3 años
201704	Abril 2017	44	Teruel	Mujeres	550	6	Más de 3 años
201704	Abril 2017	50	Zaragoza	Hombres	8511	1	Hasta 3 meses
201704	Abril 2017	50	Zaragoza	Hombres	3685	2	De 3 a 6 meses
201704	Abril 2017	50	Zaragoza	Hombres	3469	3	De 6 a 12 meses
201704	Abril 2017	50	Zaragoza	Hombres	2859	4	De 1 a 2 años
201704	Abril 2017	50	Zaragoza	Hombres	1330	5	De 2 a 3 años
201704	Abril 2017	50	Zaragoza	Hombres	4066	6	Más de 3 años
201704	Abril 2017	50	Zaragoza	Mujeres	9211	1	Hasta 3 meses
201704	Abril 2017	50	Zaragoza	Mujeres	4778	2	De 3 a 6 meses
201704	Abril 2017	50	Zaragoza	Mujeres	5063	3	De 6 a 12 meses
201704	Abril 2017	50	Zaragoza	Mujeres	4683	4	De 1 a 2 años
201704	Abril 2017	50	Zaragoza	Mujeres	2508	5	De 2 a 3 años
201704	Abril 2017	50	Zaragoza	Mujeres	7523	6	Más de 3 años
