Mes (código)	Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
201702	Febrero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	26131
201702	Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	2955
201702	Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
201702	Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	421
201702	Febrero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4118
201702	Febrero 2017	Aragón	No consta	No consta	No consta	No consta	Hombres	3
201702	Febrero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	36439
201702	Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3676
201702	Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
201702	Febrero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	466
201702	Febrero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4881
201702	Febrero 2017	Aragón	No consta	No consta	No consta	No consta	Mujeres	1
201701	Enero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27577
201701	Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3056
201701	Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
201701	Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	420
201701	Enero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4299
201701	Enero 2017	Aragón	No consta	No consta	No consta	No consta	Hombres	3
201701	Enero 2017	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	37623
201701	Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3665
201701	Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	2
201701	Enero 2017	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	488
201701	Enero 2017	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4776
201701	Enero 2017	Aragón	No consta	No consta	No consta	No consta	Mujeres	1
201612	Diciembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27360
201612	Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3126
201612	Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
201612	Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	399
201612	Diciembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	4260
201612	Diciembre 2016	Aragón	No consta	No consta	No consta	No consta	Hombres	2
201612	Diciembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	35986
201612	Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3655
201612	Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
201612	Diciembre 2016	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	458
201612	Diciembre 2016	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4684
201612	Diciembre 2016	Aragón	No consta	No consta	No consta	No consta	Mujeres	1
201611	Noviembre 2016	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	27243
