Mes y año	Provincia código	Provincia nombre	Edad (grupos quinquenales)	Sexo	Nº parados
Agosto 2020	22	Huesca	16-19	Hombres	12
Agosto 2020	22	Huesca	16-19	Mujeres	17
Agosto 2020	22	Huesca	20-24	Hombres	29
Agosto 2020	22	Huesca	20-24	Mujeres	43
Agosto 2020	22	Huesca	25-29	Hombres	41
Agosto 2020	22	Huesca	25-29	Mujeres	89
Agosto 2020	22	Huesca	30-34	Hombres	57
Agosto 2020	22	Huesca	30-34	Mujeres	155
Agosto 2020	22	Huesca	35-39	Hombres	52
Agosto 2020	22	Huesca	35-39	Mujeres	170
Agosto 2020	22	Huesca	40-44	Hombres	89
Agosto 2020	22	Huesca	40-44	Mujeres	198
Agosto 2020	22	Huesca	45-49	Hombres	107
Agosto 2020	22	Huesca	45-49	Mujeres	203
Agosto 2020	22	Huesca	50-54	Hombres	141
Agosto 2020	22	Huesca	50-54	Mujeres	213
Agosto 2020	22	Huesca	55-59	Hombres	196
Agosto 2020	22	Huesca	55-59	Mujeres	328
Agosto 2020	22	Huesca	60-64	Hombres	279
Agosto 2020	22	Huesca	60-64	Mujeres	408
Agosto 2020	44	Teruel	16-19	Hombres	7
Agosto 2020	44	Teruel	16-19	Mujeres	3
Agosto 2020	44	Teruel	20-24	Hombres	11
Agosto 2020	44	Teruel	20-24	Mujeres	32
Agosto 2020	44	Teruel	25-29	Hombres	23
Agosto 2020	44	Teruel	25-29	Mujeres	53
Agosto 2020	44	Teruel	30-34	Hombres	29
Agosto 2020	44	Teruel	30-34	Mujeres	101
Agosto 2020	44	Teruel	35-39	Hombres	32
Agosto 2020	44	Teruel	35-39	Mujeres	114
Agosto 2020	44	Teruel	40-44	Hombres	47
Agosto 2020	44	Teruel	40-44	Mujeres	99
Agosto 2020	44	Teruel	45-49	Hombres	84
Agosto 2020	44	Teruel	45-49	Mujeres	122
Agosto 2020	44	Teruel	50-54	Hombres	95
Agosto 2020	44	Teruel	50-54	Mujeres	156
Agosto 2020	44	Teruel	55-59	Hombres	138
Agosto 2020	44	Teruel	55-59	Mujeres	207
Agosto 2020	44	Teruel	60-64	Hombres	178
Agosto 2020	44	Teruel	60-64	Mujeres	294
Agosto 2020	50	Zaragoza	16-19	Hombres	78
Agosto 2020	50	Zaragoza	16-19	Mujeres	80
Agosto 2020	50	Zaragoza	20-24	Hombres	205
Agosto 2020	50	Zaragoza	20-24	Mujeres	297
Agosto 2020	50	Zaragoza	25-29	Hombres	275
Agosto 2020	50	Zaragoza	25-29	Mujeres	621
Agosto 2020	50	Zaragoza	30-34	Hombres	375
Agosto 2020	50	Zaragoza	30-34	Mujeres	935
Agosto 2020	50	Zaragoza	35-39	Hombres	442
Agosto 2020	50	Zaragoza	35-39	Mujeres	1268
Agosto 2020	50	Zaragoza	40-44	Hombres	599
Agosto 2020	50	Zaragoza	40-44	Mujeres	1520
Agosto 2020	50	Zaragoza	45-49	Hombres	842
Agosto 2020	50	Zaragoza	45-49	Mujeres	1695
Agosto 2020	50	Zaragoza	50-54	Hombres	1166
Agosto 2020	50	Zaragoza	50-54	Mujeres	1917
Agosto 2020	50	Zaragoza	55-59	Hombres	1572
Agosto 2020	50	Zaragoza	55-59	Mujeres	2654
Agosto 2020	50	Zaragoza	60-64	Hombres	1739
Agosto 2020	50	Zaragoza	60-64	Mujeres	3410
Julio 2020	22	Huesca	16-19	Hombres	12
Julio 2020	22	Huesca	16-19	Mujeres	14
Julio 2020	22	Huesca	20-24	Hombres	27
Julio 2020	22	Huesca	20-24	Mujeres	38
Julio 2020	22	Huesca	25-29	Hombres	38
Julio 2020	22	Huesca	25-29	Mujeres	82
Julio 2020	22	Huesca	30-34	Hombres	54
Julio 2020	22	Huesca	30-34	Mujeres	143
Julio 2020	22	Huesca	35-39	Hombres	45
Julio 2020	22	Huesca	35-39	Mujeres	160
Julio 2020	22	Huesca	40-44	Hombres	80
Julio 2020	22	Huesca	40-44	Mujeres	187
Julio 2020	22	Huesca	45-49	Hombres	100
Julio 2020	22	Huesca	45-49	Mujeres	185
Julio 2020	22	Huesca	50-54	Hombres	134
Julio 2020	22	Huesca	50-54	Mujeres	208
Julio 2020	22	Huesca	55-59	Hombres	186
Julio 2020	22	Huesca	55-59	Mujeres	311
Julio 2020	22	Huesca	60-64	Hombres	281
Julio 2020	22	Huesca	60-64	Mujeres	397
Julio 2020	44	Teruel	16-19	Hombres	6
Julio 2020	44	Teruel	16-19	Mujeres	3
Julio 2020	44	Teruel	20-24	Hombres	9
Julio 2020	44	Teruel	20-24	Mujeres	26
Julio 2020	44	Teruel	25-29	Hombres	26
Julio 2020	44	Teruel	25-29	Mujeres	51
Julio 2020	44	Teruel	30-34	Hombres	27
Julio 2020	44	Teruel	30-34	Mujeres	97
Julio 2020	44	Teruel	35-39	Hombres	34
Julio 2020	44	Teruel	35-39	Mujeres	98
Julio 2020	44	Teruel	40-44	Hombres	45
Julio 2020	44	Teruel	40-44	Mujeres	103
Julio 2020	44	Teruel	45-49	Hombres	84
Julio 2020	44	Teruel	45-49	Mujeres	119
Julio 2020	44	Teruel	50-54	Hombres	96
Julio 2020	44	Teruel	50-54	Mujeres	151
Julio 2020	44	Teruel	55-59	Hombres	137
