Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Edad (grupos quinquenales)	Número de contratos
Agosto 2019	201908	22	Huesca	Hombres	16-19	529
Agosto 2019	201908	22	Huesca	Mujeres	16-19	306
Agosto 2019	201908	22	Huesca	Hombres	20-24	809
Agosto 2019	201908	22	Huesca	Mujeres	20-24	598
Agosto 2019	201908	22	Huesca	Hombres	25-29	643
Agosto 2019	201908	22	Huesca	Mujeres	25-29	471
Agosto 2019	201908	22	Huesca	Hombres	30-34	587
Agosto 2019	201908	22	Huesca	Mujeres	30-34	413
Agosto 2019	201908	22	Huesca	Hombres	35-39	717
Agosto 2019	201908	22	Huesca	Mujeres	35-39	440
Agosto 2019	201908	22	Huesca	Hombres	40-44	812
Agosto 2019	201908	22	Huesca	Mujeres	40-44	501
Agosto 2019	201908	22	Huesca	Hombres	45-49	580
Agosto 2019	201908	22	Huesca	Mujeres	45-49	372
Agosto 2019	201908	22	Huesca	Hombres	50-54	424
Agosto 2019	201908	22	Huesca	Mujeres	50-54	323
Agosto 2019	201908	22	Huesca	Hombres	55-59	272
Agosto 2019	201908	22	Huesca	Mujeres	55-59	186
Agosto 2019	201908	22	Huesca	Hombres	60-64	101
Agosto 2019	201908	22	Huesca	Mujeres	60-64	66
Agosto 2019	201908	22	Huesca	Hombres	Más de 64	19
Agosto 2019	201908	22	Huesca	Mujeres	Más de 64	9
Agosto 2019	201908	44	Teruel	Hombres	16-19	206
Agosto 2019	201908	44	Teruel	Mujeres	16-19	156
Agosto 2019	201908	44	Teruel	Hombres	20-24	409
Agosto 2019	201908	44	Teruel	Mujeres	20-24	336
Agosto 2019	201908	44	Teruel	Hombres	25-29	278
Agosto 2019	201908	44	Teruel	Mujeres	25-29	251
Agosto 2019	201908	44	Teruel	Hombres	30-34	208
Agosto 2019	201908	44	Teruel	Mujeres	30-34	183
Agosto 2019	201908	44	Teruel	Hombres	35-39	233
Agosto 2019	201908	44	Teruel	Mujeres	35-39	197
Agosto 2019	201908	44	Teruel	Hombres	40-44	235
Agosto 2019	201908	44	Teruel	Mujeres	40-44	222
Agosto 2019	201908	44	Teruel	Hombres	45-49	205
Agosto 2019	201908	44	Teruel	Mujeres	45-49	214
Agosto 2019	201908	44	Teruel	Hombres	50-54	187
Agosto 2019	201908	44	Teruel	Mujeres	50-54	147
Agosto 2019	201908	44	Teruel	Hombres	55-59	120
Agosto 2019	201908	44	Teruel	Mujeres	55-59	128
Agosto 2019	201908	44	Teruel	Hombres	60-64	39
Agosto 2019	201908	44	Teruel	Mujeres	60-64	49
Agosto 2019	201908	44	Teruel	Hombres	Más de 64	6
Agosto 2019	201908	44	Teruel	Mujeres	Más de 64	5
Agosto 2019	201908	50	Zaragoza	Hombres	16-19	1164
Agosto 2019	201908	50	Zaragoza	Mujeres	16-19	652
Agosto 2019	201908	50	Zaragoza	Hombres	20-24	3063
Agosto 2019	201908	50	Zaragoza	Mujeres	20-24	2192
Agosto 2019	201908	50	Zaragoza	Hombres	25-29	2641
Agosto 2019	201908	50	Zaragoza	Mujeres	25-29	2005
Agosto 2019	201908	50	Zaragoza	Hombres	30-34	2315
Agosto 2019	201908	50	Zaragoza	Mujeres	30-34	1743
Agosto 2019	201908	50	Zaragoza	Hombres	35-39	2290
Agosto 2019	201908	50	Zaragoza	Mujeres	35-39	1828
Agosto 2019	201908	50	Zaragoza	Hombres	40-44	2395
Agosto 2019	201908	50	Zaragoza	Mujeres	40-44	2018
