Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE28	UE27	UE25	Número de contratos	CCAA nombre
Julio 2016	201607	Hombres	Españoles	Españoles	Españoles	ESPAÑA	21165	Aragón
Julio 2016	201607	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3496	Aragón
Julio 2016	201607	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	366	Aragón
Julio 2016	201607	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	6020	Aragón
Julio 2016	201607	Hombres	No consta	No consta	No consta	No consta	2	Aragón
Julio 2016	201607	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	18217	Aragón
Julio 2016	201607	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2977	Aragón
Julio 2016	201607	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	340	Aragón
Julio 2016	201607	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2022	Aragón
Junio 2016	201606	Hombres	Españoles	Españoles	Españoles	ESPAÑA	22489	Aragón
Junio 2016	201606	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4661	Aragón
Junio 2016	201606	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	424	Aragón
Junio 2016	201606	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Junio 2016	201606	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	7282	Aragón
Junio 2016	201606	Hombres	No consta	No consta	No consta	No consta	2	Aragón
Junio 2016	201606	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	18908	Aragón
Junio 2016	201606	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3910	Aragón
Junio 2016	201606	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	433	Aragón
Junio 2016	201606	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2104	Aragón
Junio 2016	201606	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Mayo 2016	201605	Hombres	Españoles	Españoles	Españoles	ESPAÑA	20302	Aragón
Mayo 2016	201605	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4327	Aragón
Mayo 2016	201605	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	311	Aragón
Mayo 2016	201605	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	7878	Aragón
Mayo 2016	201605	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	17513	Aragón
Mayo 2016	201605	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4083	Aragón
Mayo 2016	201605	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	380	Aragón
Mayo 2016	201605	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Mayo 2016	201605	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2048	Aragón
Abril 2016	201604	Hombres	Españoles	Españoles	Españoles	ESPAÑA	16531	Aragón
Abril 2016	201604	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2376	Aragón
Abril 2016	201604	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	363	Aragón
Abril 2016	201604	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3575	Aragón
Abril 2016	201604	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Abril 2016	201604	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14483	Aragón
Abril 2016	201604	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1843	Aragón
Abril 2016	201604	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	196	Aragón
Abril 2016	201604	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1457	Aragón
Marzo 2016	201603	Hombres	Españoles	Españoles	Españoles	ESPAÑA	16609	Aragón
Marzo 2016	201603	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1662	Aragón
Marzo 2016	201603	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	270	Aragón
Marzo 2016	201603	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Marzo 2016	201603	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2498	Aragón
Marzo 2016	201603	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Marzo 2016	201603	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	15344	Aragón
Marzo 2016	201603	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1577	Aragón
Marzo 2016	201603	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	238	Aragón
Marzo 2016	201603	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1567	Aragón
Febrero 2016	201602	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15549	Aragón
Febrero 2016	201602	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1648	Aragón
Febrero 2016	201602	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	243	Aragón
Febrero 2016	201602	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2604	Aragón
Febrero 2016	201602	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13983	Aragón
Febrero 2016	201602	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1323	Aragón
Febrero 2016	201602	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	215	Aragón
Febrero 2016	201602	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1247	Aragón
Enero 2016	201601	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15361	Aragón
Enero 2016	201601	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1514	Aragón
Enero 2016	201601	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	279	Aragón
Enero 2016	201601	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2336	Aragón
Enero 2016	201601	Hombres	No consta	No consta	No consta	No consta	2	Aragón
Enero 2016	201601	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13518	Aragón
Enero 2016	201601	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1213	Aragón
Enero 2016	201601	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	205	Aragón
Enero 2016	201601	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1270	Aragón
Enero 2016	201601	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Diciembre 2015	201512	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15032	Aragón
Diciembre 2015	201512	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1356	Aragón
Diciembre 2015	201512	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	213	Aragón
Diciembre 2015	201512	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Diciembre 2015	201512	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2482	Aragón
Diciembre 2015	201512	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Diciembre 2015	201512	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	15461	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1296	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	206	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	2	Aragón
Diciembre 2015	201512	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1312	Aragón
Diciembre 2015	201512	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Noviembre 2015	201511	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15878	Aragón
Noviembre 2015	201511	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1906	Aragón
Noviembre 2015	201511	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	251	Aragón
Noviembre 2015	201511	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2849	Aragón
Noviembre 2015	201511	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14416	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1436	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	220	Aragón
Noviembre 2015	201511	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1363	Aragón
Noviembre 2015	201511	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Octubre 2015	201510	Hombres	Españoles	Españoles	Españoles	ESPAÑA	19250	Aragón
Octubre 2015	201510	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2331	Aragón
Octubre 2015	201510	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	329	Aragón
Octubre 2015	201510	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	6	Aragón
Octubre 2015	201510	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3202	Aragón
Octubre 2015	201510	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	17938	Aragón
Octubre 2015	201510	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1705	Aragón
Octubre 2015	201510	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	323	Aragón
Octubre 2015	201510	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1674	Aragón
Septiembre 2015	201509	Hombres	Españoles	Españoles	Españoles	ESPAÑA	19549	Aragón
Septiembre 2015	201509	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2998	Aragón
Septiembre 2015	201509	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	307	Aragón
Septiembre 2015	201509	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4867	Aragón
Septiembre 2015	201509	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Septiembre 2015	201509	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	17602	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2226	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	319	Aragón
Septiembre 2015	201509	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1797	Aragón
Septiembre 2015	201509	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Agosto 2015	201508	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15771	Aragón
Agosto 2015	201508	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2763	Aragón
Agosto 2015	201508	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	277	Aragón
Agosto 2015	201508	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4924	Aragón
Agosto 2015	201508	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	12374	Aragón
Agosto 2015	201508	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1971	Aragón
Agosto 2015	201508	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	243	Aragón
Agosto 2015	201508	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1637	Aragón
Julio 2015	201507	Hombres	Españoles	Españoles	Españoles	ESPAÑA	20775	Aragón
Julio 2015	201507	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3354	Aragón
Julio 2015	201507	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	366	Aragón
Julio 2015	201507	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	5896	Aragón
Julio 2015	201507	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	18091	Aragón
Julio 2015	201507	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2676	Aragón
Julio 2015	201507	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	354	Aragón
Julio 2015	201507	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1889	Aragón
Julio 2015	201507	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
