Mes y año	Mes (código)	Mes nombre	Año	Sector código	Sector descripción	Sexo	Número de contratos	CCAA nombre
Octubre 2020	202010	Octubre	2020	1	Agricultura, ganadería y pesca	Hombres	2192	Aragón
Octubre 2020	202010	Octubre	2020	1	Agricultura, ganadería y pesca	Mujeres	525	Aragón
Octubre 2020	202010	Octubre	2020	2	Industria y energía	Hombres	7247	Aragón
Octubre 2020	202010	Octubre	2020	2	Industria y energía	Mujeres	4384	Aragón
Octubre 2020	202010	Octubre	2020	3	Construcción	Hombres	1799	Aragón
Octubre 2020	202010	Octubre	2020	3	Construcción	Mujeres	133	Aragón
Octubre 2020	202010	Octubre	2020	4	Servicios	Hombres	12174	Aragón
Octubre 2020	202010	Octubre	2020	4	Servicios	Mujeres	15268	Aragón
Septiembre 2020	202009	Septiembre	2020	1	Agricultura, ganadería y pesca	Hombres	4220	Aragón
Septiembre 2020	202009	Septiembre	2020	1	Agricultura, ganadería y pesca	Mujeres	1067	Aragón
Septiembre 2020	202009	Septiembre	2020	2	Industria y energía	Hombres	7618	Aragón
Septiembre 2020	202009	Septiembre	2020	2	Industria y energía	Mujeres	4569	Aragón
Septiembre 2020	202009	Septiembre	2020	3	Construcción	Hombres	1855	Aragón
Septiembre 2020	202009	Septiembre	2020	3	Construcción	Mujeres	123	Aragón
Septiembre 2020	202009	Septiembre	2020	4	Servicios	Hombres	12502	Aragón
Septiembre 2020	202009	Septiembre	2020	4	Servicios	Mujeres	15977	Aragón
Agosto 2020	202008	Agosto	2020	1	Agricultura, ganadería y pesca	Hombres	5065	Aragón
Agosto 2020	202008	Agosto	2020	1	Agricultura, ganadería y pesca	Mujeres	1473	Aragón
Agosto 2020	202008	Agosto	2020	2	Industria y energía	Hombres	4808	Aragón
Agosto 2020	202008	Agosto	2020	2	Industria y energía	Mujeres	2952	Aragón
Agosto 2020	202008	Agosto	2020	3	Construcción	Hombres	1502	Aragón
Agosto 2020	202008	Agosto	2020	3	Construcción	Mujeres	73	Aragón
Agosto 2020	202008	Agosto	2020	4	Servicios	Hombres	8856	Aragón
Agosto 2020	202008	Agosto	2020	4	Servicios	Mujeres	11242	Aragón
Julio 2020	202007	Julio	2020	1	Agricultura, ganadería y pesca	Hombres	5618	Aragón
Julio 2020	202007	Julio	2020	1	Agricultura, ganadería y pesca	Mujeres	1801	Aragón
Julio 2020	202007	Julio	2020	2	Industria y energía	Hombres	6074	Aragón
Julio 2020	202007	Julio	2020	2	Industria y energía	Mujeres	3370	Aragón
Julio 2020	202007	Julio	2020	3	Construcción	Hombres	2292	Aragón
Julio 2020	202007	Julio	2020	3	Construcción	Mujeres	137	Aragón
Julio 2020	202007	Julio	2020	4	Servicios	Hombres	12825	Aragón
Julio 2020	202007	Julio	2020	4	Servicios	Mujeres	15075	Aragón
