Mes y año	Mes (código)	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Número de contratos
Agosto 2019	201908	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1709
Agosto 2019	201908	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	264
Agosto 2019	201908	22	Huesca	2	Industria y energía	Hombres	654
Agosto 2019	201908	22	Huesca	2	Industria y energía	Mujeres	274
Agosto 2019	201908	22	Huesca	3	Construcción	Hombres	340
Agosto 2019	201908	22	Huesca	3	Construcción	Mujeres	19
Agosto 2019	201908	22	Huesca	4	Servicios	Hombres	2790
Agosto 2019	201908	22	Huesca	4	Servicios	Mujeres	3128
Agosto 2019	201908	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	151
Agosto 2019	201908	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	27
Agosto 2019	201908	44	Teruel	2	Industria y energía	Hombres	515
Agosto 2019	201908	44	Teruel	2	Industria y energía	Mujeres	199
Agosto 2019	201908	44	Teruel	3	Construcción	Hombres	185
Agosto 2019	201908	44	Teruel	3	Construcción	Mujeres	8
Agosto 2019	201908	44	Teruel	4	Servicios	Hombres	1275
Agosto 2019	201908	44	Teruel	4	Servicios	Mujeres	1654
Agosto 2019	201908	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3474
Agosto 2019	201908	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1052
Agosto 2019	201908	50	Zaragoza	2	Industria y energía	Hombres	3993
Agosto 2019	201908	50	Zaragoza	2	Industria y energía	Mujeres	2908
Agosto 2019	201908	50	Zaragoza	3	Construcción	Hombres	1467
Agosto 2019	201908	50	Zaragoza	3	Construcción	Mujeres	74
Agosto 2019	201908	50	Zaragoza	4	Servicios	Hombres	10003
Agosto 2019	201908	50	Zaragoza	4	Servicios	Mujeres	10702
Julio 2019	201907	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	2599
Julio 2019	201907	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	572
Julio 2019	201907	22	Huesca	2	Industria y energía	Hombres	707
Julio 2019	201907	22	Huesca	2	Industria y energía	Mujeres	332
Julio 2019	201907	22	Huesca	3	Construcción	Hombres	413
Julio 2019	201907	22	Huesca	3	Construcción	Mujeres	39
Julio 2019	201907	22	Huesca	4	Servicios	Hombres	4172
Julio 2019	201907	22	Huesca	4	Servicios	Mujeres	5088
Julio 2019	201907	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	219
Julio 2019	201907	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	47
Julio 2019	201907	44	Teruel	2	Industria y energía	Hombres	1024
Julio 2019	201907	44	Teruel	2	Industria y energía	Mujeres	304
Julio 2019	201907	44	Teruel	3	Construcción	Hombres	266
Julio 2019	201907	44	Teruel	3	Construcción	Mujeres	10
Julio 2019	201907	44	Teruel	4	Servicios	Hombres	1831
Julio 2019	201907	44	Teruel	4	Servicios	Mujeres	2080
Julio 2019	201907	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	4138
Julio 2019	201907	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1626
Julio 2019	201907	50	Zaragoza	2	Industria y energía	Hombres	5215
Julio 2019	201907	50	Zaragoza	2	Industria y energía	Mujeres	2998
Julio 2019	201907	50	Zaragoza	3	Construcción	Hombres	1863
Julio 2019	201907	50	Zaragoza	3	Construcción	Mujeres	112
Julio 2019	201907	50	Zaragoza	4	Servicios	Hombres	13707
Julio 2019	201907	50	Zaragoza	4	Servicios	Mujeres	15603
Junio 2019	201906	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	2767
Junio 2019	201906	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	690
Junio 2019	201906	22	Huesca	2	Industria y energía	Hombres	513
Junio 2019	201906	22	Huesca	2	Industria y energía	Mujeres	170
Junio 2019	201906	22	Huesca	3	Construcción	Hombres	455
Junio 2019	201906	22	Huesca	3	Construcción	Mujeres	31
Junio 2019	201906	22	Huesca	4	Servicios	Hombres	3245
Junio 2019	201906	22	Huesca	4	Servicios	Mujeres	4216
Junio 2019	201906	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	330
Junio 2019	201906	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	76
Junio 2019	201906	44	Teruel	2	Industria y energía	Hombres	937
Junio 2019	201906	44	Teruel	2	Industria y energía	Mujeres	297
Junio 2019	201906	44	Teruel	3	Construcción	Hombres	245
Junio 2019	201906	44	Teruel	3	Construcción	Mujeres	21
Junio 2019	201906	44	Teruel	4	Servicios	Hombres	1375
Junio 2019	201906	44	Teruel	4	Servicios	Mujeres	1689
Junio 2019	201906	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	5594
Junio 2019	201906	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	2292
Junio 2019	201906	50	Zaragoza	2	Industria y energía	Hombres	5251
Junio 2019	201906	50	Zaragoza	2	Industria y energía	Mujeres	2800
Junio 2019	201906	50	Zaragoza	3	Construcción	Hombres	1683
Junio 2019	201906	50	Zaragoza	3	Construcción	Mujeres	86
Junio 2019	201906	50	Zaragoza	4	Servicios	Hombres	13024
Junio 2019	201906	50	Zaragoza	4	Servicios	Mujeres	15224
Mayo 2019	201905	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	4273
Mayo 2019	201905	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	1120
Mayo 2019	201905	22	Huesca	2	Industria y energía	Hombres	529
Mayo 2019	201905	22	Huesca	2	Industria y energía	Mujeres	171
Mayo 2019	201905	22	Huesca	3	Construcción	Hombres	511
Mayo 2019	201905	22	Huesca	3	Construcción	Mujeres	32
Mayo 2019	201905	22	Huesca	4	Servicios	Hombres	2750
Mayo 2019	201905	22	Huesca	4	Servicios	Mujeres	3405
Mayo 2019	201905	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	414
Mayo 2019	201905	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	167
Mayo 2019	201905	44	Teruel	2	Industria y energía	Hombres	1107
Mayo 2019	201905	44	Teruel	2	Industria y energía	Mujeres	314
Mayo 2019	201905	44	Teruel	3	Construcción	Hombres	330
Mayo 2019	201905	44	Teruel	3	Construcción	Mujeres	13
Mayo 2019	201905	44	Teruel	4	Servicios	Hombres	1262
Mayo 2019	201905	44	Teruel	4	Servicios	Mujeres	1473
Mayo 2019	201905	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	6545
Mayo 2019	201905	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	2508
Mayo 2019	201905	50	Zaragoza	2	Industria y energía	Hombres	5194
Mayo 2019	201905	50	Zaragoza	2	Industria y energía	Mujeres	3320
Mayo 2019	201905	50	Zaragoza	3	Construcción	Hombres	1851
Mayo 2019	201905	50	Zaragoza	3	Construcción	Mujeres	120
Mayo 2019	201905	50	Zaragoza	4	Servicios	Hombres	13033
Mayo 2019	201905	50	Zaragoza	4	Servicios	Mujeres	15491
Abril 2019	201904	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1494
Abril 2019	201904	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	429
Abril 2019	201904	22	Huesca	2	Industria y energía	Hombres	389
Abril 2019	201904	22	Huesca	2	Industria y energía	Mujeres	154
Abril 2019	201904	22	Huesca	3	Construcción	Hombres	394
Abril 2019	201904	22	Huesca	3	Construcción	Mujeres	18
Abril 2019	201904	22	Huesca	4	Servicios	Hombres	2382
Abril 2019	201904	22	Huesca	4	Servicios	Mujeres	2926
Abril 2019	201904	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	174
Abril 2019	201904	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	24
Abril 2019	201904	44	Teruel	2	Industria y energía	Hombres	986
Abril 2019	201904	44	Teruel	2	Industria y energía	Mujeres	327
Abril 2019	201904	44	Teruel	3	Construcción	Hombres	239
Abril 2019	201904	44	Teruel	3	Construcción	Mujeres	5
Abril 2019	201904	44	Teruel	4	Servicios	Hombres	1104
Abril 2019	201904	44	Teruel	4	Servicios	Mujeres	1494
Abril 2019	201904	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	2157
Abril 2019	201904	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	587
Abril 2019	201904	50	Zaragoza	2	Industria y energía	Hombres	4817
Abril 2019	201904	50	Zaragoza	2	Industria y energía	Mujeres	2716
Abril 2019	201904	50	Zaragoza	3	Construcción	Hombres	1471
Abril 2019	201904	50	Zaragoza	3	Construcción	Mujeres	96
Abril 2019	201904	50	Zaragoza	4	Servicios	Hombres	9954
Abril 2019	201904	50	Zaragoza	4	Servicios	Mujeres	12231
Marzo 2019	201903	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	863
Marzo 2019	201903	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	191
Marzo 2019	201903	22	Huesca	2	Industria y energía	Hombres	526
Marzo 2019	201903	22	Huesca	2	Industria y energía	Mujeres	163
Marzo 2019	201903	22	Huesca	3	Construcción	Hombres	498
Marzo 2019	201903	22	Huesca	3	Construcción	Mujeres	23
Marzo 2019	201903	22	Huesca	4	Servicios	Hombres	2518
Marzo 2019	201903	22	Huesca	4	Servicios	Mujeres	2913
Marzo 2019	201903	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	242
Marzo 2019	201903	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	27
Marzo 2019	201903	44	Teruel	2	Industria y energía	Hombres	943
Marzo 2019	201903	44	Teruel	2	Industria y energía	Mujeres	282
Marzo 2019	201903	44	Teruel	3	Construcción	Hombres	193
Marzo 2019	201903	44	Teruel	3	Construcción	Mujeres	15
Marzo 2019	201903	44	Teruel	4	Servicios	Hombres	1052
Marzo 2019	201903	44	Teruel	4	Servicios	Mujeres	1459
Marzo 2019	201903	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1253
Marzo 2019	201903	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	269
Marzo 2019	201903	50	Zaragoza	2	Industria y energía	Hombres	4678
Marzo 2019	201903	50	Zaragoza	2	Industria y energía	Mujeres	2824
Marzo 2019	201903	50	Zaragoza	3	Construcción	Hombres	1594
Marzo 2019	201903	50	Zaragoza	3	Construcción	Mujeres	79
Marzo 2019	201903	50	Zaragoza	4	Servicios	Hombres	10015
Marzo 2019	201903	50	Zaragoza	4	Servicios	Mujeres	12575
Febrero 2019	201902	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	611
Febrero 2019	201902	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	101
Febrero 2019	201902	22	Huesca	2	Industria y energía	Hombres	414
Febrero 2019	201902	22	Huesca	2	Industria y energía	Mujeres	141
Febrero 2019	201902	22	Huesca	3	Construcción	Hombres	448
Febrero 2019	201902	22	Huesca	3	Construcción	Mujeres	26
Febrero 2019	201902	22	Huesca	4	Servicios	Hombres	2049
Febrero 2019	201902	22	Huesca	4	Servicios	Mujeres	2466
Febrero 2019	201902	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	152
Febrero 2019	201902	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	31
Febrero 2019	201902	44	Teruel	2	Industria y energía	Hombres	836
Febrero 2019	201902	44	Teruel	2	Industria y energía	Mujeres	322
Febrero 2019	201902	44	Teruel	3	Construcción	Hombres	238
Febrero 2019	201902	44	Teruel	3	Construcción	Mujeres	12
Febrero 2019	201902	44	Teruel	4	Servicios	Hombres	939
Febrero 2019	201902	44	Teruel	4	Servicios	Mujeres	1244
Febrero 2019	201902	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	1338
Febrero 2019	201902	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	230
Febrero 2019	201902	50	Zaragoza	2	Industria y energía	Hombres	4302
Febrero 2019	201902	50	Zaragoza	2	Industria y energía	Mujeres	2648
Febrero 2019	201902	50	Zaragoza	3	Construcción	Hombres	1590
Febrero 2019	201902	50	Zaragoza	3	Construcción	Mujeres	107
Febrero 2019	201902	50	Zaragoza	4	Servicios	Hombres	9427
Febrero 2019	201902	50	Zaragoza	4	Servicios	Mujeres	11908
Enero 2019	201901	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	614
