Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos	CCAA nombre
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	1	Directores y gerentes	Hombres	39	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	1	Directores y gerentes	Mujeres	29	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	1428	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1585	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	1200	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	851	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	866	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1800	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	1398	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	4049	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	489	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	49	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2918	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	568	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2583	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	795	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	9	Ocupaciones elementales	Hombres	9724	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	9	Ocupaciones elementales	Mujeres	7160	Aragón
Noviembre 2020	202011	Noviembre	2020	CNO - 2011	99	Ocupaciones militares	Mujeres	1	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	1	Directores y gerentes	Hombres	51	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	1	Directores y gerentes	Mujeres	21	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Hombres	1260	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1735	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Hombres	1681	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	3	Técnicos; profesionales de apoyo	Mujeres	1190	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	979	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1853	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	2415	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	5492	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	349	Aragón
Octubre 2020	202010	Octubre	2020	CNO - 2011	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	81	Aragón
