Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Temporalidad	CCAA nombre
Agosto 2019	201908	Agosto	2019	Hombres	1913	Indefinido	Aragón
Agosto 2019	201908	Agosto	2019	Mujeres	1434	Indefinido	Aragón
Agosto 2019	201908	Agosto	2019	Hombres	24643	Temporal	Aragón
Agosto 2019	201908	Agosto	2019	Mujeres	18875	Temporal	Aragón
Julio 2019	201907	Julio	2019	Hombres	2631	Indefinido	Aragón
Julio 2019	201907	Julio	2019	Mujeres	1809	Indefinido	Aragón
Julio 2019	201907	Julio	2019	Hombres	33523	Temporal	Aragón
Julio 2019	201907	Julio	2019	Mujeres	27002	Temporal	Aragón
Junio 2019	201906	Junio	2019	Hombres	3396	Indefinido	Aragón
Junio 2019	201906	Junio	2019	Mujeres	2233	Indefinido	Aragón
Junio 2019	201906	Junio	2019	Hombres	32023	Temporal	Aragón
Junio 2019	201906	Junio	2019	Mujeres	25359	Temporal	Aragón
Mayo 2019	201905	Mayo	2019	Hombres	3514	Indefinido	Aragón
Mayo 2019	201905	Mayo	2019	Mujeres	2409	Indefinido	Aragón
Mayo 2019	201905	Mayo	2019	Hombres	34285	Temporal	Aragón
Mayo 2019	201905	Mayo	2019	Mujeres	25725	Temporal	Aragón
Abril 2019	201904	Abril	2019	Hombres	2593	Indefinido	Aragón
Abril 2019	201904	Abril	2019	Mujeres	1867	Indefinido	Aragón
Abril 2019	201904	Abril	2019	Hombres	22968	Temporal	Aragón
Abril 2019	201904	Abril	2019	Mujeres	19140	Temporal	Aragón
Marzo 2019	201903	Marzo	2019	Hombres	2621	Indefinido	Aragón
Marzo 2019	201903	Marzo	2019	Mujeres	1984	Indefinido	Aragón
Marzo 2019	201903	Marzo	2019	Hombres	21754	Temporal	Aragón
Marzo 2019	201903	Marzo	2019	Mujeres	18836	Temporal	Aragón
Febrero 2019	201902	Febrero	2019	Hombres	2407	Indefinido	Aragón
Febrero 2019	201902	Febrero	2019	Mujeres	1839	Indefinido	Aragón
Febrero 2019	201902	Febrero	2019	Hombres	19937	Temporal	Aragón
Febrero 2019	201902	Febrero	2019	Mujeres	17397	Temporal	Aragón
Enero 2019	201901	Enero	2019	Hombres	2853	Indefinido	Aragón
Enero 2019	201901	Enero	2019	Mujeres	2087	Indefinido	Aragón
Enero 2019	201901	Enero	2019	Hombres	22960	Temporal	Aragón
Enero 2019	201901	Enero	2019	Mujeres	19951	Temporal	Aragón
Diciembre 2018	201812	Diciembre	2018	Hombres	2363	Indefinido	Aragón
Diciembre 2018	201812	Diciembre	2018	Mujeres	1872	Indefinido	Aragón
Diciembre 2018	201812	Diciembre	2018	Hombres	18722	Temporal	Aragón
Diciembre 2018	201812	Diciembre	2018	Mujeres	18567	Temporal	Aragón
Noviembre 2018	201811	Noviembre	2018	Hombres	2975	Indefinido	Aragón
Noviembre 2018	201811	Noviembre	2018	Mujeres	2404	Indefinido	Aragón
Noviembre 2018	201811	Noviembre	2018	Hombres	22430	Temporal	Aragón
Noviembre 2018	201811	Noviembre	2018	Mujeres	20390	Temporal	Aragón
Octubre 2018	201810	Octubre	2018	Hombres	3520	Indefinido	Aragón
Octubre 2018	201810	Octubre	2018	Mujeres	3065	Indefinido	Aragón
Octubre 2018	201810	Octubre	2018	Hombres	30001	Temporal	Aragón
Octubre 2018	201810	Octubre	2018	Mujeres	26908	Temporal	Aragón
