Año	Mes (código)	Mes y año	Mes nombre	Comarca código	Comarca nombre	Temporalidad	Sexo	Número de contratos
2017	201707	Julio 2017	Julio	01	La Jacetania	Indefinido	Hombres	22
2017	201707	Julio 2017	Julio	01	La Jacetania	Indefinido	Mujeres	30
2017	201707	Julio 2017	Julio	01	La Jacetania	Temporal	Hombres	519
2017	201707	Julio 2017	Julio	01	La Jacetania	Temporal	Mujeres	438
2017	201707	Julio 2017	Julio	02	Alto Gállego	Indefinido	Hombres	33
2017	201707	Julio 2017	Julio	02	Alto Gállego	Indefinido	Mujeres	19
2017	201707	Julio 2017	Julio	02	Alto Gállego	Temporal	Hombres	461
2017	201707	Julio 2017	Julio	02	Alto Gállego	Temporal	Mujeres	350
2017	201707	Julio 2017	Julio	03	Sobrarbe	Indefinido	Hombres	16
2017	201707	Julio 2017	Julio	03	Sobrarbe	Indefinido	Mujeres	31
2017	201707	Julio 2017	Julio	03	Sobrarbe	Temporal	Hombres	360
2017	201707	Julio 2017	Julio	03	Sobrarbe	Temporal	Mujeres	395
2017	201707	Julio 2017	Julio	04	La Ribagorza	Indefinido	Hombres	22
2017	201707	Julio 2017	Julio	04	La Ribagorza	Indefinido	Mujeres	21
2017	201707	Julio 2017	Julio	04	La Ribagorza	Temporal	Hombres	307
2017	201707	Julio 2017	Julio	04	La Ribagorza	Temporal	Mujeres	279
2017	201707	Julio 2017	Julio	05	Cinco Villas	Indefinido	Hombres	34
2017	201707	Julio 2017	Julio	05	Cinco Villas	Indefinido	Mujeres	14
2017	201707	Julio 2017	Julio	05	Cinco Villas	Temporal	Hombres	534
2017	201707	Julio 2017	Julio	05	Cinco Villas	Temporal	Mujeres	311
2017	201707	Julio 2017	Julio	06	Hoya de Huesca / Plana de Uesca	Indefinido	Hombres	118
2017	201707	Julio 2017	Julio	06	Hoya de Huesca / Plana de Uesca	Indefinido	Mujeres	92
2017	201707	Julio 2017	Julio	06	Hoya de Huesca / Plana de Uesca	Temporal	Hombres	1195
2017	201707	Julio 2017	Julio	06	Hoya de Huesca / Plana de Uesca	Temporal	Mujeres	1142
2017	201707	Julio 2017	Julio	07	Somontano de Barbastro	Indefinido	Hombres	32
2017	201707	Julio 2017	Julio	07	Somontano de Barbastro	Indefinido	Mujeres	26
2017	201707	Julio 2017	Julio	07	Somontano de Barbastro	Temporal	Hombres	529
2017	201707	Julio 2017	Julio	07	Somontano de Barbastro	Temporal	Mujeres	306
2017	201707	Julio 2017	Julio	08	Cinca Medio	Indefinido	Hombres	45
2017	201707	Julio 2017	Julio	08	Cinca Medio	Indefinido	Mujeres	28
2017	201707	Julio 2017	Julio	08	Cinca Medio	Temporal	Hombres	750
2017	201707	Julio 2017	Julio	08	Cinca Medio	Temporal	Mujeres	393
2017	201707	Julio 2017	Julio	09	La Litera / La Llitera	Indefinido	Hombres	49
2017	201707	Julio 2017	Julio	09	La Litera / La Llitera	Indefinido	Mujeres	18
2017	201707	Julio 2017	Julio	09	La Litera / La Llitera	Temporal	Hombres	457
2017	201707	Julio 2017	Julio	09	La Litera / La Llitera	Temporal	Mujeres	257
2017	201707	Julio 2017	Julio	10	Los Monegros	Indefinido	Hombres	52
2017	201707	Julio 2017	Julio	10	Los Monegros	Indefinido	Mujeres	19
2017	201707	Julio 2017	Julio	10	Los Monegros	Temporal	Hombres	237
2017	201707	Julio 2017	Julio	10	Los Monegros	Temporal	Mujeres	114
2017	201707	Julio 2017	Julio	11	Bajo Cinca / Baix Cinca	Indefinido	Hombres	58
2017	201707	Julio 2017	Julio	11	Bajo Cinca / Baix Cinca	Indefinido	Mujeres	49
2017	201707	Julio 2017	Julio	11	Bajo Cinca / Baix Cinca	Temporal	Hombres	2030
2017	201707	Julio 2017	Julio	11	Bajo Cinca / Baix Cinca	Temporal	Mujeres	1148
2017	201707	Julio 2017	Julio	12	Tarazona y el Moncayo	Indefinido	Hombres	31
2017	201707	Julio 2017	Julio	12	Tarazona y el Moncayo	Indefinido	Mujeres	28
2017	201707	Julio 2017	Julio	12	Tarazona y el Moncayo	Temporal	Hombres	438
2017	201707	Julio 2017	Julio	12	Tarazona y el Moncayo	Temporal	Mujeres	367
2017	201707	Julio 2017	Julio	13	Campo de Borja	Indefinido	Hombres	14
2017	201707	Julio 2017	Julio	13	Campo de Borja	Indefinido	Mujeres	11
2017	201707	Julio 2017	Julio	13	Campo de Borja	Temporal	Hombres	294
2017	201707	Julio 2017	Julio	13	Campo de Borja	Temporal	Mujeres	290
2017	201707	Julio 2017	Julio	14	Aranda	Indefinido	Hombres	2
2017	201707	Julio 2017	Julio	14	Aranda	Temporal	Hombres	127
2017	201707	Julio 2017	Julio	14	Aranda	Temporal	Mujeres	59
2017	201707	Julio 2017	Julio	15	Ribera Alta del Ebro	Indefinido	Hombres	144
2017	201707	Julio 2017	Julio	15	Ribera Alta del Ebro	Indefinido	Mujeres	33
2017	201707	Julio 2017	Julio	15	Ribera Alta del Ebro	Temporal	Hombres	1326
2017	201707	Julio 2017	Julio	15	Ribera Alta del Ebro	Temporal	Mujeres	669
2017	201707	Julio 2017	Julio	16	Valdejalón	Indefinido	Hombres	64
2017	201707	Julio 2017	Julio	16	Valdejalón	Indefinido	Mujeres	26
2017	201707	Julio 2017	Julio	16	Valdejalón	Temporal	Hombres	1898
2017	201707	Julio 2017	Julio	16	Valdejalón	Temporal	Mujeres	989
2017	201707	Julio 2017	Julio	17	D.C. Zaragoza	Indefinido	Hombres	1378
2017	201707	Julio 2017	Julio	17	D.C. Zaragoza	Indefinido	Mujeres	1081
2017	201707	Julio 2017	Julio	17	D.C. Zaragoza	Temporal	Hombres	13915
2017	201707	Julio 2017	Julio	17	D.C. Zaragoza	Temporal	Mujeres	11940
2017	201707	Julio 2017	Julio	18	Ribera Baja del Ebro	Indefinido	Hombres	31
2017	201707	Julio 2017	Julio	18	Ribera Baja del Ebro	Indefinido	Mujeres	5
2017	201707	Julio 2017	Julio	18	Ribera Baja del Ebro	Temporal	Hombres	351
2017	201707	Julio 2017	Julio	18	Ribera Baja del Ebro	Temporal	Mujeres	192
2017	201707	Julio 2017	Julio	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Hombres	21
2017	201707	Julio 2017	Julio	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Indefinido	Mujeres	5
2017	201707	Julio 2017	Julio	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Temporal	Hombres	917
2017	201707	Julio 2017	Julio	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Temporal	Mujeres	411
2017	201707	Julio 2017	Julio	20	Comunidad de Calatayud	Indefinido	Hombres	27
2017	201707	Julio 2017	Julio	20	Comunidad de Calatayud	Indefinido	Mujeres	20
2017	201707	Julio 2017	Julio	20	Comunidad de Calatayud	Temporal	Hombres	1115
2017	201707	Julio 2017	Julio	20	Comunidad de Calatayud	Temporal	Mujeres	696
2017	201707	Julio 2017	Julio	21	Campo de Cariñena	Indefinido	Hombres	15
2017	201707	Julio 2017	Julio	21	Campo de Cariñena	Indefinido	Mujeres	14
2017	201707	Julio 2017	Julio	21	Campo de Cariñena	Temporal	Hombres	608
2017	201707	Julio 2017	Julio	21	Campo de Cariñena	Temporal	Mujeres	360
2017	201707	Julio 2017	Julio	22	Campo de Belchite	Indefinido	Hombres	6
2017	201707	Julio 2017	Julio	22	Campo de Belchite	Indefinido	Mujeres	4
2017	201707	Julio 2017	Julio	22	Campo de Belchite	Temporal	Hombres	32
2017	201707	Julio 2017	Julio	22	Campo de Belchite	Temporal	Mujeres	40
2017	201707	Julio 2017	Julio	23	Bajo Martín	Indefinido	Hombres	15
2017	201707	Julio 2017	Julio	23	Bajo Martín	Indefinido	Mujeres	4
2017	201707	Julio 2017	Julio	23	Bajo Martín	Temporal	Hombres	142
2017	201707	Julio 2017	Julio	23	Bajo Martín	Temporal	Mujeres	56
2017	201707	Julio 2017	Julio	24	Campo de Daroca	Indefinido	Hombres	3
2017	201707	Julio 2017	Julio	24	Campo de Daroca	Indefinido	Mujeres	4
2017	201707	Julio 2017	Julio	24	Campo de Daroca	Temporal	Hombres	53
2017	201707	Julio 2017	Julio	24	Campo de Daroca	Temporal	Mujeres	47
2017	201707	Julio 2017	Julio	25	Jiloca	Indefinido	Hombres	5
2017	201707	Julio 2017	Julio	25	Jiloca	Indefinido	Mujeres	7
2017	201707	Julio 2017	Julio	25	Jiloca	Temporal	Hombres	101
2017	201707	Julio 2017	Julio	25	Jiloca	Temporal	Mujeres	112
2017	201707	Julio 2017	Julio	26	Cuencas Mineras	Indefinido	Hombres	3
