Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	335
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	274
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	203
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	143
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Indefinido	Discapacitados	Minusválidos	3
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Indefinido	Discapacitados	Minusválidos	4
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	1509
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	783
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	2053
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	1660
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Interinidad	Interinidad	141
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Interinidad	Interinidad	371
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	6
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Discapacitados	Temp. Minusv	5
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Jubilación parcial	4
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	1
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Ligados a la jubilación	Jubilación parcial	3
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Ligados a la jubilación	Relevo	3
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Ligados a la formación	Formación	66
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Ligados a la formación	Prácticas	5
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Ligados a la formación	Formación	71
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Ligados a la formación	Prácticas	5
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	Temporal	Otros	Otros	2
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Otros	Otros	4
Febrero 2020	202002	Febrero	2020	Mujeres	22	Huesca	Temporal	Otros	Temp. Inserción	4
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	96
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	220
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Fomento	77
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Indefinido	Indefinido	Indef. Ordinario	74
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Indefinido	Discapacitados	Minusválidos	4
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Indefinido	Discapacitados	Minusválidos	1
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	529
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Obra o servicio	Obra o servicio	274
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	1533
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Eventual por circunstancias de la producción	Eventual producción	1131
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Interinidad	Interinidad	100
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Interinidad	Interinidad	221
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Discapacitados	Temp. Minusv	1
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Discapacitados	Temp. Minusv	1
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Ligados a la jubilación	Jubilación parcial	1
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Ligados a la jubilación	Jubilación parcial	1
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Ligados a la jubilación	Relevo	1
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Ligados a la formación	Formación	58
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Ligados a la formación	Prácticas	5
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Ligados a la formación	Formación	80
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Ligados a la formación	Prácticas	3
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Otros	Otros	1
Febrero 2020	202002	Febrero	2020	Hombres	44	Teruel	Temporal	Otros	Temp. Inserción	1
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Otros	Otros	1
Febrero 2020	202002	Febrero	2020	Mujeres	44	Teruel	Temporal	Otros	Temp. Inserción	1
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	876
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	928
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	698
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	714
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	9
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	13
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	5704
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	3570
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	8922
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	7898
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Interinidad	Interinidad	634
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Interinidad	Interinidad	2404
