Año	Mes (código)	Mes y año	Mes nombre	Comarca código	Comarca nombre	Grupo de tipo de jornada	Sexo	Número de contratos
2017	201701	Enero 2017	Enero	01	La Jacetania	1 - Jornada Completa	Hombres	164
2017	201701	Enero 2017	Enero	01	La Jacetania	1 - Jornada Completa	Mujeres	119
2017	201701	Enero 2017	Enero	01	La Jacetania	2 - Jornada Parcial	Hombres	81
2017	201701	Enero 2017	Enero	01	La Jacetania	2 - Jornada Parcial	Mujeres	183
2017	201701	Enero 2017	Enero	01	La Jacetania	3 - Fijos Discontinuos	Hombres	15
2017	201701	Enero 2017	Enero	01	La Jacetania	3 - Fijos Discontinuos	Mujeres	14
2017	201701	Enero 2017	Enero	02	Alto Gállego	1 - Jornada Completa	Hombres	428
2017	201701	Enero 2017	Enero	02	Alto Gállego	1 - Jornada Completa	Mujeres	322
2017	201701	Enero 2017	Enero	02	Alto Gállego	2 - Jornada Parcial	Hombres	76
2017	201701	Enero 2017	Enero	02	Alto Gállego	2 - Jornada Parcial	Mujeres	113
2017	201701	Enero 2017	Enero	02	Alto Gállego	3 - Fijos Discontinuos	Hombres	3
2017	201701	Enero 2017	Enero	02	Alto Gállego	3 - Fijos Discontinuos	Mujeres	4
2017	201701	Enero 2017	Enero	03	Sobrarbe	1 - Jornada Completa	Hombres	70
2017	201701	Enero 2017	Enero	03	Sobrarbe	1 - Jornada Completa	Mujeres	73
2017	201701	Enero 2017	Enero	03	Sobrarbe	2 - Jornada Parcial	Hombres	14
2017	201701	Enero 2017	Enero	03	Sobrarbe	2 - Jornada Parcial	Mujeres	30
2017	201701	Enero 2017	Enero	03	Sobrarbe	3 - Fijos Discontinuos	Hombres	2
2017	201701	Enero 2017	Enero	03	Sobrarbe	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	04	La Ribagorza	1 - Jornada Completa	Hombres	98
2017	201701	Enero 2017	Enero	04	La Ribagorza	1 - Jornada Completa	Mujeres	79
2017	201701	Enero 2017	Enero	04	La Ribagorza	2 - Jornada Parcial	Hombres	72
2017	201701	Enero 2017	Enero	04	La Ribagorza	2 - Jornada Parcial	Mujeres	86
2017	201701	Enero 2017	Enero	04	La Ribagorza	3 - Fijos Discontinuos	Hombres	3
2017	201701	Enero 2017	Enero	05	Cinco Villas	1 - Jornada Completa	Hombres	310
2017	201701	Enero 2017	Enero	05	Cinco Villas	1 - Jornada Completa	Mujeres	170
2017	201701	Enero 2017	Enero	05	Cinco Villas	2 - Jornada Parcial	Hombres	34
2017	201701	Enero 2017	Enero	05	Cinco Villas	2 - Jornada Parcial	Mujeres	95
2017	201701	Enero 2017	Enero	05	Cinco Villas	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	06	Hoya de Huesca / Plana de Uesca	1 - Jornada Completa	Hombres	639
2017	201701	Enero 2017	Enero	06	Hoya de Huesca / Plana de Uesca	1 - Jornada Completa	Mujeres	386
2017	201701	Enero 2017	Enero	06	Hoya de Huesca / Plana de Uesca	2 - Jornada Parcial	Hombres	257
2017	201701	Enero 2017	Enero	06	Hoya de Huesca / Plana de Uesca	2 - Jornada Parcial	Mujeres	460
2017	201701	Enero 2017	Enero	06	Hoya de Huesca / Plana de Uesca	3 - Fijos Discontinuos	Hombres	2
2017	201701	Enero 2017	Enero	06	Hoya de Huesca / Plana de Uesca	3 - Fijos Discontinuos	Mujeres	7
2017	201701	Enero 2017	Enero	07	Somontano de Barbastro	1 - Jornada Completa	Hombres	230
2017	201701	Enero 2017	Enero	07	Somontano de Barbastro	1 - Jornada Completa	Mujeres	99
2017	201701	Enero 2017	Enero	07	Somontano de Barbastro	2 - Jornada Parcial	Hombres	88
2017	201701	Enero 2017	Enero	07	Somontano de Barbastro	2 - Jornada Parcial	Mujeres	144
2017	201701	Enero 2017	Enero	07	Somontano de Barbastro	3 - Fijos Discontinuos	Hombres	3
2017	201701	Enero 2017	Enero	07	Somontano de Barbastro	3 - Fijos Discontinuos	Mujeres	2
2017	201701	Enero 2017	Enero	08	Cinca Medio	1 - Jornada Completa	Hombres	250
2017	201701	Enero 2017	Enero	08	Cinca Medio	1 - Jornada Completa	Mujeres	117
2017	201701	Enero 2017	Enero	08	Cinca Medio	2 - Jornada Parcial	Hombres	45
2017	201701	Enero 2017	Enero	08	Cinca Medio	2 - Jornada Parcial	Mujeres	118
2017	201701	Enero 2017	Enero	08	Cinca Medio	3 - Fijos Discontinuos	Hombres	2
2017	201701	Enero 2017	Enero	08	Cinca Medio	3 - Fijos Discontinuos	Mujeres	2
2017	201701	Enero 2017	Enero	09	La Litera / La Llitera	1 - Jornada Completa	Hombres	151
2017	201701	Enero 2017	Enero	09	La Litera / La Llitera	1 - Jornada Completa	Mujeres	49
2017	201701	Enero 2017	Enero	09	La Litera / La Llitera	2 - Jornada Parcial	Hombres	17
2017	201701	Enero 2017	Enero	09	La Litera / La Llitera	2 - Jornada Parcial	Mujeres	41
2017	201701	Enero 2017	Enero	09	La Litera / La Llitera	3 - Fijos Discontinuos	Hombres	4
2017	201701	Enero 2017	Enero	10	Los Monegros	1 - Jornada Completa	Hombres	126
2017	201701	Enero 2017	Enero	10	Los Monegros	1 - Jornada Completa	Mujeres	36
2017	201701	Enero 2017	Enero	10	Los Monegros	2 - Jornada Parcial	Hombres	20
2017	201701	Enero 2017	Enero	10	Los Monegros	2 - Jornada Parcial	Mujeres	45
2017	201701	Enero 2017	Enero	11	Bajo Cinca / Baix Cinca	1 - Jornada Completa	Hombres	570
2017	201701	Enero 2017	Enero	11	Bajo Cinca / Baix Cinca	1 - Jornada Completa	Mujeres	356
2017	201701	Enero 2017	Enero	11	Bajo Cinca / Baix Cinca	2 - Jornada Parcial	Hombres	121
2017	201701	Enero 2017	Enero	11	Bajo Cinca / Baix Cinca	2 - Jornada Parcial	Mujeres	182
2017	201701	Enero 2017	Enero	11	Bajo Cinca / Baix Cinca	3 - Fijos Discontinuos	Hombres	33
2017	201701	Enero 2017	Enero	11	Bajo Cinca / Baix Cinca	3 - Fijos Discontinuos	Mujeres	11
2017	201701	Enero 2017	Enero	12	Tarazona y el Moncayo	1 - Jornada Completa	Hombres	284
2017	201701	Enero 2017	Enero	12	Tarazona y el Moncayo	1 - Jornada Completa	Mujeres	190
2017	201701	Enero 2017	Enero	12	Tarazona y el Moncayo	2 - Jornada Parcial	Hombres	39
2017	201701	Enero 2017	Enero	12	Tarazona y el Moncayo	2 - Jornada Parcial	Mujeres	72
2017	201701	Enero 2017	Enero	12	Tarazona y el Moncayo	3 - Fijos Discontinuos	Hombres	1
2017	201701	Enero 2017	Enero	13	Campo de Borja	1 - Jornada Completa	Hombres	219
2017	201701	Enero 2017	Enero	13	Campo de Borja	1 - Jornada Completa	Mujeres	135
2017	201701	Enero 2017	Enero	13	Campo de Borja	2 - Jornada Parcial	Hombres	12
2017	201701	Enero 2017	Enero	13	Campo de Borja	2 - Jornada Parcial	Mujeres	42
2017	201701	Enero 2017	Enero	13	Campo de Borja	3 - Fijos Discontinuos	Hombres	2
2017	201701	Enero 2017	Enero	13	Campo de Borja	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	14	Aranda	1 - Jornada Completa	Hombres	76
2017	201701	Enero 2017	Enero	14	Aranda	1 - Jornada Completa	Mujeres	41
2017	201701	Enero 2017	Enero	14	Aranda	2 - Jornada Parcial	Hombres	7
2017	201701	Enero 2017	Enero	14	Aranda	2 - Jornada Parcial	Mujeres	23
2017	201701	Enero 2017	Enero	14	Aranda	3 - Fijos Discontinuos	Hombres	2
2017	201701	Enero 2017	Enero	14	Aranda	3 - Fijos Discontinuos	Mujeres	1
2017	201701	Enero 2017	Enero	15	Ribera Alta del Ebro	1 - Jornada Completa	Hombres	894
