Mes y año	Mes (código)	Sexo	Número de contratos	Temporalidad	Bonificado o no	Mes nombre	Año	CCAA nombre
Agosto 2018	201808	Hombres	143	Indefinido	Bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Mujeres	110	Indefinido	Bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Hombres	2207	Indefinido	No bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Mujeres	1669	Indefinido	No bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Hombres	221	Temporal	Bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Mujeres	267	Temporal	Bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Hombres	26621	Temporal	No bonificados	Agosto	2018	Aragón
Agosto 2018	201808	Mujeres	20489	Temporal	No bonificados	Agosto	2018	Aragón
Julio 2018	201807	Hombres	193	Indefinido	Bonificados	Julio	2018	Aragón
Julio 2018	201807	Mujeres	138	Indefinido	Bonificados	Julio	2018	Aragón
Julio 2018	201807	Hombres	3076	Indefinido	No bonificados	Julio	2018	Aragón
Julio 2018	201807	Mujeres	2195	Indefinido	No bonificados	Julio	2018	Aragón
Julio 2018	201807	Hombres	266	Temporal	Bonificados	Julio	2018	Aragón
Julio 2018	201807	Mujeres	326	Temporal	Bonificados	Julio	2018	Aragón
Julio 2018	201807	Hombres	32796	Temporal	No bonificados	Julio	2018	Aragón
Julio 2018	201807	Mujeres	25413	Temporal	No bonificados	Julio	2018	Aragón
Junio 2018	201806	Hombres	250	Indefinido	Bonificados	Junio	2018	Aragón
Junio 2018	201806	Mujeres	162	Indefinido	Bonificados	Junio	2018	Aragón
Junio 2018	201806	Hombres	2925	Indefinido	No bonificados	Junio	2018	Aragón
Junio 2018	201806	Mujeres	2462	Indefinido	No bonificados	Junio	2018	Aragón
Junio 2018	201806	Hombres	237	Temporal	Bonificados	Junio	2018	Aragón
Junio 2018	201806	Mujeres	306	Temporal	Bonificados	Junio	2018	Aragón
Junio 2018	201806	Hombres	33950	Temporal	No bonificados	Junio	2018	Aragón
Junio 2018	201806	Mujeres	25733	Temporal	No bonificados	Junio	2018	Aragón
Mayo 2018	201805	Hombres	240	Indefinido	Bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Mujeres	190	Indefinido	Bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Hombres	3332	Indefinido	No bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Mujeres	2499	Indefinido	No bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Hombres	215	Temporal	Bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Mujeres	343	Temporal	Bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Hombres	33492	Temporal	No bonificados	Mayo	2018	Aragón
Mayo 2018	201805	Mujeres	24832	Temporal	No bonificados	Mayo	2018	Aragón
Abril 2018	201804	Hombres	196	Indefinido	Bonificados	Abril	2018	Aragón
Abril 2018	201804	Mujeres	158	Indefinido	Bonificados	Abril	2018	Aragón
Abril 2018	201804	Hombres	2921	Indefinido	No bonificados	Abril	2018	Aragón
Abril 2018	201804	Mujeres	2272	Indefinido	No bonificados	Abril	2018	Aragón
Abril 2018	201804	Hombres	221	Temporal	Bonificados	Abril	2018	Aragón
Abril 2018	201804	Mujeres	316	Temporal	Bonificados	Abril	2018	Aragón
Abril 2018	201804	Hombres	21895	Temporal	No bonificados	Abril	2018	Aragón
Abril 2018	201804	Mujeres	19201	Temporal	No bonificados	Abril	2018	Aragón
Marzo 2018	201803	Hombres	184	Indefinido	Bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Mujeres	160	Indefinido	Bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Hombres	2916	Indefinido	No bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Mujeres	2312	Indefinido	No bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Hombres	188	Temporal	Bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Mujeres	308	Temporal	Bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Hombres	20484	Temporal	No bonificados	Marzo	2018	Aragón
Marzo 2018	201803	Mujeres	17878	Temporal	No bonificados	Marzo	2018	Aragón
Febrero 2018	201802	Hombres	188	Indefinido	Bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Mujeres	163	Indefinido	Bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Hombres	2585	Indefinido	No bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Mujeres	1946	Indefinido	No bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Hombres	173	Temporal	Bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Mujeres	308	Temporal	Bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Hombres	19895	Temporal	No bonificados	Febrero	2018	Aragón
Febrero 2018	201802	Mujeres	17483	Temporal	No bonificados	Febrero	2018	Aragón
Enero 2018	201801	Hombres	186	Indefinido	Bonificados	Enero	2018	Aragón
Enero 2018	201801	Mujeres	135	Indefinido	Bonificados	Enero	2018	Aragón
Enero 2018	201801	Hombres	2632	Indefinido	No bonificados	Enero	2018	Aragón
