Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Número de contratos	Temporalidad	Bonificado o no
Mayo 2020	202005	Mayo	2020	Hombres	22	Huesca	11	Indefinido	Bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	22	Huesca	3	Indefinido	Bonificados
Mayo 2020	202005	Mayo	2020	Hombres	22	Huesca	404	Indefinido	No bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	22	Huesca	292	Indefinido	No bonificados
Mayo 2020	202005	Mayo	2020	Hombres	22	Huesca	13	Temporal	Bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	22	Huesca	14	Temporal	Bonificados
Mayo 2020	202005	Mayo	2020	Hombres	22	Huesca	4270	Temporal	No bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	22	Huesca	1772	Temporal	No bonificados
Mayo 2020	202005	Mayo	2020	Hombres	44	Teruel	2	Indefinido	Bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	44	Teruel	2	Indefinido	Bonificados
Mayo 2020	202005	Mayo	2020	Hombres	44	Teruel	144	Indefinido	No bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	44	Teruel	71	Indefinido	No bonificados
Mayo 2020	202005	Mayo	2020	Hombres	44	Teruel	7	Temporal	Bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	44	Teruel	16	Temporal	Bonificados
Mayo 2020	202005	Mayo	2020	Hombres	44	Teruel	1249	Temporal	No bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	44	Teruel	649	Temporal	No bonificados
Mayo 2020	202005	Mayo	2020	Hombres	50	Zaragoza	22	Indefinido	Bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	50	Zaragoza	31	Indefinido	Bonificados
Mayo 2020	202005	Mayo	2020	Hombres	50	Zaragoza	898	Indefinido	No bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	50	Zaragoza	718	Indefinido	No bonificados
Mayo 2020	202005	Mayo	2020	Hombres	50	Zaragoza	98	Temporal	Bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	50	Zaragoza	131	Temporal	Bonificados
Mayo 2020	202005	Mayo	2020	Hombres	50	Zaragoza	11781	Temporal	No bonificados
Mayo 2020	202005	Mayo	2020	Mujeres	50	Zaragoza	7437	Temporal	No bonificados
Abril 2020	202004	Abril	2020	Hombres	22	Huesca	8	Indefinido	Bonificados
Abril 2020	202004	Abril	2020	Mujeres	22	Huesca	4	Indefinido	Bonificados
Abril 2020	202004	Abril	2020	Hombres	22	Huesca	378	Indefinido	No bonificados
Abril 2020	202004	Abril	2020	Mujeres	22	Huesca	205	Indefinido	No bonificados
Abril 2020	202004	Abril	2020	Hombres	22	Huesca	17	Temporal	Bonificados
Abril 2020	202004	Abril	2020	Mujeres	22	Huesca	18	Temporal	Bonificados
Abril 2020	202004	Abril	2020	Hombres	22	Huesca	2261	Temporal	No bonificados
Abril 2020	202004	Abril	2020	Mujeres	22	Huesca	1110	Temporal	No bonificados
Abril 2020	202004	Abril	2020	Hombres	44	Teruel	5	Indefinido	Bonificados
Abril 2020	202004	Abril	2020	Mujeres	44	Teruel	2	Indefinido	Bonificados
Abril 2020	202004	Abril	2020	Hombres	44	Teruel	89	Indefinido	No bonificados
Abril 2020	202004	Abril	2020	Mujeres	44	Teruel	51	Indefinido	No bonificados
Abril 2020	202004	Abril	2020	Hombres	44	Teruel	11	Temporal	Bonificados
Abril 2020	202004	Abril	2020	Mujeres	44	Teruel	12	Temporal	Bonificados
Abril 2020	202004	Abril	2020	Hombres	44	Teruel	507	Temporal	No bonificados
Abril 2020	202004	Abril	2020	Mujeres	44	Teruel	529	Temporal	No bonificados
Abril 2020	202004	Abril	2020	Hombres	50	Zaragoza	15	Indefinido	Bonificados
Abril 2020	202004	Abril	2020	Mujeres	50	Zaragoza	10	Indefinido	Bonificados
Abril 2020	202004	Abril	2020	Hombres	50	Zaragoza	753	Indefinido	No bonificados
Abril 2020	202004	Abril	2020	Mujeres	50	Zaragoza	422	Indefinido	No bonificados
Abril 2020	202004	Abril	2020	Hombres	50	Zaragoza	58	Temporal	Bonificados
Abril 2020	202004	Abril	2020	Mujeres	50	Zaragoza	84	Temporal	Bonificados
Abril 2020	202004	Abril	2020	Hombres	50	Zaragoza	7486	Temporal	No bonificados
Abril 2020	202004	Abril	2020	Mujeres	50	Zaragoza	4935	Temporal	No bonificados
Marzo 2020	202003	Marzo	2020	Hombres	22	Huesca	8	Indefinido	Bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	22	Huesca	5	Indefinido	Bonificados
Marzo 2020	202003	Marzo	2020	Hombres	22	Huesca	681	Indefinido	No bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	22	Huesca	349	Indefinido	No bonificados
Marzo 2020	202003	Marzo	2020	Hombres	22	Huesca	35	Temporal	Bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	22	Huesca	32	Temporal	Bonificados
Marzo 2020	202003	Marzo	2020	Hombres	22	Huesca	2370	Temporal	No bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	22	Huesca	1972	Temporal	No bonificados
Marzo 2020	202003	Marzo	2020	Hombres	44	Teruel	5	Indefinido	Bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	44	Teruel	1	Indefinido	Bonificados
Marzo 2020	202003	Marzo	2020	Hombres	44	Teruel	261	Indefinido	No bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	44	Teruel	183	Indefinido	No bonificados
Marzo 2020	202003	Marzo	2020	Hombres	44	Teruel	22	Temporal	Bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	44	Teruel	26	Temporal	Bonificados
Marzo 2020	202003	Marzo	2020	Hombres	44	Teruel	1531	Temporal	No bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	44	Teruel	1030	Temporal	No bonificados
Marzo 2020	202003	Marzo	2020	Hombres	50	Zaragoza	28	Indefinido	Bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	50	Zaragoza	20	Indefinido	Bonificados
Marzo 2020	202003	Marzo	2020	Hombres	50	Zaragoza	1524	Indefinido	No bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	50	Zaragoza	1214	Indefinido	No bonificados
Marzo 2020	202003	Marzo	2020	Hombres	50	Zaragoza	113	Temporal	Bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	50	Zaragoza	146	Temporal	Bonificados
Marzo 2020	202003	Marzo	2020	Hombres	50	Zaragoza	11881	Temporal	No bonificados
Marzo 2020	202003	Marzo	2020	Mujeres	50	Zaragoza	10477	Temporal	No bonificados
Febrero 2020	202002	Febrero	2020	Hombres	22	Huesca	12	Indefinido	Bonificados
