Mes y año	Mes (código)	Mes nombre	Año	Sexo	Comarca código	Comarca nombre	Sector código	Sector descripción	Número de contratos
Octubre 2019	201910	Octubre	2019	Hombres	01	La Jacetania	1	Agricultura, ganadería y pesca	1
Octubre 2019	201910	Octubre	2019	Hombres	01	La Jacetania	4	Servicios	3
Octubre 2019	201910	Octubre	2019	Mujeres	01	La Jacetania	4	Servicios	2
Octubre 2019	201910	Octubre	2019	Hombres	02	Alto Gállego	2	Industria y energía	1
Octubre 2019	201910	Octubre	2019	Mujeres	02	Alto Gállego	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Hombres	03	Sobrarbe	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Mujeres	03	Sobrarbe	4	Servicios	2
Octubre 2019	201910	Octubre	2019	Hombres	04	La Ribagorza	3	Construcción	1
Octubre 2019	201910	Octubre	2019	Mujeres	04	La Ribagorza	3	Construcción	1
Octubre 2019	201910	Octubre	2019	Hombres	04	La Ribagorza	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Mujeres	04	La Ribagorza	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Hombres	05	Cinco Villas	2	Industria y energía	1
Octubre 2019	201910	Octubre	2019	Mujeres	05	Cinco Villas	2	Industria y energía	2
Octubre 2019	201910	Octubre	2019	Hombres	05	Cinco Villas	3	Construcción	1
Octubre 2019	201910	Octubre	2019	Mujeres	05	Cinco Villas	4	Servicios	4
Octubre 2019	201910	Octubre	2019	Hombres	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	2
Octubre 2019	201910	Octubre	2019	Mujeres	06	Hoya de Huesca / Plana de Uesca	2	Industria y energía	1
Octubre 2019	201910	Octubre	2019	Hombres	06	Hoya de Huesca / Plana de Uesca	3	Construcción	1
Octubre 2019	201910	Octubre	2019	Mujeres	06	Hoya de Huesca / Plana de Uesca	3	Construcción	1
Octubre 2019	201910	Octubre	2019	Hombres	06	Hoya de Huesca / Plana de Uesca	4	Servicios	11
Octubre 2019	201910	Octubre	2019	Mujeres	06	Hoya de Huesca / Plana de Uesca	4	Servicios	22
Octubre 2019	201910	Octubre	2019	Mujeres	07	Somontano de Barbastro	2	Industria y energía	1
Octubre 2019	201910	Octubre	2019	Hombres	07	Somontano de Barbastro	4	Servicios	7
Octubre 2019	201910	Octubre	2019	Mujeres	07	Somontano de Barbastro	4	Servicios	6
Octubre 2019	201910	Octubre	2019	Hombres	08	Cinca Medio	1	Agricultura, ganadería y pesca	1
Octubre 2019	201910	Octubre	2019	Hombres	08	Cinca Medio	4	Servicios	3
Octubre 2019	201910	Octubre	2019	Mujeres	08	Cinca Medio	4	Servicios	8
Octubre 2019	201910	Octubre	2019	Hombres	09	La Litera / La Llitera	1	Agricultura, ganadería y pesca	1
Octubre 2019	201910	Octubre	2019	Mujeres	09	La Litera / La Llitera	4	Servicios	5
Octubre 2019	201910	Octubre	2019	Hombres	10	Los Monegros	1	Agricultura, ganadería y pesca	3
Octubre 2019	201910	Octubre	2019	Hombres	10	Los Monegros	4	Servicios	2
Octubre 2019	201910	Octubre	2019	Mujeres	10	Los Monegros	4	Servicios	6
Octubre 2019	201910	Octubre	2019	Hombres	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	2
Octubre 2019	201910	Octubre	2019	Mujeres	11	Bajo Cinca / Baix Cinca	1	Agricultura, ganadería y pesca	1
Octubre 2019	201910	Octubre	2019	Hombres	11	Bajo Cinca / Baix Cinca	2	Industria y energía	1
Octubre 2019	201910	Octubre	2019	Hombres	11	Bajo Cinca / Baix Cinca	4	Servicios	2
Octubre 2019	201910	Octubre	2019	Mujeres	11	Bajo Cinca / Baix Cinca	4	Servicios	7
Octubre 2019	201910	Octubre	2019	Hombres	12	Tarazona y el Moncayo	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Mujeres	12	Tarazona y el Moncayo	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Mujeres	13	Campo de Borja	2	Industria y energía	2
Octubre 2019	201910	Octubre	2019	Hombres	13	Campo de Borja	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Mujeres	13	Campo de Borja	4	Servicios	3
Octubre 2019	201910	Octubre	2019	Mujeres	14	Aranda	4	Servicios	1
Octubre 2019	201910	Octubre	2019	Hombres	15	Ribera Alta del Ebro	2	Industria y energía	1
Octubre 2019	201910	Octubre	2019	Hombres	15	Ribera Alta del Ebro	4	Servicios	5
Octubre 2019	201910	Octubre	2019	Mujeres	15	Ribera Alta del Ebro	4	Servicios	5
