Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Número de contratos	Sector código	Sector descripción
Mayo 2019	201905	Mayo	2019	Hombres	22	Huesca	21	1	Agricultura, ganadería y pesca
Mayo 2019	201905	Mayo	2019	Mujeres	22	Huesca	3	1	Agricultura, ganadería y pesca
Mayo 2019	201905	Mayo	2019	Hombres	22	Huesca	6	2	Industria y energía
Mayo 2019	201905	Mayo	2019	Mujeres	22	Huesca	3	2	Industria y energía
Mayo 2019	201905	Mayo	2019	Hombres	22	Huesca	2	3	Construcción
Mayo 2019	201905	Mayo	2019	Hombres	22	Huesca	47	4	Servicios
Mayo 2019	201905	Mayo	2019	Mujeres	22	Huesca	46	4	Servicios
Mayo 2019	201905	Mayo	2019	Hombres	44	Teruel	6	1	Agricultura, ganadería y pesca
Mayo 2019	201905	Mayo	2019	Mujeres	44	Teruel	1	1	Agricultura, ganadería y pesca
Mayo 2019	201905	Mayo	2019	Hombres	44	Teruel	11	2	Industria y energía
Mayo 2019	201905	Mayo	2019	Mujeres	44	Teruel	4	2	Industria y energía
Mayo 2019	201905	Mayo	2019	Hombres	44	Teruel	1	3	Construcción
Mayo 2019	201905	Mayo	2019	Mujeres	44	Teruel	1	3	Construcción
Mayo 2019	201905	Mayo	2019	Hombres	44	Teruel	12	4	Servicios
Mayo 2019	201905	Mayo	2019	Mujeres	44	Teruel	30	4	Servicios
Mayo 2019	201905	Mayo	2019	Hombres	50	Zaragoza	78	1	Agricultura, ganadería y pesca
Mayo 2019	201905	Mayo	2019	Mujeres	50	Zaragoza	15	1	Agricultura, ganadería y pesca
Mayo 2019	201905	Mayo	2019	Hombres	50	Zaragoza	40	2	Industria y energía
Mayo 2019	201905	Mayo	2019	Mujeres	50	Zaragoza	35	2	Industria y energía
Mayo 2019	201905	Mayo	2019	Hombres	50	Zaragoza	9	3	Construcción
Mayo 2019	201905	Mayo	2019	Mujeres	50	Zaragoza	4	3	Construcción
Mayo 2019	201905	Mayo	2019	Hombres	50	Zaragoza	170	4	Servicios
Mayo 2019	201905	Mayo	2019	Mujeres	50	Zaragoza	249	4	Servicios
Abril 2019	201904	Abril	2019	Hombres	22	Huesca	5	1	Agricultura, ganadería y pesca
Abril 2019	201904	Abril	2019	Hombres	22	Huesca	4	2	Industria y energía
Abril 2019	201904	Abril	2019	Mujeres	22	Huesca	1	2	Industria y energía
Abril 2019	201904	Abril	2019	Hombres	22	Huesca	5	3	Construcción
Abril 2019	201904	Abril	2019	Mujeres	22	Huesca	1	3	Construcción
Abril 2019	201904	Abril	2019	Hombres	22	Huesca	23	4	Servicios
Abril 2019	201904	Abril	2019	Mujeres	22	Huesca	36	4	Servicios
Abril 2019	201904	Abril	2019	Hombres	44	Teruel	5	1	Agricultura, ganadería y pesca
Abril 2019	201904	Abril	2019	Hombres	44	Teruel	11	2	Industria y energía
Abril 2019	201904	Abril	2019	Mujeres	44	Teruel	7	2	Industria y energía
Abril 2019	201904	Abril	2019	Hombres	44	Teruel	11	4	Servicios
Abril 2019	201904	Abril	2019	Mujeres	44	Teruel	30	4	Servicios
Abril 2019	201904	Abril	2019	Hombres	50	Zaragoza	9	1	Agricultura, ganadería y pesca
Abril 2019	201904	Abril	2019	Mujeres	50	Zaragoza	1	1	Agricultura, ganadería y pesca
Abril 2019	201904	Abril	2019	Hombres	50	Zaragoza	37	2	Industria y energía
Abril 2019	201904	Abril	2019	Mujeres	50	Zaragoza	23	2	Industria y energía
Abril 2019	201904	Abril	2019	Hombres	50	Zaragoza	6	3	Construcción
Abril 2019	201904	Abril	2019	Mujeres	50	Zaragoza	1	3	Construcción
Abril 2019	201904	Abril	2019	Hombres	50	Zaragoza	136	4	Servicios
Abril 2019	201904	Abril	2019	Mujeres	50	Zaragoza	214	4	Servicios
Marzo 2019	201903	Marzo	2019	Hombres	22	Huesca	5	1	Agricultura, ganadería y pesca
Marzo 2019	201903	Marzo	2019	Mujeres	22	Huesca	2	1	Agricultura, ganadería y pesca
Marzo 2019	201903	Marzo	2019	Hombres	22	Huesca	3	2	Industria y energía
Marzo 2019	201903	Marzo	2019	Mujeres	22	Huesca	7	2	Industria y energía
Marzo 2019	201903	Marzo	2019	Hombres	22	Huesca	4	3	Construcción
Marzo 2019	201903	Marzo	2019	Mujeres	22	Huesca	1	3	Construcción
Marzo 2019	201903	Marzo	2019	Hombres	22	Huesca	24	4	Servicios
Marzo 2019	201903	Marzo	2019	Mujeres	22	Huesca	39	4	Servicios
Marzo 2019	201903	Marzo	2019	Hombres	44	Teruel	1	1	Agricultura, ganadería y pesca
Marzo 2019	201903	Marzo	2019	Mujeres	44	Teruel	1	1	Agricultura, ganadería y pesca
Marzo 2019	201903	Marzo	2019	Hombres	44	Teruel	9	2	Industria y energía
Marzo 2019	201903	Marzo	2019	Mujeres	44	Teruel	4	2	Industria y energía
Marzo 2019	201903	Marzo	2019	Hombres	44	Teruel	1	3	Construcción
Marzo 2019	201903	Marzo	2019	Hombres	44	Teruel	12	4	Servicios
Marzo 2019	201903	Marzo	2019	Mujeres	44	Teruel	28	4	Servicios
Marzo 2019	201903	Marzo	2019	Hombres	50	Zaragoza	2	1	Agricultura, ganadería y pesca
Marzo 2019	201903	Marzo	2019	Mujeres	50	Zaragoza	2	1	Agricultura, ganadería y pesca
Marzo 2019	201903	Marzo	2019	Hombres	50	Zaragoza	32	2	Industria y energía
Marzo 2019	201903	Marzo	2019	Mujeres	50	Zaragoza	28	2	Industria y energía
Marzo 2019	201903	Marzo	2019	Hombres	50	Zaragoza	7	3	Construcción
Marzo 2019	201903	Marzo	2019	Mujeres	50	Zaragoza	1	3	Construcción
Marzo 2019	201903	Marzo	2019	Hombres	50	Zaragoza	114	4	Servicios
Marzo 2019	201903	Marzo	2019	Mujeres	50	Zaragoza	217	4	Servicios
Febrero 2019	201902	Febrero	2019	Mujeres	22	Huesca	1	1	Agricultura, ganadería y pesca
Febrero 2019	201902	Febrero	2019	Hombres	22	Huesca	4	2	Industria y energía
Febrero 2019	201902	Febrero	2019	Mujeres	22	Huesca	9	2	Industria y energía
Febrero 2019	201902	Febrero	2019	Hombres	22	Huesca	5	3	Construcción
Febrero 2019	201902	Febrero	2019	Mujeres	22	Huesca	1	3	Construcción
Febrero 2019	201902	Febrero	2019	Hombres	22	Huesca	24	4	Servicios
Febrero 2019	201902	Febrero	2019	Mujeres	22	Huesca	45	4	Servicios
Febrero 2019	201902	Febrero	2019	Hombres	44	Teruel	9	2	Industria y energía
Febrero 2019	201902	Febrero	2019	Mujeres	44	Teruel	6	2	Industria y energía
Febrero 2019	201902	Febrero	2019	Hombres	44	Teruel	2	3	Construcción
Febrero 2019	201902	Febrero	2019	Mujeres	44	Teruel	1	3	Construcción
Febrero 2019	201902	Febrero	2019	Hombres	44	Teruel	13	4	Servicios
Febrero 2019	201902	Febrero	2019	Mujeres	44	Teruel	30	4	Servicios
Febrero 2019	201902	Febrero	2019	Hombres	50	Zaragoza	6	1	Agricultura, ganadería y pesca
Febrero 2019	201902	Febrero	2019	Mujeres	50	Zaragoza	1	1	Agricultura, ganadería y pesca
Febrero 2019	201902	Febrero	2019	Hombres	50	Zaragoza	41	2	Industria y energía
Febrero 2019	201902	Febrero	2019	Mujeres	50	Zaragoza	23	2	Industria y energía
Febrero 2019	201902	Febrero	2019	Hombres	50	Zaragoza	4	3	Construcción
Febrero 2019	201902	Febrero	2019	Mujeres	50	Zaragoza	2	3	Construcción
Febrero 2019	201902	Febrero	2019	Hombres	50	Zaragoza	128	4	Servicios
Febrero 2019	201902	Febrero	2019	Mujeres	50	Zaragoza	224	4	Servicios
Enero 2019	201901	Enero	2019	Hombres	22	Huesca	4	1	Agricultura, ganadería y pesca
Enero 2019	201901	Enero	2019	Mujeres	22	Huesca	1	1	Agricultura, ganadería y pesca
Enero 2019	201901	Enero	2019	Hombres	22	Huesca	8	2	Industria y energía
Enero 2019	201901	Enero	2019	Mujeres	22	Huesca	7	2	Industria y energía
Enero 2019	201901	Enero	2019	Hombres	22	Huesca	3	3	Construcción
Enero 2019	201901	Enero	2019	Mujeres	22	Huesca	1	3	Construcción
Enero 2019	201901	Enero	2019	Hombres	22	Huesca	24	4	Servicios
Enero 2019	201901	Enero	2019	Mujeres	22	Huesca	47	4	Servicios
Enero 2019	201901	Enero	2019	Hombres	44	Teruel	6	1	Agricultura, ganadería y pesca
Enero 2019	201901	Enero	2019	Hombres	44	Teruel	12	2	Industria y energía
Enero 2019	201901	Enero	2019	Mujeres	44	Teruel	8	2	Industria y energía
Enero 2019	201901	Enero	2019	Mujeres	44	Teruel	1	3	Construcción
Enero 2019	201901	Enero	2019	Hombres	44	Teruel	11	4	Servicios
Enero 2019	201901	Enero	2019	Mujeres	44	Teruel	28	4	Servicios
Enero 2019	201901	Enero	2019	Hombres	50	Zaragoza	5	1	Agricultura, ganadería y pesca
Enero 2019	201901	Enero	2019	Mujeres	50	Zaragoza	2	1	Agricultura, ganadería y pesca
Enero 2019	201901	Enero	2019	Hombres	50	Zaragoza	44	2	Industria y energía
Enero 2019	201901	Enero	2019	Mujeres	50	Zaragoza	28	2	Industria y energía
Enero 2019	201901	Enero	2019	Hombres	50	Zaragoza	9	3	Construcción
Enero 2019	201901	Enero	2019	Mujeres	50	Zaragoza	5	3	Construcción
Enero 2019	201901	Enero	2019	Hombres	50	Zaragoza	158	4	Servicios
Enero 2019	201901	Enero	2019	Mujeres	50	Zaragoza	273	4	Servicios
